CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU00001_002;STN27;47.5467;-52.5867;221501;170;01-nov-00;13:18:00;171.45;313.0638;15.38;1.44;10.86;NaN;NaN
18HU00001_002;STN27;47.5467;-52.5867;221502;150;01-nov-00;13:18:00;150.76;320.6559;13.57;1.43;10.21;NaN;NaN
18HU00001_002;STN27;47.5467;-52.5867;221503;99;01-nov-00;13:18:00;99.85;353.704;5.57;1.04;5.19;0.06;0.04
18HU00001_002;STN27;47.5467;-52.5867;221505;49;01-nov-00;13:18:00;49.67;348.7915;2.35;0.55;1.15;0.5;0.43
18HU00001_002;STN27;47.5467;-52.5867;221506;40;01-nov-00;13:18:00;40.74;346.1119;2.13;0.55;0.96;0.85;0.69
18HU00001_002;STN27;47.5467;-52.5867;221507;29;01-nov-00;13:18:00;29.41;337.6266;2.1;0.53;0.78;0.64;0.56
18HU00001_002;STN27;47.5467;-52.5867;221508;20;01-nov-00;13:18:00;19.67;334.5004;1.74;0.44;0.57;1.32;1.08
18HU00001_002;STN27;47.5467;-52.5867;221509;11;01-nov-00;13:18:00;10.71;334.5004;1.74;0.48;0.58;1.32;1.09
18HU00001_002;STN27;47.5467;-52.5867;221510;6;01-nov-00;13:18:00;5.8;334.5004;1.69;0.38;0.57;1.34;1.15
18HU00001_002;STN27;47.5467;-52.5867;221511;74;01-nov-00;13:18:00;74.84;359.0632;3.73;1.08;3.38;0.13;0.11
18HU00001_003;SEGB-06;45.7883;-52.2667;221538;79;02-nov-00;07:07:00;79.94;276.8895;13.49;1.35;9.48;0.13;0.1
18HU00001_003;SEGB-06;45.7883;-52.2667;221539;50;02-nov-00;07:07:00;50.9;302.7921;8.77;1.1;6.74;0.33;0.3
18HU00001_003;SEGB-06;45.7883;-52.2667;221540;40;02-nov-00;07:07:00;40.55;310.8308;0.08;0.19;0;0.48;0.41
18HU00001_003;SEGB-06;45.7883;-52.2667;221541;30;02-nov-00;07:07:00;30.42;304.1319;0.4;0.16;0;0.49;0.44
18HU00001_003;SEGB-06;45.7883;-52.2667;221542;20;02-nov-00;07:07:00;20.58;303.2387;0.14;0.19;0;0.46;0.43
18HU00001_003;SEGB-06;45.7883;-52.2667;221543;10;02-nov-00;07:07:00;10.21;303.2387;0.05;0.23;0;0.47;0.41
18HU00001_003;SEGB-06;45.7883;-52.2667;221544;5;02-nov-00;07:07:00;5.53;303.6853;0.32;0.18;0;0.48;0.43
18HU00001_010;S27-10;47.99;-50.48;222631;130;10-nov-00;16:37:00;131.01;331.8208;NaN;NaN;NaN;NaN;NaN
18HU00001_011;S27-09;47.94;-50.72;222632;108;10-nov-00;17:56:00;108.57;328.6947;13.09;1.1;10.83;0.06;0.04
18HU00001_011;S27-09;47.94;-50.72;222633;76;10-nov-00;17:56:00;76.44;336.7334;8.84;1.11;7.82;0.07;0.05
18HU00001_011;S27-09;47.94;-50.72;222634;51;10-nov-00;17:56:00;51.31;363.0826;6.17;0.94;5.42;0.13;0.1
18HU00001_011;S27-09;47.94;-50.72;222635;41;10-nov-00;17:56:00;41.18;360.403;2.83;0.46;0.88;0.28;0.22
18HU00001_011;S27-09;47.94;-50.72;222636;30;10-nov-00;17:56:00;29.84;354.5972;2.42;0.42;0.44;0.97;0.76
18HU00001_011;S27-09;47.94;-50.72;222637;21;10-nov-00;17:56:00;20.91;353.704;2.62;0.43;0.44;0.95;0.76
