CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU01064_117;HL2;44.26667;-63.31667;188524;143;08-dec-01;11:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;16.9165;1.685;15.2215;NaN;NaN;NaN;0.01594
18HU01064_117;HL2;44.26667;-63.31667;188525;100;08-dec-01;11:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11.8025;1.5215;10.639;NaN;NaN;NaN;0.0248
18HU01064_117;HL2;44.26667;-63.31667;188526;75;08-dec-01;11:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.6175;0.968;1.638;NaN;NaN;NaN;0.09567
18HU01064_117;HL2;44.26667;-63.31667;188527;50;08-dec-01;11:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.7115;1.15;4.779;NaN;NaN;NaN;0.16476
18HU01064_117;HL2;44.26667;-63.31667;188528;40;08-dec-01;11:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.9135;1.0895;3.669;NaN;NaN;NaN;0.64158
18HU01064_117;HL2;44.26667;-63.31667;188529;30;08-dec-01;11:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.609;0.8845;1.639;NaN;NaN;NaN;0.64158
18HU01064_117;HL2;44.26667;-63.31667;188530;20;08-dec-01;11:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.5905;0.8735;1.6225;NaN;NaN;NaN;0.64158
18HU01064_117;HL2;44.26667;-63.31667;188531;10;08-dec-01;11:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.572;0.858;1.6145;NaN;NaN;NaN;0.6594
18HU01064_117;HL2;44.26667;-63.31667;188532;6;08-dec-01;11:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.7215;1.196;1.6155;NaN;NaN;NaN;0.60593
18HU01064_117;HL2;44.26667;-63.31667;188533;4;08-dec-01;11:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.6395;0.9615;1.607;NaN;NaN;NaN;0.62375
18HU01064_588;11;46.95317;-60.21533;247001;77.64;29-nov-01;12:44:00;31.88;2.84;314.853;312.78375;6.34667;0.12;0.79;5.39;NaN;NaN;NaN;NaN;NaN;0.797;NaN
18HU01064_588;11;46.95317;-60.21533;247002;49.38;29-nov-01;12:44:00;31.24;4.03;327.93838;323.51704;4.36667;0.15;0.635;3.29667;NaN;NaN;NaN;0.765;0.63;1.362;NaN
18HU01064_588;11;46.95317;-60.21533;247003;28.06;29-nov-01;12:44:00;30.56;4.85;324.4549;318.6491;4.61;0.145;0.595;2.55333;NaN;NaN;NaN;1.005;0.805;1.833;NaN
18HU01064_588;11;46.95317;-60.21533;247004;14.58;29-nov-01;12:44:00;30.38;5.12;324.81218;318.82774;4.61333;0.14;0.565;2.68667;NaN;NaN;NaN;1.035;0.69;2.157;NaN
18HU01064_588;11;46.95317;-60.21533;247005;5.65;29-nov-01;12:44:00;30.36;5.12;325.21412;319.27434;4.565;0.145;0.57;2.71333;NaN;NaN;NaN;1.53;1;1.974;NaN
18HU01064_588;11;46.95317;-60.21533;247006;2.58;29-nov-01;12:44:00;30.36;5.13;325.16946;318.91706;4.59333;0.14;0.56;2.70333;NaN;NaN;NaN;1.155;0.78;2.024;NaN
18HU01064_589;21;47.02533;-60.11317;247007;181.9;29-nov-01;14:15:00;33.31;2.63;259.60858;258.46231;11.91667;0.04;1.105;11.74;NaN;NaN;NaN;NaN;NaN;0.585;NaN
18HU01064_589;21;47.02533;-60.11317;247008;99.54;29-nov-01;14:15:00;32.75;1.31;312.12874;309.62778;6.69667;0.025;0.92;7.61667;NaN;NaN;NaN;0.09;0.055;0.285;NaN
18HU01064_589;21;47.02533;-60.11317;247009;50.57;29-nov-01;14:15:00;31.9;4.28;321.95394;317.7559;2.74;0.175;0.6;3.02333;NaN;NaN;NaN;0.32;0.22;0.708;NaN
18HU01064_589;21;47.02533;-60.11317;247010;25.19;29-nov-01;14:15:00;31.56;4.41;332.62768;326.73256;1.87;0.095;0.555;1.63;NaN;NaN;NaN;1.11;0.855;2.004;NaN
18HU01064_589;21;47.02533;-60.11317;247011;15.37;29-nov-01;14:15:00;31.33;4.04;331.3772;329.50148;3.92667;0.135;0.615;2.73667;NaN;NaN;NaN;1.545;1.16;2.463;NaN
18HU01064_589;21;47.02533;-60.11317;247012;4.86;29-nov-01;14:15:00;31.26;3.93;333.3869;329.45682;4.18667;0.145;0.65;2.975;NaN;NaN;NaN;1.455;1.075;2.137;NaN
18HU01064_589;21;47.02533;-60.11317;247013;4.36;29-nov-01;14:15:00;31.25;3.92;333.43156;328.87624;4.275;0.12667;0.895;3.03667;NaN;NaN;NaN;1.38;1.055;2.159;NaN
18HU01064_590;31;47.09717;-59.9925;247014;324.72;29-nov-01;15:46:00;34.77;5.4;166.17986;163.57469;28.11667;0.04;1.75;20.31;NaN;NaN;NaN;NaN;NaN;0.435;NaN
18HU01064_590;31;47.09717;-59.9925;247015;298.48;29-nov-01;15:46:00;34.73;5.6;166.04588;161.53522;24.84;0.02;1.665;20.21;NaN;NaN;NaN;NaN;NaN;0.212;NaN
18HU01064_590;31;47.09717;-59.9925;247016;198.04;29-nov-01;15:46:00;34.23;5.48;191.99334;184.53512;16.97;0.005;1.425;16.8475;NaN;NaN;NaN;NaN;NaN;0.412;NaN
18HU01064_590;31;47.09717;-59.9925;247017;99.24;29-nov-01;15:46:00;32.84;1.47;307.9307;320.25686;5.09;0.015;0.915;6.76;NaN;NaN;NaN;0.03;0.03;0.345;NaN
18HU01064_590;31;47.09717;-59.9925;247018;48.88;29-nov-01;15:46:00;31.86;3.88;322.84714;317.26464;3.705;0.14;0.7;4.02333;NaN;NaN;NaN;0.265;0.17;0.915;NaN
