CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(ml/l)
18HU11043_005;PS_10;41.9903;-66.1398;382651;89;03-oct-11;16:25:00;5.1
18HU11043_005;PS_10;41.9903;-66.1398;382659;2.5;03-oct-11;16:36:00;5.8
18HU11043_007;BBL_04;42.45;-65.48;382660;98;03-oct-11;20:43:00;3.8
18HU11043_007;BBL_04;42.45;-65.48;382668;2;03-oct-11;20:55:00;4
18HU11043_009;BBL_05;42.1302;-65.4998;382669;194;03-oct-11;23:16:00;3
18HU11043_009;BBL_05;42.1302;-65.4998;382679;3;03-oct-11;23:33:00;5.6
18HU11043_011;BBL_06;42.0008;-65.5155;382680;1096;04-oct-11;02:00:00;3.7
18HU11043_011;BBL_06;42.0008;-65.5155;382683;249;04-oct-11;02:18:00;3.4
18HU11043_011;BBL_06;42.0008;-65.5155;382691;9;04-oct-11;02:32:00;5.1
18HU11043_017;BBL_07;41.8642;-65.3583;382693;1879;04-oct-11;08:46:00;6.1
18HU11043_017;BBL_07;41.8642;-65.3583;382697;250;04-oct-11;09:28:00;3.9
18HU11043_017;BBL_07;41.8642;-65.3583;382706;4;04-oct-11;09:44:00;5.5
18HU11043_019;RL_06;42.3197;-63.8702;382707;1884;04-oct-11;18:46:00;6.1
18HU11043_019;RL_06;42.3197;-63.8702;382711;251;04-oct-11;19:24:00;3.5
18HU11043_019;RL_06;42.3197;-63.8702;382720;3;04-oct-11;19:39:00;5.5
18HU11043_022;CSL_01;46.9538;-60.2185;382721;75;07-oct-11;12:40:00;6.2
18HU11043_022;CSL_01;46.9538;-60.2185;382728;2.6;07-oct-11;12:49:00;6.1
18HU11043_024;CSL_02;47.0137;-60.11;382729;171;07-oct-11;14:40:00;3.8
18HU11043_024;CSL_02;47.0137;-60.11;382739;3;07-oct-11;14:54:00;6.3
18HU11043_027;CSL_03;47.0985;-59.981;382740;336;07-oct-11;16:52:00;3.8
18HU11043_027;CSL_03;47.0985;-59.981;382751;2.5;07-oct-11;17:09:00;6.4
18HU11043_031;CSL_04;47.27;-59.7763;382752;455;07-oct-11;22:24:00;3.1
18HU11043_031;CSL_04;47.27;-59.7763;382764;2;07-oct-11;22:46:00;4.6
18HU11043_034;CSL_05;47.4348;-59.5657;382765;468;08-oct-11;01:27:00;3.4
18HU11043_034;CSL_05;47.4348;-59.5657;382777;2;08-oct-11;01:47:00;5.3
18HU11043_037;CSL_06;47.5837;-59.3422;382778;247;08-oct-11;03:43:00;2.8
18HU11043_037;CSL_06;47.5837;-59.3422;382789;2.5;08-oct-11;04:00:00;4.4
18HU11043_039;STAB_05;46.4177;-58.8712;382790;364;08-oct-11;11:13:00;4
18HU11043_039;STAB_05;46.4177;-58.8712;382802;2.3;08-oct-11;11:33:00;6.7
18HU11043_042;STAB_04;46.2955;-59.0685;382803;146;08-oct-11;14:30:00;5.2
18HU11043_042;STAB_04;46.2955;-59.0685;382813;3;08-oct-11;14:43:00;6.6
18HU11043_044;STAB_03;46.2158;-59.1987;382814;87;08-oct-11;16:08:00;6.9
18HU11043_044;STAB_03;46.2158;-59.1987;382822;2;08-oct-11;16:19:00;6.5
18HU11043_046;STAB_02;46.1082;-59.3628;382823;62;08-oct-11;17:45:00;6.5
18HU11043_046;STAB_02;46.1082;-59.3628;382829;2.2;08-oct-11;17:52:00;6.3
18HU11043_049;STAB_01;45.9983;-59.5285;382830;56;08-oct-11;19:14:00;6.2
18HU11043_049;STAB_01;45.9983;-59.5285;382836;2.4;08-oct-11;19:21:00;6.1
18HU11043_051;LL_01;45.8318;-59.8515;382845;2.6;08-oct-11;21:34:00;6.1
18HU11043_053;LL_02;45.6592;-59.7038;382846;130;08-oct-11;23:11:00;5.7
18HU11043_053;LL_02;45.6592;-59.7038;382855;2.3;08-oct-11;23:23:00;6.1
18HU11043_056;LL_03;45.4893;-59.5187;382856;136;09-oct-11;01:33:00;5.6
18HU11043_056;LL_03;45.4893;-59.5187;382865;2.5;09-oct-11;01:46:00;6
18HU11043_059;LL_04;45.1603;-59.1762;382866;95;09-oct-11;04:29:00;4.7
18HU11043_059;LL_04;45.1603;-59.1762;382874;2;09-oct-11;04:38:00;4.6
18HU11043_061;LL_05;44.82;-58.8488;382875;216;09-oct-11;07:26:00;5.7
18HU11043_061;LL_05;44.82;-58.8488;382884;2.5;09-oct-11;07:39:00;6.1
18HU11043_063;LL_06;44.481;-58.5082;382885;66;09-oct-11;10:17:00;6.3
18HU11043_063;LL_06;44.481;-58.5082;382891;2;09-oct-11;10:24:00;6.1
18HU11043_067;LL_07;44.1252;-58.1797;382892;771;09-oct-11;15:44:00;6
18HU11043_067;LL_07;44.1252;-58.1797;382894;251;09-oct-11;15:56:00;3.9
18HU11043_067;LL_07;44.1252;-58.1797;382903;2.6;09-oct-11;16:11:00;6.2
18HU11043_070;LL_08;43.779;-57.8295;382904;2885;09-oct-11;21:22:00;6.2
18HU11043_070;LL_08;43.779;-57.8295;382909;250;09-oct-11;22:10:00;3.4
18HU11043_070;LL_08;43.779;-57.8295;382918;2;09-oct-11;22:23:00;6
18HU11043_073;LL_09;43.4673;-57.5278;382919;3785;10-oct-11;03:50:00;6.3
18HU11043_073;LL_09;43.4673;-57.5278;382925;250;10-oct-11;04:55:00;2.9
18HU11043_073;LL_09;43.4673;-57.5278;382934;2;10-oct-11;05:08:00;6
18HU11043_078;GULD_03;44.0197;-59.0417;382935;483;10-oct-11;20:07:00;5.4
18HU11043_078;GULD_03;44.0197;-59.0417;382936;251;10-oct-11;20:14:00;4.4
18HU11043_078;GULD_03;44.0197;-59.0417;382945;2;10-oct-11;20:27:00;6.4
18HU11043_080;HL_09;42.1998;-61.1672;382292;3947;25-sep-11;05:40:00;6.3
18HU11043_080;HL_09;42.1998;-61.1672;382293;3500;25-sep-11;05:49:00;6.3
18HU11043_080;HL_09;42.1998;-61.1672;382294;3000;25-sep-11;05:58:00;6.3
18HU11043_080;HL_09;42.1998;-61.1672;382295;2500;25-sep-11;06:08:00;6.2
18HU11043_080;HL_09;42.1998;-61.1672;382296;1501;25-sep-11;06:28:00;6.1
18HU11043_080;HL_09;42.1998;-61.1672;382297;1501;25-sep-11;06:28:00;6.1
18HU11043_080;HL_09;42.1998;-61.1672;382298;1000;25-sep-11;06:38:00;6.1
18HU11043_080;HL_09;42.1998;-61.1672;382299;501;25-sep-11;06:47:00;5.4
18HU11043_080;HL_09;42.1998;-61.1672;382300;250;25-sep-11;06:52:00;4.1
18HU11043_080;HL_09;42.1998;-61.1672;382301;101;25-sep-11;06:56:00;5
18HU11043_080;HL_09;42.1998;-61.1672;382302;81;25-sep-11;06:58:00;5.5
18HU11043_080;HL_09;42.1998;-61.1672;382303;61;25-sep-11;07:00:00;6
18HU11043_080;HL_09;42.1998;-61.1672;382304;54;25-sep-11;07:02:00;6.3
18HU11043_080;HL_09;42.1998;-61.1672;382305;40;25-sep-11;07:03:00;6.5
18HU11043_080;HL_09;42.1998;-61.1672;382306;30;25-sep-11;07:05:00;6.8
18HU11043_080;HL_09;42.1998;-61.1672;382307;20;25-sep-11;07:07:00;5.9
18HU11043_080;HL_09;42.1998;-61.1672;382308;11;25-sep-11;07:08:00;5.7
18HU11043_080;HL_09;42.1998;-61.1672;382309;2;25-sep-11;07:09:00;5.6
18HU11043_083;SG_23;43.864;-58.748;382946;912;11-oct-11;01:04:00;6.1
18HU11043_083;SG_23;43.864;-58.748;382949;251;11-oct-11;01:18:00;4.3
18HU11043_083;SG_23;43.864;-58.748;382958;2;11-oct-11;01:32:00;5.4
18HU11043_085;GULD_04;43.8107;-58.9132;382959;2159;11-oct-11;04:10:00;6.2
18HU11043_085;GULD_04;43.8107;-58.9132;382963;250;11-oct-11;04:46:00;4.3
18HU11043_085;GULD_04;43.8107;-58.9132;382972;2;11-oct-11;04:59:00;6.2
18HU11043_088;SG_28;43.7078;-59.0067;382973;896;11-oct-11;08:45:00;5.9
18HU11043_088;SG_28;43.7078;-59.0067;382976;251;11-oct-11;09:00:00;4.1
18HU11043_088;SG_28;43.7078;-59.0067;382985;2;11-oct-11;09:14:00;6.2
18HU11043_089;HL_13;41.0435;-60.4442;382986;4924;12-oct-11;00:57:00;6
18HU11043_089;HL_13;41.0435;-60.4442;382990;2998;12-oct-11;01:33:00;6.2
18HU11043_089;HL_13;41.0435;-60.4442;382994;1000;12-oct-11;02:10:00;5.9
18HU11043_089;HL_13;41.0435;-60.4442;382996;251;12-oct-11;02:24:00;3.7
18HU11043_089;HL_13;41.0435;-60.4442;383005;2;12-oct-11;02:38:00;5.2
18HU11043_093;HL_14;40.6745;-60.215;383006;5042;13-oct-11;04:15:00;5.9
18HU11043_093;HL_14;40.6745;-60.215;383008;3999;13-oct-11;04:35:00;6.2
