CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;PHPH;OXYM_01;Si_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU11111_2579;1001;42.775;-49.828;365402;1485.45;03-dec-11;10:16:00;34.88;3.96;NaN;NaN;8.49;1.07;NaN;0.57
18HU11111_2579;1001;42.775;-49.828;365403;148.66;03-dec-11;10:16:00;34.61;5.11;NaN;NaN;8.905;1.035;NaN;0.6
18HU11111_2579;1001;42.775;-49.828;365404;99.28;03-dec-11;10:16:00;34.32;6.3;NaN;NaN;7.945;0.995;0.115;0.64
18HU11111_2579;1001;42.775;-49.828;365405;74.99;03-dec-11;10:16:00;33.41;3.66;NaN;NaN;3.435;0.575;1.63;1.6
18HU11111_2579;1001;42.775;-49.828;365406;50.29;03-dec-11;10:16:00;33.03;3.72;NaN;NaN;2.645;0.54;3.345;2.99
18HU11111_2579;1001;42.775;-49.828;365407;40.27;03-dec-11;10:16:00;32.97;4.59;NaN;NaN;1.975;0.45;3.09;3.21
18HU11111_2579;1001;42.775;-49.828;365408;30.55;03-dec-11;10:16:00;32.83;6.84;NaN;NaN;2.195;0.425;1.91;2.52
18HU11111_2579;1001;42.775;-49.828;365409;20.34;03-dec-11;10:16:00;32.73;7.66;NaN;NaN;1.345;0.36;2.19;2.65
18HU11111_2579;1001;42.775;-49.828;365410;10.81;03-dec-11;10:16:00;32.69;8.01;NaN;NaN;1.145;0.315;0.185;2.52
18HU11111_2579;1001;42.775;-49.828;365411;5.46;03-dec-11;10:16:00;32.62;8.38;NaN;NaN;1.165;0.295;0.235;2.42
18HU11111_2580;1011;42.85;-49.887;365412;398.82;03-dec-11;12:34:00;34.7;3.85;8.01;NaN;10.105;1.12;NaN;0.6
18HU11111_2580;1011;42.85;-49.887;365413;147.87;03-dec-11;12:34:00;34.45;3.53;8.025;NaN;9.78;1.06;NaN;0.61
18HU11111_2580;1011;42.85;-49.887;365414;98.79;03-dec-11;12:34:00;33.9;3.35;8.068;NaN;6.04;0.77;0.245;0.83
18HU11111_2580;1011;42.85;-49.887;365415;74.09;03-dec-11;12:34:00;33.69;3.05;8.07;NaN;5.85;0.755;0.595;1.05
18HU11111_2580;1011;42.85;-49.887;365416;49.1;03-dec-11;12:34:00;33.38;3.26;8.085;NaN;4.5;0.705;1.91;2.06
18HU11111_2580;1011;42.85;-49.887;365417;38.89;03-dec-11;12:34:00;33.11;3.43;8.112;NaN;2.595;0.585;3.845;3.52
18HU11111_2580;1011;42.85;-49.887;365418;29.07;03-dec-11;12:34:00;33.02;3.82;8.137;NaN;1.36;0.555;5.065;5.09
18HU11111_2580;1011;42.85;-49.887;365419;19.15;03-dec-11;12:34:00;32.83;4.77;8.163;NaN;0.44;0.455;5.47;5.84
18HU11111_2580;1011;42.85;-49.887;365420;9.03;03-dec-11;12:34:00;32.8;4.79;8.166;NaN;0.58;0.45;0.025;5.32
18HU11111_2580;1011;42.85;-49.887;365421;4.27;03-dec-11;12:34:00;32.79;4.78;8.166;NaN;0.43;0.38;0.02;5.3
18HU11111_2581;1031;43.2;-50.167;365422;63.38;03-dec-11;16:47:00;33.42;3.95;8.049;290.7366;6.875;0.9;0.95;1.28
18HU11111_2581;1031;43.2;-50.167;365423;49.6;03-dec-11;16:47:00;33.42;3.95;8.049;310.96758;1.21;0.465;3.25;1.14
18HU11111_2581;1031;43.2;-50.167;365424;40.47;03-dec-11;16:47:00;33.37;4.01;8.054;NaN;4.44;0.775;0.02;1.54
18HU11111_2581;1031;43.2;-50.167;365425;30.45;03-dec-11;16:47:00;32.47;6.77;8.098;306.18896;2.25;0.46;0.02;2.17
18HU11111_2581;1031;43.2;-50.167;365426;20.73;03-dec-11;16:47:00;32.36;6.89;8.109;NaN;1.91;0.475;0.04;2.83
18HU11111_2581;1031;43.2;-50.167;365427;10.81;03-dec-11;16:47:00;32.32;6.71;8.125;312.57534;1.075;0.435;0.045;3.26
18HU11111_2581;1031;43.2;-50.167;365428;5.16;03-dec-11;16:47:00;32.32;6.74;8.121;312.21806;1.16;0.44;0.05;3.23
18HU11111_2582;1041;43.633;-50.517;365429;57.03;04-dec-11;16:17:00;32.49;7.52;8.034;NaN;7.135;0.685;0.615;1.33
18HU11111_2582;1041;43.633;-50.517;365430;50.39;04-dec-11;16:17:00;32.42;8.13;8.096;NaN;5.985;0.605;0.815;1.64
18HU11111_2582;1041;43.633;-50.517;365431;40.87;04-dec-11;16:17:00;32.42;8.15;8.096;NaN;4.595;0.48;0.82;1.63
18HU11111_2582;1041;43.633;-50.517;365432;30.65;04-dec-11;16:17:00;32.42;8.16;8.101;NaN;5.305;0.58;0.83;1.69
18HU11111_2582;1041;43.633;-50.517;365433;20.43;04-dec-11;16:17:00;32.42;8.16;8.101;NaN;5.03;0.56;0.805;1.74
18HU11111_2582;1041;43.633;-50.517;365434;10.52;04-dec-11;16:17:00;32.42;8.16;8.101;NaN;4.06;0.49;0.81;1.74
18HU11111_2582;1041;43.633;-50.517;365435;5.85;04-dec-11;16:17:00;32.42;8.16;8.101;NaN;5.25;0.595;0.815;1.85
18HU11111_2583;1051;44;-50.808;365436;66.55;04-dec-11;23:07:00;32.75;4.92;7.959;NaN;13.41;1.195;0.25;0.96
18HU11111_2583;1051;44;-50.808;365437;49.89;04-dec-11;23:07:00;32.45;8.18;8.125;NaN;NaN;NaN;NaN;1.57
18HU11111_2583;1051;44;-50.808;365438;40.37;04-dec-11;23:07:00;32.45;8.19;8.125;NaN;5.15;0.6;0.72;1.63
18HU11111_2583;1051;44;-50.808;365439;30.35;04-dec-11;23:07:00;32.45;8.19;8.127;NaN;4.245;0.52;0.76;1.63
18HU11111_2583;1051;44;-50.808;365440;20.33;04-dec-11;23:07:00;32.45;8.18;8.129;NaN;4.77;0.535;0.745;1.59
18HU11111_2583;1051;44;-50.808;365441;11.11;04-dec-11;23:07:00;32.45;8.18;8.129;NaN;3.715;0.445;0.685;1.66
18HU11111_2583;1051;44;-50.808;365442;6.05;04-dec-11;23:07:00;32.45;8.18;8.129;NaN;5.085;0.55;0.735;1.7
18HU11111_2584;1061;44.363;-51.103;365443;67.74;05-dec-11;04:08:00;32.8;4.12;7.884;NaN;13.84;0.995;0.295;0.96
18HU11111_2584;1061;44.363;-51.103;365444;51.18;05-dec-11;04:08:00;32.34;7.31;8.121;NaN;2.85;0.42;0.755;1.54
18HU11111_2584;1061;44.363;-51.103;365445;40.57;05-dec-11;04:08:00;32.34;7.31;8.124;NaN;3.78;0.44;0.725;1.46
18HU11111_2584;1061;44.363;-51.103;365446;30.85;05-dec-11;04:08:00;32.34;7.31;8.124;NaN;4.01;0.445;0.745;1.58
18HU11111_2584;1061;44.363;-51.103;365447;21.42;05-dec-11;04:08:00;32.34;7.32;8.124;NaN;2.76;0.365;0.75;1.48
18HU11111_2584;1061;44.363;-51.103;365448;11.31;05-dec-11;04:08:00;32.34;7.31;8.124;NaN;3.64;0.465;0.73;1.62
18HU11111_2584;1061;44.363;-51.103;365449;6.15;05-dec-11;04:08:00;32.34;7.31;8.124;NaN;4.115;0.5;0.76;1.58
18HU11111_2585;1071;44.725;-51.395;365450;68.53;05-dec-11;06:42:00;32.83;2.73;7.941;256.88432;12.66;1.26;0.79;1.08
18HU11111_2585;1071;44.725;-51.395;365451;51.28;05-dec-11;06:42:00;32.34;6.58;8.131;306.8142;1.515;0.45;1.455;2.06
18HU11111_2585;1071;44.725;-51.395;365452;41.26;05-dec-11;06:42:00;32.34;6.58;8.134;NaN;1.59;0.475;1.595;1.97
18HU11111_2585;1071;44.725;-51.395;365453;31.24;05-dec-11;06:42:00;32.34;6.58;8.136;301.455;1.275;0.41;1.56;2.06
18HU11111_2585;1071;44.725;-51.395;365454;21.42;05-dec-11;06:42:00;32.34;6.58;8.136;NaN;1.505;0.415;1.6;2.2
18HU11111_2585;1071;44.725;-51.395;365455;11.41;05-dec-11;06:42:00;32.34;6.58;8.136;303.9113;1.34;0.42;1.485;2.07
