CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18HU13004_004;PS_09;42.0615;-66.0818;389831;91;15-apr-13;05:44:00;33.6994;7.456;NaN;NaN;NaN;NaN;33.697;NaN;NaN
18HU13004_004;PS_09;42.0615;-66.0818;389832;75;15-apr-13;05:46:00;33.6875;7.4293;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_004;PS_09;42.0615;-66.0818;389833;60;15-apr-13;05:46:00;33.6493;7.3392;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_004;PS_09;42.0615;-66.0818;389834;50;15-apr-13;05:47:00;33.3082;6.5819;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_004;PS_09;42.0615;-66.0818;389835;40;15-apr-13;05:48:00;32.6514;5.371;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_004;PS_09;42.0615;-66.0818;389836;30;15-apr-13;05:49:00;32.4257;4.9742;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_004;PS_09;42.0615;-66.0818;389837;20;15-apr-13;05:50:00;32.3631;4.8812;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_004;PS_09;42.0615;-66.0818;389838;10;15-apr-13;05:50:00;32.2282;4.6048;NaN;NaN;NaN;NaN;32.226;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389839;218;15-apr-13;06:52:00;34.9965;8.7542;NaN;NaN;NaN;NaN;34.994;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389840;174;15-apr-13;06:54:00;34.9859;9.9435;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389841;150;15-apr-13;06:55:00;34.6531;9.4751;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389842;125;15-apr-13;06:56:00;34.3475;9.1486;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389843;100;15-apr-13;06:57:00;33.8385;7.979;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389844;76;15-apr-13;06:58:00;33.2707;6.5835;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389845;60;15-apr-13;06:59:00;32.9769;5.8916;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389846;50;15-apr-13;07:00:00;32.9595;5.8602;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389847;40;15-apr-13;07:00:00;32.9376;5.8551;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389848;31;15-apr-13;07:01:00;32.8499;5.723;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389849;20;15-apr-13;07:02:00;32.7492;5.5321;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389850;10;15-apr-13;07:03:00;32.3142;4.6154;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_005;PS_07;42.1625;-65.9683;389851;3;15-apr-13;07:03:00;32.2293;4.4658;NaN;NaN;NaN;NaN;32.217;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389852;233;15-apr-13;07:56:00;35.0072;8.9164;NaN;NaN;NaN;NaN;35.004;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389853;174;15-apr-13;07:58:00;35.0525;10.7076;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389854;150;15-apr-13;07:59:00;34.9135;10.6414;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389855;125;15-apr-13;08:00:00;34.719;10.2259;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389856;101;15-apr-13;08:01:00;34.0997;8.6683;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389857;75;15-apr-13;08:02:00;33.4526;7.1092;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389858;60;15-apr-13;08:03:00;33.4136;7.0154;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389859;50;15-apr-13;08:04:00;33.3811;6.9405;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389860;40;15-apr-13;08:05:00;33.3572;6.899;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389861;30;15-apr-13;08:06:00;33.256;6.7081;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389862;20;15-apr-13;08:06:00;32.9892;6.1697;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389863;10;15-apr-13;08:07:00;32.4899;5.2953;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_006;PS_05;42.232;-65.9023;389864;3;15-apr-13;08:08:00;32.3404;4.9806;NaN;NaN;NaN;NaN;32.373;NaN;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389865;208;15-apr-13;09:02:00;35.0611;9.3619;NaN;NaN;NaN;NaN;35.058;NaN;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389866;175;15-apr-13;09:04:00;35.0052;9.5487;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389867;150;15-apr-13;09:05:00;34.8165;10.0723;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389868;126;15-apr-13;09:07:00;34.4826;9.4585;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389869;101;15-apr-13;09:08:00;34.2139;8.9316;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389870;77;15-apr-13;09:10:00;33.6587;7.5742;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389871;61;15-apr-13;09:11:00;33.4255;6.9494;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389872;51;15-apr-13;09:12:00;33.1248;6.3032;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389873;41;15-apr-13;09:13:00;32.7259;5.3753;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389874;30;15-apr-13;09:14:00;32.4437;4.9275;NaN;6.305;0.623;5.18;NaN;0.13;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389875;20;15-apr-13;09:15:00;32.2226;4.5021;NaN;5.845;0.6035;4.345;NaN;0.115;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389876;11;15-apr-13;09:16:00;32.0685;4.2547;NaN;5.94;0.601;3.885;NaN;0.11;NaN
18HU13004_007;PS_03;42.2988;-65.8398;389877;3;15-apr-13;09:17:00;31.9726;4.1389;NaN;6.03;0.6235;3.51;31.962;0.105;NaN
18HU13004_009;BBL_04;42.4437;-65.4875;389878;96;15-apr-13;11:29:00;33.1193;6.1988;0.112;7.68;0.8495;8.255;33.116;0.115;6.1505
18HU13004_009;BBL_04;42.4437;-65.4875;389879;81;15-apr-13;11:30:00;32.9711;5.8558;0.1278;7.685;0.8045;7.895;NaN;0.11;NaN
18HU13004_009;BBL_04;42.4437;-65.4875;389880;60;15-apr-13;11:31:00;32.6842;5.1999;0.14;7.16;0.785;7.15;NaN;0.095;NaN
18HU13004_009;BBL_04;42.4437;-65.4875;389881;50;15-apr-13;11:32:00;32.6129;5.0373;0.133;7.72;0.816;7.71;NaN;0.1;NaN
18HU13004_009;BBL_04;42.4437;-65.4875;389882;41;15-apr-13;11:33:00;32.3186;4.2973;0.2766;6.765;0.7565;5.63;NaN;0.135;NaN
18HU13004_009;BBL_04;42.4437;-65.4875;389883;30;15-apr-13;11:34:00;31.885;3.1941;0.3407;6.84;0.7285;5.86;NaN;0.15;NaN
