CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU14014_1352;101;46.74217;-60.99983;414050;55.53;02-jun-14;09:40:00;31.07;-1.01;365.18482;366.68093;4.085;0.05;3.06;0.735;0.315;0.109
18HU14014_1352;101;46.74217;-60.99983;414051;50.37;02-jun-14;09:40:00;30.91;-0.47;379.47602;382.93717;2.775;0.04;1.88;0.625;0.335;0.106
18HU14014_1352;101;46.74217;-60.99983;414052;24.89;02-jun-14;09:40:00;30.82;0.24;381.44106;NaN;1.76;0.02;0.685;0.49;0.235;0.099
18HU14014_1352;101;46.74217;-60.99983;414053;14.88;02-jun-14;09:40:00;30.63;1.72;373.04498;NaN;1.325;0.015;0.225;0.395;0.21;0.087
18HU14014_1352;101;46.74217;-60.99983;414054;5.36;02-jun-14;09:40:00;29.35;8.32;329.99274;329.74711;0.58;0.005;0;0.2;0.58;0.1
18HU14014_1352;101;46.74217;-60.99983;414055;2.78;02-jun-14;09:40:00;29.34;8.38;328.20634;NaN;0.535;0.01;0;0.195;0.43;0.094
18HU14014_1353;1021;46.16633;-62.2495;414433;18.05;16-jun-14;00:03:00;30.34;6.04;326.82188;323.58403;3.17;0.025;0.05;0.33;1.325;0.13
18HU14014_1353;1021;46.16633;-62.2495;414434;1.79;16-jun-14;00:03:00;29.92;9.93;316.50542;250.27464;1.51;0.01;0;0.23;1.505;0.162
18HU14014_1354;1051;46.168;-61.7495;414435;50.08;16-jun-14;07:18:00;30.95;0.03;359.7363;359.13339;5.105;0.04;1.605;0.72;0.445;0.106
18HU14014_1354;1051;46.168;-61.7495;414436;24.69;16-jun-14;07:18:00;30.74;2.4;360.6295;362.17027;2.765;0.03;0.09;0.425;0.82;0.132
18HU14014_1354;1051;46.168;-61.7495;414437;2.58;16-jun-14;07:18:00;29.8;11.14;305.83168;303.12975;1.185;0.005;0;0.225;1.02;0.134
18HU14014_1355;11;47.83317;-64.2485;414001;35.99;01-jun-14;12:39:00;30.84;0.99;354.6004;352.54604;3.68;0.09;5.865;0.955;0.48;0.15
18HU14014_1355;11;47.83317;-64.2485;414002;24.69;01-jun-14;12:39:00;30.59;3.54;370.85664;NaN;1.695;0.055;1.745;0.525;0.27;0.107
18HU14014_1355;11;47.83317;-64.2485;414003;14.68;01-jun-14;12:39:00;29.97;5.61;349.4645;NaN;0.66;0.04;1.105;0.34;0.19;0.094
18HU14014_1355;11;47.83317;-64.2485;414004;4.16;01-jun-14;12:39:00;29.86;6.17;349.50916;348.48198;0.54;0.03;0.92;0.32;0.345;0.079
18HU14014_1355;11;47.83317;-64.2485;414005;2.38;01-jun-14;12:39:00;29.88;6.16;349.50916;NaN;0.54;0.04;0.91;0.305;0.235;0.073
18HU14014_1356;1101;46.82867;-61.7485;414438;64.85;17-jun-14;00:53:00;31.72;-0.84;317.17532;313.2899;12.775;0.115;9.04;1.245;0.265;0.175
18HU14014_1356;1101;46.82867;-61.7485;414439;25.39;17-jun-14;00:53:00;31.35;2.11;375.76924;396.00022;1.775;0.01;0.155;0.405;0.115;0.077
18HU14014_1356;1101;46.82867;-61.7485;414440;2.18;17-jun-14;00:53:00;30.75;9.47;318.47046;315.63455;0.575;0.005;0;0.255;1.085;0.259
18HU14014_1357;111;46.95817;-60.21633;414056;69.41;02-jun-14;13:52:00;31.75;0.02;326.77722;322.24423;8.52;0.09;6.88;0.935;0.34;0.117
18HU14014_1357;111;46.95817;-60.21633;414057;50.07;02-jun-14;13:52:00;31.15;0.11;362.28192;365.29647;4.425;0.055;3.225;0.67;0.765;0.139
18HU14014_1357;111;46.95817;-60.21633;414058;25.19;02-jun-14;13:52:00;30.93;1.18;383.04882;NaN;1.725;0.03;0.975;0.445;0.935;0.175
18HU14014_1357;111;46.95817;-60.21633;414059;14.97;02-jun-14;13:52:00;30.58;3.82;376.39448;NaN;1.015;0.02;0.27;0.305;0.775;0.134
18HU14014_1357;111;46.95817;-60.21633;414060;5.26;02-jun-14;13:52:00;30.56;4.17;360.58484;367.59646;0.985;0.02;0.24;0.295;0.8;0.093
18HU14014_1357;111;46.95817;-60.21633;414061;1.98;02-jun-14;13:52:00;30.51;4.57;360.80814;NaN;0.87;0.015;0.175;0.28;0.645;0.091
18HU14014_1358;1131;47.16717;-60.7495;414441;115.5;17-jun-14;08:49:00;32.96;1.6;273.63182;268.76388;14.38;0.09;12.78;1.175;NaN;0.106
18HU14014_1358;1131;47.16717;-60.7495;414442;25.39;17-jun-14;08:49:00;31.17;0.56;383.8527;402.05165;1.64;0.01;0.67;0.46;1.9;0.187
18HU14014_1358;1131;47.16717;-60.7495;414443;2.28;17-jun-14;08:49:00;30.84;8.76;327.84906;334.0568;0.485;0.005;0;0.21;0.68;0.111
18HU14014_1359;1161;47.49967;-60.7505;414444;33.61;17-jun-14;14:51:00;31.77;0.39;394.97304;NaN;NaN;NaN;NaN;NaN;2.955;0.14
18HU14014_1360;1171;47.5;-61.25217;414445;24.1;17-jun-14;17:02:00;31.4;2.38;367.95374;352.34507;0.27;0.005;0;0.415;1.63;0.214
