CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18HU15004_005;LL_05;44.8142;-58.85464;406718;237.45;24-apr-15;11:24:00;237.454;33.2198;3.448;6.0854;NaN;8.2;0.8765;9.295;33.2161;0.125;6.079
18HU15004_005;LL_05;44.8138;-58.85438;406719;151.86;24-apr-15;11:26:00;151.868;33.0245;2.9086;6.3433;NaN;7.12;0.8495;7.89;NaN;0.15;NaN
18HU15004_005;LL_05;44.81354;-58.8547;406720;99.79;24-apr-15;11:28:00;99.794;32.6049;1.934;6.6343;0.21216;6.68;0.842;6.93;NaN;0.125;NaN
18HU15004_005;LL_05;44.8134;-58.855;406721;80.87;24-apr-15;11:29:00;80.871;32.3971;1.5368;6.7824;0.31038;7.165;0.8125;7.04;NaN;0.135;NaN
18HU15004_005;LL_05;44.8131;-58.8555;406722;59.77;24-apr-15;11:31:00;59.775;32.0238;0.6713;7.4786;0.81676;5.7;0.7405;5.92;NaN;0.13;NaN
18HU15004_005;LL_05;44.81288;-58.85595;406723;50.14;24-apr-15;11:32:00;50.146;31.631;0.0758;8.0824;2.98408;1.39;0.5175;2.065;NaN;0.095;NaN
18HU15004_005;LL_05;44.8127;-58.85626;406724;40.01;24-apr-15;11:33:00;40.015;31.2842;0.0334;8.9623;8.87174;0.165;0.3355;0.47;NaN;0.07;NaN
18HU15004_005;LL_05;44.8125;-58.8567;406725;31.38;24-apr-15;11:34:00;31.38;31.216;0.0326;9.0283;8.01869;0.145;0.3535;0;NaN;0.04;NaN
18HU15004_005;LL_05;44.81232;-58.85728;406726;20.03;24-apr-15;11:36:00;20.032;31.2188;0.0357;9.0552;9.21296;0.125;0.3445;0;NaN;0.055;NaN
18HU15004_005;LL_05;44.81207;-58.85794;406727;10.28;24-apr-15;11:37:00;10.286;31.2167;0.0235;9.0459;8.53052;0.105;0.33;0;NaN;0.09;NaN
18HU15004_005;LL_05;44.81184;-58.85851;406728;3.26;24-apr-15;11:38:00;3.268;31.2158;0.0268;9.0391;8.70113;0.085;0.3425;0;31.2023;0.06;8.9265
18HU15004_005;LL_05;44.81176;-58.85873;406729;3.17;24-apr-15;11:39:00;3.179;31.2151;0.0251;9.0786;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU15004_008;LL_04;45.15843;-59.17634;406736;100.77;24-apr-15;16:14:00;100.77;32.5594;1.7454;6.5356;0.16894;9.89;0.9345;9.01;32.5501;0.13;6.511
18HU15004_008;LL_04;45.1585;-59.17636;406737;79.3;24-apr-15;16:16:00;79.307;32.4691;1.5249;6.7723;0.27895;9.045;0.8915;8.43;NaN;0.12;NaN
18HU15004_008;LL_04;45.15856;-59.17642;406738;59.22;24-apr-15;16:17:00;59.225;32.0321;0.4057;7.8753;0.54202;3.505;0.6;3.69;NaN;0.14;NaN
18HU15004_008;LL_04;45.15862;-59.1764;406739;48.88;24-apr-15;16:18:00;48.882;31.7459;-0.3505;8.2627;0.43611;4.41;0.63;4.36;NaN;0.15;NaN
18HU15004_008;LL_04;45.15867;-59.17642;406740;39.22;24-apr-15;16:19:00;39.228;31.3898;-0.5447;8.5683;1.93981;4.21;0.613;3.865;NaN;0.135;NaN
18HU15004_008;LL_04;45.15872;-59.17646;406741;29.66;24-apr-15;16:20:00;29.66;31.2804;0.1599;8.9425;7.17566;0.62;0.3855;0.67;NaN;0.08;NaN
18HU15004_008;LL_04;45.1588;-59.17646;406742;19.65;24-apr-15;16:21:00;19.659;31.2647;0.2717;9.016;8.35991;0.345;0.343;0;NaN;0.075;NaN
18HU15004_008;LL_04;45.15894;-59.17646;406743;10.19;24-apr-15;16:22:00;10.192;31.2578;0.296;9.0494;5.52608;0.305;0.341;0;NaN;0.065;NaN
18HU15004_008;LL_04;45.15907;-59.17644;406744;4.46;24-apr-15;16:23:00;4.46;31.2423;0.3333;9.0647;6.90812;0.285;0.4065;0;31.2363;0.06;8.912
18HU15004_008;LL_04;45.15912;-59.17642;406745;4.01;24-apr-15;16:23:00;4.01;31.25;0.312;9.0742;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU15004_010;LL_03;45.492;-59.51794;406746;132.02;24-apr-15;18:56:00;132.02;32.766;1.5719;6.4938;NaN;9.245;0.941;8.945;32.7549;0.075;6.439
18HU15004_010;LL_03;45.4919;-59.51824;406747;99.9;24-apr-15;18:58:00;99.906;32.6462;1.4764;6.6899;0.0569;8.96;0.888;8.325;NaN;0.09;NaN
18HU15004_010;LL_03;45.4918;-59.51844;406748;80.01;24-apr-15;19:00:00;80.019;32.1757;0.4296;7.6451;0.11868;5.005;0.729;4.98;NaN;0.165;NaN
18HU15004_010;LL_03;45.49172;-59.51866;406749;59.86;24-apr-15;19:01:00;59.868;31.7462;-0.6181;8.1232;0.13169;4.57;0.654;4.485;NaN;0.165;NaN
18HU15004_010;LL_03;45.49164;-59.51896;406750;48.39;24-apr-15;19:03:00;48.393;31.4683;-1.0794;8.3714;0.21624;5.095;0.634;4.64;NaN;0.15;NaN
18HU15004_010;LL_03;45.4916;-59.51916;406751;40.1;24-apr-15;19:03:00;40.103;31.2721;-0.8502;8.4861;0.29466;5.17;0.6135;4.29;NaN;0.13;NaN
18HU15004_010;LL_03;45.49153;-59.51934;406752;30.19;24-apr-15;19:05:00;30.19;31.2424;-0.7295;8.4558;0.49111;6.05;0.631;5.01;NaN;0.145;NaN
18HU15004_010;LL_03;45.49148;-59.51946;406753;20.1;24-apr-15;19:06:00;20.1;31.2177;-0.6183;8.5082;0.71467;6;0.708;4.905;NaN;0.15;NaN
18HU15004_010;LL_03;45.49136;-59.51964;406754;9.88;24-apr-15;19:07:00;9.888;31.2132;-0.4704;8.5031;0.65633;5.975;0.67;4.845;NaN;0.155;NaN
18HU15004_010;LL_03;45.49124;-59.51982;406755;3.34;24-apr-15;19:08:00;3.346;31.2115;-0.4523;8.5367;0.67091;6.03;0.6515;4.985;31.1985;0.145;8.655
18HU15004_010;LL_03;45.4912;-59.51988;406756;3.8;24-apr-15;19:08:00;3.801;31.212;-0.4529;8.5299;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU15004_012;LL_02;45.6579;-59.70454;406757;131.57;24-apr-15;20:59:00;131.572;32.9324;1.8939;6.2626;NaN;11.145;1.0205;10.45;32.9104;0.075;6.332
18HU15004_012;LL_02;45.65794;-59.7047;406758;100.92;24-apr-15;21:00:00;100.926;32.5283;1.1769;7.0603;0.06503;7.785;0.8345;7.655;NaN;0.125;NaN
18HU15004_012;LL_02;45.65797;-59.70488;406759;80.52;24-apr-15;21:01:00;80.524;31.854;-1.0286;7.951;0.07804;7.22;0.7835;6.79;NaN;0.15;NaN
18HU15004_012;LL_02;45.65802;-59.705;406760;59.88;24-apr-15;21:03:00;59.889;31.537;-1.4278;8.3528;0.15933;5.94;0.724;5.485;NaN;0.165;NaN
18HU15004_012;LL_02;45.6581;-59.70506;406761;50.34;24-apr-15;21:04:00;50.344;31.5145;-1.4197;8.3654;0.22787;6.46;0.7015;5.77;NaN;0.16;NaN
18HU15004_012;LL_02;45.65818;-59.70514;406762;40.05;24-apr-15;21:05:00;40.056;31.3992;-1.1712;8.4173;0.74384;7.07;0.761;5.805;NaN;0.165;NaN
18HU15004_012;LL_02;45.65826;-59.70522;406763;31.23;24-apr-15;21:06:00;31.233;31.3112;-0.867;8.5114;1.51684;6.755;0.704;5.365;NaN;0.145;NaN
