CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18HU15006_129;HL_15;39.90444;-59.36742;408586;5215.46;22-may-15;04:33:00;5215.467;34.8728;2.2648;5.5935;NaN;NaN;39.23;1.4085;20.325;34.877;0.055;6.017
18HU15006_129;HL_15;39.90524;-59.36618;408587;5051.68;22-may-15;04:36:00;5051.687;34.8768;2.2791;5.6345;NaN;NaN;36.77;1.386;19.985;34.8811;0.055;6.058
18HU15006_129;HL_15;39.90574;-59.3658;408588;4901.45;22-may-15;04:40:00;4901.451;34.8783;2.2749;5.6607;NaN;NaN;35.46;1.353;19.675;34.8822;0.05;6.066
18HU15006_129;HL_15;39.90668;-59.36504;408589;4702.99;22-may-15;04:43:00;4702.998;34.881;2.2772;5.7005;NaN;NaN;33.605;1.34;19.385;34.8855;0.05;6.088
18HU15006_129;HL_15;39.90742;-59.3644;408590;4398.78;22-may-15;04:49:00;4398.783;34.8858;2.2974;5.7343;NaN;NaN;31.23;1.307;18.975;34.8897;0.045;6.136
18HU15006_129;HL_15;39.90828;-59.36298;408591;4104.07;22-may-15;04:53:00;4104.07;34.8923;2.3529;5.7783;NaN;NaN;28.15;1.2685;18.565;34.8961;0.05;6.166
18HU15006_129;HL_15;39.90864;-59.36188;408592;3802.34;22-may-15;04:58:00;3802.345;34.9021;2.4808;5.8056;NaN;NaN;24.83;1.2275;18.245;34.9063;0.055;6.21
18HU15006_129;HL_15;39.90886;-59.36058;408593;3513.06;22-may-15;05:04:00;3513.063;34.9133;2.6563;5.8008;NaN;NaN;22.38;1.2125;18.16;34.9181;0.055;6.195
18HU15006_129;HL_15;39.90916;-59.35847;408594;3203.77;22-may-15;05:12:00;3203.771;34.9259;2.8893;5.7638;NaN;NaN;20.725;1.1975;18.055;34.93;0.06;6.15
18HU15006_129;HL_15;39.90694;-59.35708;408595;2901.05;22-may-15;06:21:00;2901.058;34.9373;3.1508;5.6952;NaN;NaN;18.875;1.2035;18.14;34.942;0.055;6.119
18HU15006_129;HL_15;39.90664;-59.35672;408596;2601.81;22-may-15;06:25:00;2601.819;34.9422;3.3625;5.7195;NaN;NaN;16.5;1.1885;18.04;34.9472;0.075;6.138
18HU15006_129;HL_15;39.90634;-59.35644;408597;2300.83;22-may-15;06:30:00;2300.833;34.9449;3.5683;5.7463;NaN;NaN;14.94;1.1785;17.94;34.9504;0.055;6.124
18HU15006_129;HL_15;39.90582;-59.35634;408598;2000.18;22-may-15;06:35:00;2000.185;34.9538;3.8337;5.7154;NaN;NaN;13.295;1.176;18.085;34.9602;0.065;6.089
18HU15006_129;HL_15;39.90534;-59.3557;408599;1720.27;22-may-15;06:45:00;1720.277;34.9777;4.1701;5.6363;NaN;NaN;12.57;1.1865;18.245;34.9843;0.085;5.968
18HU15006_129;HL_15;39.9052;-59.35546;408600;1449.33;22-may-15;06:49:00;1449.339;34.9832;4.4519;5.5859;NaN;NaN;11.85;1.1885;18.26;34.9887;0.075;5.888
18HU15006_129;HL_15;39.90528;-59.3545;408601;1200.85;22-may-15;06:56:00;1200.858;35.0112;5.0017;5.2925;NaN;NaN;12.59;1.3;19.655;33.0751;0.075;5.237
18HU15006_129;HL_15;39.9052;-59.3542;408602;960.37;22-may-15;07:01:00;960.372;35.0633;6.3958;4.3829;NaN;NaN;13.66;1.391;21.435;33.1106;0.05;4.596
18HU15006_129;HL_15;39.90512;-59.3539;408603;727.97;22-may-15;07:06:00;727.974;35.2412;9.74;3.0705;NaN;NaN;14.08;1.556;24.405;33.2862;0.07;3.212
18HU15006_129;HL_15;39.90446;-59.35338;408604;515.64;22-may-15;07:11:00;515.641;35.6443;12.8381;3.6385;NaN;NaN;7.82;1.0585;17.33;33.6894;0.065;3.7425
18HU15006_129;HL_15;39.90452;-59.35306;408605;330.59;22-may-15;07:15:00;330.59;36.2224;16.297;3.8351;NaN;NaN;3.49;0.534;10;34.2617;0.06;3.99
18HU15006_129;HL_15;39.9044;-59.35282;408606;197.32;22-may-15;07:18:00;197.327;36.5826;19.4069;3.2046;NaN;NaN;2.84;0.3885;8.18;34.6205;0.075;3.349
18HU15006_129;HL_15;39.90447;-59.35262;408607;101.31;22-may-15;07:20:00;101.319;36.4982;21.7869;4.2166;NaN;0.27895;1.34;0.0615;1.815;NaN;0.22;4.409
18HU15006_129;HL_15;39.90434;-59.35238;408608;51.09;22-may-15;07:21:00;51.094;36.4503;23.8815;4.6125;NaN;0.11218;1.085;0;0;NaN;0.05;4.799
18HU15006_304;HL_02;44.26707;-63.3146;407751;146.74;05-may-15;00:10:00;146.746;34.8687;9.8766;3.5875;7.986;NaN;NaN;NaN;NaN;NaN;NaN;3.435
18HU15006_304;HL_02;44.26708;-63.3146;407752;146.51;05-may-15;00:10:00;146.51;34.8666;9.8695;3.5647;7.984;NaN;NaN;NaN;NaN;NaN;NaN;3.42067
18HU15006_304;HL_02;44.26709;-63.3146;407753;146.56;05-may-15;00:10:00;146.568;34.8648;9.8648;3.5554;7.982;NaN;NaN;NaN;NaN;NaN;NaN;3.431
18HU15006_304;HL_02;44.2671;-63.31462;407754;146.54;05-may-15;00:10:00;146.547;34.8648;9.8673;3.6081;7.982;NaN;NaN;NaN;NaN;NaN;NaN;3.443
18HU15006_304;HL_02;44.26714;-63.31462;407755;146.38;05-may-15;00:11:00;146.387;34.8677;9.8714;3.6811;7.981;0.13358;14.965;1.3405;18.05;34.866;0.05;3.4315
18HU15006_304;HL_02;44.26794;-63.31488;407756;102.12;05-may-15;00:13:00;102.129;32.6237;2.8203;6.6767;7.992;0.17287;8.925;1.031;9.28;NaN;0.075;NaN
18HU15006_304;HL_02;44.268;-63.31472;407757;80.28;05-may-15;00:15:00;80.283;32.1067;1.0447;6.8784;8.023;0.2318;6.745;0.9465;6.715;NaN;0.075;NaN
18HU15006_304;HL_02;44.26762;-63.31442;407758;61.08;05-may-15;00:16:00;61.08;31.7552;-0.0297;7.5952;8.065;0.45182;5.085;0.748;4.63;NaN;0.075;NaN
18HU15006_304;HL_02;44.26746;-63.31452;407759;50.86;05-may-15;00:18:00;50.864;31.644;0.4627;8.3315;8.093;1.31265;3.175;0.683;3.47;NaN;0.07;NaN
18HU15006_304;HL_02;44.2677;-63.31464;407760;40.23;05-may-15;00:19:00;40.232;31.3944;-0.7395;8.2777;8.046;3.20512;4.605;0.771;5.24;31.3913;0.1;8.097
18HU15006_304;HL_02;44.26774;-63.31463;407761;40.25;05-may-15;00:19:00;40.253;31.3952;-0.7378;8.0217;8.045;NaN;NaN;NaN;NaN;NaN;NaN;8.09233
18HU15006_304;HL_02;44.26778;-63.31462;407762;39.66;05-may-15;00:19:00;39.661;31.386;-0.7456;7.2654;8.044;NaN;NaN;NaN;NaN;NaN;NaN;8.098
18HU15006_304;HL_02;44.26782;-63.31462;407763;40.17;05-may-15;00:19:00;40.171;31.3927;-0.7372;7.978;8.044;NaN;NaN;NaN;NaN;NaN;NaN;8.0925
18HU15006_304;HL_02;44.26789;-63.31462;407764;40.05;05-may-15;00:19:00;40.059;31.3952;-0.7354;7.8771;8.044;NaN;NaN;NaN;NaN;NaN;NaN;8.09633
18HU15006_304;HL_02;44.26793;-63.31462;407765;40.06;05-may-15;00:20:00;40.067;31.3913;-0.739;7.5227;8.044;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU15006_304;HL_02;44.2682;-63.3146;407766;30.77;05-may-15;00:21:00;30.778;31.35;0.1809;8.2549;8.105;4.93663;2.275;0.6905;3.755;NaN;0.08;NaN
18HU15006_304;HL_02;44.26838;-63.31464;407767;20.8;05-may-15;00:22:00;20.805;31.1338;0.2027;8.5944;8.215;2.50515;1.78;0.403;0.5;NaN;0.02;NaN
18HU15006_304;HL_02;44.2684;-63.31462;407768;10.25;05-may-15;00:23:00;10.252;30.8166;2.2692;7.9639;8.231;0.71467;0.065;0.2705;0;NaN;0.01;NaN
18HU15006_304;HL_02;44.2682;-63.31432;407769;2.6;05-may-15;00:24:00;2.604;30.7836;2.6228;7.7673;8.24;0.44003;0.055;0.2575;0;30.8049;0.02;5.0145
18HU15006_304;HL_02;44.26818;-63.31428;407770;2.96;05-may-15;00:24:00;2.961;30.7837;2.6238;8.2884;8.244;NaN;NaN;NaN;NaN;NaN;NaN;8.96433
18HU15006_304;HL_02;44.26816;-63.31423;407771;2.8;05-may-15;00:24:00;2.802;30.7843;2.6215;8.0721;8.244;NaN;NaN;NaN;NaN;NaN;NaN;8.9415
18HU15006_304;HL_02;44.26814;-63.31419;407772;2.45;05-may-15;00:24:00;2.451;30.7837;2.6254;8.1702;8.244;NaN;NaN;NaN;NaN;NaN;NaN;8.946
18HU15006_304;HL_02;44.26811;-63.31415;407773;2.82;05-may-15;00:25:00;2.821;30.7766;2.6711;8.4784;8.244;NaN;NaN;NaN;NaN;NaN;NaN;8.94533
18HU15006_304;HL_02;44.26808;-63.3141;407774;2.48;05-may-15;00:25:00;2.482;30.7786;2.6636;7.4963;8.244;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU15006_339;Cape_Race;46.5701;-53.06302;407775;62.81;06-may-15;11:48:00;62.817;32.3711;-0.2335;8.3636;8.184;NaN;NaN;NaN;NaN;NaN;NaN;8.5285
18HU15006_339;Cape_Race;46.5701;-53.06302;407776;62.56;06-may-15;11:48:00;62.566;32.371;-0.2321;8.3794;8.179;NaN;NaN;NaN;NaN;NaN;NaN;8.526
18HU15006_339;Cape_Race;46.5701;-53.06304;407777;62.33;06-may-15;11:48:00;62.337;32.371;-0.2302;8.3671;8.175;NaN;NaN;NaN;NaN;NaN;NaN;8.497
18HU15006_339;Cape_Race;46.57008;-53.06304;407778;61.88;06-may-15;11:48:00;61.886;32.3707;-0.2283;8.3606;8.174;2.39463;NaN;NaN;NaN;32.3878;NaN;8.526
18HU15006_339;Cape_Race;46.57006;-53.06304;407779;59.75;06-may-15;11:50:00;59.757;32.3708;-0.2279;8.3878;8.174;2.7262;2.71;0.8945;2.21;NaN;0.055;8.568
18HU15006_339;Cape_Race;46.57006;-53.063;407780;50.9;06-may-15;11:51:00;50.901;32.3704;-0.1998;8.3905;8.174;2.65251;2.725;0.5755;1.83;NaN;0.065;8.569
18HU15006_339;Cape_Race;46.57008;-53.06298;407781;40.53;06-may-15;11:51:00;40.537;32.3678;0.0375;8.5453;8.19;4.08929;2.15;0.543;1.095;32.3821;0.05;8.669
18HU15006_339;Cape_Race;46.57008;-53.06298;407782;40.51;06-may-15;11:51:00;40.519;32.3685;0.0337;8.5581;8.192;NaN;NaN;NaN;NaN;NaN;NaN;8.6595
18HU15006_339;Cape_Race;46.57008;-53.06298;407783;40.41;06-may-15;11:51:00;40.412;32.3685;0.0277;8.5625;8.192;NaN;NaN;NaN;NaN;NaN;NaN;8.652
18HU15006_339;Cape_Race;46.57008;-53.06298;407784;40.26;06-may-15;11:51:00;40.269;32.3667;0.0415;8.5385;8.192;NaN;NaN;NaN;NaN;NaN;NaN;8.6495
18HU15006_339;Cape_Race;46.57006;-53.06294;407785;30.31;06-may-15;11:52:00;30.31;32.3517;0.0806;8.6653;8.203;4.31034;1.805;0.4685;0.445;NaN;0.03;8.829
18HU15006_339;Cape_Race;46.56996;-53.06286;407786;20.52;06-may-15;11:53:00;20.524;32.3072;0.3411;8.6861;8.205;3.90509;1.89;0.445;0.91;NaN;0.045;8.827
18HU15006_339;Cape_Race;46.56996;-53.06286;407787;20.33;06-may-15;11:53:00;20.339;32.3073;0.3406;8.6866;8.205;NaN;NaN;NaN;NaN;NaN;NaN;8.8165
18HU15006_339;Cape_Race;46.56995;-53.06285;407788;20.57;06-may-15;11:53:00;20.576;32.3105;0.3309;8.6558;8.205;NaN;NaN;NaN;NaN;NaN;NaN;8.9915
18HU15006_339;Cape_Race;46.56994;-53.06284;407789;20.63;06-may-15;11:53:00;20.631;32.3102;0.3314;8.6628;8.205;NaN;NaN;NaN;NaN;NaN;NaN;8.8355
18HU15006_339;Cape_Race;46.5698;-53.06278;407790;10.81;06-may-15;11:54:00;10.818;32.1809;0.587;8.4851;8.185;2.09991;2.17;0.485;1.18;NaN;0.06;8.666
18HU15006_339;Cape_Race;46.56972;-53.06272;407791;3.29;06-may-15;11:54:00;3.298;32.1833;0.5887;8.4714;8.184;1.60435;2.34;0.487;1.36;NaN;0.065;8.65
18HU15006_339;Cape_Race;46.5697;-53.0627;407792;3.8;06-may-15;11:55:00;3.807;32.1829;0.5895;8.4914;8.185;NaN;2.76;0.5815;2.05;32.1915;0.06;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407793;3.1;06-may-15;11:55:00;3.101;32.1819;0.5887;8.4768;8.185;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407794;3.12;06-may-15;11:55:00;3.121;32.1834;0.5888;8.4758;8.185;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407795;3.91;06-may-15;11:55:00;3.915;32.1835;0.5889;8.4561;8.185;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407796;3.38;06-may-15;11:55:00;3.386;32.1834;0.5891;8.4852;8.185;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407797;3.08;06-may-15;11:55:00;3.082;32.1837;0.5897;8.4631;8.185;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407798;3.47;06-may-15;11:55:00;3.476;32.1834;0.5894;8.4912;8.185;NaN;NaN;NaN;NaN;NaN;NaN;NaN
