CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR;CHL_04
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU16050_1557;1331;47.66767;-59.86567;420035;515.7;01-nov-16;07:10:00;34.92;5.84;151.35274;152.24594;34.625;0.025;22.755;1.795;NaN;NaN;NaN
18HU16050_1557;1331;47.66767;-59.86567;420036;400.33;01-nov-16;07:10:00;34.92;6.04;152.91584;NaN;30.09;0.015;22.93;1.73;NaN;NaN;NaN
18HU16050_1557;1331;47.66767;-59.86567;420037;350.15;01-nov-16;07:10:00;34.84;6.56;135.63242;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU16050_1557;1331;47.66767;-59.86567;420038;299.95;01-nov-16;07:10:00;34.72;6.66;125.2713;NaN;27.325;0.015;23.225;1.72;NaN;NaN;NaN
18HU16050_1557;1331;47.66767;-59.86567;420039;250.73;01-nov-16;07:10:00;34.38;6.45;154.92554;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU16050_1557;1331;47.66767;-59.86567;420040;200.31;01-nov-16;07:10:00;33.95;5.99;215.08256;NaN;12.07;0.02;14.24;1.155;NaN;NaN;NaN
18HU16050_1557;1331;47.66767;-59.86567;420041;150.18;01-nov-16;07:10:00;32.67;1.84;301.85694;NaN;NaN;NaN;NaN;NaN;NaN;0.009;NaN
18HU16050_1557;1331;47.66767;-59.86567;420042;100.03;01-nov-16;07:10:00;32.25;2.24;307.97536;NaN;6.19;0.02;6.685;0.835;NaN;0.098;0.09
18HU16050_1557;1331;47.66767;-59.86567;420043;50.47;01-nov-16;07:10:00;31.31;8.86;289.8434;291.45116;1.13;0.055;0.51;0.305;NaN;0.76;1.09
18HU16050_1557;1331;47.66767;-59.86567;420044;25.19;01-nov-16;07:10:00;31.27;8.97;289.1735;NaN;1.135;0.06;0.485;0.3;NaN;0.81;1.075
18HU16050_1557;1331;47.66767;-59.86567;420045;15.07;01-nov-16;07:10:00;31.27;8.97;289.21816;NaN;1.155;0.06;0.485;0.295;NaN;0.851;1.095
18HU16050_1557;1331;47.66767;-59.86567;420046;5.06;01-nov-16;07:10:00;31.27;8.96;289.08418;290.7366;1.105;0.06;0.475;0.29;NaN;0.81;1.06
18HU16050_1557;1331;47.66767;-59.86567;420047;1.98;01-nov-16;07:10:00;31.27;8.96;289.57544;NaN;1.14;0.06;0.475;0.3;NaN;0.854;1.03
