CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU95003_002;CAST#1;44.6845;-63.6265;152901;23.94;19-apr-95;16:31:00;24.14;30.7366;1.0007;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152902;23.92;19-apr-95;16:31:00;24.121;30.7393;1.0015;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152903;23.9;19-apr-95;16:31:00;24.099;30.7157;0.9792;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152904;23.86;19-apr-95;16:31:00;24.052;30.6927;0.9833;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152905;23.83;19-apr-95;16:31:00;24.028;30.6796;0.9938;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152906;23.84;19-apr-95;16:31:00;24.039;30.6525;1.0248;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152907;23.85;19-apr-95;16:31:00;24.047;30.6557;1.0232;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152908;23.86;19-apr-95;16:31:00;24.054;30.6554;1.0255;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152909;23.85;19-apr-95;16:31:00;24.047;30.6613;1.0107;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152910;23.84;19-apr-95;16:31:00;24.031;30.6573;1.0163;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152911;23.81;19-apr-95;16:31:00;24.001;30.665;1.0043;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152912;23.8;19-apr-95;16:31:00;23.995;30.6605;1.0129;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152913;23.8;19-apr-95;16:31:00;24;30.6644;1.007;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152914;23.79;19-apr-95;16:31:00;23.987;30.6657;1.0048;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152915;23.77;19-apr-95;16:31:00;23.967;30.6654;1.0082;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152916;23.74;19-apr-95;16:31:00;23.939;30.6615;1.0188;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152917;23.74;19-apr-95;16:31:00;23.939;30.6679;1.0037;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152918;23.73;19-apr-95;16:31:00;23.927;30.6827;0.9795;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152919;23.73;19-apr-95;16:31:00;23.925;30.6954;0.9758;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152920;23.72;19-apr-95;16:31:00;23.914;30.6658;1.006;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152921;23.73;19-apr-95;16:31:00;23.926;30.6613;1.0135;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152922;23.73;19-apr-95;16:31:00;23.921;30.6596;1.0165;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152923;23.71;19-apr-95;16:31:00;23.901;30.6595;1.0164;NaN;NaN;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152924;23.69;19-apr-95;16:31:00;23.889;30.6586;1.0174;NaN;NaN;NaN;NaN
18HU95003_004;CAST#1;43.77817;-57.83517;154454;2903.64;15-may-95;20:22:00;2947.559;34.9346;2.9445;240.0475;16.90248;1.07753;17.69552
18HU95003_004;CAST#1;43.77817;-57.83517;154455;2732.02;15-may-95;20:22:00;2772.221;34.9431;3.1383;278.09782;16.52853;1.09446;18.07051
18HU95003_004;CAST#1;43.77817;-57.83517;154456;2267.9;15-may-95;20:22:00;2298.742;34.9429;3.2491;280.0182;14.28452;1.092;16.19798
