CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18MF01015_572;421;47.58333;-59.34317;217691;250.83;05-jun-01;10:54:00;34.64;6.17;177.5235;18.88;0.07;1.44;20.76;NaN;NaN;2.112
18MF01015_572;421;47.58333;-59.34317;217692;199.82;05-jun-01;10:54:00;34.2;5.3;NaN;14.515;0.1;1.29;17.075;NaN;NaN;2.158
18MF01015_572;421;47.58333;-59.34317;217693;100.63;05-jun-01;10:54:00;32.57;0.69;NaN;3.745;0.085;0.8;5.405;0.37;0.335;2.388
18MF01015_572;421;47.58333;-59.34317;217694;49.77;05-jun-01;10:54:00;31.85;4.43;NaN;0.62;0.025;0.37;0.77;0.4;0.36;2.64
18MF01015_572;421;47.58333;-59.34317;217695;25.29;05-jun-01;10:54:00;31.65;6.9;NaN;0.385;0.005;0.25;0.17;0.435;0.28;2.881
18MF01015_572;421;47.58333;-59.34317;217696;14.77;05-jun-01;10:54:00;31.35;7.19;NaN;0.45;0.015;0.235;0.17;0.765;0.49;3.177
18MF01015_572;421;47.58333;-59.34317;217697;5.45;05-jun-01;10:54:00;31.32;7.2;NaN;0.355;0.01;0.19;0.27;0.795;0.555;3.32
18MF01015_572;421;47.58333;-59.34317;217698;2.48;05-jun-01;10:54:00;31.43;7.17;342.0956;0.51;0.01;0.15;0.145;0.63;0.4;3.193
18MF01015_573;431;47.434;-59.558;217699;463.28;05-jun-01;12:53:00;34.87;5.04;211.9117;23.07;0.01;1.33;20.335;NaN;NaN;2.138
18MF01015_573;431;47.434;-59.558;217700;399.84;05-jun-01;12:53:00;34.87;5.03;NaN;24.81;0.01;1.4;20.35;NaN;NaN;2.073
18MF01015_573;431;47.434;-59.558;217701;299.26;05-jun-01;12:53:00;34.76;5.85;NaN;20.26;0.015;1.48;21.545;NaN;NaN;2.115
18MF01015_573;431;47.434;-59.558;217702;200.61;05-jun-01;12:53:00;34.13;5.46;NaN;13.645;0.07;1.225;16.405;NaN;NaN;2.097
18MF01015_573;431;47.434;-59.558;217703;99.34;05-jun-01;12:53:00;32.51;0.07;NaN;2.83;0.075;0.805;4.785;0.735;0.615;2.505
18MF01015_573;431;47.434;-59.558;217704;51.76;05-jun-01;12:53:00;32.29;0.68;NaN;0.35;0.04;0.575;1.655;0.99;0.795;3.261
18MF01015_573;431;47.434;-59.558;217705;25.29;05-jun-01;12:53:00;32.2;1.37;NaN;0.835;0.035;0.505;1.295;0.575;0.435;2.483
18MF01015_573;431;47.434;-59.558;217706;15.07;05-jun-01;12:53:00;32.16;1.68;NaN;0.68;0.035;0.465;1.12;0.5;0.32;2.587
18MF01015_573;431;47.434;-59.558;217707;4.86;05-jun-01;12:53:00;32.06;3.37;NaN;0.615;0.02;0.38;0.58;0.805;0.625;2.522
18MF01015_573;431;47.434;-59.558;217708;2.68;05-jun-01;12:53:00;31.93;6.19;346.7849;0.48667;0.01;0.295;0.06;0.43;0.255;2.038
18MF01015_574;441;47.2715;-59.78333;217709;449.92;05-jun-01;14:33:00;34.86;5.12;193.8244;34.08;0.02;1.575;23.005;NaN;NaN;2.027
18MF01015_574;441;47.2715;-59.78333;217710;400.44;05-jun-01;14:33:00;34.84;5.16;NaN;30.86;0.015;1.645;21.425;NaN;NaN;2.045
18MF01015_574;441;47.2715;-59.78333;217711;300.06;05-jun-01;14:33:00;34.71;5.44;NaN;25.76;0.015;1.77;20.945;NaN;NaN;2.035
18MF01015_574;441;47.2715;-59.78333;217712;200.32;05-jun-01;14:33:00;34.36;5.98;NaN;19.32;0.04;1.425;18.83;NaN;NaN;2.045
18MF01015_574;441;47.2715;-59.78333;217713;100.83;05-jun-01;14:33:00;32.69;0.44;NaN;3.88;0.075;0.835;4.595;0.265;0.215;2.433
18MF01015_574;441;47.2715;-59.78333;217714;49.48;05-jun-01;14:33:00;32.41;0.39;NaN;1.47;0.065;0.78;4.21;1.58;1.28;3.864
18MF01015_574;441;47.2715;-59.78333;217715;24.69;05-jun-01;14:33:00;32.14;1.4;NaN;1.06;0.035;0.48;0.955;1.1;0.92;4.964
18MF01015_574;441;47.2715;-59.78333;217716;14.48;05-jun-01;14:33:00;31.96;4.84;NaN;0.54;0.015;0.31;0.055;0.485;0.31;2.252
