CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18MF02023_604;261;47.58783;-59.33867;218291;229.34;01-jun-02;18:41:00;34.57;6.22;175.42448;173.7274;11.945;0.035;1.365;16.755;NaN;1.914
18MF02023_604;261;47.58783;-59.33867;218292;202.1;01-jun-02;18:41:00;34.15;5.18;201.55058;NaN;7.95;0.025;1.245;15.9;NaN;1.786
18MF02023_604;261;47.58783;-59.33867;218293;99.04;01-jun-02;18:41:00;32.52;0.83;312.03942;NaN;5.29;0.1;0.875;6.44;1.295;6.247
18MF02023_604;261;47.58783;-59.33867;218294;49.97;01-jun-02;18:41:00;32.1;0.91;336.91504;NaN;2.195;0.085;0.65;3.62;3.525;17.93
18MF02023_604;261;47.58783;-59.33867;218295;25.19;01-jun-02;18:41:00;31.69;3.21;357.99456;NaN;0.445;0.015;0.32;0.38;1.965;19.88
18MF02023_604;261;47.58783;-59.33867;218296;14.58;01-jun-02;18:41:00;31.5;3.86;358.79844;NaN;0.325;0.01;0.31;0.16;1.45;12.715
18MF02023_604;261;47.58783;-59.33867;218297;4.96;01-jun-02;18:41:00;31.36;4.12;357.90524;NaN;0.25;0.01;0.285;0.1;1.32;5.365
18MF02023_604;261;47.58783;-59.33867;218298;2.78;01-jun-02;18:41:00;31.37;4.1;358.75378;360.4062;0.215;0.01;0.295;0.09;1.43;4.834
18MF02023_605;271;47.43467;-59.5555;218299;462.39;01-jun-02;22:36:00;34.86;5.14;170.73518;168.8148;25.485;0.01;1.535;17.225;NaN;1.819
18MF02023_605;271;47.43467;-59.5555;218300;400.34;01-jun-02;22:36:00;34.86;5.16;168.32354;NaN;25.875;0.01;1.58;18.89333;NaN;1.606
18MF02023_605;271;47.43467;-59.5555;218301;300.75;01-jun-02;22:36:00;34.79;5.51;152.91584;NaN;25.03;0.01;1.585;19.42667;NaN;1.472
18MF02023_605;271;47.43467;-59.5555;218302;200.12;01-jun-02;22:36:00;34.65;6.59;167.74296;NaN;15;0.02;1.36;17.03;NaN;1.431
18MF02023_605;271;47.43467;-59.5555;218303;99.93;01-jun-02;22:36:00;32.38;0.38;315.70154;NaN;7.73;0.125;0.925;7.045;0.315;1.815
18MF02023_605;271;47.43467;-59.5555;218304;50.77;01-jun-02;22:36:00;31.82;0.71;354.73438;NaN;3.43;0.08;0.67;2.675;0.435;3.449
18MF02023_605;271;47.43467;-59.5555;218305;25.38;01-jun-02;22:36:00;31.51;0.85;356.92272;NaN;3.03;0.05;0.68;2.025;0.32;3.069
18MF02023_605;271;47.43467;-59.5555;218306;15.07;01-jun-02;22:36:00;31.21;4.22;350.22372;NaN;1.045;0.01;0.44;0.36;1.91;15.105
18MF02023_605;271;47.43467;-59.5555;218307;4.76;01-jun-02;22:36:00;30.93;4.85;342.49754;NaN;1.515;0.02;0.56333;0.555;1.38;12.744
18MF02023_605;271;47.43467;-59.5555;218308;2.38;01-jun-02;22:36:00;30.95;4.82;343.03346;345.8917;1.5;0.02;0.52;0.545;1.38;12.894
18MF02023_606;281;47.2725;-59.78317;218309;454.87;02-jun-02;01:52:00;34.86;5.14;170.73518;169.0381;25.595;0.01;1.505;17.365;NaN;1.772
18MF02023_606;281;47.2725;-59.78317;218310;400.34;02-jun-02;01:52:00;34.85;5.24;167.65364;NaN;25.515;0.01;1.395;12.555;NaN;1.615
18MF02023_606;281;47.2725;-59.78317;218311;301.84;02-jun-02;01:52:00;34.72;5.75;143.3586;NaN;23.785;0.01;1.545;17.375;NaN;1.599
18MF02023_606;281;47.2725;-59.78317;218312;199.13;02-jun-02;01:52:00;34.14;4.89;156.31;NaN;19.075;0.075;1.505;13.76;NaN;1.685
18MF02023_606;281;47.2725;-59.78317;218313;100.93;02-jun-02;01:52:00;32.53;0.69;309.7171;NaN;6.92;0.05;0.895;6.65333;0.05;1.571
18MF02023_606;281;47.2725;-59.78317;218314;49.78;02-jun-02;01:52:00;31.83;1.35;360.8528;NaN;0.525;0.015;0.545;0.29;1.5;6.093
18MF02023_606;281;47.2725;-59.78317;218315;24.49;02-jun-02;01:52:00;31.42;2.65;366.212;NaN;0.745;0.01;0.455;0.2;1.48;11.424
18MF02023_606;281;47.2725;-59.78317;218316;15.37;02-jun-02;01:52:00;31.04;4.24;344.90918;NaN;1.24;0.015;0.76;0.58;0.89;6.899
18MF02023_606;281;47.2725;-59.78317;218317;5.26;02-jun-02;01:52:00;31;4.75;341.29172;NaN;1.415;0.015;0.585;0.61;0.685;5.821
18MF02023_606;281;47.2725;-59.78317;218318;1.79;02-jun-02;01:52:00;30.99;4.99;341.649;342.9888;1.39;0.02;0.575;0.6;0.715;5.784
18MF02023_607;291;47.09983;-59.9905;218319;321.65;02-jun-02;06:47:00;34.8;5.48;149.70032;145.8149;25.5;0.025;1.675;17.97;NaN;1.47
18MF02023_607;291;47.09983;-59.9905;218320;301.35;02-jun-02;06:47:00;34.75;5.62;147.77994;NaN;25.055;0.03;1.59;16.54;NaN;1.354
18MF02023_607;291;47.09983;-59.9905;218321;201.81;02-jun-02;06:47:00;34.31;5.36;157.73912;NaN;19.245;0.1;1.57;17.655;NaN;1.428
18MF02023_607;291;47.09983;-59.9905;218322;99.24;02-jun-02;06:47:00;32.3;0.36;316.23746;NaN;5.7;0.075;0.91;5.96;0.05;1.391
18MF02023_607;291;47.09983;-59.9905;218323;50.57;02-jun-02;06:47:00;31.85;1.23;362.14794;NaN;1.055;0.03;0.58;0.975;0.335;2.695
18MF02023_607;291;47.09983;-59.9905;218324;24.99;02-jun-02;06:47:00;31.32;2.53;366.52462;NaN;0.53;0.01;0.45;0.085;5.28;44.265
18MF02023_607;291;47.09983;-59.9905;218325;15.27;02-jun-02;06:47:00;31.07;5.12;352.94798;NaN;0.45;0.01;0.4;0.095;1.92;15.823
18MF02023_607;291;47.09983;-59.9905;218326;5.16;02-jun-02;06:47:00;30.96;5.37;347.27616;NaN;0.76;0.015;0.43;0.285;1.585;11.452
18MF02023_607;291;47.09983;-59.9905;218327;2.58;02-jun-02;06:47:00;30.96;5.37;347.05286;344.1053;0.885;0.015;0.455;0.31;1.55;11.288
18MF02023_608;301;47.02167;-60.11583;218328;171.39;02-jun-02;09:16:00;33.89;4.15;169.0381;167.475;19.095;0.1;1.55;17.065;NaN;1.589
18MF02023_608;301;47.02167;-60.11583;218329;100.24;02-jun-02;09:16:00;32.84;1.85;268.13864;NaN;10.7;0.14;1.11;8.87;0.085;1.534
18MF02023_608;301;47.02167;-60.11583;218330;51.17;02-jun-02;09:16:00;31.67;0.38;357.59262;NaN;2.2;0.04;0.67;1.63;0.245;2.207
18MF02023_608;301;47.02167;-60.11583;218331;26.18;02-jun-02;09:16:00;31.13;2.98;340.21988;NaN;1.84;0.02;0.575;0.79;0.285;4.142
18MF02023_608;301;47.02167;-60.11583;218332;15.17;02-jun-02;09:16:00;31.12;4.04;340.62182;NaN;1.535;0.03;0.615;0.84;0.56;5.441
