CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CHL_01;PO4_01;OXYM_01;NO3_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18MT71044_444;F1181;47.92722;-69.58667;429;0;23-sep-71;16:40:00;0.9;0.69;299.13268;7.63
18MT71044_444;F1181;47.92722;-69.58667;430;5;23-sep-71;16:40:00;NaN;0.69;295.60454;8.3
18MT71044_444;F1181;47.92722;-69.58667;431;10;23-sep-71;16:40:00;NaN;0.73;291.6298;5.6
18MT71044_444;F1181;47.92722;-69.58667;432;15;23-sep-71;16:40:00;NaN;0.86;288.10166;6.93
18MT71044_444;F1181;47.92722;-69.58667;433;20;23-sep-71;16:40:00;NaN;0.8;271.62212;9.93
18MT71044_445;F1721;47.97861;-69.71667;416;0;23-sep-71;12:00:00;0.55;0.91;287.11914;7
18MT71044_445;F1721;47.97861;-69.71667;417;5;23-sep-71;12:00:00;NaN;0.76;280.59878;6.23
18MT71044_445;F1721;47.97861;-69.71667;418;10;23-sep-71;12:00:00;NaN;1.05;279.125;7.05
18MT71044_445;F1721;47.97861;-69.71667;419;15;23-sep-71;12:00:00;NaN;1.05;278.58908;10
18MT71044_445;F1721;47.97861;-69.71667;420;24;23-sep-71;12:00:00;NaN;0.72;271.0862;5.83
18MT71044_445;F1721;47.97861;-69.71667;421;48;23-sep-71;12:00:00;NaN;0.84;224.59514;5.6
18MT71044_446;F4831;47.80444;-69.84222;422;0;23-sep-71;14:20:00;0.6;1.15;290.11136;8.2
18MT71044_446;F4831;47.80444;-69.84222;423;5;23-sep-71;14:20:00;NaN;NaN;283.09974;6.85
18MT71044_446;F4831;47.80444;-69.84222;424;10;23-sep-71;14:20:00;NaN;NaN;277.1153;7.68
18MT71044_446;F4831;47.80444;-69.84222;425;15;23-sep-71;14:20:00;NaN;NaN;278.58908;4.83
18MT71044_446;F4831;47.80444;-69.84222;426;25;23-sep-71;14:20:00;NaN;NaN;283.09974;7.75
18MT71044_446;F4831;47.80444;-69.84222;427;50;23-sep-71;14:20:00;NaN;0.84;274.61434;10.13
18MT71044_446;F4831;47.80444;-69.84222;428;75;23-sep-71;14:20:00;NaN;0.87;277.1153;7.8
