CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18NA97052_002;CAST#1;45.656;-60.8565;180701;25;25-sep-97;11:45:00;21.978;4.026;NaN;19.57;0.066;2.2655;11.645
18NA97052_002;CAST#1;45.656;-60.8565;180702;15;25-sep-97;11:45:00;22.026;4.586;138.49066;14.355;0.122;1.6325;6.36
18NA97052_002;CAST#1;45.656;-60.8565;180703;5;25-sep-97;11:45:00;21.292;15.211;265.81632;2.32;0.037;0.1215;0
18NA97052_002;CAST#1;45.656;-60.8565;180704;1;25-sep-97;11:45:00;21.292;15.209;266.12894;2.51;0.037;0.1175;0
18NA97052_003;CAST#1;45.8738;-61.0687;180726;5;25-sep-97;18:02:00;21.27;15.175;NaN;4.68;0.056;0.275;0.01
18NA97052_003;CAST#1;45.8738;-61.0687;180727;1;25-sep-97;18:02:00;21.091;15.035;263.22604;5.01;0.056;0.3085;0.02
18NA97052_014;CAST#1;45.8923;-61;180728;4;25-sep-97;18:54:00;20.228;14.858;275.3289;3.555;0.056;0.102;0.02
18NA97052_014;CAST#1;45.8923;-61;180729;1;25-sep-97;18:54:00;20.23;14.864;276.04346;3.76;0.056;0.1095;0.01
18NA97052_080;CAST#1;45.9098;-61.0295;180730;0;26-sep-97;16:57:00;NaN;NaN;NaN;34.86;0.017;0.0775;0.19
18NA97052_091;CAST#1;45.9015;-61.09;180731;0;26-sep-97;17:22:00;NaN;NaN;NaN;6.635;0.069;0.2495;0.15
18NA97052_102;CAST#1;45.8888;-61.1097;180732;0;26-sep-97;17:42:00;NaN;NaN;NaN;17.455;0.04;0.0635;0.11
