CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18NE14101_002;1;44.03322;-63.66291;397815;175.54;08-mar-14;02:05:00;175.541;34.7749;9.9684;3.2445;0.0222;13.745;1.292;17.555;34.785;0.06;3.76
18NE14101_002;1;44.03366;-63.66603;397816;50.57;08-mar-14;02:10:00;50.574;32.1291;2.2597;6.3925;0.0851;8.41;0.9385;8.43;NaN;0.05;NaN
18NE14101_002;1;44.03376;-63.66675;397817;25.37;08-mar-14;02:11:00;25.374;31.6118;0.6152;7.5185;0.93111;5.625;0.729;5.555;NaN;0.165;NaN
18NE14101_002;1;44.03384;-63.66719;397818;5.03;08-mar-14;02:12:00;5.032;31.316;-0.3393;7.7432;0.51542;6.265;0.762;5.705;NaN;0.205;8.0345
18NE14101_003;10;42.8584;-64.0355;397851;106.31;09-mar-14;19:17:00;106.31;33.612;6.7908;4.4166;0.0259;11.675;1.13;12.94;33.623;0.13;4.939
18NE14101_003;10;42.85836;-64.03572;397852;50.79;09-mar-14;19:20:00;50.799;32.0169;2.5617;6.6438;0.15518;6.55;0.8195;7.265;NaN;0.25;NaN
18NE14101_003;10;42.8583;-64.03584;397853;24.78;09-mar-14;19:21:00;24.782;31.4863;0.9441;7.417;0.66252;7.645;0.7415;5.645;NaN;0.19;NaN
18NE14101_003;10;42.85826;-64.03595;397854;4.74;09-mar-14;19:23:00;4.748;31.1669;1.0477;7.4484;0.48771;6.26;0.739;5.645;NaN;0.155;7.871
18NE14101_014;11;42.87882;-63.78654;397855;144.7;09-mar-14;21:04:00;144.706;35.1452;10.5736;3.2;0.0185;11;1.283;17.415;35.103;0.04;3.7525
18NE14101_014;11;42.87847;-63.78543;397856;48.99;09-mar-14;21:08:00;48.997;32.2243;3.1967;6.3763;0.11655;6.485;0.8435;7.4;NaN;0.11;NaN
18NE14101_014;11;42.87836;-63.78506;397857;24.79;09-mar-14;21:09:00;24.799;31.8149;2.1226;6.7952;0.19951;6.77;0.8435;6.83;NaN;0.125;NaN
18NE14101_014;11;42.87826;-63.78476;397858;5.25;09-mar-14;21:10:00;5.257;31.3454;0.4889;7.5302;0.46554;6.265;0.7845;5.89;NaN;0.18;7.8985
18NE14101_025;12;42.76046;-63.47921;397859;617.08;10-mar-14;02:57:00;617.088;34.9963;5.921;4.436;0.0111;12.545;1.3815;19.495;35.017;0.055;4.9785
18NE14101_025;12;42.7577;-63.47366;397860;49.58;10-mar-14;03:16:00;49.589;33.533;6.658;4.5698;0.10545;10.485;1.046;11.76;NaN;0.1;NaN
18NE14101_025;12;42.75756;-63.47343;397861;24.71;10-mar-14;03:17:00;24.716;32.243;3.406;6.4057;0.31036;6.555;0.831;7.245;NaN;0.16;NaN
18NE14101_025;12;42.75746;-63.47321;397862;5.32;10-mar-14;03:18:00;5.323;31.8718;2.2648;7.2222;1.03854;5.3;0.724;5.74;NaN;0.155;7.65
18NE14101_036;13;42.8072;-63.75448;397863;267.91;10-mar-14;07:56:00;267.917;35.2488;10.5347;3.1108;0.01295;11.555;1.4035;20.17;35.269;0.105;3.63
18NE14101_036;13;42.8069;-63.75286;397864;50.16;10-mar-14;08:05:00;50.165;33.3411;6.1953;4.8799;0.1184;10.045;1.069;11.06;NaN;0.205;NaN
18NE14101_036;13;42.80684;-63.75255;397865;24.49;10-mar-14;08:07:00;24.491;31.8729;2.1442;7.0867;0.26048;5.57;0.7525;5.695;NaN;0.195;NaN
18NE14101_036;13;42.8068;-63.75233;397866;5.09;10-mar-14;08:08:00;5.09;31.6048;1.1873;7.2861;0.65952;5.895;0.7795;5.675;NaN;0.2;7.573
18NE14101_047;14;43.30312;-65.223;397867;144.8;11-mar-14;17:01:00;144.806;33.9022;7.9052;4.3885;0.01665;10.83;1.1215;12.25;33.917;0.105;4.869
18NE14101_047;14;43.30296;-65.22411;397868;50.57;11-mar-14;17:04:00;50.574;31.5605;1.7027;7.1139;0.26602;6.065;0.7945;5.935;NaN;0.155;NaN
18NE14101_047;14;43.30292;-65.22446;397869;24.67;11-mar-14;17:05:00;24.674;31.4611;1.3811;7.3195;0.55422;6.015;0.7835;5.755;NaN;0.165;NaN
18NE14101_047;14;43.30286;-65.22472;397870;5.14;11-mar-14;17:06:00;5.14;31.4386;1.424;7.3566;0.59301;6.005;0.7635;5.52;NaN;0.155;7.787
18NE14101_058;15;42.79783;-65.97257;397871;79.66;12-mar-14;01:07:00;79.663;32.6232;4.6999;6.3448;0.4212;6.77;0.887;8.905;32.645;0.165;6.6695
18NE14101_058;15;42.79794;-65.97196;397872;50.69;12-mar-14;01:08:00;50.698;32.6231;4.7003;6.3555;0.34915;6.72;0.8835;8.83;NaN;0.175;NaN
18NE14101_058;15;42.79804;-65.97145;397873;25.14;12-mar-14;01:10:00;25.149;32.6208;4.7263;6.3764;0.4212;6.765;0.8805;8.84;NaN;0.185;NaN
18NE14101_058;15;42.7981;-65.97104;397874;4.99;12-mar-14;01:11:00;4.998;32.6228;4.7336;6.3764;0.53205;6.785;0.9545;8.84;NaN;0.205;6.7665
18NE14101_080;17;42.68643;-66.09678;397875;68.19;12-mar-14;09:30:00;68.194;32.501;4.4266;6.4587;0.47662;6.535;0.869;8.465;32.523;0.17;6.898
18NE14101_080;17;42.68686;-66.09696;397876;50.42;12-mar-14;09:31:00;50.424;32.5018;4.4234;6.4557;0.47108;6.52;0.8515;8.315;NaN;0.145;NaN
18NE14101_080;17;42.68734;-66.0971;397877;25.19;12-mar-14;09:32:00;25.199;32.499;4.4179;6.4598;0.47663;6.595;0.8625;8.16;NaN;0.16;NaN
18NE14101_080;17;42.68771;-66.09718;397878;4.49;12-mar-14;09:33:00;4.498;32.4619;4.3336;6.4885;0.49879;6.52;0.866;8.19;NaN;0.205;6.924
18NE14101_091;18;42.63412;-66.31475;397880;106.91;12-mar-14;10:58:00;106.919;34.2745;8.9973;4.7812;0.0814;7.525;0.9735;12.065;34.237;0.095;5.3175
18NE14101_091;18;42.6352;-66.31636;397881;50.69;12-mar-14;11:01:00;50.69;32.5525;4.7231;5.9941;0.1258;7.5;0.9175;8.755;NaN;0.04;NaN
18NE14101_091;18;42.63546;-66.31683;397882;24.67;12-mar-14;11:02:00;24.674;31.5877;2.1392;7.1091;0.49325;6.23;0.784;6.39;NaN;0.135;NaN
18NE14101_091;18;42.63576;-66.31735;397883;3.54;12-mar-14;11:02:00;3.54;31.5551;2.0969;7.1829;0.59301;5.995;0.754;5.695;NaN;0.125;7.5385
18NE14101_102;19;42.87366;-66.72496;397884;214.8;12-mar-14;19:18:00;214.802;34.8255;9.853;3.9203;0.0259;9.615;1.177;15.845;34.847;0.085;4.399
18NE14101_102;19;42.87436;-66.72666;397885;50.25;12-mar-14;19:24:00;50.257;33.0905;5.2485;6.2977;0.2771;6.07;0.8675;9.185;NaN;0.18;NaN
18NE14101_102;19;42.87446;-66.72696;397886;25.75;12-mar-14;19:25:00;25.758;32.4327;3.9695;6.6143;0.37686;6.095;0.796;7.495;NaN;0.175;NaN
18NE14101_102;19;42.87458;-66.72725;397887;5.13;12-mar-14;19:26:00;5.132;31.5757;2.1467;7.2533;0.59301;5.74;0.7325;5.415;NaN;0.125;7.601
18NE14101_113;2;44.02791;-63.47234;397819;192.11;08-mar-14;08:51:00;192.114;35.0663;10.5713;2.9608;0.0111;13.78;1.347;18.435;35.078;0.045;3.468
