CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18NE17002_002;1;43.54297;-64.24113;436837;197.96;04-mar-17;09:32:00;197.96;35.0939;10.8193;2.3081;7.715;0.01477;18.115;1.5115;19.71;35.081;0.005;2.757
18NE17002_002;1;43.543;-64.24006;436838;50.74;04-mar-17;09:36:00;50.742;31.2487;1.3357;7.2295;7.8;0.32767;6.79;0.7615;5.26;NaN;0.1;NaN
18NE17002_002;1;43.543;-64.23976;436839;26.53;04-mar-17;09:37:00;26.531;31.2156;1.3021;7.268;7.794;0.34132;6.755;0.7495;5.155;NaN;0.09;NaN
18NE17002_002;1;43.54298;-64.23948;436840;6.35;04-mar-17;09:37:00;6.359;31.216;1.2917;7.2856;7.798;0.36521;6.96;0.8045;5.285;NaN;0.135;7.966
18NE17002_225;3;43.26222;-65.02587;436841;162.14;04-mar-17;19:48:00;162.147;32.9906;5.9565;4.8569;7.793;0.06567;10.475;1.034;9.685;32.983;0.035;5.4495
18NE17002_225;3;43.26184;-65.02514;436842;49.45;04-mar-17;19:50:00;49.454;31.4924;1.7698;7.0344;7.851;0.31401;6.635;0.7615;5.17;NaN;0.095;NaN
18NE17002_225;3;43.26172;-65.02491;436843;24.59;04-mar-17;19:51:00;24.598;31.3863;1.6096;7.2078;7.846;0.40276;6.63;0.738;4.545;NaN;0.09;NaN
18NE17002_225;3;43.26164;-65.0247;436844;4.03;04-mar-17;19:51:00;4.036;31.3847;1.5927;7.2209;7.849;0.40276;6.61;0.738;5.145;NaN;0.095;7.8495
18NE17002_264;5;42.10532;-68.97854;436845;133.62;06-mar-17;14:37:00;133.627;33.3206;7.0513;5.9505;7.736;0.35497;7.72;0.894;9.465;33.311;0.07;6.6805
18NE17002_264;5;42.10416;-68.97798;436846;50.16;06-mar-17;14:41:00;50.168;32.8842;5.7393;6.3466;7.763;0.75581;6.58;0.8;8.045;NaN;0.125;NaN
18NE17002_264;5;42.10394;-68.97786;436847;24.47;06-mar-17;14:41:00;24.472;32.8028;5.516;6.3893;7.765;0.77188;6.44;0.785;7.12;NaN;0.115;NaN
18NE17002_264;5;42.10366;-68.97774;436848;4.93;06-mar-17;14:42:00;4.938;32.8029;5.5215;6.4116;7.766;0.77188;6.42;0.793;7.57;NaN;0.125;6.948
18NE17002_284;9;41.1993;-69.1962;436849;82.7;07-mar-17;03:39:00;82.703;33.1985;6.3844;6.398;7.763;1.31864;6.925;0.8695;8.44;33.191;0.125;6.972
18NE17002_284;9;41.1993;-69.1962;436850;5.46;07-mar-17;03:34:00;5.465;33.2;6.373;5.0608;8.016;1.30256;6.935;0.8595;8.69;NaN;0.13;6.9575
18NE17002_304;10;40.8493;-69.2269;436851;59.49;07-mar-17;06:31:00;59.497;33.2157;6.2505;6.4784;7.756;1.36688;5.985;0.8605;8.52;33.207;0.125;6.996
18NE17002_304;10;40.8493;-69.2269;436852;5.6;07-mar-17;06:22:00;5.606;33.2179;6.2672;6.224;8.03;1.25431;6.395;0.8375;8.555;NaN;0.145;6.97
18NE17002_315;11;40.7771;-69.8322;436853;34.85;07-mar-17;11:05:00;34.85;32.9165;5.1834;6.9676;7.805;5.02556;0.15;0.529;2.36;32.909;0.085;7.5155
18NE17002_315;11;40.7771;-69.8322;436854;5.56;07-mar-17;10:58:00;5.566;32.9132;5.1723;6.4008;8.047;4.74441;0.14;0.518;2.26;NaN;0.11;7.448
18NE17002_326;12;40.5091;-69.751;436855;66.16;07-mar-17;13:29:00;66.169;33.1325;5.9409;6.7598;7.836;1.47604;0.47;0.641;4.52;33.123;0.105;7.313
18NE17002_326;12;40.5091;-69.751;436856;4.67;07-mar-17;13:32:00;4.678;33.1337;5.9286;6.2274;7.834;1.19489;0.405;0.643;4.805;NaN;0.115;7.309
18NE17002_339;HL_02;44.2728;-63.3265;436857;159.22;08-mar-17;23:11:00;159.227;32.2498;3.1881;6.4567;7.801;0.15018;7.325;0.8245;6.145;32.239;0.125;7.2
18NE17002_339;HL_02;44.2728;-63.3265;436858;101.19;08-mar-17;23:06:00;101.19;32.0077;2.308;6.7357;7.847;0.13311;7.19;0.834;5.965;NaN;0.12;NaN
18NE17002_339;HL_02;44.2728;-63.3265;436859;76.7;08-mar-17;23:06:00;76.7;31.9543;2.1541;6.7945;7.854;0.19455;7.095;0.842;5.95;NaN;0.09;NaN
18NE17002_339;HL_02;44.2728;-63.3265;436860;50.76;08-mar-17;23:05:00;50.764;31.5568;1.1984;7.2272;7.876;0.21161;6.935;0.7525;4.77;NaN;0.115;NaN
18NE17002_339;HL_02;44.2728;-63.3265;436861;40.41;08-mar-17;23:05:00;40.416;31.1129;0.3221;7.2272;7.895;0.36521;7.005;0.8095;4.89;31.094;0.185;8.3
18NE17002_339;HL_02;44.2728;-63.3265;436862;31.43;08-mar-17;23:05:00;31.435;31.0924;0.3125;7.6514;7.899;0.3618;6.915;0.7315;4.9;NaN;0.115;NaN
18NE17002_339;HL_02;44.2728;-63.3265;436863;20.8;08-mar-17;23:04:00;20.802;31.0913;0.3118;7.6492;7.903;0.33449;6.965;0.773;4.945;NaN;0.135;NaN
18NE17002_339;HL_02;44.2728;-63.3265;436864;10.29;08-mar-17;22:57:00;10.293;31.0924;0.3078;7.6642;8.089;0.32084;6.99;0.9125;5.005;NaN;0.15;NaN
18NE17002_339;HL_02;44.2728;-63.3265;436865;5.6;08-mar-17;22:57:00;5.604;31.0911;0.3127;7.6646;8.109;0.32084;7;0.8505;5.015;NaN;0.19;NaN
18NE17002_339;HL_02;44.2728;-63.3265;436866;1.87;08-mar-17;22:57:00;1.871;31.0904;0.6829;7.6636;8.184;0.41641;7.17;0.763;4.83;31.094;0.14;8.2
