CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18NE95031_447;161;47.7575;-59.5595;241;1.59;12-aug-95;16:12:00;30.64;17.3;259.9212;NaN;1.03;0.10333;1.20667;0.47667;0.17;0.24
18NE95031_447;161;47.7575;-59.5595;242;5.55;12-aug-95;16:12:00;30.64;17.3;276.80268;260.1445;1.11;0.09;1.31;0.42;0.18;0.25
18NE95031_447;161;47.7575;-59.5595;243;15.27;12-aug-95;16:12:00;31.52;6.45;313.60252;326.9112;1.53;0.1;1.84;0.64;0.85;0.76667
18NE95031_447;161;47.7575;-59.5595;244;60.08;12-aug-95;16:12:00;32.09;0.45;352.85866;344.3286;3.27;0.3;5.56;0.98;0.1;0.16
18NE95031_447;161;47.7575;-59.5595;245;322.62;12-aug-95;16:12:00;34.72;5.68;155.95272;170.6012;24.7;0.15;25.03;1.82;0.01;0.03
18NE95031_448;211;47.51133;-58.88667;246;0.5;13-aug-95;00:43:00;31.17;17.31;257.37558;NaN;1.86333;0.10667;1.71333;0.44667;0.09;0.11
18NE95031_448;211;47.51133;-58.88667;247;5.06;13-aug-95;00:43:00;31.17;17.31;271.9794;262.6008;0.99;0.11;1.57;0.43;0.1;0.11
18NE95031_448;211;47.51133;-58.88667;248;14.28;13-aug-95;00:43:00;31.45;12.71;297.70356;317.3093;0.94;0.1;1.88;0.49;0.16667;0.22333
18NE95031_448;211;47.51133;-58.88667;249;59.59;13-aug-95;00:43:00;32.22;0.88;392.47208;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18NE95031_448;211;47.51133;-58.88667;250;159.79;13-aug-95;00:43:00;33.24;2.22;286.58322;252.7756;13.63;0.15;15.47;1.47;0.01;0.05
18NE95031_449;251;47.44083;-58.63633;258;1.78;13-aug-95;07:59:00;31.28;16.7;271.39882;NaN;0.78667;0.1;1.63;0.37;0.08;0.1
18NE95031_449;251;47.44083;-58.63633;259;4.96;13-aug-95;07:59:00;31.28;16.69;288.32496;264.6105;0.75;0.08;1.47;0.38;0.11;0.13
18NE95031_449;251;47.44083;-58.63633;260;14.87;13-aug-95;07:59:00;31.8;8.77;332.40438;334.0568;0.48;0.09;1.38;0.45;0.15;0.21
18NE95031_449;251;47.44083;-58.63633;261;49.68;13-aug-95;07:59:00;32.13;1.3;372.77702;347.2315;0.62;0.29;3.83;0.92;0.15;0.25
18NE95031_449;251;47.44083;-58.63633;262;148.3;13-aug-95;07:59:00;32.85;0.95;337.36164;297.4356;9.46;0.22;11.23;1.29;0.03;0.08
18NE95031_450;271;47.28733;-59.181;263;0.99;13-aug-95;12:17:00;NaN;16.38;NaN;NaN;1.33333;0.11333;1.32333;0.42;0.2;0.28
18NE95031_450;271;47.28733;-59.181;264;4.96;13-aug-95;12:17:00;31.12;16.37;302.03558;268.4066;0.89;0.07;1.96;0.35;0.24;0.31
18NE95031_450;271;47.28733;-59.181;265;14.87;13-aug-95;12:17:00;31.71;7.55;326.64324;333.3869;1.35;0.08;1.82;0.46;0.24667;0.33667
18NE95031_450;271;47.28733;-59.181;266;59.49;13-aug-95;12:17:00;32.18;0.35;359.87028;345.4451;3.38;0.26;5.83;1.04;0.09;0.15
18NE95031_450;271;47.28733;-59.181;267;416.08;13-aug-95;12:17:00;34.84;5.08;159.07892;178.64;30.32;0.09;24.32;1.88;0.01;0.01
18NE95031_451;81;47.79033;-60.49517;231;1.69;11-aug-95;21:13:00;29.47;18.32;262.69012;NaN;2.35;0.10333;1.73667;0.42;0.13;0.19
18NE95031_451;81;47.79033;-60.49517;232;5.16;11-aug-95;21:13:00;29.65;18.14;290.29;271.7561;1.18;0.08;1.75;0.38;0.16;0.23
18NE95031_451;81;47.79033;-60.49517;233;14.77;11-aug-95;21:13:00;30.61;11.24;337.13834;303.2414;0.93;0.11;1.74;0.47;0.16;0.21667
18NE95031_451;81;47.79033;-60.49517;234;99.44;11-aug-95;21:13:00;32.19;0.25;351.60818;342.0956;3.57;0.23;6.4;1.05;0.04;0.09
18NE95031_451;81;47.79033;-60.49517;235;348.46;11-aug-95;21:13:00;34.75;5.34;144.51976;162.1158;30.49;0.1;23.83;1.96;0.01;0.03
