CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18OL03019_652;291;47.584;-59.34117;233772;244.59;13-jun-03;05:07:00;34.24;5.18;198.5137;192.038;19.135;0.115;1.395;18.655;NaN;1.414
18OL03019_652;291;47.584;-59.34117;233773;199.12;13-jun-03;05:07:00;33.61;2.99;266.3969;NaN;15.27;0.105;1.265;14.375;NaN;1.449
18OL03019_652;291;47.584;-59.34117;233774;99.93;13-jun-03;05:07:00;32.61;-0.43;343.56938;NaN;5.46;0.07;0.935;6.375;0.03;1.466
18OL03019_652;291;47.584;-59.34117;233775;50.96;13-jun-03;05:07:00;32.34;-0.49;367.5518;NaN;2.695;0.09;0.75;3.74;0.035;1.776
18OL03019_652;291;47.584;-59.34117;233776;25.29;13-jun-03;05:07:00;32.1;0.8;346.3383;NaN;0.89667;0.045;0.48;0.595;0.14;3.528
18OL03019_652;291;47.584;-59.34117;233777;14.87;13-jun-03;05:07:00;31.82;3.2;333.20826;NaN;0.95667;0.04;0.395;0.33;0.335;8.257
18OL03019_652;291;47.584;-59.34117;233778;5.06;13-jun-03;05:07:00;31.64;4.7;330.75196;NaN;1.17333;0.03;0.365;0.23;0.45;10.157
18OL03019_652;291;47.584;-59.34117;233779;1.69;13-jun-03;05:07:00;31.61;4.88;330.12672;342.5422;1.27333;0.035;0.37;0.33;0.6;10.609
18OL03019_653;301;47.43333;-59.558;233780;468.12;13-jun-03;07:40:00;34.88;5.22;162.16046;175.7371;30.31;0.055;1.585;21.665;NaN;1.456
18OL03019_653;301;47.43333;-59.558;233781;399.35;13-jun-03;07:40:00;34.87;5.28;158.40902;NaN;29.93;0.05;1.63;21.94;NaN;1.333
18OL03019_653;301;47.43333;-59.558;233782;299.16;13-jun-03;07:40:00;34.79;5.93;150.99546;NaN;25.38;0.055;1.61;22.725;NaN;1.294
18OL03019_653;301;47.43333;-59.558;233783;201.6;13-jun-03;07:40:00;34.29;5.52;195.29818;NaN;18.025;0.07;1.44;19.25;NaN;1.312
18OL03019_653;301;47.43333;-59.558;233784;99.93;13-jun-03;07:40:00;32.72;-0.34;346.87422;NaN;5.95;0.09;0.94;7.47;0.02;1.302
18OL03019_653;301;47.43333;-59.558;233785;50.96;13-jun-03;07:40:00;32.23;-0.49;349.9111;NaN;4.37667;0.11;0.88;4.955;0.045;1.755
18OL03019_653;301;47.43333;-59.558;233786;25.38;13-jun-03;07:40:00;31.76;0.36;358.12854;NaN;2.79667;0.07;0.765;2.7;0.825;12.103
18OL03019_653;301;47.43333;-59.558;233787;15.37;13-jun-03;07:40:00;31.38;4.55;347.36548;NaN;1.61;0.035;0.475;0.42;0.895;12.3
18OL03019_653;301;47.43333;-59.558;233788;5.06;13-jun-03;07:40:00;31.3;5.12;345.57908;NaN;1.56667;0.045;0.445;0.31;1.015;12.848
18OL03019_653;301;47.43333;-59.558;233789;1.49;13-jun-03;07:40:00;31.3;5.13;345.40044;341.8723;1.44333;0.02;0.435;0.16;1.05;12.687
18OL03019_654;311;47.27217;-59.78367;233790;458.14;13-jun-03;10:50:00;34.89;5.22;162.7857;177.3002;30.155;0.06;1.605;21.34;NaN;1.424
18OL03019_654;311;47.27217;-59.78367;233791;399.75;13-jun-03;10:50:00;34.87;5.26;156.57796;NaN;28.93;0.06;1.6;21.65;NaN;1.354
18OL03019_654;311;47.27217;-59.78367;233792;302.34;13-jun-03;10:50:00;34.81;5.74;153.1838;NaN;27.15;0.01;1.645;22.915;NaN;1.348
18OL03019_654;311;47.27217;-59.78367;233793;200.52;13-jun-03;10:50:00;34.46;6.04;183.5526;NaN;18.295;0.03;1.475;19.705;NaN;1.321
18OL03019_654;311;47.27217;-59.78367;233794;99.84;13-jun-03;10:50:00;32.9;0.33;321.15006;NaN;8.92;0.065;1.07;9.67;0.03;1.341
18OL03019_654;311;47.27217;-59.78367;233795;49.97;13-jun-03;10:50:00;32.31;-0.45;341.24706;NaN;5.04;0.075;0.905;6.115;0.045;1.918
18OL03019_654;311;47.27217;-59.78367;233796;24.69;13-jun-03;10:50:00;31.87;-0.07;351.42954;NaN;4.01333;0.065;0.905;3.68;0.045;12.916
18OL03019_654;311;47.27217;-59.78367;233797;14.68;13-jun-03;10:50:00;31.28;5.37;335.88786;NaN;1.51333;0.015;0.43;0.05;0.87;10.071
18OL03019_654;311;47.27217;-59.78367;233798;5.35;13-jun-03;10:50:00;31.29;5.41;337.00436;NaN;1.40333;0.02;0.43;0.04;0.66;4.206
18OL03019_654;311;47.27217;-59.78367;233799;1.19;13-jun-03;10:50:00;31.29;5.41;NaN;342.7655;1.60667;0.03;0.41;0.085;0.86;4.023
18OL03019_655;321;47.10017;-59.99167;233800;323.53;13-jun-03;13:18:00;34.81;5.55;135.05184;150.9508;31.28;0.055;1.69;22.24;NaN;1.448
18OL03019_655;321;47.10017;-59.99167;233801;300.06;13-jun-03;13:18:00;34.66;5.84;126.56644;NaN;29.465;0.065;1.715;22.335;NaN;1.419
18OL03019_655;321;47.10017;-59.99167;233802;199.63;13-jun-03;13:18:00;34.2;5.01;170.42256;NaN;23.38;0.105;1.555;20;NaN;1.413
18OL03019_655;321;47.10017;-59.99167;233803;99.94;13-jun-03;13:18:00;32.92;0.52;304.17926;NaN;8.75;0.065;1.055;10.045;0.01;1.361
18OL03019_655;321;47.10017;-59.99167;233804;49.98;13-jun-03;13:18:00;32.23;-0.73;333.43156;NaN;6.645;0.11;0.935;6.395;0.075;2.522
18OL03019_655;321;47.10017;-59.99167;233805;25.19;13-jun-03;13:18:00;31.58;2.8;334.14612;NaN;1.59333;0.035;0.46;0.8;0.39;6.102
18OL03019_655;321;47.10017;-59.99167;233806;15.17;13-jun-03;13:18:00;31.35;5.6;319.00638;NaN;1.26333;0.03;0.37;0.14;0.385;5.669
18OL03019_655;321;47.10017;-59.99167;233807;5.36;13-jun-03;13:18:00;31.35;5.75;317.57726;NaN;1.83333;0.03;0.355;0.1;0.39;2.645
18OL03019_655;321;47.10017;-59.99167;233808;0.89;13-jun-03;13:18:00;31.35;5.8;317.086;333.6102;0.82;0.02;0.365;0.105;0.425;2.216
18OL03019_656;331;47.0235;-60.1165;233809;175.95;13-jun-03;15:05:00;33.77;3.6;216.46702;208.7855;19.08;0.135;1.395;16.805;NaN;1.387
18OL03019_656;331;47.0235;-60.1165;233810;99.94;13-jun-03;15:05:00;32.73;-0.04;322.6685;NaN;8.49;0.11;1.035;9;0.01;1.265
18OL03019_656;331;47.0235;-60.1165;233811;50.97;13-jun-03;15:05:00;31.98;-0.56;348.30334;NaN;6.36;0.14667;0.995;5.11;0.075;2.245
18OL03019_656;331;47.0235;-60.1165;233812;25.68;13-jun-03;15:05:00;31.51;4.25;334.59272;NaN;1.73667;0.07;0.475;0.29;1.345;22.751
18OL03019_656;331;47.0235;-60.1165;233813;15.27;13-jun-03;15:05:00;31.2;6.25;319.85492;NaN;1.5;0.045;0.4;0.12;0.72;6.737
