CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL05601_002;STN27;47.5467;-52.5867;259567;170;30-apr-05;18:59:00;171.78;33.03;278.2;-0.35;12.22;1.46;9.61;NaN
18TL05601_002;STN27;47.5467;-52.5867;259568;148;30-apr-05;18:59:00;149.19;32.88;318;-0.85;7.26;1.16;7.36;1.43
18TL05601_002;STN27;47.5467;-52.5867;259569;99;30-apr-05;18:59:00;99.96;32.68;339.4;-1.25;2.2;0.78;4.47;2.45
18TL05601_002;STN27;47.5467;-52.5867;259570;74;30-apr-05;18:59:00;74.93;32.61;349.2;-1.15;2;0.7;3.56;2.13
18TL05601_002;STN27;47.5467;-52.5867;259571;49;30-apr-05;18:59:00;49.79;32.46;359.5;-0.88;1.56;0.54;1.34;1.8
18TL05601_002;STN27;47.5467;-52.5867;259572;39;30-apr-05;18:59:00;39.47;32.43;363.5;-0.77;1.1;0.34;0.78;2.23
18TL05601_002;STN27;47.5467;-52.5867;259573;30;30-apr-05;18:59:00;30.51;32.39;371.1;-0.64;1.08;0.31;0.47;1.47
18TL05601_002;STN27;47.5467;-52.5867;259574;20;30-apr-05;18:59:00;19.95;32.32;382.3;-0.05;1.57;0.33;0.94;0.95
18TL05601_002;STN27;47.5467;-52.5867;259575;9;30-apr-05;18:59:00;9.39;32.27;372.9;0.54;1.93;0.5;1.2;0.82
18TL05601_002;STN27;47.5467;-52.5867;259576;5;30-apr-05;18:59:00;5.24;32.17;371.1;0.65;1.11;0.39;2.17;0.84
18TL05601_003;SEGB-09;44.725;-51.395;259612;67;01-may-05;19:14:00;67.59;32.86;299.7;2.01;3.95;0.87;3.32;4.86
18TL05601_003;SEGB-09;44.725;-51.395;259613;49;01-may-05;19:14:00;49.59;32.72;328.7;2.62;1.8;0.5;1.03;1.89
18TL05601_003;SEGB-09;44.725;-51.395;259614;39;01-may-05;19:14:00;39.26;32.69;335.4;2.79;1.8;0.45;0.6;1.79
18TL05601_003;SEGB-09;44.725;-51.395;259615;29;01-may-05;19:14:00;29.14;32.67;348.3;3.08;1.21;0.4;0.26;1.64
18TL05601_003;SEGB-09;44.725;-51.395;259616;19;01-may-05;19:14:00;19.31;32.55;341.6;3.88;0.91;0.36;1.54;0.79
18TL05601_003;SEGB-09;44.725;-51.395;259617;9;01-may-05;19:14:00;8.75;32.5;339.4;4.29;0.88;0.32;1.09;0.72
18TL05601_003;SEGB-09;44.725;-51.395;259618;4;01-may-05;19:14:00;3.54;32.49;337.2;4.77;0.87;0.34;2.56;0.66
18TL05601_014;SEGB-10;44.3633;-51.1033;259619;67;01-may-05;22:09:00;67.75;32.95;303.7;2.05;NaN;NaN;NaN;NaN
18TL05601_025;SEGB-11;44;-50.8083;259620;68;02-may-05;00:44:00;68.97;32.95;304.1;2.21;4.79;0.74;3.98;0.69
18TL05601_025;SEGB-11;44;-50.8083;259621;49;02-may-05;00:44:00;49.73;32.93;301.5;2.29;5.42;0.77;3.63;0.66
18TL05601_025;SEGB-11;44;-50.8083;259622;39;02-may-05;00:44:00;39.39;32.63;327.4;3.8;1.33;0.42;0.29;0.94
18TL05601_025;SEGB-11;44;-50.8083;259623;29;02-may-05;00:44:00;29.61;32.63;327.8;3.87;1.3;0.39;1.11;0.69
18TL05601_025;SEGB-11;44;-50.8083;259624;19;02-may-05;00:44:00;19.28;32.62;327.8;4;1.12;0.25;0.21;0.62
18TL05601_025;SEGB-11;44;-50.8083;259625;9;02-may-05;00:44:00;9.2;32.62;324.2;4.73;1.85;0.34;0.48;0.45
18TL05601_025;SEGB-11;44;-50.8083;259626;4;02-may-05;00:44:00;4.23;32.62;324.7;4.73;1.44;0.28;0.39;0.45
18TL05601_036;SEGB-12;43.6333;-50.5167;259627;62;02-may-05;03:56:00;62.79;32.98;305.5;2.5;4.08;0.7;1.73;1.97
18TL05601_036;SEGB-12;43.6333;-50.5167;259628;49;02-may-05;03:56:00;49.72;32.98;305.9;2.51;3.57;0.64;1.27;1.53
18TL05601_036;SEGB-12;43.6333;-50.5167;259629;39;02-may-05;03:56:00;39.55;32.95;318;2.91;1.96;0.47;0.77;1.83
18TL05601_036;SEGB-12;43.6333;-50.5167;259630;29;02-may-05;03:56:00;29.46;32.88;330.5;3.59;1.2;0.3;0.26;1.58
18TL05601_036;SEGB-12;43.6333;-50.5167;259631;19;02-may-05;03:56:00;19.47;32.83;327.4;3.92;1.07;0.27;0.21;0.95
18TL05601_036;SEGB-12;43.6333;-50.5167;259632;10;02-may-05;03:56:00;9.71;32.79;326.5;4.21;1.41;0.28;0.41;0.66
18TL05601_036;SEGB-12;43.6333;-50.5167;259633;4;02-may-05;03:56:00;4.34;32.79;326;4.29;1.7;0.32;1.18;0.7
18TL05601_047;SEGB-13;43.2;-50.1667;259634;62;02-may-05;07:39:00;62.94;33.37;307.7;1.24;3.56;0.81;5.33;3.58
18TL05601_047;SEGB-13;43.2;-50.1667;259635;50;02-may-05;07:39:00;50.58;33.37;309;1.23;3.33;0.79;5.14;4.23
18TL05601_047;SEGB-13;43.2;-50.1667;259636;40;02-may-05;07:39:00;40.73;33.21;337.2;1.4;1.58;0.4;2.34;6.56
18TL05601_047;SEGB-13;43.2;-50.1667;259637;30;02-may-05;07:39:00;30.73;33.09;358.6;1.71;NaN;NaN;NaN;NaN
18TL05601_047;SEGB-13;43.2;-50.1667;259638;20;02-may-05;07:39:00;20.65;33;382.7;1.71;1.63;0.24;0.62;4.13
18TL05601_047;SEGB-13;43.2;-50.1667;259639;10;02-may-05;07:39:00;10.27;32.92;391.2;1.76;1.4;0.24;0.4;2.71
18TL05601_047;SEGB-13;43.2;-50.1667;259640;5;02-may-05;07:39:00;5.51;32.87;377.8;2.88;2.39;0.29;2.66;1.34
18TL05601_058;SEGB-14;42.92;-49.9417;259641;164;02-may-05;10:07:00;165.75;33.42;318;0.21;NaN;NaN;NaN;NaN
18TL05601_069;SEGB-15;42.85;-49.8867;259642;375;02-may-05;11:01:00;377.97;34.52;284;3.24;10.66;1.12;15.03;NaN
18TL05601_069;SEGB-15;42.85;-49.8867;259643;150;02-may-05;11:01:00;150.77;33.78;307.3;1.3;8.73;0.83;10.1;NaN
18TL05601_069;SEGB-15;42.85;-49.8867;259644;99;02-may-05;11:01:00;99.94;33.41;321.1;0.13;7.92;0.78;8.41;1.49
18TL05601_069;SEGB-15;42.85;-49.8867;259645;74;02-may-05;11:01:00;74.86;33.15;333.6;-0.45;4.68;0.77;6.49;5.96
18TL05601_069;SEGB-15;42.85;-49.8867;259646;50;02-may-05;11:01:00;50.56;33.08;355.5;-0.03;2.56;0.45;3.28;6.26
18TL05601_069;SEGB-15;42.85;-49.8867;259647;40;02-may-05;11:01:00;40.32;33.03;357.7;-0.11;2.11;0.49;2.77;7.34
18TL05601_069;SEGB-15;42.85;-49.8867;259648;29;02-may-05;11:01:00;29.42;32.97;381.4;0.29;1.11;0.23;0.5;4.82
18TL05601_069;SEGB-15;42.85;-49.8867;259649;20;02-may-05;11:01:00;19.76;32.94;377.8;0.03;1.19;0.36;0.74;11.1
