CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL13019_1276;1001;47.82833;-61.24467;349043;9.92;17-jun-13;19:50:00;31.16;7.34;344.14996;8.688;339.95192;0.72;0.01;0.115;0.345;1.205;2.777
18TL13019_1276;1001;47.82833;-61.24467;349044;2.08;17-jun-13;19:50:00;31.05;8.42;334.7267;8.648;329.43449;0.39;0;0.025;0.295;0.415;1.052
18TL13019_1277;1081;47.835;-62.24917;349048;54.63;18-jun-13;16:46:00;32.05;0.53;300.51714;8.688;299.4453;12.3;0.195;8.145;1.195;NaN;0.72
18TL13019_1277;1081;47.835;-62.24917;349049;24.89;18-jun-13;16:46:00;31.18;5.28;354.10914;8.73;NaN;2.155;0.04;1.18;0.565;3.725;15.813
18TL13019_1277;1081;47.835;-62.24917;349050;2.08;18-jun-13;16:46:00;30.09;10.04;333.07428;8.565;330.28303;0.76;0;0.045;0.275;0.55;2.216
18TL13019_1278;1091;47.83333;-62.751;349051;60.98;18-jun-13;19:38:00;31.59;-0.54;326.59858;8.731;325.52674;16.41;0.23;10.775;1.23;NaN;0.545
18TL13019_1278;1091;47.83333;-62.751;349052;24.79;18-jun-13;19:38:00;30.78;2.47;351.96546;8.717;NaN;4.64;0.08;4.84;0.83;0.52;1.411
18TL13019_1278;1091;47.83333;-62.751;349053;2.68;18-jun-13;19:38:00;30.34;9.86;349.41984;8.551;346.71791;1.98;0;0.06;0.285;2.33;4.532
18TL13019_1279;441;47.5825;-59.33467;348903;240.63;10-jun-13;16:26:00;34.46;5.48;178.55068;8.341;177.25554;20.02;0.04;20.18667;1.49;NaN;0.247
18TL13019_1279;441;47.5825;-59.33467;348904;200.31;10-jun-13;16:26:00;33.85;4.38;221.82622;8.39;NaN;14.61;0.06333;15.64;1.255;NaN;0.271
18TL13019_1279;441;47.5825;-59.33467;348905;99.83;10-jun-13;16:26:00;32.6;1.84;321.7753;8.574;NaN;5.885;0.09667;6.70667;0.82;0.07;0.35
18TL13019_1279;441;47.5825;-59.33467;348906;49.58;10-jun-13;16:26:00;32.17;2.16;348.61596;8.619;349.41984;2.26;0.08667;2.79333;0.62;0.14;0.855
18TL13019_1279;441;47.5825;-59.33467;348907;24.49;10-jun-13;16:26:00;31.61;5.22;338.61212;8.555;NaN;1.265;0.02667;0.77333;0.4;0.435;1.718
