CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL15031_1465;771;47.9205;-59.81083;416985;460.98;12-aug-15;08:49:00;34.91;5.63;171.98566;NaN;NaN;NaN;NaN;NaN;NaN;0.264
18TL15031_1466;801;47.583;-59.34183;416986;250.63;12-aug-15;15:39:00;34.78;6.82;157.38184;155.61777;21.555;0.03;22.685;1.62;NaN;0.243
18TL15031_1466;801;47.583;-59.34183;416987;49.87;12-aug-15;15:39:00;31.69;5.73;323.29374;322.42287;1.34;0.08;1.69;0.465;0.455;1.399
18TL15031_1466;801;47.583;-59.34183;416988;25.58;12-aug-15;15:39:00;31.14;11.54;293.72882;NaN;0.685;0.02;0.125;0.21;0.995;3.655
18TL15031_1466;801;47.583;-59.34183;416989;14.68;12-aug-15;15:39:00;30.62;15.13;271.62212;270.25999;0.615;0.015;0.03;0.14;0.675;2.524
18TL15031_1466;801;47.583;-59.34183;416990;1.69;12-aug-15;15:39:00;30.6;15.23;271.0862;NaN;0.61;0.015;0.025;0.14;0.59;1.877
18TL15031_1467;811;47.43417;-59.55483;416991;461.89;12-aug-15;17:58:00;34.92;5.57;181.23028;180.18077;27.295;0.025;22.165;1.7;NaN;0.255
18TL15031_1467;811;47.43417;-59.55483;416992;251.23;12-aug-15;17:58:00;34.67;6.66;147.86926;147.95858;NaN;NaN;NaN;NaN;NaN;0.264
18TL15031_1467;811;47.43417;-59.55483;416993;49.48;12-aug-15;17:58:00;32.1;1.52;347.54412;349.15188;0.92;0.145;2.29;0.6;0.13;0.593
18TL15031_1467;811;47.43417;-59.55483;416994;19.34;12-aug-15;17:58:00;30.94;14.72;283.591;NaN;0.475;0.015;0.05;0.125;1.775;5.72
18TL15031_1467;811;47.43417;-59.55483;416995;14.78;12-aug-15;17:58:00;30.92;15.18;279.66092;277.82986;0.47;0.01;0.03;0.115;1.825;5.252
18TL15031_1467;811;47.43417;-59.55483;416996;3.67;12-aug-15;17:58:00;30.92;15.26;278.99102;NaN;0.44;0.02;0.035;0.115;1.78;4.874
18TL15031_1468;821;47.2715;-59.783;416997;455.27;12-aug-15;19:52:00;34.9;5.61;160.86532;160.37406;32.68;0.02;22.91;1.825;NaN;0.273
18TL15031_1468;821;47.2715;-59.783;416998;249.75;12-aug-15;19:52:00;34.76;6.86;150.9508;151.12944;NaN;NaN;NaN;NaN;NaN;0.267
18TL15031_1468;821;47.2715;-59.783;416999;51.16;12-aug-15;19:52:00;32.07;1.11;342.58686;344.26161;1.285;0.12;2.42;0.655;0.345;0.992
18TL15031_1468;821;47.2715;-59.783;417001;17.85;12-aug-15;19:52:00;31.68;7.46;336.0665;307.7074;0.46;0.02;0.055;0.185;0.925;3.375
18TL15031_1468;821;47.2715;-59.783;417002;4.07;12-aug-15;19:52:00;29.83;16.89;264.8338;NaN;0.79;0.01;0.025;0.035;1.135;3.493
18TL15031_1469;831;47.10117;-59.99117;417003;320.66;12-aug-15;21:45:00;34.78;6.05;136.79358;134.80621;30.225;0.035;23.825;1.86;NaN;0.271
18TL15031_1469;831;47.10117;-59.99117;417004;250.55;12-aug-15;21:45:00;34.57;6.12;127.0577;125.15965;NaN;NaN;NaN;NaN;NaN;0.284
18TL15031_1469;831;47.10117;-59.99117;417005;51.26;12-aug-15;21:45:00;32.08;0.87;343.83734;345.73539;1.58;0.13;3.28;0.695;0.225;0.893
18TL15031_1469;831;47.10117;-59.99117;417006;22.31;12-aug-15;21:45:00;30.71;10.3;317.04134;NaN;0.85;0.01;0.025;0.175;1.57;5.049
18TL15031_1469;831;47.10117;-59.99117;417007;15.27;12-aug-15;21:45:00;29.99;16;269.12116;267.08913;0.9;0.015;0.025;0.09;0.765;2.574
18TL15031_1469;831;47.10117;-59.99117;417008;3.47;12-aug-15;21:45:00;29.93;16.14;267.82602;NaN;1.075;0.03;0.66;0.25;0.87;2.606
18TL15031_1470;841;47.02567;-60.11983;417009;175.26;12-aug-15;23:25:00;33.91;4.65;187.75064;185.27201;20.275;0.04;18.26;1.515;NaN;0.271
18TL15031_1470;841;47.02567;-60.11983;417010;173.77;12-aug-15;23:25:00;33.91;4.63;187.61666;NaN;NaN;NaN;NaN;NaN;NaN;0.273
18TL15031_1470;841;47.02567;-60.11983;417011;50.77;12-aug-15;23:25:00;31.91;0.3;329.85876;331.77914;4.535;0.15;5.315;0.915;0.31;0.663
18TL15031_1470;841;47.02567;-60.11983;417012;40.16;12-aug-15;23:25:00;31.63;0.63;330.39468;NaN;4.09;0.135;4.015;0.85;3.495;4.418
18TL15031_1470;841;47.02567;-60.11983;417013;14.28;12-aug-15;23:25:00;29.37;17.18;268.80854;265.19108;1.09;0.005;0.04;0.055;1.45;4.046
18TL15031_1470;841;47.02567;-60.11983;417014;2.28;12-aug-15;23:25:00;29.35;17.61;262.91342;NaN;1.145;0.005;0.035;0.025;1.65;4.515
18TL15031_1471;851;46.9595;-60.223;417015;73.97;13-aug-15;01:04:00;32.29;1.14;294.0861;293.99678;9.29;0.145;8.55;1.065;NaN;0.364
18TL15031_1471;851;46.9595;-60.223;417016;50.27;13-aug-15;01:04:00;31.48;0.04;317.7559;319.96657;6.16;0.165;4.705;1;0.135;0.389
