CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18TL17002_002;1;41.97865;-65.89904;436867;137.16;21-mar-17;12:56:00;137.16;34.9458;10.3449;4.164;7.834;0.05253;9.165;1.0255;14.37;34.942;0.105;4.76
18TL17002_002;1;41.97628;-65.8981;436868;52.62;21-mar-17;13:00:00;52.625;33.7261;7.2729;6.0631;7.869;0.88445;6.14;0.7595;7.855;NaN;0.19;NaN
18TL17002_002;1;41.97576;-65.89782;436869;25.68;21-mar-17;13:01:00;25.684;33.5888;6.8363;6.1531;7.869;0.96486;6.125;0.7565;5.475;NaN;0.2;NaN
18TL17002_002;1;41.9751;-65.89741;436870;5.19;21-mar-17;13:02:00;5.195;33.5865;6.825;6.1221;7.87;0.96486;6.045;0.7415;7.605;NaN;0.21;6.701
18TL17002_003;14;41.15082;-66.65076;436889;80.37;22-mar-17;18:55:00;80.378;33.2983;6.4019;6.028;7.893;0.29354;6.9;0.822;8.735;33.307;0.15;6.565
18TL17002_003;14;41.15036;-66.65204;436890;24.66;22-mar-17;18:58:00;24.665;32.8346;5.4324;6.4925;7.898;0.83621;6.82;0.8075;5.96;NaN;0.13;NaN
18TL17002_003;14;41.15006;-66.65268;436891;4.7;22-mar-17;18:59:00;4.702;32.6211;5.0191;6.6813;7.903;0.78797;6.66;0.7775;7.19;NaN;0.165;7.141
18TL17002_014;16;41.10724;-67.02302;436892;63.49;24-mar-17;08:06:00;63.498;32.7355;4.924;6.7573;7.974;1.12567;4.535;0.7755;5.87;32.742;0.22;7.2795
18TL17002_014;16;41.10688;-67.02358;436893;24.23;24-mar-17;08:08:00;24.237;32.6375;4.6806;6.8798;7.956;0.69148;5.18;0.7545;5.88;NaN;0.215;NaN
18TL17002_014;16;41.10666;-67.02396;436894;3.36;24-mar-17;08:09:00;3.368;32.6364;4.6697;6.6791;7.949;0.85229;5.195;0.762;5.635;NaN;0.21;7.277
18TL17002_025;17;40.84384;-67.28836;436895;88.34;24-mar-17;10:44:00;88.349;32.6898;4.876;6.6855;7.979;0.70756;6.615;0.793;6.295;32.697;0.18;7.2195
18TL17002_025;17;40.84382;-67.28869;436896;25.19;24-mar-17;10:47:00;25.197;32.6652;4.7545;6.742;7.951;0.78797;6.505;0.791;5.045;NaN;0.18;NaN
18TL17002_025;17;40.84381;-67.28876;436897;5.05;24-mar-17;10:48:00;5.059;32.6652;4.7641;6.635;7.945;0.83621;6.515;0.7995;6.98;NaN;0.16;7.1725
18TL17002_047;18;40.9161;-67.69278;436898;65.37;24-mar-17;13:34:00;65.373;32.7849;5.0048;6.7293;8.012;0.75581;4.145;0.769;5.42;32.798;0.23;7.186
18TL17002_047;18;40.91604;-67.69219;436899;24.5;24-mar-17;13:36:00;24.501;32.6382;4.7322;6.849;7.99;1.06135;5.08;0.745;4.67;NaN;0.195;NaN
18TL17002_047;18;40.91596;-67.69178;436900;5.04;24-mar-17;13:37:00;5.049;32.6373;4.8001;6.8112;7.98;0.88446;5.07;0.748;6.62;NaN;0.22;7.2805
18TL17002_058;20;41.1724;-67.93904;436901;49.74;24-mar-17;20:09:00;49.745;33.2763;5.0608;6.9745;7.99;3.19808;0;0.556;4.055;33.279;0.205;7.518
18TL17002_058;20;41.17283;-67.93926;436902;26.14;24-mar-17;20:11:00;26.141;33.2761;5.0555;7.0002;7.987;3.19808;0;0.5165;2.85;NaN;0.195;NaN
18TL17002_058;20;41.17308;-67.93936;436903;5.79;24-mar-17;20:12:00;5.798;33.2763;5.057;7.0273;7.987;2.88179;0;0.552;2.97;NaN;0.185;7.506
18TL17002_069;22;41.44633;-67.39774;436904;44.21;25-mar-17;03:17:00;44.214;33.1811;5.2618;7.0454;8.031;2.14377;0.44;0.617;3.77;33.189;0.235;7.513
18TL17002_069;22;41.44616;-67.39671;436905;24.51;25-mar-17;03:18:00;24.517;33.1838;5.2618;7.0462;8.018;2.28434;0.415;0.628;4.85;NaN;0.235;NaN
18TL17002_069;22;41.44602;-67.39594;436906;4.53;25-mar-17;03:19:00;4.533;33.1849;5.2614;7.0082;8.012;2.14377;0.41;0.6175;5.555;NaN;0.235;7.4575
18TL17002_080;23;41.37288;-67.06332;436907;58.41;25-mar-17;05:39:00;58.413;32.6535;4.6471;6.9207;8.056;1.08945;4.075;0.716;6.55;32.66;0.23;7.3805
18TL17002_080;23;41.37246;-67.06278;436908;25.16;25-mar-17;05:41:00;25.167;32.6476;4.6354;6.9165;8.038;1.41513;4.125;0.7265;6.495;NaN;0.23;NaN
18TL17002_080;23;41.37232;-67.06246;436909;4.82;25-mar-17;05:42:00;4.825;32.6478;4.6368;6.9213;8.03;1.38296;4.095;0.727;5.505;NaN;0.235;7.3715
18TL17002_102;24;41.74928;-67.50959;436910;44.6;25-mar-17;09:44:00;44.602;33.0969;5.1403;7.0637;8.062;5.23643;1.385;0.688;5.935;33.105;0.225;7.54
18TL17002_102;24;41.7496;-67.50985;436911;25.12;25-mar-17;09:45:00;25.124;33.096;5.1382;7.0584;8.048;4.67412;1.42;0.6965;5.09;NaN;0.21;NaN
18TL17002_102;24;41.74994;-67.51008;436912;5.63;25-mar-17;09:46:00;5.635;33.0882;5.1316;7.0522;8.04;4.07668;1.48;0.6925;5.05;NaN;0.2;7.466
18TL17002_114;26;41.77679;-68.05544;436913;36.46;25-mar-17;16:39:00;36.46;33.1137;5.3905;6.8731;8.032;2.70607;3.185;0.757;6.105;33.117;0.195;7.3505
18TL17002_114;26;41.77657;-68.05544;436914;24.75;25-mar-17;16:40:00;24.751;33.1151;5.4108;6.8984;8.026;2.67093;3.3;0.7415;6.985;NaN;0.205;NaN
18TL17002_114;26;41.77634;-68.05548;436915;4.73;25-mar-17;16:41:00;4.734;33.1186;5.5402;6.8549;8.021;1.61661;3.56;0.7635;7.22;NaN;0.19;7.363
18TL17002_127;29;42.01889;-67.60114;436916;50.75;25-mar-17;23:21:00;50.759;32.9305;5.3729;6.647;8.051;1.38297;6.635;0.813;8.025;32.933;0.17;7.6
18TL17002_127;29;42.01928;-67.60216;436917;24.1;25-mar-17;23:23:00;24.102;32.9235;5.3454;6.6629;8.033;1.28648;6.63;0.8145;8.13;NaN;0.175;NaN
18TL17002_127;29;42.01954;-67.60264;436918;5.14;25-mar-17;23:25:00;5.144;32.9233;5.3388;6.5786;8.025;1.2704;6.645;0.814;5.855;NaN;0.18;7.071
18TL17002_138;31;42.24752;-67.07728;436919;227.8;26-mar-17;05:00:00;227.803;35.0006;9.1312;3.4541;7.961;0.09215;14.5;1.44;18.93;35.008;0.145;3.8625
18TL17002_138;31;42.24552;-67.07696;436920;50.47;26-mar-17;05:07:00;50.473;32.9623;5.3959;6.6813;7.973;1.23823;6.38;0.822;7.85;NaN;0.2;NaN
18TL17002_138;31;42.2452;-67.07692;436921;24.85;26-mar-17;05:09:00;24.857;32.8849;5.2296;6.7383;7.973;1.2704;6.495;0.814;7.845;NaN;0.2;NaN
18TL17002_138;31;42.24494;-67.07692;436922;4.64;26-mar-17;05:10:00;4.644;32.3767;3.9174;6.9499;7.989;1.30256;6.22;0.7625;6.67;NaN;0.17;7.623
18TL17002_160;32;42.13374;-66.9888;436923;68.73;26-mar-17;07:34:00;68.731;33.1807;5.9766;6.3074;8.061;1.17391;6.71;0.8595;7.765;33.188;0.22;6.744
18TL17002_160;32;42.13446;-66.98858;436924;25.71;26-mar-17;07:33:00;25.713;32.8919;5.098;6.8159;8.097;1.86539;5.24;0.781;6.51;NaN;0.215;NaN
18TL17002_160;32;42.13479;-66.9884;436925;5.45;26-mar-17;07:32:00;5.454;32.8148;4.9321;6.7612;8.113;1.41513;6;0.7845;6.63;NaN;0.235;7.241
18TL17002_171;35;42.03132;-66.88424;436926;57.56;26-mar-17;12:22:00;57.562;32.6814;4.7622;6.7853;8.106;1.06134;6.22;0.795;7.575;32.692;0.195;7.3475
18TL17002_171;35;42.03171;-66.88482;436927;23.85;26-mar-17;12:24:00;23.854;32.6834;4.7622;6.7799;8.085;1.10959;6.18;0.8055;7.4;NaN;0.16;NaN
18TL17002_171;35;42.03202;-66.88524;436928;4.12;26-mar-17;12:25:00;4.121;32.6829;4.7601;6.593;8.076;1.12567;6.21;0.7965;5.165;NaN;0.15;7.2295
18TL17002_182;36;41.9169;-66.82736;436929;60.46;26-mar-17;14:35:00;60.465;32.6068;4.5347;6.8735;8.107;1.33472;5.805;0.79;6.305;32.615;0.13;7.327
18TL17002_182;36;41.91668;-66.82705;436930;24.67;26-mar-17;14:37:00;24.676;32.6061;4.5293;6.8879;8.084;1.17391;5.805;0.7895;7.03;NaN;0.16;NaN
18TL17002_182;36;41.91653;-66.82684;436931;4.95;26-mar-17;14:38:00;4.958;32.6054;4.5588;6.7415;8.074;1.28648;5.805;0.765;5.87;NaN;0.17;7.2955
18TL17002_193;38;41.77501;-66.59298;436932;69.82;26-mar-17;18:08:00;69.827;32.5933;4.5642;6.8993;8.084;1.15783;6.05;0.762;7.015;32.597;0.15;7.4395
18TL17002_193;38;41.77405;-66.5931;436933;24.76;26-mar-17;18:10:00;24.76;32.5981;4.5902;6.8941;8.06;1.31864;6.085;0.77;7.13;NaN;0.16;NaN
18TL17002_193;38;41.77369;-66.59308;436934;5.06;26-mar-17;18:11:00;5.068;32.5977;4.5957;6.8409;8.055;1.62418;6.06;0.7785;7.02;NaN;0.17;7.3395
18TL17002_215;41;41.57724;-66.34659;436935;85.88;26-mar-17;23:06:00;85.886;32.7078;4.9642;6.454;8.075;0.49851;6.91;0.811;7.665;32.714;0.165;6.993
18TL17002_215;41;41.57798;-66.34874;436936;24.98;26-mar-17;23:09:00;24.988;32.2465;3.5384;7.1101;8.072;1.20607;6.4;0.752;5.97;NaN;0.155;NaN
18TL17002_215;41;41.57826;-66.34942;436937;4.49;26-mar-17;23:10:00;4.491;32.1576;3.4109;7.0809;8.065;1.09351;6.275;0.7325;4.745;NaN;0.165;7.654
18TL17002_225;3;41.74276;-65.8986;436871;111.51;21-mar-17;17:17:00;111.515;35.0647;11.0864;4.8673;7.848;0.1297;6.19;0.7805;11.165;35.07;0.225;5.3
18TL17002_225;3;41.74204;-65.89978;436872;24.47;21-mar-17;17:20:00;24.479;33.372;6.2914;6.3483;7.916;1.0131;6.02;0.7405;7.39;NaN;0.195;NaN
18TL17002_225;3;41.74168;-65.9001;436873;5.07;21-mar-17;17:22:00;5.076;33.3479;6.2704;6.2972;7.903;1.0131;6.19;0.7525;6.6;NaN;0.195;5.3765
18TL17002_226;43;41.92032;-66.14704;436938;89.9;27-mar-17;04:27:00;89.902;32.651;4.7806;6.5531;8.115;0.56283;7.01;0.8305;7.61;32.654;0.165;7.1345
18TL17002_226;43;41.92014;-66.14586;436939;24.78;27-mar-17;04:30:00;24.785;32.3894;3.9399;6.8975;8.097;0.99702;6.795;0.7815;6.545;NaN;0.13;NaN
18TL17002_226;43;41.92006;-66.14537;436940;5.22;27-mar-17;04:31:00;5.221;32.1183;3.1811;7.156;8.097;1.20607;6.48;0.7425;6.25;NaN;0.125;7.682
18TL17002_237;44;42.08244;-66.12914;436941;94.85;27-mar-17;06:29:00;94.859;33.4178;6.8774;5.6253;8.083;0.1809;8.805;0.9535;11.44;33.421;0.11;6.0685
18TL17002_237;44;42.0814;-66.12778;436942;25.51;27-mar-17;06:33:00;25.519;32.1007;2.8653;7.2057;8.098;1.20607;6.415;0.738;5.135;NaN;0.13;NaN
18TL17002_237;44;42.0811;-66.12717;436943;5.14;27-mar-17;06:34:00;5.145;32.1017;3.0006;7.1518;8.084;1.04526;6.465;0.7275;4.205;NaN;0.13;7.6405
18TL17002_239;45;42.20604;-66.28458;436944;204.29;27-mar-17;09:14:00;204.299;35.0508;9.7749;3.8263;7.999;0.06403;11.715;1.2005;18.095;35.05;0.06;4.2855
18TL17002_239;45;42.20664;-66.28686;436945;50.87;27-mar-17;09:20:00;50.877;32.4563;4.1241;6.8597;8.04;0.85229;6.435;0.775;7.24;NaN;0.16;NaN
18TL17002_239;45;42.2069;-66.28744;436946;25.49;27-mar-17;09:22:00;25.492;32.0545;2.7131;7.2147;8.048;1.09351;6.42;0.7325;5.06;NaN;0.155;NaN
18TL17002_239;45;42.20717;-66.28782;436947;5.32;27-mar-17;09:23:00;5.328;32.0383;2.7219;7.22;8.044;1.39904;6.35;0.711;5.185;NaN;0.14;7.6925
18TL17002_243;47;41.9682;-66.4835;436948;78.26;27-mar-17;12:48:00;78.265;32.502;4.4027;6.7625;8.116;0.80405;6.82;0.791;7.72;32.504;0.16;7.201
18TL17002_243;47;41.96988;-66.48449;436949;25.22;27-mar-17;12:50:00;25.226;32.4862;4.3508;6.7679;8.09;0.82013;6.805;0.795;6.625;NaN;0.155;NaN
18TL17002_243;47;41.97059;-66.48496;436950;4.92;27-mar-17;12:51:00;4.924;32.4765;4.3216;6.6861;8.082;0.82013;6.79;0.7885;6.565;NaN;0.18;7.2535
18TL17002_244;50;42.12125;-66.54673;436951;81.33;27-mar-17;18:20:00;81.338;33.1387;5.9746;6.1823;8.074;0.38911;7.835;0.891;10.03;NaN;0.15;6.724
18TL17002_244;50;42.12005;-66.54519;436952;24.82;27-mar-17;18:23:00;24.82;32.6104;4.67;6.7726;8.073;1.07743;6.76;0.801;7.17;NaN;0.185;NaN
18TL17002_244;50;42.11958;-66.5448;436953;5.09;27-mar-17;18:24:00;5.097;32.5851;4.6414;6.7695;8.067;1.0131;6.74;0.803;6.94;NaN;0.17;7.3
18TL17002_253;52;42.33536;-66.54041;436954;292.39;27-mar-17;22:35:00;292.392;35.098;9.2781;3.5779;8.003;0.02626;13.335;1.3215;19.935;35.118;0.06;4.089
18TL17002_253;52;42.33636;-66.54212;436955;161.28;27-mar-17;22:41:00;161.287;35.3782;12.4145;4.8469;7.96;0.06074;4.965;0.6315;9.83;NaN;0.07;NaN
18TL17002_253;52;42.33718;-66.54342;436956;50.24;27-mar-17;22:45:00;50.249;32.0953;2.7887;7.1911;8.069;0.69148;6.26;0.7075;4.485;NaN;0.155;NaN
18TL17002_253;52;42.33742;-66.54382;436957;25.23;27-mar-17;22:46:00;25.233;31.9613;2.5189;7.3837;8.068;1.3508;6.205;0.7095;4.47;NaN;0.14;NaN
18TL17002_253;52;42.33773;-66.54427;436958;4.71;27-mar-17;22:47:00;4.714;31.932;2.5076;7.3314;8.07;1.2704;6.2;0.7055;5.115;NaN;0.14;7.8235
18TL17002_257;53;42.04427;-66.07702;436959;93.93;29-mar-17;09:53:00;93.93;33.2507;6.3409;6.0302;8.143;0.51459;8.055;0.907;10.61;33.276;0.165;6.3395
18TL17002_257;53;42.04244;-66.07822;436960;25.48;29-mar-17;09:56:00;25.482;32.143;3.0352;7.1713;8.152;1.12567;6.24;0.72;5.435;NaN;0.16;NaN
18TL17002_257;53;42.04188;-66.07872;436961;4.93;29-mar-17;09:57:00;4.931;32.0418;2.8275;7.1502;8.14;1.14175;6.165;0.706;5.17;NaN;0.17;7.659
18TL17002_261;54;41.93134;-66.33734;436962;77.09;29-mar-17;12:10:00;77.098;32.8373;5.2731;6.4752;8.122;0.6754;7.375;0.857;9.075;32.867;0.17;6.8785
18TL17002_261;54;41.93152;-66.33998;436963;25.74;29-mar-17;12:13:00;25.747;32.8133;5.2169;6.5077;8.098;0.70756;7.38;0.8425;8.025;NaN;0.175;NaN
18TL17002_261;54;41.93155;-66.34104;436964;4.47;29-mar-17;12:14:00;4.471;32.8032;5.2032;6.4373;8.092;0.6754;7.335;0.833;9.07;NaN;0.17;6.923
18TL17002_263;55;42.07046;-66.52991;436965;84.31;29-mar-17;13:59:00;84.315;33.0147;5.6442;6.4109;8.111;1.09351;6.765;0.8465;9.415;33.048;0.185;6.946
18TL17002_263;55;42.07114;-66.53168;436966;25.01;29-mar-17;14:02:00;25.01;32.9176;5.43;6.5286;8.088;1.22215;6.57;0.8355;9.025;NaN;0.165;NaN
18TL17002_263;55;42.07136;-66.53207;436967;4.8;29-mar-17;14:03:00;4.807;32.9147;5.4329;6.4724;8.08;1.33472;6.6;0.8405;9.155;NaN;0.175;6.934
18TL17002_264;5;41.76942;-66.1354;436874;84.7;21-mar-17;21:29:00;84.7;33.8774;7.9092;5.4491;7.976;NaN;7.46;0.862;9.825;33.881;0.135;5.9045
18TL17002_264;5;41.76918;-66.13584;436875;24.28;21-mar-17;21:32:00;24.282;33.4382;6.4015;6.2776;7.978;1.06134;6.03;0.7275;6.225;NaN;0.185;NaN
18TL17002_264;5;41.76917;-66.13592;436876;5.56;21-mar-17;21:34:00;5.56;33.0821;5.601;6.4352;7.983;0.83621;6.265;0.7495;5.795;NaN;0.185;6.886
18TL17002_265;56;42.4181;-65.66328;436968;91.08;29-mar-17;20:06:00;91.087;32.4086;3.8571;6.3224;8.093;0.15018;7.7;0.8425;7.385;32.45;0.115;6.7685
18TL17002_265;56;42.41698;-65.66364;436969;24.02;29-mar-17;20:09:00;24.022;31.4809;1.4562;7.6421;8.109;1.38296;6.13;0.701;4.955;NaN;0.13;NaN
18TL17002_265;56;42.4166;-65.66386;436970;4.27;29-mar-17;20:10:00;4.27;31.4693;1.4585;7.4971;8.097;1.44729;6.16;0.707;5.535;NaN;0.135;8.0745
18TL17002_275;57;42.50874;-65.55289;436971;93.86;29-mar-17;21:57:00;93.864;32.2432;3.6216;6.3092;8.08;0.10581;8.15;0.8565;7.28;32.295;0.11;6.7005
18TL17002_275;57;42.50762;-65.5555;436972;25.35;29-mar-17;22:00:00;25.35;31.4666;1.4034;7.6189;8.088;1.09351;6.465;0.7085;5.91;NaN;0.13;NaN
18TL17002_275;57;42.50736;-65.55629;436973;4.74;29-mar-17;22:01:00;4.746;31.4637;1.4008;7.4723;8.081;1.04526;6.455;0.721;5.245;NaN;0.145;8.1675
18TL17002_276;58;42.62528;-65.4778;436974;90.21;29-mar-17;23:44:00;90.211;32.3689;3.8357;6.2207;8.072;0.0785;8.15;0.8765;7.73;32.432;0.1;6.631
18TL17002_276;58;42.62504;-65.48023;436975;24.73;29-mar-17;23:47:00;24.73;31.4347;1.3746;7.6331;8.083;0.91661;6.475;0.72;6.09;NaN;0.13;NaN
18TL17002_276;58;42.62494;-65.48097;436976;5.29;29-mar-17;23:49:00;5.295;31.4317;1.3727;7.6997;8.072;0.93269;6.48;0.7145;6.01;NaN;0.13;8.076
18TL17002_277;HL_02;44.26716;-63.32654;436977;159.92;30-mar-17;16:08:00;159.924;33.4596;6.3054;4.9584;8.069;0.08191;11.66;1.0845;12.31;33.445;0.11;5.4225
18TL17002_277;HL_02;44.26734;-63.32866;436978;103.9;30-mar-17;16:11:00;103.904;31.7369;1.1175;7.6661;8.122;4.00639;4.435;0.676;3.76;NaN;0.135;NaN
18TL17002_277;HL_02;44.26718;-63.32976;436979;75.91;30-mar-17;16:13:00;75.916;31.5982;0.7299;7.7188;8.113;3.40895;5.03;0.6745;4.99;NaN;0.125;NaN
18TL17002_277;HL_02;44.26712;-63.33074;436980;50.02;30-mar-17;16:14:00;50.026;31.1933;-0.0938;7.9335;8.116;3.86582;5.15;0.6675;4.59;NaN;0.135;NaN
18TL17002_277;HL_02;44.26684;-63.33136;436981;40.24;30-mar-17;16:15:00;40.246;31.185;-0.1018;7.8888;8.109;3.23323;5.275;0.6635;4.535;31.257;0.135;8.401
18TL17002_277;HL_02;44.26662;-63.33179;436982;30.44;30-mar-17;16:15:00;30.441;31.1541;-0.1361;7.912;8.106;3.12779;5.69;0.692;5.365;NaN;0.13;NaN
18TL17002_277;HL_02;44.26633;-63.33221;436983;19.83;30-mar-17;16:16:00;19.839;31.0262;-0.2651;7.9614;8.106;2.63578;6.045;0.705;4.91;NaN;0.13;NaN
18TL17002_277;HL_02;44.26623;-63.33278;436984;9.33;30-mar-17;16:17:00;9.338;30.8938;-0.4132;8.0483;8.108;3.72524;5.72;0.654;4.51;NaN;0.13;NaN
18TL17002_277;HL_02;44.2662;-63.33306;436985;4.99;30-mar-17;16:17:00;4.996;30.8928;-0.4161;7.9576;8.111;3.44409;5.72;0.6585;4.935;NaN;0.13;NaN
18TL17002_277;HL_02;44.2661;-63.3336;436986;2.52;30-mar-17;16:18:00;2.523;30.9006;-0.4079;8.2189;8.107;3.65495;5.73;0.655;3.79;30.985;0.12;8.4615
18TL17002_284;7;41.34852;-66.39196;436877;94.47;22-mar-17;01:35:00;94.473;33.0588;5.9345;6.0896;8.025;0.20479;7.12;0.839;7.045;33.062;0.19;6.5815
18TL17002_284;7;41.34714;-66.39114;436878;25.29;22-mar-17;01:39:00;25.29;32.5347;4.6017;6.6756;8.02;0.80405;6.67;0.8035;6.08;NaN;0.175;NaN
18TL17002_284;7;41.34671;-66.39083;436879;4.85;22-mar-17;01:40:00;4.852;32.3458;4.2211;6.8285;8.019;0.80405;6.565;0.781;6.475;NaN;0.175;7.387
18TL17002_315;9;41.61504;-66.62834;436880;76.22;22-mar-17;06:45:00;76.229;32.5473;4.6457;6.8072;8.091;1.07743;5.93;0.8035;7.005;32.555;0.2;7.332
18TL17002_315;9;41.61532;-66.62876;436881;26.4;22-mar-17;06:48:00;26.409;32.5119;4.5249;6.8516;8.071;1.09351;6.05;0.8015;6.855;NaN;0.18;NaN
18TL17002_315;9;41.61546;-66.62882;436882;6.13;22-mar-17;06:49:00;6.137;32.4999;4.5499;6.8896;8.064;1.17391;6.065;0.7925;5.71;NaN;0.2;7.292
18TL17002_326;10;41.66188;-66.88563;436883;62.58;22-mar-17;10:37:00;62.582;32.5729;4.6464;6.9038;7.96;1.41513;4.725;0.753;5.65;32.577;0.215;7.3805
18TL17002_326;10;41.66218;-66.88508;436884;24.56;22-mar-17;10:39:00;24.567;32.5739;4.6413;6.9272;7.938;1.51161;4.665;0.766;5.445;NaN;0.22;NaN
18TL17002_326;10;41.66236;-66.88476;436885;4.9;22-mar-17;10:40:00;4.909;32.5748;4.6361;6.8805;7.93;1.89756;4.56;0.7485;6.41;NaN;0.215;7.4315
18TL17002_339;12;41.44163;-66.5465;436886;86.28;22-mar-17;13:57:00;86.28;32.3991;4.3616;6.8443;7.962;0.83621;5.855;0.778;4.365;32.415;0.19;7.3345
18TL17002_339;12;41.4409;-66.54556;436887;24.99;22-mar-17;13:59:00;24.992;32.3685;4.2823;6.9081;7.939;0.91662;5.92;0.7735;4.295;NaN;0.185;NaN
18TL17002_339;12;41.44056;-66.54519;436888;4.71;22-mar-17;14:00:00;4.715;32.3565;4.3211;6.8896;7.933;1.31864;5.795;0.758;5.01;NaN;0.17;7.3625
