CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;FLOR;CHL_04
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL17027_1640;601;47.98983;-59.68867;421875;345.48;12-aug-17;07:18:00;34.93;6.44;147.46732;149.52168;NaN;NaN;NaN;NaN;0.032;NaN
18TL17027_1640;601;47.98983;-59.68867;421876;250.13;12-aug-17;07:18:00;34.74;6.94;138.49066;140.32172;NaN;NaN;NaN;NaN;0.035;NaN
18TL17027_1640;601;47.98983;-59.68867;421877;50.17;12-aug-17;07:18:00;31.58;1.81;355.31496;349.97809;NaN;NaN;NaN;NaN;0.334;NaN
18TL17027_1640;601;47.98983;-59.68867;421878;14.28;12-aug-17;07:18:00;30.28;16.98;249.11348;253.86977;NaN;NaN;NaN;NaN;0.591;NaN
18TL17027_1641;621;47.67433;-59.86817;421879;518.57;12-aug-17;12:20:00;34.97;5.86;164.92938;166.22452;30.51;0.01;22.43;1.76;0.049;NaN
18TL17027_1641;621;47.67433;-59.86817;421880;349.16;12-aug-17;12:20:00;34.93;6.39;147.6013;NaN;NaN;NaN;NaN;NaN;0.033;NaN
18TL17027_1641;621;47.67433;-59.86817;421881;301.34;12-aug-17;12:20:00;34.83;6.67;126.52178;NaN;NaN;NaN;NaN;NaN;0.045;NaN
18TL17027_1641;621;47.67433;-59.86817;421882;250.33;12-aug-17;12:20:00;34.78;7.29;136.8829;137.70911;22.78;0.01;22.635;1.65;0.032;NaN
18TL17027_1641;621;47.67433;-59.86817;421883;200.21;12-aug-17;12:20:00;34.6;7.47;169.84198;NaN;NaN;NaN;NaN;NaN;0.031;NaN
18TL17027_1641;621;47.67433;-59.86817;421884;150.08;12-aug-17;12:20:00;33.79;4.85;217.0476;NaN;NaN;NaN;NaN;NaN;0.039;NaN
18TL17027_1641;621;47.67433;-59.86817;421885;100.43;12-aug-17;12:20:00;32.61;1.26;312.35204;NaN;7.165;0.015;8.805;0.95;0.049;0.025
18TL17027_1641;621;47.67433;-59.86817;421886;50.96;12-aug-17;12:20:00;32.11;1.29;338.79076;335.12864;2.06;0.18;3.33;0.68;0.171;0.22
