CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18TL18023_002;HL_02;44.273;-63.32482;441751;204.66;14-jul-18;01:46:00;204.666;34.6457;9.8572;3.6096;0.01073;16.04;1.164;15.665;34.648;0.04;3.40359
18TL18023_002;HL_02;44.27288;-63.32415;441752;101.52;14-jul-18;01:49:00;101.528;33.1954;6.1281;5.8239;0.13241;4.625;0.734;6.63;NaN;0.02;NaN
18TL18023_002;HL_02;44.2729;-63.32402;441753;75.95;14-jul-18;01:50:00;75.956;32.4846;3.4997;6.0296;0.37517;7.105;0.8625;7.905;NaN;0.015;NaN
18TL18023_002;HL_02;44.27296;-63.32386;441754;50.84;14-jul-18;01:53:00;50.849;32.2676;5.4838;6.978;1.30321;2.255;0.5025;0.905;NaN;0.06;NaN
18TL18023_002;HL_02;44.27294;-63.32378;441755;40.78;14-jul-18;01:53:00;40.78;32.0135;5.6365;7.0864;0.74814;1.23;0.3895;0.13;31.957;0.015;7.30363
18TL18023_002;HL_02;44.27292;-63.32371;441756;30.55;14-jul-18;01:54:00;30.554;31.6422;8.5414;6.9338;0.4344;0.82;0.317;0;NaN;0.01;NaN
18TL18023_002;HL_02;44.27289;-63.32364;441757;20.58;14-jul-18;01:54:00;20.584;31.0318;7.435;7.0398;0.2896;0.5;0.3085;0;NaN;0.01;NaN
18TL18023_002;HL_02;44.27256;-63.32288;441758;10.09;14-jul-18;01:55:00;10.097;30.6498;11.9777;6.2887;0.19588;0.55;0.269;0;NaN;0.005;NaN
18TL18023_002;HL_02;44.27256;-63.3228;441759;5.53;14-jul-18;01:56:00;5.535;30.6415;12.2194;6.2859;0.20252;0.525;0.283;0;NaN;0;NaN
18TL18023_002;HL_02;44.27226;-63.32232;441760;1.76;14-jul-18;01:59:00;1.768;30.9855;12.703;5.1206;0.2158;0.49;0.269;0;30.627;0;6.65437
18TL18023_014;10;43.66216;-63.98822;441789;217.15;15-jul-18;05:10:00;217.151;35.1001;10.9195;3.0284;0.00477;17.9;1.278;18.92;35.103;0.015;NaN
18TL18023_014;10;43.66144;-63.9887;441790;50.86;15-jul-18;05:16:00;50.86;32.3291;4.7711;6.6595;0.89294;2.3;0.5555;1.88;NaN;0.23;NaN
18TL18023_014;10;43.66132;-63.98877;441791;25.41;15-jul-18;05:17:00;25.416;31.7197;10.0053;6.573;0.73607;0.725;0.303;0;NaN;0.015;NaN
18TL18023_014;10;43.66122;-63.98887;441792;5.77;15-jul-18;05:18:00;5.771;30.7275;13.6455;6.0308;0.23904;0.64;0.2665;0;NaN;0.01;NaN
18TL18023_025;11;43.64716;-63.66408;441793;228.02;15-jul-18;08:35:00;228.026;35.1474;10.9674;2.9314;0.00596;18.315;1.278;18.89;35.147;0.015;NaN
18TL18023_025;11;43.64744;-63.66444;441794;50.38;15-jul-18;08:42:00;50.387;32.7582;4.5961;6.0508;0.3258;4.455;0.708;5.755;NaN;0.01;NaN
18TL18023_025;11;43.64752;-63.66444;441795;24.6;15-jul-18;08:43:00;24.608;32.2904;7.1792;7.0183;1.11014;1.24;0.3485;0;NaN;0.02;NaN
18TL18023_025;11;43.64756;-63.66444;441796;5.21;15-jul-18;08:44:00;5.21;30.8194;14.2694;5.8884;0.22908;0.54;0.2705;0;NaN;0;NaN
18TL18023_036;12;43.73806;-63.237;441797;109.65;15-jul-18;11:27:00;109.659;33.6171;7.1481;4.8277;0.02624;8.655;0.906;11.09;33.638;0.01;NaN
18TL18023_036;12;43.73848;-63.23728;441798;50.53;15-jul-18;11:37:00;50.534;32.2401;3.307;6.3805;0.28552;5.18;0.76;6.275;NaN;0.16;NaN
18TL18023_036;12;43.73862;-63.2374;441799;25.8;15-jul-18;11:38:00;25.804;31.3548;7.7719;7.0082;0.52457;0.53;0.3015;0;NaN;0;NaN
18TL18023_036;12;43.73874;-63.23738;441800;5.69;15-jul-18;11:39:00;5.695;30.985;14.9289;5.7535;0.23904;0.345;0.262;0;NaN;0;NaN
18TL18023_047;13;43.58706;-63.23488;441801;220.62;15-jul-18;14:12:00;220.625;35.1745;10.9395;2.892;0.00477;16.565;1.3075;20.435;35.22;0.025;NaN
18TL18023_047;13;43.58774;-63.23524;441802;50.87;15-jul-18;14:18:00;50.873;32.1557;2.8576;6.4962;0.56714;5.055;0.796;6.67;NaN;0.155;NaN
18TL18023_047;13;43.58784;-63.2353;441803;25.41;15-jul-18;14:19:00;25.415;31.412;8.6713;7.2314;0.67574;0.665;0.3235;0.055;NaN;0;NaN
18TL18023_047;13;43.58786;-63.23512;441804;6.03;15-jul-18;14:20:00;6.032;30.9876;14.8661;5.8261;0.2324;0.305;0.2635;0;NaN;0;6.2155
18TL18023_058;15;43.35516;-63.13862;441805;143.61;15-jul-18;18:26:00;143.616;35.3021;11.8308;4.323;0.00596;7.15;0.817;13.32;35.302;0.05;4.643
18TL18023_058;15;43.35502;-63.13889;441806;50.39;15-jul-18;18:28:00;50.394;32.4746;3.9525;6.3366;0.37406;4.385;0.717;5.675;NaN;0.04;NaN
18TL18023_058;15;43.35497;-63.13896;441807;25.36;15-jul-18;18:29:00;25.366;31.7395;7.2488;7.1141;1.23081;1.18;0.3915;0.6;NaN;0.02;7.4895
18TL18023_058;15;43.35494;-63.13908;441808;5.68;15-jul-18;18:30:00;5.686;30.8945;15.2028;5.7891;0.1992;0.44;0.26;0.03;NaN;0;NaN
18TL18023_069;16;43.31936;-63.24852;441809;163.64;15-jul-18;20:31:00;163.647;35.0958;11.1034;3.6294;0.00716;12.635;1.059;16.395;35.09;0.025;3.931
18TL18023_069;16;43.31886;-63.24983;441810;49.55;15-jul-18;20:36:00;49.556;32.3196;4.1798;6.2352;0.3258;3.995;0.722;6.125;NaN;0.085;NaN
18TL18023_069;16;43.31878;-63.2503;441811;25;15-jul-18;20:37:00;25.001;31.5691;4.8557;7.3261;0.63953;1.31;0.379;0.21;NaN;0.02;7.7905
18TL18023_069;16;43.3187;-63.25074;441812;4.92;15-jul-18;20:38:00;4.924;30.6372;15.5151;5.7494;0.19256;0.53;0.255;0.045;NaN;0.015;NaN
18TL18023_080;17;43.0567;-63.39828;441813;155.01;15-jul-18;23:11:00;155.013;35.4099;12.2553;4.4604;0.00596;6.21;0.7515;12.33;35.387;0.025;4.824
18TL18023_080;17;43.05725;-63.3987;441814;49.89;15-jul-18;23:16:00;49.892;32.0592;3.2328;6.6559;0.56714;3.79;0.709;4.61;NaN;0.185;NaN
18TL18023_080;17;43.05744;-63.3988;441815;25.16;15-jul-18;23:18:00;25.166;31.8644;8.1714;6.9681;0.85674;0.64;0.2915;0;NaN;0;NaN
18TL18023_080;17;43.05754;-63.39886;441816;4.96;15-jul-18;23:19:00;4.96;30.7273;15.322;5.7282;0.166;0.495;0.248;0;NaN;0;6.161
18TL18023_102;18;43.06206;-63.49762;441817;161.8;16-jul-18;01:42:00;161.802;35.221;11.4303;4.1874;0.01312;7.745;0.8715;14.155;35.206;0.02;4.558
18TL18023_102;18;43.06278;-63.4971;441818;49.29;16-jul-18;01:46:00;49.294;32.156;3.0388;6.4794;0.33787;4.93;0.7665;6.13;NaN;0.175;NaN
18TL18023_102;18;43.06292;-63.49696;441819;24.58;16-jul-18;01:47:00;24.58;31.2071;10.0931;6.8127;0.28552;0.645;0.274;0.08;NaN;0;NaN
18TL18023_102;18;43.06306;-63.49668;441820;4.68;16-jul-18;01:48:00;4.683;30.8747;15.5109;5.7544;0.14608;0.455;0.251;0.025;NaN;0;6.1
