CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;NO2_01;OXYM_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18VA17668_1716;11;47.78333;-64.03333;329951;74.36;14-may-17;11:07:00;31.8;-0.29;255.18724;8.498;0.12;18.22333;1.32667;10.59667;0.18333;NaN;0.335
18VA17668_1716;11;47.78333;-64.03333;329952;69.4;14-may-17;11:07:00;31.7;-0.4;265.45904;8.555;0.18;12.83333;1.12;7.92;0.15;NaN;0.364
18VA17668_1716;11;47.78333;-64.03333;329953;59.49;14-may-17;11:07:00;31.36;-0.73;316.4161;8.624;0.22;11.13333;0.96333;6.5;0.13333;NaN;0.362
18VA17668_1716;11;47.78333;-64.03333;329954;49.58;14-may-17;11:07:00;30.91;-0.24;331.24322;8.685;2.48;9.3;0.91;5.29333;0.13333;NaN;0.443
18VA17668_1716;11;47.78333;-64.03333;329955;39.66;14-may-17;11:07:00;30.43;0.46;344.23928;8.812;10.69;0.26333;0.39667;2.07;0.11667;NaN;3.667
18VA17668_1716;11;47.78333;-64.03333;329956;29.75;14-may-17;11:07:00;30.2;1.74;366.39064;8.897;3.59;0.11;0.25;1.86;0.05667;NaN;6.239
18VA17668_1716;11;47.78333;-64.03333;329957;19.83;14-may-17;11:07:00;30.13;2.26;375.23332;8.897;2.39;0.09333;0.23;1.89;0.04667;NaN;2.564
18VA17668_1716;11;47.78333;-64.03333;329958;9.92;14-may-17;11:07:00;29.93;2.78;363.26444;8.853;2.41;0.96;0.29667;2.22667;0.07333;NaN;2.1
18VA17668_1716;11;47.78333;-64.03333;329959;4.96;14-may-17;11:07:00;29.83;3.15;356.52078;8.838;0.88;0.22333;0.24;1.97;0.05;NaN;0.881
18VA17668_1716;11;47.78333;-64.03333;329960;0.99;14-may-17;11:07:00;29.63;5.1;343.07812;8.812;0.305;0.24667;0.22333;1.87667;0.04333;NaN;0.369
18VA17668_1717;21;47.78333;-64.03333;329961;74.36;09-jul-17;10:22:00;32;0.34;250.36396;8.411;0.155;18.34;1.35;11.005;0.175;NaN;0.242
18VA17668_1717;21;47.78333;-64.03333;329962;69.4;09-jul-17;10:22:00;31.97;0.34;253.75812;8.419;0.63;9.595;0.805;5.22;0.19;NaN;0.229
18VA17668_1717;21;47.78333;-64.03333;329963;59.49;09-jul-17;10:22:00;31.75;0.01;253.62414;8.447;0.115;11.705;1.115;7.925;0.125;NaN;0.221
18VA17668_1717;21;47.78333;-64.03333;329964;49.58;09-jul-17;10:22:00;31.5;0;274.70366;8.486;0.07;15.19;1.345;9.095;0.155;NaN;0.229
18VA17668_1717;21;47.78333;-64.03333;329965;39.66;09-jul-17;10:22:00;31.22;-0.34;247.28242;8.498;0.09;9.245;1.17;6.995;0.305;NaN;0.308
18VA17668_1717;21;47.78333;-64.03333;329966;29.75;09-jul-17;10:22:00;30.47;1.3;299.4453;8.693;2.2;1.965;0.185;0.09;0.045;NaN;0.365
18VA17668_1717;21;47.78333;-64.03333;329967;19.83;09-jul-17;10:22:00;29.42;3.79;299.71326;8.735;2.2;2.145;0.485;0.085;0.04;NaN;0.694
18VA17668_1717;21;47.78333;-64.03333;329968;9.92;09-jul-17;10:22:00;28.31;7.49;279.7949;8.853;2.12;2.13;0.17;0.145;0.035;NaN;1.578
18VA17668_1717;21;47.78333;-64.03333;329969;4.96;09-jul-17;10:22:00;25.6;16.14;252.19502;8.873;0.7;5.74;0.595;3.575;0.255;NaN;2.694
18VA17668_1717;21;47.78333;-64.03333;329970;1.29;09-jul-17;10:22:00;25.59;16.16;252.1057;8.872;0.175;7.295;0.85;5.095;0.375;NaN;2.674
18VA17668_1718;31;47.78317;-64.03117;348136;79.31;22-sep-17;14:11:00;32.17;0.7;239.69022;NaN;NaN;NaN;NaN;NaN;NaN;5.116;NaN
18VA17668_1718;31;47.78317;-64.03117;348137;49.58;22-sep-17;14:11:00;31.38;1.62;311.10156;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18VA17668_1718;31;47.78317;-64.03117;348138;24.79;22-sep-17;14:11:00;30.3;5.82;313.24524;NaN;NaN;NaN;NaN;NaN;NaN;6.6455;NaN
18VA17668_1718;31;47.78317;-64.03117;348139;14.87;22-sep-17;14:11:00;29.34;10.72;299.26666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18VA17668_1718;31;47.78317;-64.03117;348140;4.96;22-sep-17;14:11:00;28.32;12.56;301.36568;NaN;NaN;NaN;NaN;NaN;NaN;6.686;NaN
18VA17668_1718;31;47.78317;-64.03117;348141;1.29;22-sep-17;14:11:00;28.44;13;270.77358;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
