CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18VA18667_002;HL_0;44.6937;-63.6403;444029;60.66;03-jan-18;13:47:00;31.7488;4.676;5.7266;6.414;0.2043;12.535;1.18;9.17;31.722;0.28;5.863
18VA18667_002;HL_0;44.6937;-63.6403;444030;10.47;03-jan-18;13:45:00;30.95;4.5628;5.7119;6.182;2.03928;15.515;1.283;11.375;NaN;0.65;NaN
18VA18667_002;HL_0;44.6937;-63.6403;444031;5.35;03-jan-18;13:45:00;30.6217;2.6702;6.0363;6.189;1.92964;16.245;1.305;11.125;NaN;0.355;6.559
18VA18667_002;HL_0;44.6937;-63.6403;444032;1.4;03-jan-18;13:45:00;29.3277;2.484;8.8617;6.174;1.24988;16.385;1.2985;11.135;NaN;0.335;NaN
18VA18667_003;HL_0;44.6937;-63.6403;444065;60.67;07-mar-18;13:55:00;31.5186;4.495;4.0188;7.851;0.05658;25.38;2.1675;17.21;31.695;0.04;4.769
18VA18667_003;HL_0;44.6937;-63.6403;444066;10.41;07-mar-18;13:53:00;29.744;2.4645;7.4876;8.028;1.03924;9.695;0.876;9.165;NaN;0.28;NaN
18VA18667_003;HL_0;44.6937;-63.6403;444067;5.36;07-mar-18;13:53:00;29.548;2.3481;7.531;8.019;0.93532;10.03;0.8855;9.41;NaN;0.27;7.71
18VA18667_003;HL_0;44.6937;-63.6403;444068;1.43;07-mar-18;13:52:00;29.5342;2.3528;7.5338;8.012;0.96996;10.05;0.878;9.505;NaN;0.27;NaN
18VA18667_014;HL_0;44.6937;-63.6403;444069;60.53;13-mar-18;12:26:00;31.5068;4.479;3.9795;7.847;0.08298;25.51;2.1325;16.21;31.518;0.05;4.2445
18VA18667_014;HL_0;44.6937;-63.6403;444070;10.4;13-mar-18;12:24:00;29.764;2.3806;7.3474;8.034;0.86603;8.915;0.798;7.96;NaN;0.26;NaN
18VA18667_014;HL_0;44.6937;-63.6403;444071;5.26;13-mar-18;12:24:00;29.1396;2.3416;7.6186;8.042;0.93532;9.44;0.7975;8.205;NaN;0.26;7.797
18VA18667_014;HL_0;44.6937;-63.6403;444072;1.3;13-mar-18;12:24:00;29.1306;2.3303;7.6152;8.031;0.98728;9.355;0.777;8.185;NaN;0.26;NaN
18VA18667_025;HL_0;44.6937;-63.6403;444073;60.65;21-mar-18;12:32:00;31.4757;4.4217;3.9715;7.803;0.1435;26.07;2.054;16.34;31.537;0.045;4.217
18VA18667_025;HL_0;44.6937;-63.6403;444074;10.35;21-mar-18;12:30:00;30.3288;2.4576;7.249;7.967;1.29905;7.83;0.778;6.945;NaN;0.275;NaN
18VA18667_025;HL_0;44.6937;-63.6403;444075;5.36;21-mar-18;12:30:00;29.9402;2.4521;7.5274;7.964;2.6535;8.16;0.732;7.395;NaN;0.22;7.8
18VA18667_025;HL_0;44.6937;-63.6403;444076;1.36;21-mar-18;12:29:00;29.1653;2.2691;7.6806;7.954;1.85745;8.675;0.729;7.56;NaN;0.215;NaN
18VA18667_036;HL_0;44.6937;-63.6403;444077;60.59;28-mar-18;12:46:00;31.4499;4.3157;4.0399;7.628;0.15653;24.895;2.066;15.92;31.454;0.16;4.3785
18VA18667_036;HL_0;44.6937;-63.6403;444078;10.39;28-mar-18;12:44:00;30.6504;3.1633;7.502;7.944;5.74926;5.03;0.594;5.55;NaN;0.2;NaN
18VA18667_036;HL_0;44.6937;-63.6403;444079;5.39;28-mar-18;12:44:00;30.2418;3.0885;7.8088;7.961;11.8883;4.13;0.5055;4.81;NaN;0.185;8.0105
18VA18667_036;HL_0;44.6937;-63.6403;444080;1.33;28-mar-18;12:44:00;29.845;2.9455;8.009;7.966;10.24854;4.42;0.485;5.505;NaN;0.2;NaN
18VA18667_047;HL_0;44.6937;-63.6403;444081;60.6;04-apr-18;12:26:00;31.3968;4.1254;4.3336;7.718;0.36774;23;1.957;14.68;31.409;0.225;4.6615
18VA18667_047;HL_0;44.6937;-63.6403;444082;10.36;04-apr-18;12:24:00;30.5552;3.4565;7.5072;8.067;20.70205;0.955;0.47;2.815;NaN;0.16;NaN
18VA18667_047;HL_0;44.6937;-63.6403;444083;5.41;04-apr-18;12:24:00;30.0977;3.6854;8.6504;8.178;11.27339;0;0.1545;0;NaN;0.025;9.069
18VA18667_047;HL_0;44.6937;-63.6403;444084;1.45;04-apr-18;12:23:00;29.9919;3.741;8.7198;8.185;9.8386;0;0.133;0;NaN;0.02;NaN
18VA18667_058;HL_0;44.6937;-63.6403;444085;60.64;10-apr-18;12:34:00;31.3848;4.0871;4.176;7.718;1.21245;23.26;2.0115;14.65;31.4;0.245;4.5725
18VA18667_058;HL_0;44.6937;-63.6403;444086;10.46;10-apr-18;12:32:00;30.6997;3.3449;7.2388;8.053;9.8386;0.445;0.466;2.88;NaN;0.14;NaN
18VA18667_058;HL_0;44.6937;-63.6403;444087;5.36;10-apr-18;12:32:00;29.9179;3.5015;8.0912;8.152;12.91316;0.14;0.2185;0.13;NaN;0.045;8.3585
18VA18667_058;HL_0;44.6937;-63.6403;444088;1.45;10-apr-18;12:32:00;29.5741;3.2934;8.0805;8.156;11.06842;0.575;0.162;0.365;NaN;0.055;NaN
18VA18667_069;HL_0;44.6937;-63.6403;444089;60.62;18-apr-18;12:39:00;31.3107;3.5969;5.4373;7.848;0.79675;19.96;1.88;12.29;31.333;0.3;4.908
18VA18667_069;HL_0;44.6937;-63.6403;444090;10.4;18-apr-18;12:37:00;30.3716;3.7782;7.5069;8.127;11.47836;0.27;0.432;1.98;NaN;0.16;NaN
18VA18667_069;HL_0;44.6937;-63.6403;444091;5.43;18-apr-18;12:36:00;29.6349;4.106;8.0598;8.198;11.8883;0;0.165;0.105;NaN;0.05;8.2475
18VA18667_069;HL_0;44.6937;-63.6403;444092;1.41;18-apr-18;12:36:00;29.1719;4.1984;8.08;8.202;5.88194;0;0.1175;0.04;NaN;0.065;NaN
18VA18667_080;HL_0;44.6937;-63.6403;444093;60.79;25-apr-18;12:48:00;31.3133;3.6408;4.9052;7.852;0.27804;16.665;1.668;10.675;31.343;0.3;5.219
18VA18667_080;HL_0;44.6937;-63.6403;444094;10.39;25-apr-18;12:46:00;30.807;3.5338;6.9989;8.185;9.22368;0.055;0.54;2.29;NaN;0.305;NaN
18VA18667_080;HL_0;44.6937;-63.6403;444095;5.37;25-apr-18;12:46:00;30.4901;4.0956;8.1629;8.269;6.10306;0.01;0.18;0.15;NaN;0.035;8.7275
18VA18667_080;HL_0;44.6937;-63.6403;444096;1.2;25-apr-18;12:45:00;27.5157;7.1663;8.4517;8.324;6.63377;0.01;0.105;0.14;NaN;0.05;NaN
18VA18667_091;HL_0;44.6937;-63.6403;444097;60.66;02-may-18;12:30:00;31.2964;3.5991;4.732;7.846;0.38568;16.32;1.663;10.57;31.292;0.22;5.1265
18VA18667_091;HL_0;44.6937;-63.6403;444098;10.3;02-may-18;12:28:00;30.4214;4.3891;7.0392;8.13;7.16447;0.075;0.34;0.795;NaN;0.17;NaN
18VA18667_091;HL_0;44.6937;-63.6403;444099;5.29;02-may-18;12:28:00;29.9251;5.1308;7.4426;8.176;10.04357;0.02;0.2115;0.315;NaN;0.065;7.7985
18VA18667_091;HL_0;44.6937;-63.6403;444100;1.36;02-may-18;12:27:00;28.1607;7.1388;7.7322;8.202;5.83771;0.94;0.162;1.36;NaN;0.11;NaN
18VA18667_102;HL_0;44.6937;-63.6403;444101;60.77;08-may-18;12:30:00;31.3027;3.6169;4.4801;7.768;0.98728;17.985;1.859;11.58;31.308;0.245;4.5465
18VA18667_102;HL_0;44.6937;-63.6403;444102;10.59;08-may-18;12:28:00;30.5178;4.4306;6.81;7.995;2.4766;0.585;0.4965;2.365;NaN;0.855;NaN
18VA18667_102;HL_0;44.6937;-63.6403;444103;5.45;08-may-18;12:28:00;30.0112;5.3066;7.385;8.004;1.9459;0.26;0.2715;0.81;NaN;0.1;7.3785
18VA18667_102;HL_0;44.6937;-63.6403;444104;1.46;08-may-18;12:28:00;27.2902;8.7379;7.096;7.994;1.769;1.715;0.1835;1.47;NaN;0.1;NaN
18VA18667_113;HL_0;44.6937;-63.6403;444033;60.63;10-jan-18;13:54:00;31.6813;4.7232;5.5222;8.082;0.09806;14.075;1.272;10.045;31.613;0.345;5.731
18VA18667_113;HL_0;44.6937;-63.6403;444034;10.49;10-jan-18;13:51:00;31.0034;3.1386;6.5516;8.074;1.29373;14.675;1.2285;10.68;NaN;0.54;NaN
