Filename; Pressure; Uniqueno; Variable; Values; Test failed
181079022_001; 10.00; 4108; doxy; 271.09  ; Global Impossible Parameter Value
181079022_001; 20.00; 4107; doxy; 343.44  ; Global Impossible Parameter Value
181079022_001; 30.00; 4106; doxy; 371.57  ; Global Impossible Parameter Value
181079022_001; 50.00; 4104; doxy; 322.89  ; Global Impossible Parameter Value
181079022_001; 50.00; 4105; doxy; 328.25  ; Global Impossible Parameter Value
181079022_001; 75.00; 4103; doxy; 230.45  ; Global Impossible Parameter Value
181079022_001; 100.00; 4102; doxy; 187.13  ; Global Impossible Parameter Value
181079022_001; 10.00; 4108; doxy; 271.09  ; Regional Impossible Parameter Value
181079022_001; 20.00; 4107; doxy; 343.44  ; Regional Impossible Parameter Value
181079022_001; 30.00; 4106; doxy; 371.57  ; Regional Impossible Parameter Value
181079022_001; 50.00; 4104; doxy; 322.89  ; Regional Impossible Parameter Value
181079022_001; 50.00; 4105; doxy; 328.25  ; Regional Impossible Parameter Value
181079022_001; 75.00; 4103; doxy; 230.45  ; Regional Impossible Parameter Value
181079022_001; 100.00; 4102; doxy; 187.13  ; Regional Impossible Parameter Value
181079022_001; 130.00 to 130.00; 4100, 4101; psal; 34.53  34.53  ; Gradient or Inversion too high
181079022_001; 50.00 to 50.00; 4104, 4105; ntrz; 3.12  11.35  ; Gradient or Inversion too high
181079022_001; 130.00 to 130.00; 4100, 4101; ntrz; 18.14  16.31  ; Gradient or Inversion too high
181079022_001; 50.00 to 50.00; 4104, 4105; phos; 1.00  1.39  ; Gradient or Inversion too high
181079022_001; 130.00 to 130.00; 4100, 4101; phos; 1.75  1.59  ; Gradient or Inversion too high
181079022_002; 10.00; 4117; doxy; 252.78  ; Global Impossible Parameter Value
181079022_002; 30.00; 4116; doxy; 318.43  ; Global Impossible Parameter Value
181079022_002; 50.00; 4115; doxy; 266.17  ; Global Impossible Parameter Value
181079022_002; 100.00; 4114; doxy; 200.97  ; Global Impossible Parameter Value
181079022_002; 150.00; 4113; doxy; 188.02  ; Global Impossible Parameter Value
181079022_002; 200.00; 4112; doxy; 150.95  ; Global Impossible Parameter Value
181079022_002; 500.00; 4109; doxy; 328.25  ; Global Impossible Parameter Value
181079022_002; 500.00; 4110; doxy; 227.77  ; Global Impossible Parameter Value
181079022_002; 10.00; 4117; doxy; 252.78  ; Regional Impossible Parameter Value
181079022_002; 30.00; 4116; doxy; 318.43  ; Regional Impossible Parameter Value
181079022_002; 50.00; 4115; doxy; 266.17  ; Regional Impossible Parameter Value
181079022_002; 100.00; 4114; doxy; 200.97  ; Regional Impossible Parameter Value
181079022_002; 150.00; 4113; doxy; 188.02  ; Regional Impossible Parameter Value
181079022_002; 200.00; 4112; doxy; 150.95  ; Regional Impossible Parameter Value
181079022_002; 500.00; 4109; doxy; 328.25  ; Regional Impossible Parameter Value
181079022_002; 500.00; 4110; doxy; 227.77  ; Regional Impossible Parameter Value
181079022_002; 500.00 to 500.00; 4109, 4110; psal; 34.94  34.94  ; Gradient or Inversion too high
181079022_002; 500.00 to 500.00; 4109, 4110; ntrz; 20.93  19.16  ; Gradient or Inversion too high
181079022_002; 500.00 to 500.00; 4109, 4110; phos; 1.68  1.58  ; Gradient or Inversion too high
181079022_113; 10.00; 4126; doxy; 259.47  ; Global Impossible Parameter Value
181079022_113; 20.00; 4125; doxy; 294.76  ; Global Impossible Parameter Value
181079022_113; 30.00; 4124; doxy; 316.64  ; Global Impossible Parameter Value
181079022_113; 50.00; 4122; doxy; 316.64  ; Global Impossible Parameter Value
181079022_113; 50.00; 4123; doxy; 326.02  ; Global Impossible Parameter Value
181079022_113; 75.00; 4121; doxy; 246.97  ; Global Impossible Parameter Value
181079022_113; 100.00; 4120; doxy; 217.49  ; Global Impossible Parameter Value
181079022_113; 138.00; 4118; doxy; 220.17  ; Global Impossible Parameter Value
181079022_113; 138.00; 4119; doxy; 179.53  ; Global Impossible Parameter Value
181079022_113; 10.00; 4126; doxy; 259.47  ; Regional Impossible Parameter Value
181079022_113; 20.00; 4125; doxy; 294.76  ; Regional Impossible Parameter Value
181079022_113; 30.00; 4124; doxy; 316.64  ; Regional Impossible Parameter Value
181079022_113; 50.00; 4122; doxy; 316.64  ; Regional Impossible Parameter Value
181079022_113; 50.00; 4123; doxy; 326.02  ; Regional Impossible Parameter Value
181079022_113; 75.00; 4121; doxy; 246.97  ; Regional Impossible Parameter Value
181079022_113; 100.00; 4120; doxy; 217.49  ; Regional Impossible Parameter Value
181079022_113; 138.00; 4118; doxy; 220.17  ; Regional Impossible Parameter Value
181079022_113; 138.00; 4119; doxy; 179.53  ; Regional Impossible Parameter Value
181079022_113; 138.00 to 138.00; 4118, 4119; psal; 35.28  35.27  ; Gradient or Inversion too high
181079022_113; 50.00 to 50.00; 4122, 4123; ntrz; 0.43  0.51  ; Gradient or Inversion too high
181079022_113; 138.00 to 138.00; 4118, 4119; ntrz; 16.76  16.20  ; Gradient or Inversion too high
181079022_113; 50.00 to 50.00; 4122, 4123; phos; 0.59  0.58  ; Gradient or Inversion too high
181079022_113; 138.00 to 138.00; 4118, 4119; phos; 1.30  1.33  ; Gradient or Inversion too high
181079022_113; 10.00; 4126; slca; 0.61  ; Out of Nutrient Climatology in box(es) 4 (Min=0.79 Max=6.76 n=74)
181079022_225; 10.00; 4135; doxy; 259.92  ; Global Impossible Parameter Value
181079022_225; 20.00; 4134; doxy; 326.02  ; Global Impossible Parameter Value
181079022_225; 30.00; 4133; doxy; 342.54  ; Global Impossible Parameter Value
181079022_225; 50.00; 4131; doxy; 271.53  ; Global Impossible Parameter Value
181079022_225; 50.00; 4132; doxy; 300.56  ; Global Impossible Parameter Value
181079022_225; 75.00; 4130; doxy; 261.26  ; Global Impossible Parameter Value
181079022_225; 100.00; 4129; doxy; 188.91  ; Global Impossible Parameter Value
181079022_225; 111.00; 4127; doxy; 188.02  ; Global Impossible Parameter Value
181079022_225; 111.00; 4128; doxy; 180.43  ; Global Impossible Parameter Value
181079022_225; 10.00; 4135; doxy; 259.92  ; Regional Impossible Parameter Value
181079022_225; 20.00; 4134; doxy; 326.02  ; Regional Impossible Parameter Value
181079022_225; 30.00; 4133; doxy; 342.54  ; Regional Impossible Parameter Value
181079022_225; 50.00; 4131; doxy; 271.53  ; Regional Impossible Parameter Value
181079022_225; 50.00; 4132; doxy; 300.56  ; Regional Impossible Parameter Value
181079022_225; 75.00; 4130; doxy; 261.26  ; Regional Impossible Parameter Value
181079022_225; 100.00; 4129; doxy; 188.91  ; Regional Impossible Parameter Value
181079022_225; 111.00; 4127; doxy; 188.02  ; Regional Impossible Parameter Value
181079022_225; 111.00; 4128; doxy; 180.43  ; Regional Impossible Parameter Value
181079022_225; 111.00 to 111.00; 4127, 4128; psal; 34.29  34.29  ; Gradient or Inversion too high
181079022_225; 50.00 to 50.00; 4131, 4132; ntrz; 4.71  4.96  ; Gradient or Inversion too high
181079022_225; 111.00 to 111.00; 4127, 4128; ntrz; 16.59  14.35  ; Gradient or Inversion too high
181079022_225; 50.00 to 50.00; 4131, 4132; phos; 1.04  1.09  ; Gradient or Inversion too high
181079022_225; 111.00 to 111.00; 4127, 4128; phos; 1.45  1.39  ; Gradient or Inversion too high
181079022_225; 10.00; 4135; slca; 0.56  ; Out of Nutrient Climatology in box(es) 4 (Min=0.79 Max=6.76 n=74)
181079022_264; 10.00; 4144; doxy; 269.30  ; Global Impossible Parameter Value
181079022_264; 20.00; 4143; doxy; 345.67  ; Global Impossible Parameter Value
181079022_264; 30.00; 4142; doxy; 288.06  ; Global Impossible Parameter Value
181079022_264; 50.00; 4140; doxy; 313.07  ; Global Impossible Parameter Value
181079022_264; 50.00; 4141; doxy; 322.00  ; Global Impossible Parameter Value
181079022_264; 75.00; 4139; doxy; 246.08  ; Global Impossible Parameter Value
181079022_264; 100.00; 4138; doxy; 236.70  ; Global Impossible Parameter Value
181079022_264; 130.00; 4136; doxy; 166.58  ; Global Impossible Parameter Value
181079022_264; 130.00; 4137; doxy; 136.66  ; Global Impossible Parameter Value
181079022_264; 10.00; 4144; doxy; 269.30  ; Regional Impossible Parameter Value
181079022_264; 20.00; 4143; doxy; 345.67  ; Regional Impossible Parameter Value
181079022_264; 30.00; 4142; doxy; 288.06  ; Regional Impossible Parameter Value
181079022_264; 50.00; 4140; doxy; 313.07  ; Regional Impossible Parameter Value
181079022_264; 50.00; 4141; doxy; 322.00  ; Regional Impossible Parameter Value
181079022_264; 75.00; 4139; doxy; 246.08  ; Regional Impossible Parameter Value
181079022_264; 100.00; 4138; doxy; 236.70  ; Regional Impossible Parameter Value
181079022_264; 130.00; 4136; doxy; 166.58  ; Regional Impossible Parameter Value
181079022_264; 130.00; 4137; doxy; 136.66  ; Regional Impossible Parameter Value
181079022_264; 130.00 to 130.00; 4136, 4137; psal; 34.17  34.17  ; Gradient or Inversion too high
181079022_264; 50.00 to 50.00; 4140, 4141; ntrz; 5.57  4.98  ; Gradient or Inversion too high
181079022_264; 130.00 to 130.00; 4136, 4137; ntrz; 16.70  16.98  ; Gradient or Inversion too high
181079022_264; 50.00 to 50.00; 4140, 4141; phos; 1.20  1.16  ; Gradient or Inversion too high
181079022_264; 130.00 to 130.00; 4136, 4137; phos; 1.48  1.53  ; Gradient or Inversion too high
181079022_264; 10.00; 4144; slca; 0.77  ; Out of Nutrient Climatology in box(es) 4 (Min=0.79 Max=6.76 n=74)
181079022_284; 10.00; 4153; doxy; 183.11  ; Global Impossible Parameter Value
181079022_284; 20.00; 4152; doxy; 234.91  ; Global Impossible Parameter Value
181079022_284; 30.00; 4151; doxy; 221.96  ; Global Impossible Parameter Value
181079022_284; 50.00; 4149; doxy; 202.31  ; Global Impossible Parameter Value
181079022_284; 50.00; 4150; doxy; 205.44  ; Global Impossible Parameter Value
181079022_284; 75.00; 4148; doxy; 82.17  ; Global Impossible Parameter Value
181079022_284; 100.00; 4147; doxy; 111.65  ; Global Impossible Parameter Value
181079022_284; 124.00; 4145; doxy; 146.93  ; Global Impossible Parameter Value
181079022_284; 124.00; 4146; doxy; 70.12  ; Global Impossible Parameter Value
181079022_284; 10.00; 4153; doxy; 183.11  ; Regional Impossible Parameter Value
181079022_284; 20.00; 4152; doxy; 234.91  ; Regional Impossible Parameter Value
181079022_284; 30.00; 4151; doxy; 221.96  ; Regional Impossible Parameter Value
181079022_284; 50.00; 4149; doxy; 202.31  ; Regional Impossible Parameter Value
181079022_284; 50.00; 4150; doxy; 205.44  ; Regional Impossible Parameter Value
181079022_284; 75.00; 4148; doxy; 82.17  ; Regional Impossible Parameter Value
181079022_284; 100.00; 4147; doxy; 111.65  ; Regional Impossible Parameter Value
181079022_284; 124.00; 4145; doxy; 146.93  ; Regional Impossible Parameter Value
181079022_284; 124.00; 4146; doxy; 70.12  ; Regional Impossible Parameter Value
181079022_284; 124.00 to 124.00; 4145, 4146; psal; 34.05  34.05  ; Gradient or Inversion too high
