CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXY_01;Q_OXY;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(ml/l);((none));((none));((none));((none))
WT552_101;STN27;47.5467;-52.5867;258522;21-jul-04;23:20:00;4.21;31.65;1;281.8;4;6;NaN;NaN
WT552_101;STN27;47.5467;-52.5867;258521;21-jul-04;23:20:00;9.83;31.65;1;285.4;4;6;NaN;NaN
WT552_101;STN27;47.5467;-52.5867;258520;21-jul-04;23:20:00;20.16;32.017;1;345.2;4;6;NaN;NaN
WT552_101;STN27;47.5467;-52.5867;258519;21-jul-04;23:20:00;30.42;32.135;1;358.6;4;6;NaN;NaN
WT552_101;STN27;47.5467;-52.5867;258518;21-jul-04;23:20:00;40.02;32.269;1;368.4;4;6;NaN;NaN
WT552_101;STN27;47.5467;-52.5867;258517;21-jul-04;23:20:00;49.39;32.374;1;373.4;4;6;NaN;NaN
WT552_101;STN27;47.5467;-52.5867;258516;21-jul-04;23:20:00;74.69;32.485;1;355.5;4;6;NaN;NaN
WT552_101;STN27;47.5467;-52.5867;258515;21-jul-04;23:20:00;100.76;32.596;1;343;4;6;NaN;NaN
WT552_101;STN27;47.5467;-52.5867;258514;21-jul-04;23:20:00;150.29;32.929;1;315.3;4;6;NaN;NaN
WT552_101;STN27;47.5467;-52.5867;258513;21-jul-04;23:20:00;168.52;33.136;1;275.1;4;6;NaN;NaN
WT552_239;FC-01;47;-52.8317;258530;22-jul-04;23:00:00;5.2;32.037;1;294.3;4;6;NaN;NaN
WT552_239;FC-01;47;-52.8317;258529;22-jul-04;23:00:00;10.83;32.118;1;343.4;4;6;NaN;NaN
WT552_239;FC-01;47;-52.8317;258528;22-jul-04;23:00:00;20.15;32.244;1;364.9;4;6;NaN;NaN
WT552_239;FC-01;47;-52.8317;258527;22-jul-04;23:00:00;30.27;32.328;1;372.5;4;6;NaN;NaN
WT552_239;FC-01;47;-52.8317;258526;22-jul-04;23:00:00;40.38;32.379;1;362.2;4;6;NaN;NaN
WT552_239;FC-01;47;-52.8317;258525;22-jul-04;23:00:00;50.38;32.442;1;355;4;6;NaN;NaN
WT552_239;FC-01;47;-52.8317;258524;22-jul-04;23:00:00;74.78;32.496;1;351.5;4;6;NaN;NaN
WT552_239;FC-01;47;-52.8317;258523;22-jul-04;23:00:00;100.83;32.623;1;344.8;4;6;NaN;NaN
WT552_376;FC-02;47;-52.705;258531;23-jul-04;00:34:00;182.19;33.264;1;253.2;4;6;NaN;NaN
WT552_454;FC-03;47;-52.58;258540;23-jul-04;02:09:00;4.47;32.147;1;280;4;6;NaN;NaN
WT552_454;FC-03;47;-52.58;258539;23-jul-04;02:09:00;10.24;32.141;1;282.2;4;6;NaN;NaN
WT552_454;FC-03;47;-52.58;258538;23-jul-04;02:09:00;20.31;32.391;1;325.1;4;6;NaN;NaN
WT552_454;FC-03;47;-52.58;258537;23-jul-04;02:09:00;30.81;32.506;1;345.2;4;6;NaN;NaN
WT552_454;FC-03;47;-52.58;258536;23-jul-04;02:09:00;40.35;32.548;1;368;4;6;NaN;NaN
WT552_454;FC-03;47;-52.58;258535;23-jul-04;02:09:00;50.23;32.656;1;357.3;4;6;NaN;NaN
WT552_454;FC-03;47;-52.58;258534;23-jul-04;02:09:00;75.57;32.877;1;324.7;4;6;NaN;NaN
WT552_454;FC-03;47;-52.58;258533;23-jul-04;02:09:00;99.61;33.077;1;288.5;4;6;NaN;NaN
WT552_454;FC-03;47;-52.58;258532;23-jul-04;02:09:00;156.19;33.273;1;251.4;4;6;NaN;NaN
WT552_512;FC-04;47;-52.3217;258549;23-jul-04;04:51:00;4.29;32.073;1;283.6;4;6;NaN;NaN
WT552_512;FC-04;47;-52.3217;258548;23-jul-04;04:51:00;9.79;32.077;1;284;4;6;NaN;NaN
WT552_512;FC-04;47;-52.3217;258547;23-jul-04;04:51:00;20.29;32.105;1;329.6;4;6;NaN;NaN
WT552_512;FC-04;47;-52.3217;258546;23-jul-04;04:51:00;30.35;32.395;1;368.9;4;6;NaN;NaN
WT552_512;FC-04;47;-52.3217;258545;23-jul-04;04:51:00;40.77;32.482;1;373.4;4;6;NaN;NaN
WT552_512;FC-04;47;-52.3217;258544;23-jul-04;04:51:00;50.54;32.545;1;351.9;4;6;NaN;NaN
WT552_512;FC-04;47;-52.3217;258543;23-jul-04;04:51:00;75.16;32.762;1;343;4;6;NaN;NaN
WT552_512;FC-04;47;-52.3217;258542;23-jul-04;04:51:00;100.52;33.028;1;301.9;4;6;NaN;NaN
WT552_512;FC-04;47;-52.3217;258541;23-jul-04;04:51:00;119.16;33.209;1;267.1;4;6;NaN;NaN
WT552_553;FC-05;47;-52.0333;258558;23-jul-04;07:21:00;4.99;31.843;1;284;4;6;NaN;NaN
WT552_553;FC-05;47;-52.0333;258557;23-jul-04;07:21:00;9.91;31.858;1;295.6;4;6;NaN;NaN
WT552_553;FC-05;47;-52.0333;258556;23-jul-04;07:21:00;19.99;32.158;1;368.4;4;6;NaN;NaN
WT552_553;FC-05;47;-52.0333;258555;23-jul-04;07:21:00;30.11;32.329;1;373.4;4;6;NaN;NaN
WT552_553;FC-05;47;-52.0333;258554;23-jul-04;07:21:00;40.27;32.423;1;360.8;4;6;NaN;NaN
WT552_553;FC-05;47;-52.0333;258553;23-jul-04;07:21:00;50.57;32.467;1;347.9;4;6;NaN;NaN
WT552_553;FC-05;47;-52.0333;258552;23-jul-04;07:21:00;75.2;32.602;1;342.1;4;6;NaN;NaN
WT552_553;FC-05;47;-52.0333;258551;23-jul-04;07:21:00;101.29;32.755;1;341.2;4;6;NaN;NaN
WT552_553;FC-05;47;-52.0333;258550;23-jul-04;07:21:00;133.54;33.083;1;297.9;4;6;NaN;NaN
WT552_577;FC-06;47;-51.485;258559;23-jul-04;10:13:00;96.68;33.178;1;256.3;4;6;NaN;NaN
WT552_610;FC-07;47;-51;258567;23-jul-04;12:30:00;6.38;32.248;1;284.5;4;6;NaN;NaN
WT552_610;FC-07;47;-51;258566;23-jul-04;12:30:00;9.77;32.255;1;284.5;4;6;NaN;NaN
WT552_610;FC-07;47;-51;258565;23-jul-04;12:30:00;19.16;32.272;1;301.9;4;6;NaN;NaN
WT552_610;FC-07;47;-51;258564;23-jul-04;12:30:00;31.5;32.546;1;372.9;4;6;NaN;NaN
WT552_610;FC-07;47;-51;258563;23-jul-04;12:30:00;40.82;32.604;1;356.8;4;6;NaN;NaN
WT552_610;FC-07;47;-51;258562;23-jul-04;12:30:00;49.48;32.718;1;355;4;6;NaN;NaN
WT552_610;FC-07;47;-51;258561;23-jul-04;12:30:00;76.08;32.881;1;334.9;4;6;NaN;NaN
WT552_610;FC-07;47;-51;258560;23-jul-04;12:30:00;98.66;33.087;1;292.1;4;6;NaN;NaN
WT552_679;FC-08;47;-50.6667;258568;23-jul-04;14:38:00;172.09;33.266;1;258.6;4;6;NaN;NaN
WT552_103;FC-09;47;-50;258575;23-jul-04;17:34:00;5.08;32.471;1;282.7;4;6;NaN;NaN
WT552_103;FC-09;47;-50;258574;23-jul-04;17:34:00;9.47;32.472;1;283.6;4;6;NaN;NaN
WT552_103;FC-09;47;-50;258573;23-jul-04;17:34:00;20.38;32.623;1;318.9;4;6;NaN;NaN
WT552_103;FC-09;47;-50;258572;23-jul-04;17:34:00;30.64;32.753;1;335.8;4;6;NaN;NaN
WT552_103;FC-09;47;-50;258571;23-jul-04;17:34:00;40.38;32.768;1;348.3;4;6;NaN;NaN
WT552_103;FC-09;47;-50;258570;23-jul-04;17:34:00;50.46;32.822;1;337.2;4;6;NaN;NaN
WT552_103;FC-09;47;-50;258569;23-jul-04;17:34:00;75.83;33.03;1;234;4;6;NaN;NaN
WT552_117;FC-10;47;-49.1167;258582;23-jul-04;21:37:00;4.94;32.451;1;280.5;4;6;NaN;NaN
WT552_117;FC-10;47;-49.1167;258581;23-jul-04;21:37:00;10.17;32.46;1;281.4;4;6;NaN;NaN
WT552_117;FC-10;47;-49.1167;258580;23-jul-04;21:37:00;20.78;32.498;1;309;4;6;NaN;NaN
WT552_117;FC-10;47;-49.1167;258579;23-jul-04;21:37:00;30.7;32.566;1;330.5;4;6;NaN;NaN
WT552_117;FC-10;47;-49.1167;258578;23-jul-04;21:37:00;39.98;32.663;1;355;4;6;NaN;NaN
WT552_117;FC-10;47;-49.1167;258577;23-jul-04;21:37:00;50.42;32.693;1;385;4;6;NaN;NaN
WT552_117;FC-10;47;-49.1167;258576;23-jul-04;21:37:00;75.86;33.075;1;260.4;4;6;NaN;NaN
WT552_131;FC-11;47;-48.6167;258583;24-jul-04;00:18:00;99.98;33.233;1;256.3;4;6;NaN;NaN
WT552_145;FC-12;47;-48.1167;258592;24-jul-04;03:41:00;4.6;32.043;1;289.4;4;6;NaN;NaN
WT552_145;FC-12;47;-48.1167;258591;24-jul-04;03:41:00;10.1;32.048;1;292.1;4;6;NaN;NaN
WT552_145;FC-12;47;-48.1167;258590;24-jul-04;03:41:00;20.42;32.31;1;357.7;4;6;NaN;NaN
WT552_145;FC-12;47;-48.1167;258589;24-jul-04;03:41:00;30.45;32.382;1;370.2;4;6;NaN;NaN
WT552_145;FC-12;47;-48.1167;258588;24-jul-04;03:41:00;40.62;32.445;1;370.7;4;6;NaN;NaN
WT552_145;FC-12;47;-48.1167;258587;24-jul-04;03:41:00;50.39;32.643;1;362.6;4;6;NaN;NaN
