CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;Q_OXYM;SSAL_XX;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));((none));((none));((none));((none))
180334051_426;1041;48;-69.5;949;0;04-jul-34;15:00:00;281.8046;4;25.84;6;NaN;NaN
180334051_426;1041;48;-69.5;950;10;04-jul-34;15:00:00;276.892;4;28.62;6;NaN;NaN
180334051_426;1041;48;-69.5;951;25;04-jul-34;15:00:00;231.7854;4;30.01;6;NaN;NaN
180334051_424;1031;48;-69.58333;952;0;04-jul-34;16:00:00;306.3676;4;25.81;6;NaN;NaN
180334051_424;1031;48;-69.58333;953;10;04-jul-34;16:00:00;294.3094;4;28.08;6;NaN;NaN
180334051_424;1031;48;-69.58333;954;25;04-jul-34;16:00:00;237.1446;4;30.19;6;NaN;NaN
180334051_422;1021;48;-69.66667;955;0;04-jul-34;18:15:00;301.9016;4;24.58;6;NaN;NaN
180334051_422;1021;48;-69.66667;956;10;04-jul-34;18:15:00;297.4356;4;27.03;6;NaN;NaN
180334051_422;1021;48;-69.66667;957;25;04-jul-34;18:15:00;296.989;4;28.78;6;NaN;NaN
180334051_422;1021;48;-69.66667;958;50;04-jul-34;18:15:00;297.4356;4;31.08;6;NaN;NaN
180334051_420;1011;48;-69.75;959;0;04-jul-34;20:00:00;299.6686;4;26.08;6;NaN;NaN
180334051_420;1011;48;-69.75;960;10;04-jul-34;20:00:00;269.7464;4;27.38;6;NaN;NaN
180334051_420;1011;48;-69.75;961;25;04-jul-34;20:00:00;259.9212;4;29.83;6;NaN;NaN
180334051_427;1042;48;-69.5;1436;0;31-jul-34;15:30:00;279.125;4;27.61;6;NaN;NaN
180334051_427;1042;48;-69.5;1437;10;31-jul-34;15:30:00;270.193;4;28.15;6;NaN;NaN
180334051_427;1042;48;-69.5;1438;25;31-jul-34;15:30:00;277.3386;4;28.98;6;NaN;NaN
180334051_425;1032;48;-69.58333;1439;0;31-jul-34;16:45:00;294.3094;4;28.04;6;NaN;NaN
180334051_425;1032;48;-69.58333;1440;10;31-jul-34;16:45:00;293.8628;4;28.04;6;NaN;NaN
180334051_425;1032;48;-69.58333;1441;25;31-jul-34;16:45:00;287.1638;4;28.04;6;NaN;NaN
180334051_423;1022;48;-69.66667;1442;0;31-jul-34;18:00:00;294.756;4;25.88;6;NaN;NaN
180334051_423;1022;48;-69.66667;1443;10;31-jul-34;18:00:00;302.3482;4;27.47;6;NaN;NaN
180334051_423;1022;48;-69.66667;1444;25;31-jul-34;18:00:00;293.4162;4;29.23;6;NaN;NaN
180334051_423;1022;48;-69.66667;1445;50;31-jul-34;18:00:00;283.591;4;30.19;6;NaN;NaN
180334051_421;1012;48;-69.75;1446;0;31-jul-34;19:15:00;294.3094;4;27.16;6;NaN;NaN
180334051_421;1012;48;-69.75;1447;10;31-jul-34;19:15:00;294.3094;4;28.55;6;NaN;NaN
180334051_421;1012;48;-69.75;1448;25;31-jul-34;19:15:00;294.3094;4;29.31;6;NaN;NaN
