CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));(celsius);((none));(mmol/m**3);((none));((none));((none));((none))
181064009_182;26;38;-48.43;-591;0;13-jun-64;12:36:00;NaN;9;20.7;1;NaN;9;0;NaN;NaN
181064009_182;26;38;-48.43;-592;50;13-jun-64;12:36:00;229.9969;4;20.18;1;3;1;6;NaN;NaN
181064009_182;26;38;-48.43;-593;99;13-jun-64;12:36:00;211.2399;4;17.9;1;4;1;6;NaN;NaN
181064009_182;26;38;-48.43;-594;149;13-jun-64;12:36:00;220.1718;4;17.56;1;3;1;6;NaN;NaN
181064009_182;26;38;-48.43;-595;199;13-jun-64;12:36:00;223.7446;4;17.4;1;3;1;6;NaN;NaN
181064009_182;26;38;-48.43;-596;249;13-jun-64;12:36:00;229.9969;4;17.31;1;2;1;6;NaN;NaN
181064009_182;26;38;-48.43;-597;299;13-jun-64;12:36:00;228.6572;4;17.28;1;3;1;6;NaN;NaN
181064009_182;26;38;-48.43;-598;398;13-jun-64;12:36:00;223.7446;4;17.12;1;2;1;6;NaN;NaN
181064009_182;26;38;-48.43;-599;498;13-jun-64;12:36:00;224.1912;4;16.91;1;2;1;6;NaN;NaN
181064009_182;26;38;-48.43;-600;597;13-jun-64;12:36:00;209.4535;4;15.62;1;4;1;6;NaN;NaN
181064009_182;26;38;-48.43;-601;696;13-jun-64;12:36:00;215.7059;4;13.45;1;7;1;6;NaN;NaN
181064009_182;26;38;-48.43;-602;795;13-jun-64;12:36:00;169.7065;4;11.97;1;10;1;6;NaN;NaN
181064009_182;26;38;-48.43;-603;896;13-jun-64;12:36:00;148.2699;4;9.61;1;16;1;6;NaN;NaN
181064009_182;26;38;-48.43;-604;996;13-jun-64;12:36:00;176.852;4;7.25;1;17;1;6;NaN;NaN
181064009_182;26;38;-48.43;-605;1196;13-jun-64;12:36:00;229.9969;4;5.23;1;NaN;9;6;NaN;NaN
181064009_182;26;38;-48.43;-606;1558;13-jun-64;14:12:00;261.7052;4;4.2;1;NaN;9;6;NaN;NaN
181064009_182;26;38;-48.43;-607;2054;13-jun-64;14:12:00;270.6372;4;3.77;1;NaN;9;6;NaN;NaN
181064009_182;26;38;-48.43;-608;2542;13-jun-64;14:12:00;269.744;4;3.44;1;NaN;9;6;NaN;NaN
181064009_182;26;38;-48.43;-609;3045;13-jun-64;14:12:00;270.6372;4;3.04;1;NaN;9;6;NaN;NaN
181064009_182;26;38;-48.43;-610;3543;13-jun-64;14:12:00;270.1906;4;2.63;1;NaN;9;6;NaN;NaN
181064009_182;26;38;-48.43;-611;4040;13-jun-64;14:12:00;270.6372;4;2.38;1;NaN;9;6;NaN;NaN
181064009_182;26;38;-48.43;-612;4543;13-jun-64;14:12:00;271.0837;4;2.3;1;NaN;9;6;NaN;NaN
181064009_182;26;38;-48.43;-613;4743;13-jun-64;14:12:00;268.8508;4;2.3;1;NaN;9;6;NaN;NaN
181064009_182;26;38;-48.43;-614;4945;13-jun-64;14:12:00;268.8508;4;2.25;1;NaN;9;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-615;0;13-jun-64;22:12:00;NaN;9;20.7;1;NaN;9;0;NaN;NaN
181064009_193;27;38.0683;-49.9316;-616;10;13-jun-64;22:12:00;232.2299;4;20.39;1;NaN;9;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-617;50;13-jun-64;23:06:00;236.2493;4;19.78;1;3;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-618;99;13-jun-64;23:06:00;214.3661;4;17.93;1;4;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-619;150;13-jun-64;23:36:00;226.8708;4;17.6;1;3;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-620;200;13-jun-64;23:36:00;229.5503;4;17.58;1;2;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-621;250;13-jun-64;23:36:00;234.0163;4;17.42;1;2;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-622;300;13-jun-64;23:36:00;227.7639;4;17.38;1;3;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-623;400;14-jun-64;00:12:00;234.4629;4;17.35;1;2;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-624;500;14-jun-64;00:12:00;229.9969;4;17.23;1;2;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-625;600;14-jun-64;00:12:00;203.2012;4;16.22;1;4;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-626;695;14-jun-64;01:00:00;173.2792;4;14.28;1;6;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-627;790;14-jun-64;01:00:00;149.6096;4;12.36;1;10;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-628;898;14-jun-64;01:54:00;175.0656;4;9.94;1;16;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-629;996;14-jun-64;01:54:00;187.5703;4;7.56;1;18;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-630;1194;14-jun-64;02:42:00;229.9969;4;5.31;1;15;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-631;1492;14-jun-64;02:42:00;263.045;4;4.34;1;14;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-632;1995;14-jun-64;05:24:00;272.4236;4;3.87;1;14;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-633;2430;14-jun-64;05:24:00;277.3361;4;3.59;1;16;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-634;2975;14-jun-64;08:36:00;271.5304;4;3.19;1;21;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-635;3474;14-jun-64;08:36:00;268.4042;4;2.79;1;25;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-636;3973;14-jun-64;08:36:00;267.9576;4;2.45;1;30;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-637;4471;14-jun-64;08:36:00;273.7633;4;2.32;1;35;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-638;4970;14-jun-64;08:36:00;267.511;4;2.3;1;39;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-640;5170;13-jun-64;08:36:00;267.511;4;2.29;1;38;1;6;NaN;NaN
181064009_193;27;38.0683;-49.9316;-639;5370;14-jun-64;08:36:00;263.045;4;2.27;1;42;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-641;0;14-jun-64;13:36:00;NaN;9;20.6;1;2;1;0;NaN;NaN
181064009_204;28;38.5083;-49.9716;-642;49;14-jun-64;13:36:00;228.2105;4;20.21;1;2;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-643;98;14-jun-64;13:36:00;226.4241;4;18.4;1;3;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-644;147;14-jun-64;13:36:00;216.1525;4;17.84;1;2;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-645;196;14-jun-64;13:36:00;215.7059;4;17.6;1;4;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-646;293;14-jun-64;13:36:00;221.065;4;17.3;1;3;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-647;390;14-jun-64;13:36:00;222.8514;4;17.32;1;4;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-648;485;14-jun-64;13:36:00;215.7059;4;17.04;1;4;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-649;581;14-jun-64;13:36:00;209.0069;4;16.38;1;6;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-650;678;14-jun-64;13:36:00;188.4635;4;14.58;1;9;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-651;770;14-jun-64;13:36:00;178.6384;4;13.06;1;14;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-652;858;14-jun-64;13:36:00;151.396;4;10.69;1;17;1;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-653;952;14-jun-64;13:36:00;153.629;4;8.58;1;NaN;9;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-654;1135;14-jun-64;13:36:00;223.298;4;5.32;1;NaN;9;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-655;1426;14-jun-64;13:36:00;259.0257;4;4.44;1;NaN;9;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-656;1624;14-jun-64;15:12:00;264.8314;4;4.18;1;NaN;9;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-657;1825;14-jun-64;15:12:00;268.8508;4;3.98;1;NaN;9;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-658;2020;14-jun-64;15:12:00;271.0837;4;3.82;1;NaN;9;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-659;2223;14-jun-64;15:12:00;271.0837;4;3.7;1;NaN;9;6;NaN;NaN
181064009_204;28;38.5083;-49.9716;-660;2445;14-jun-64;15:12:00;267.9576;4;3.59;1;NaN;9;6;NaN;NaN
