CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;terrain;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;Q_OXYM;SSAL_XX;TEMP_XX;Q_TEMP_RT;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));((none));(celsius);((none));((none));((none));((none))
181071040_036;CAST#1;44.7663;-63.156;-1;4;26-jan-71;17:53:00;293;4;27;-0.75;1;6;NaN;NaN
181071040_036;CAST#1;44.7663;-63.156;-2;6;26-jan-71;17:53:00;293;4;27.13;-0.7;1;6;NaN;NaN
181071040_036;CAST#1;44.7663;-63.156;-3;8;26-jan-71;17:53:00;294;4;27.27;-0.7;1;6;NaN;NaN
181071040_036;CAST#1;44.7663;-63.156;-4;10;26-jan-71;17:53:00;293;4;27.3;-0.7;1;6;NaN;NaN
181071040_036;CAST#1;44.7663;-63.156;-5;12;26-jan-71;17:53:00;293;4;27.38;-0.7;1;6;NaN;NaN
181071040_036;CAST#1;44.7663;-63.156;-6;14;26-jan-71;17:53:00;292;4;27.42;-0.8;1;6;NaN;NaN
181071040_036;CAST#1;44.7663;-63.156;-7;15;26-jan-71;17:53:00;293;4;27.42;-0.8;1;6;NaN;NaN
181071040_036;CAST#1;44.7663;-63.156;-8;16;26-jan-71;17:53:00;292;4;27.42;-0.8;1;6;NaN;NaN
181071040_036;CAST#1;44.7663;-63.156;-9;17;26-jan-71;17:53:00;292;4;27.46;-0.85;1;6;NaN;NaN
181071040_036;CAST#1;44.7663;-63.156;-10;19;26-jan-71;17:53:00;292;4;27.5;-0.75;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-11;1;17-feb-71;16:15:00;361;4;0.9;-0.4;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-12;2;17-feb-71;16:15:00;358;4;18.2;-0.4;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-13;3;17-feb-71;16:15:00;345;4;19.4;-0.4;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-14;4;17-feb-71;16:15:00;357;4;22.6;-0.5;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-15;5;17-feb-71;16:15:00;366;4;24.2;-0.6;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-16;6;17-feb-71;16:15:00;330;4;26.31;-0.8;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-17;7;17-feb-71;16:15:00;315;4;27.15;-0.8;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-18;8;17-feb-71;16:15:00;308;4;27.69;-0.8;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-19;9;17-feb-71;16:15:00;305;4;27.72;-0.8;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-20;10;17-feb-71;16:15:00;305;4;27.82;-0.8;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-21;11;17-feb-71;16:15:00;314;4;27.9;-0.8;1;6;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-22;12;17-feb-71;16:15:00;308;4;27.92;-0.8;1;6;NaN;NaN
