CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;CHL_XX;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(mmol/m**3);((none));(celsius);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
181C04552_002;STN27;47.5467;-52.5867;258522;4;21-jul-04;23:20:00;4.21;31.65;1;281.8;4;12.91;1;0.58;1;0;1;0.23;1;1.04;1;6;0.00;0.00
181C04552_002;STN27;47.5467;-52.5867;258521;10;21-jul-04;23:20:00;9.83;31.65;1;285.4;4;11.87;1;0.83;1;0.11;1;0.27;1;1.04;1;6;0.41;0.11
181C04552_002;STN27;47.5467;-52.5867;258520;20;21-jul-04;23:20:00;20.16;32.017;1;345.2;4;4.43;1;1.73;1;0;1;0.29;1;1.04;1;6;0.00;0.00
181C04552_002;STN27;47.5467;-52.5867;258519;30;21-jul-04;23:20:00;30.42;32.135;1;358.6;4;2.54;1;1.24;1;0.61;1;0.45;1;1.62;1;6;1.36;0.38
181C04552_002;STN27;47.5467;-52.5867;258518;40;21-jul-04;23:20:00;40.02;32.269;1;368.4;4;0.57;1;0.51;1;1.28;1;0.45;1;1.04;1;6;2.84;1.23
181C04552_002;STN27;47.5467;-52.5867;258517;49;21-jul-04;23:20:00;49.39;32.374;1;373.4;4;-0.05;1;0.28;1;1.55;1;0.58;1;1.64;1;6;2.67;0.95
181C04552_002;STN27;47.5467;-52.5867;258516;74;21-jul-04;23:20:00;74.69;32.485;1;355.5;4;-0.96;1;0;1;4.47;1;0.82;1;2.6;1;6;5.45;1.72
181C04552_002;STN27;47.5467;-52.5867;258515;100;21-jul-04;23:20:00;100.76;32.596;1;343;4;-1.09;1;0;1;6.58;1;0.97;1;5.78;1;6;6.78;1.14
181C04552_002;STN27;47.5467;-52.5867;258514;149;21-jul-04;23:20:00;150.29;32.929;1;315.3;4;-0.61;1;0.02;1;7.56;1;1;1;8.61;1;6;7.56;0.88
181C04552_002;STN27;47.5467;-52.5867;258513;167;21-jul-04;23:20:00;168.52;33.136;1;275.1;4;-0.1;1;NaN;9;9.03;1;1.27;1;14.47;1;6;7.11;0.62
181C04552_113;FC-01;47;-52.8317;258530;5;22-jul-04;23:00:00;5.2;32.037;1;294.3;4;10.19;1;0.37;1;0;1;0.32;1;1.35;1;6;0.00;0.00
181C04552_113;FC-01;47;-52.8317;258529;11;22-jul-04;23:00:00;10.83;32.118;1;343.4;4;4.88;1;0.39;1;0.21;1;0.36;1;1.7;1;6;0.58;0.12
181C04552_113;FC-01;47;-52.8317;258528;20;22-jul-04;23:00:00;20.15;32.244;1;364.9;4;1.89;1;0.74;1;0.41;1;0.41;1;1.83;1;6;1.00;0.22
181C04552_113;FC-01;47;-52.8317;258527;30;22-jul-04;23:00:00;30.27;32.328;1;372.5;4;0.28;1;0.91;1;1.11;1;0.57;1;1.9;1;6;1.95;0.58
181C04552_113;FC-01;47;-52.8317;258526;40;22-jul-04;23:00:00;40.38;32.379;1;362.2;4;-0.06;1;0.65;1;3.52;1;0.69;1;2.73;1;6;5.10;1.29
181C04552_113;FC-01;47;-52.8317;258525;50;22-jul-04;23:00:00;50.38;32.442;1;355;4;-0.69;1;0.23;1;3.7;1;0.76;1;2.34;1;6;4.87;1.58
181C04552_113;FC-01;47;-52.8317;258524;74;22-jul-04;23:00:00;74.78;32.496;1;351.5;4;-1.1;1;0;1;4.92;1;0.96;1;3.39;1;6;5.13;1.45
181C04552_113;FC-01;47;-52.8317;258523;100;22-jul-04;23:00:00;100.83;32.623;1;344.8;4;-1.17;1;0;1;6.13;1;0.91;1;5.16;1;6;6.74;1.19
181C04552_225;FC-02;47;-52.705;258531;181;23-jul-04;00:34:00;182.19;33.264;1;253.2;4;0.37;1;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
181C04552_264;FC-03;47;-52.58;258540;4;23-jul-04;02:09:00;4.47;32.147;1;280;4;11.65;1;0.27;1;0.82;1;0.26;1;1.17;1;6;3.15;0.70
181C04552_264;FC-03;47;-52.58;258539;10;23-jul-04;02:09:00;10.24;32.141;1;282.2;4;11.2;1;0.27;1;0.88;1;0.23;1;1.04;1;6;3.83;0.85
181C04552_264;FC-03;47;-52.58;258538;20;23-jul-04;02:09:00;20.31;32.391;1;325.1;4;6.29;1;0.41;1;0.15;1;0.31;1;1.56;1;6;0.48;0.10
181C04552_264;FC-03;47;-52.58;258537;31;23-jul-04;02:09:00;30.81;32.506;1;345.2;4;4.24;1;0.27;1;0;1;0.3;1;1.05;1;6;0.00;0.00
181C04552_264;FC-03;47;-52.58;258536;40;23-jul-04;02:09:00;40.35;32.548;1;368;4;2.25;1;1.89;1;0.15;1;0.38;1;1.37;1;6;0.39;0.11
181C04552_264;FC-03;47;-52.58;258535;50;23-jul-04;02:09:00;50.23;32.656;1;357.3;4;0.89;1;0.85;1;0.7;1;0.52;1;1.33;1;6;1.35;0.53
181C04552_264;FC-03;47;-52.58;258534;75;23-jul-04;02:09:00;75.57;32.877;1;324.7;4;-0.28;1;0.03;1;5.76;1;0.92;1;4.29;1;6;6.26;1.34
181C04552_264;FC-03;47;-52.58;258533;99;23-jul-04;02:09:00;99.61;33.077;1;288.5;4;-0.05;1;0;1;8.52;1;1.15;1;9.15;1;6;7.41;0.93
181C04552_264;FC-03;47;-52.58;258532;155;23-jul-04;02:09:00;156.19;33.273;1;251.4;4;0.34;1;NaN;9;9.56;1;1.4;1;15.02;1;6;6.83;0.64
181C04552_284;FC-04;47;-52.3217;258549;4;23-jul-04;04:51:00;4.29;32.073;1;283.6;4;10.86;1;0.3;1;0.48;1;0.5;1;1.95;1;6;0.96;0.25
181C04552_284;FC-04;47;-52.3217;258548;10;23-jul-04;04:51:00;9.79;32.077;1;284;4;10.88;1;0.31;1;1.41;1;0.31;1;1.05;1;6;4.55;1.34
181C04552_284;FC-04;47;-52.3217;258547;20;23-jul-04;04:51:00;20.29;32.105;1;329.6;4;6.23;1;0.44;1;0;1;0.3;1;1.04;1;6;0.00;0.00
181C04552_284;FC-04;47;-52.3217;258546;30;23-jul-04;04:51:00;30.35;32.395;1;368.9;4;2.57;1;0.31;1;0.77;1;0.37;1;1.44;1;6;2.08;0.53
181C04552_284;FC-04;47;-52.3217;258545;40;23-jul-04;04:51:00;40.77;32.482;1;373.4;4;0.25;1;1.57;1;0.77;1;0.53;1;1.46;1;6;1.45;0.53
181C04552_284;FC-04;47;-52.3217;258544;50;23-jul-04;04:51:00;50.54;32.545;1;351.9;4;-0.83;1;0.7;1;3.48;1;0.8;1;2.54;1;6;4.35;1.37
181C04552_284;FC-04;47;-52.3217;258543;75;23-jul-04;04:51:00;75.16;32.762;1;343;4;-0.6;1;0;1;5.85;1;0.74;1;3.07;1;6;7.91;1.91
181C04552_284;FC-04;47;-52.3217;258542;100;23-jul-04;04:51:00;100.52;33.028;1;301.9;4;-0.46;1;0.09;1;9.7;1;1.13;1;11.74;1;6;8.58;0.83
181C04552_284;FC-04;47;-52.3217;258541;118;23-jul-04;04:51:00;119.16;33.209;1;267.1;4;0.23;1;NaN;9;12.84;1;1.31;1;12.63;1;6;9.80;1.02
181C04552_304;FC-05;47;-52.0333;258558;5;23-jul-04;07:21:00;4.99;31.843;1;284;4;11.05;1;0.31;1;0.53;1;0.36;1;1.32;1;6;1.47;0.40
181C04552_304;FC-05;47;-52.0333;258557;10;23-jul-04;07:21:00;9.91;31.858;1;295.6;4;9.61;1;0.34;1;0.12;1;0.37;1;1.24;1;6;0.32;0.10
181C04552_304;FC-05;47;-52.0333;258556;20;23-jul-04;07:21:00;19.99;32.158;1;368.4;4;2.19;1;0.24;1;1.31;1;0.4;1;1.49;1;6;3.27;0.88
181C04552_304;FC-05;47;-52.0333;258555;30;23-jul-04;07:21:00;30.11;32.329;1;373.4;4;0.87;1;0.83;1;0.55;1;0.42;1;1.25;1;6;1.31;0.44
181C04552_304;FC-05;47;-52.0333;258554;40;23-jul-04;07:21:00;40.27;32.423;1;360.8;4;-0.66;1;0.96;1;3.61;1;0.8;1;2.48;1;6;4.51;1.46
181C04552_304;FC-05;47;-52.0333;258553;50;23-jul-04;07:21:00;50.57;32.467;1;347.9;4;-1.06;1;0.13;1;4.81;1;0.83;1;2.74;1;6;5.80;1.76
181C04552_304;FC-05;47;-52.0333;258552;75;23-jul-04;07:21:00;75.2;32.602;1;342.1;4;-1.34;1;0;1;6.28;1;0.81;1;4.84;1;6;7.75;1.30
181C04552_304;FC-05;47;-52.0333;258551;100;23-jul-04;07:21:00;101.29;32.755;1;341.2;4;-1.28;1;0;1;8.08;1;0.89;1;6.24;1;6;9.08;1.29
181C04552_304;FC-05;47;-52.0333;258550;132;23-jul-04;07:21:00;133.54;33.083;1;297.9;4;-0.38;1;NaN;9;8.59;1;1.27;1;11.1;1;6;6.76;0.77
181C04552_315;FC-06;47;-51.485;258559;96;23-jul-04;10:13:00;96.68;33.178;1;256.3;4;0.38;1;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
181C04552_326;FC-07;47;-51;258567;6;23-jul-04;12:30:00;6.38;32.248;1;284.5;4;10.86;1;0.36;1;0.19;1;0.31;1;1.21;1;6;0.61;0.16
181C04552_326;FC-07;47;-51;258566;10;23-jul-04;12:30:00;9.77;32.255;1;284.5;4;10.78;1;0.38;1;0.58;1;0.33;1;1.3;1;6;1.76;0.45
181C04552_326;FC-07;47;-51;258565;19;23-jul-04;12:30:00;19.16;32.272;1;301.9;4;8.71;1;0.43;1;0.83;1;0.34;1;1.72;1;6;2.44;0.48
