CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
189016004_1493;181;47.93633;-60.5475;417898;4.07;07-mar-16;22:28:00;31.68;-0.93;370.70033;0.28;5.513;0.07;1;6.25667;1;0.77667;1;6.355;1;6;8.06;0.98
189016004_1493;181;47.93633;-60.5475;417897;15.77;07-mar-16;22:28:00;31.68;-0.92;NaN;0.32;5.357;0.07;1;6.25333;1;0.78333;1;6.295;1;0;7.98;0.99
189016004_1493;181;47.93633;-60.5475;417896;53.24;07-mar-16;22:28:00;31.72;-0.79;364.67123;0.245;4.418;0.06667;1;6.29667;1;0.78;1;6.42;1;6;8.07;0.98
189016004_1493;181;47.93633;-60.5475;417895;97.75;07-mar-16;22:28:00;32.83;1.75;NaN;NaN;1.227;0.01333;1;12.05333;1;1.16667;1;12.195;1;0;10.33;0.99
189016004_1493;181;47.93633;-60.5475;417894;150.27;07-mar-16;22:28:00;33.75;4.51;NaN;NaN;1.046;0.01667;1;15.11333;1;1.26333;1;14.625;1;0;11.96;1.03
189016004_1493;181;47.93633;-60.5475;417893;434.76;07-mar-16;22:28:00;34.87;5.65;152.71487;NaN;1.007;0.01333;1;22.74667;1;1.78;1;33.48;1;6;12.78;0.68
189016004_1494;201;47.84917;-59.6645;417910;3.17;08-mar-16;03:11:00;31.63;0.11;369.49451;2.32;19.031;0.085;1;3.31;1;0.62;1;3.76;1;6;5.34;0.88
189016004_1494;201;47.84917;-59.6645;417909;15.87;08-mar-16;03:11:00;31.63;0.07;NaN;2.395;18.913;0.09;1;3.32;1;0.62;1;3.67;1;0;5.35;0.90
189016004_1494;201;47.84917;-59.6645;417908;50.17;08-mar-16;03:11:00;31.72;0.23;365.78773;1.835;14.24;0.09;1;3.75;1;0.64;1;3.835;1;6;5.86;0.98
189016004_1494;201;47.84917;-59.6645;417907;101.12;08-mar-16;03:11:00;32.8;1.68;NaN;NaN;1.403;0.02;1;9.09;1;1.005;1;9.325;1;0;9.04;0.97
189016004_1494;201;47.84917;-59.6645;417906;151.27;08-mar-16;03:11:00;33.6;3.91;NaN;NaN;1.237;0.01667;1;15.21333;1;1.30333;1;16.01;1;0;11.67;0.95
189016004_1494;201;47.84917;-59.6645;417905;399.23;08-mar-16;03:11:00;34.87;5.86;152.35759;NaN;1.268;0.01;1;23.00333;1;1.74667;1;30.48;1;6;13.17;0.75
189016004_1495;211;47.63483;-59.93367;417916;1.49;08-mar-16;05:35:00;31.77;0.08;360.71882;0.32;5.686;0.07;1;5.09;1;0.74;1;5.045;1;6;6.88;1.01
189016004_1495;211;47.63483;-59.93367;417915;14.77;08-mar-16;05:35:00;31.77;0.08;NaN;0.315;5.687;0.07;1;5.095;1;0.73;1;5;1;0;6.98;1.02
189016004_1495;211;47.63483;-59.93367;417914;51.06;08-mar-16;05:35:00;31.79;0.16;358.37417;0.335;5.393;0.075;1;5.005;1;0.715;1;4.955;1;6;7.00;1.01
189016004_1495;211;47.63483;-59.93367;417913;100.23;08-mar-16;05:35:00;32.73;1.83;NaN;NaN;1.412;0.02;1;10.135;1;1.08;1;10.285;1;0;9.38;0.99
189016004_1495;211;47.63483;-59.93367;417912;149.19;08-mar-16;05:35:00;33.51;3.61;NaN;NaN;1.392;0.02;1;14.85;1;1.3;1;15.615;1;0;11.42;0.95
189016004_1495;211;47.63483;-59.93367;417911;518.17;08-mar-16;05:35:00;34.88;5.65;156.13136;NaN;1.186;0.02;1;22.285;1;1.785;1;32.66;1;6;12.48;0.68
189016004_1496;221;47.3885;-60.249;417922;1.39;08-mar-16;07:36:00;31.63;-0.95;371.7945;0.265;5.475;0.08;1;6.225;1;0.785;1;6.365;1;6;7.93;0.98
189016004_1496;221;47.3885;-60.249;417921;14.38;08-mar-16;07:36:00;31.63;-0.95;NaN;0.24;5.495;0.08;1;6.21;1;0.78;1;6.39;1;0;7.96;0.97
189016004_1496;221;47.3885;-60.249;417920;50.27;08-mar-16;07:36:00;31.7;-0.8;368.53432;0.27;5.015;0.08;1;5.925;1;0.765;1;5.93;1;6;7.75;1.00
189016004_1496;221;47.3885;-60.249;417919;100.63;08-mar-16;07:36:00;32.48;1.2;NaN;NaN;1.832;0.03;1;10.2;1;1.06;1;10.465;1;0;9.62;0.97
189016004_1496;221;47.3885;-60.249;417918;150.08;08-mar-16;07:36:00;33.64;4.03;NaN;NaN;1.314;0.01333;1;16.54;1;1.39333;1;17.8;1;0;11.87;0.93
189016004_1496;221;47.3885;-60.249;417917;206.16;08-mar-16;07:36:00;34.43;5.98;137.41882;NaN;1.412;0.025;1;21.46;1;1.685;1;26.225;1;6;12.74;0.82
189016004_1497;231;47.0845;-60.626;417927;1.69;08-mar-16;10:06:00;30.46;-1.14;391.17694;5.49;36.673;0.11;1;3.615;1;0.63;1;6.23;1;6;5.74;0.58
