CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;TEMP_XX;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18BA87001_113;CAST#1;43.85833;-49.33333;24005;10;27-feb-87;21:26:00;-0.076;NaN;9;9.1;2;0.94;2;7.76;2;2560;9.68;1.17
18BA87001_113;CAST#1;43.85833;-49.33333;24006;10;27-feb-87;21:26:00;-0.676;357.7266;4;9.09;2;0.99;2;8.07;2;2566;9.18;1.13
18BA87001_113;CAST#1;43.85833;-49.33333;24002;30;27-feb-87;21:26:00;-0.083;355.9402;4;9.09;2;1.01;2;8.09;2;2566;9.00;1.12
18BA87001_113;CAST#1;43.85833;-49.33333;24003;30;27-feb-87;21:26:00;-0.083;NaN;9;9.05;2;0.96;2;8.48;2;2560;9.43;1.07
18BA87001_113;CAST#1;43.85833;-49.33333;24004;30;27-feb-87;21:26:00;-0.083;NaN;9;9.11;2;0.97;2;7.96;2;2560;9.39;1.14
18BA87001_113;CAST#1;43.85833;-49.33333;24001;66;27-feb-87;21:26:00;0.056;352.814;4;9.11;2;1.04;2;8.07;1;2054;8.76;1.13
18BA87001_225;CAST#1;43.73833;-48.91833;24016;14;28-feb-87;00:38:00;0.985;349.6878;4;9.7;1;0.9;1;7.87;1;6;10.78;1.23
18BA87001_225;CAST#1;43.73833;-48.91833;24015;54;28-feb-87;00:38:00;0.607;347.9014;4;10.82;1;0.92;1;8.55;1;6;11.76;1.27
18BA87001_225;CAST#1;43.73833;-48.91833;24014;102;28-feb-87;00:38:00;1.132;339.8626;4;12.23;1;0.95;1;8.47;1;6;12.87;1.44
18BA87001_225;CAST#1;43.73833;-48.91833;24013;206;28-feb-87;00:38:00;2.378;325.5714;4;13.8;1;1;1;7.99;1;6;13.80;1.73
18BA87001_225;CAST#1;43.73833;-48.91833;24012;407;28-feb-87;00:38:00;3.342;304.5812;4;16.25;1;1.08;1;8.66;1;6;15.05;1.88
18BA87001_225;CAST#1;43.73833;-48.91833;24011;606;28-feb-87;00:38:00;3.513;301.455;4;17.43;1;1.23;1;9.49;1;6;14.17;1.84
18BA87001_225;CAST#1;43.73833;-48.91833;24010;810;28-feb-87;00:38:00;3.507;301.0084;4;17.36;1;1.15;1;9.38;1;6;15.10;1.85
18BA87001_225;CAST#1;43.73833;-48.91833;24009;1007;28-feb-87;00:38:00;3.364;304.5812;4;17.05;1;1.14;1;9.34;1;6;14.96;1.83
18BA87001_225;CAST#1;43.73833;-48.91833;24008;1103;28-feb-87;00:38:00;3.346;302.7948;4;16.71;1;1.12;1;9.16;1;6;14.92;1.82
18BA87001_225;CAST#1;43.73833;-48.91833;24007;1205;28-feb-87;00:38:00;3.307;301.9016;4;13.72;1;1.07;1;8.45;1;6;12.82;1.62
18BA87001_264;CAST#1;43.61667;-48.435;24036;10;28-feb-87;05:25:00;2.631;330.484;4;10.62;1;0.92;1;7.7;1;6;11.54;1.38
18BA87001_264;CAST#1;43.61667;-48.435;24035;17;28-feb-87;05:25:00;2.627;333.1636;4;10.83;1;0.88;1;7.67;1;6;12.31;1.41
18BA87001_264;CAST#1;43.61667;-48.435;24034;40;28-feb-87;05:25:00;2.631;330.9306;4;10.72;1;0.9;1;7.86;1;6;11.91;1.36
18BA87001_264;CAST#1;43.61667;-48.435;24033;100;28-feb-87;05:25:00;4.224;272.8726;4;15.95;1;1.15;1;10.05;1;6;13.87;1.59
18BA87001_264;CAST#1;43.61667;-48.435;24032;190;28-feb-87;05:25:00;5.923;215.2612;4;22.04;1;1.44;1;13.36;1;6;15.31;1.65
18BA87001_264;CAST#1;43.61667;-48.435;24031;290;28-feb-87;05:25:00;5.081;319.7656;4;20.36;1;1.33;1;12.34;1;6;15.31;1.65
18BA87001_264;CAST#1;43.61667;-48.435;24030;403;28-feb-87;05:25:00;4.823;251.4358;4;19.96;1;1.31;1;12.14;1;6;15.24;1.64
18BA87001_264;CAST#1;43.61667;-48.435;24029;580;28-feb-87;05:25:00;3.814;284.9308;4;18.61;1;1.18;1;10.68;1;6;15.77;1.74
18BA87001_264;CAST#1;43.61667;-48.435;24028;766;28-feb-87;05:25:00;3.493;293.4162;4;18.36;1;1.17;1;10.27;1;6;15.69;1.79
18BA87001_264;CAST#1;43.61667;-48.435;24027;958;28-feb-87;05:25:00;3.283;301.455;4;17.99;1;1.16;1;10.1;1;6;15.51;1.78
18BA87001_264;CAST#1;43.61667;-48.435;24026;1220;28-feb-87;05:25:00;1.385;NaN;9;17.99;1;1.23;1;11.01;1;0;14.63;1.63
18BA87001_264;CAST#1;43.61667;-48.435;24025;1510;28-feb-87;05:25:00;2.121;NaN;9;17.86;1;1.27;1;10.88;1;0;14.06;1.64
18BA87001_264;CAST#1;43.61667;-48.435;24024;1785;28-feb-87;05:25:00;2.838;NaN;9;17.99;1;1.34;1;11.61;1;0;13.43;1.55
