CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_01;CHL_03;FLOR;CHL_XX;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU01064_588;11;46.95317;-60.21533;247006;2.58;29-nov-01;12:44:00;30.36;5.13;325.16946;318.91706;1.155;0.78;2.024;NaN;1;0.14;1;2.70333;1;NaN;9;0.56;1;NaN;9;4.59333;1;NaN;9;6;4.83;0.59
18HU01064_588;11;46.95317;-60.21533;247005;5.65;29-nov-01;12:44:00;30.36;5.12;325.21412;319.27434;1.53;1;1.974;NaN;7;0.145;1;2.71333;1;NaN;9;0.57;1;NaN;9;4.565;1;NaN;9;134;4.76;0.59
18HU01064_588;11;46.95317;-60.21533;247004;14.58;29-nov-01;12:44:00;30.38;5.12;324.81218;318.82774;1.035;0.69;2.157;NaN;1;0.14;1;2.68667;1;NaN;9;0.565;1;NaN;9;4.61333;1;NaN;9;6;4.76;0.58
18HU01064_588;11;46.95317;-60.21533;247003;28.06;29-nov-01;12:44:00;30.56;4.85;324.4549;318.6491;1.005;0.805;1.833;NaN;1;0.145;1;2.55333;1;NaN;9;0.595;1;NaN;9;4.61;1;NaN;9;6;4.29;0.55
18HU01064_588;11;46.95317;-60.21533;247002;49.38;29-nov-01;12:44:00;31.24;4.03;327.93838;323.51704;0.765;0.63;1.362;NaN;1;0.15;1;3.29667;1;NaN;9;0.635;1;NaN;9;4.36667;1;NaN;9;6;5.19;0.75
18HU01064_588;11;46.95317;-60.21533;247001;77.64;29-nov-01;12:44:00;31.88;2.84;314.853;312.78375;NaN;NaN;0.797;NaN;9;0.12;1;5.39;1;NaN;9;0.79;1;NaN;9;6.34667;1;NaN;9;6;6.82;0.85
18HU01064_589;21;47.02533;-60.11317;247013;4.36;29-nov-01;14:15:00;31.25;3.92;333.43156;328.87624;1.38;1.055;2.159;NaN;1;0.12667;1;3.03667;1;NaN;9;0.895;1;NaN;9;4.275;1;NaN;9;6;3.39;0.71
18HU01064_589;21;47.02533;-60.11317;247012;4.86;29-nov-01;14:15:00;31.26;3.93;333.3869;329.45682;1.455;1.075;2.137;NaN;1;0.145;1;2.975;1;NaN;9;0.65;1;NaN;9;4.18667;1;NaN;9;6;4.58;0.71
18HU01064_589;21;47.02533;-60.11317;247011;15.37;29-nov-01;14:15:00;31.33;4.04;331.3772;329.50148;1.545;1.16;2.463;NaN;1;0.135;1;2.73667;1;NaN;9;0.615;1;NaN;9;3.92667;1;NaN;9;6;4.45;0.70
18HU01064_589;21;47.02533;-60.11317;247010;25.19;29-nov-01;14:15:00;31.56;4.41;332.62768;326.73256;1.11;0.855;2.004;NaN;1;0.095;1;1.63;1;NaN;9;0.555;1;NaN;9;1.87;1;NaN;9;6;2.94;0.87
18HU01064_589;21;47.02533;-60.11317;247009;50.57;29-nov-01;14:15:00;31.9;4.28;321.95394;317.7559;0.32;0.22;0.708;NaN;1;0.175;1;3.02333;1;NaN;9;0.6;1;NaN;9;2.74;1;NaN;9;6;5.04;1.10
18HU01064_589;21;47.02533;-60.11317;247008;99.54;29-nov-01;14:15:00;32.75;1.31;312.12874;309.62778;0.09;0.055;0.285;NaN;1;0.025;1;7.61667;1;NaN;9;0.92;1;NaN;9;6.69667;1;NaN;9;6;8.28;1.14
18HU01064_589;21;47.02533;-60.11317;247007;181.9;29-nov-01;14:15:00;33.31;2.63;259.60858;258.46231;NaN;NaN;0.585;NaN;9;0.04;1;11.74;1;NaN;9;1.105;1;NaN;9;11.91667;1;NaN;9;6;10.62;0.99
18HU01064_590;31;47.09717;-59.9925;247021;5.65;29-nov-01;15:46:00;31.57;4.25;333.96748;329.1442;0.835;0.74;2.159;NaN;1;0.11;1;1.87667;1;NaN;9;0.525;1;NaN;9;2.215;1;NaN;9;6;3.57;0.85
18HU01064_590;31;47.09717;-59.9925;247020;14.68;29-nov-01;15:46:00;31.57;4.25;334.36942;330.08206;0.82;0.73;2.351;NaN;1;0.11;1;1.91;1;NaN;9;0.515;1;NaN;9;2.35;1;NaN;9;6;3.71;0.81
