CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;CHL_03;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);((none));(mmol/m**3);((none));(celsius);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU03075_002;STN27;47.5467;-52.5867;257387;5;19-nov-03;01:03:00;31.58;1;308.8211;4;5.51;1;0.42;1;1.47;1;0.54;1;2.85;1;6;2.72;0.52
18HU03075_002;STN27;47.5467;-52.5867;257386;9;19-nov-03;01:03:00;31.58;1;308.9104;4;5.5;1;0.44;1;1.23;1;0.53;1;2.77;1;6;2.32;0.44
18HU03075_002;STN27;47.5467;-52.5867;257385;20;19-nov-03;01:03:00;31.58;1;309.7143;4;5.43;1;0.43;1;1.12;1;0.5;1;2.66;1;6;2.24;0.42
18HU03075_002;STN27;47.5467;-52.5867;257384;30;19-nov-03;01:03:00;31.64;1;313.3317;4;4.92;1;0.46;1;1.7;1;0.58;1;3.27;1;6;2.93;0.52
18HU03075_002;STN27;47.5467;-52.5867;257383;40;19-nov-03;01:03:00;31.68;1;313.4657;4;4.79;1;0.38;1;2.07;1;0.59;1;3.42;1;6;3.51;0.61
18HU03075_002;STN27;47.5467;-52.5867;257382;51;19-nov-03;01:03:00;31.69;1;313.3317;4;4.77;1;0.29;1;1.79;1;0.57;1;3.16;1;6;3.14;0.57
18HU03075_002;STN27;47.5467;-52.5867;257381;77;19-nov-03;01:03:00;32.04;1;322.8889;4;3.17;1;0.33;1;2.82;1;0.71;1;4.29;1;6;3.97;0.66
18HU03075_002;STN27;47.5467;-52.5867;257380;101;19-nov-03;01:03:00;32.38;1;328.6053;4;0.88;1;0.1;1;4.68;1;0.89;1;5.93;1;6;5.26;0.79
18HU03075_002;STN27;47.5467;-52.5867;257379;152;19-nov-03;01:03:00;32.77;1;319.5841;4;-1.02;1;NaN;9;8.44;1;1.24;1;10.68;1;6;6.81;0.79
18HU03075_002;STN27;47.5467;-52.5867;257378;174;19-nov-03;01:03:00;33.04;1;309.3571;4;-1.16;1;NaN;9;10.69;1;1.36;1;13.65;1;6;7.86;0.78
