CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXY_02;Q_OXY;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(ml/l);((none));((none));((none));((none))
18HU07011_225;STN27;47.5333;-52.5833;309425;5;10-may-07;15:29:00;8.5;1;0;NaN;NaN
18HU07011_225;STN27;47.5333;-52.5833;309426;5;10-may-07;15:30:00;8.5;1;0;NaN;NaN
18HU07011_225;STN27;47.5333;-52.5833;309424;10;10-may-07;15:29:00;8.7;1;0;NaN;NaN
18HU07011_225;STN27;47.5333;-52.5833;309423;21;10-may-07;15:28:00;8.8;1;0;NaN;NaN
18HU07011_225;STN27;47.5333;-52.5833;309422;31;10-may-07;15:27:00;9;1;0;NaN;NaN
18HU07011_225;STN27;47.5333;-52.5833;309421;40;10-may-07;15:27:00;9.3;3;16;NaN;NaN
18HU07011_225;STN27;47.5333;-52.5833;309420;41;10-may-07;15:27:00;9.2;3;16;NaN;NaN
18HU07011_225;STN27;47.5333;-52.5833;309419;75;10-may-07;15:24:00;8.6;1;0;NaN;NaN
18HU07011_225;STN27;47.5333;-52.5833;309418;101;10-may-07;15:23:00;8.1;1;0;NaN;NaN
18HU07011_225;STN27;47.5333;-52.5833;309416;153;10-may-07;15:21:00;7.4;1;0;NaN;NaN
18HU07011_225;STN27;47.5333;-52.5833;309415;170;10-may-07;15:19:00;7.2;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310305;2;25-may-07;05:12:00;7.1;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310304;50;25-may-07;05:10:00;7.1;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310303;100;25-may-07;05:08:00;5.7;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310302;170;25-may-07;05:06:00;4.7;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310301;292;25-may-07;05:03:00;4.3;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310300;450;25-may-07;04:58:00;4.6;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310299;641;25-may-07;04:54:00;5.6;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310298;840;25-may-07;04:49:00;5.7;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310297;1050;25-may-07;04:44:00;6.1;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310295;1510;25-may-07;04:34:00;6.1;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310294;1761;25-may-07;04:28:00;6.2;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310293;2021;25-may-07;04:22:00;6.2;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310292;2280;25-may-07;04:17:00;6.2;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310291;2531;25-may-07;04:12:00;6.2;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310290;2769;25-may-07;04:07:00;6.2;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310289;3000;25-may-07;04:02:00;6.3;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310288;3221;25-may-07;03:57:00;6.6;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310287;3421;25-may-07;03:53:00;6.3;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310286;3600;25-may-07;03:50:00;6.2;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310285;3760;25-may-07;03:46:00;6.2;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310284;3900;25-may-07;03:43:00;6.2;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310283;4030;25-may-07;03:40:00;6.1;1;0;NaN;NaN
18HU07011_147;HL_10;42.0167;-61.05;310282;4147;25-may-07;03:37:00;6.1;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310329;1;25-may-07;11:43:00;5.6;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310328;55;25-may-07;11:40:00;5.2;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310327;104;25-may-07;11:38:00;4.7;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310326;185;25-may-07;11:36:00;4.1;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310325;310;25-may-07;11:32:00;3.3;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310324;486;25-may-07;11:26:00;4.4;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310323;690;25-may-07;11:21:00;5.5;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310322;906;25-may-07;11:16:00;5.8;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310321;1129;25-may-07;11:11:00;6;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310319;1625;25-may-07;11:00:00;6.1;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310318;1890;25-may-07;10:54:00;6.2;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310317;2171;25-may-07;10:48:00;6.2;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310316;2450;25-may-07;10:42:00;6.1;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310315;2718;25-may-07;10:23:00;6.2;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310314;2977;25-may-07;10:16:00;6.2;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310313;3225;25-may-07;10:10:00;6.2;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310312;3461;25-may-07;10:04:00;6.3;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310311;3691;25-may-07;09:58:00;6.2;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310310;3920;25-may-07;09:53:00;6.2;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310309;4099;25-may-07;09:48:00;6.2;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310308;4259;25-may-07;09:45:00;6.2;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310307;4400;25-may-07;09:42:00;6.1;1;0;NaN;NaN
18HU07011_153;HL_11;41.7667;-60.9;310306;4510;25-may-07;09:38:00;6.1;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310353;3;25-may-07;19:47:00;5.6;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310352;55;25-may-07;19:45:00;5;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310351;116;25-may-07;19:43:00;5.3;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310350;196;25-may-07;19:40:00;5;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310349;331;25-may-07;19:36:00;3.7;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310348;516;25-may-07;19:30:00;3.8;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310347;731;25-may-07;19:24:00;5.3;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310346;962;25-may-07;19:16:00;5.8;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310345;1200;25-may-07;19:02:00;6;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310343;1722;25-may-07;18:48:00;6.1;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310342;2011;25-may-07;18:40:00;6.2;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310341;2309;25-may-07;18:32:00;6.1;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310340;2604;25-may-07;18:25:00;6.1;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310339;2891;25-may-07;17:53:00;6.1;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310338;3166;25-may-07;17:46:00;6.2;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310337;3430;25-may-07;17:40:00;6.2;1;0;NaN;NaN
18HU07011_158;HL_12;41.4;-60.6668;310336;3680;25-may-07;17:21:00;6.2;1;0;NaN;NaN
