CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU13008_284;HL_02;44.26613;-63.31396;392010;2.86;07-may-13;06:14:00;31.1303;4.0388;7.8461;0.1754;1;31.1567;1;8.0705;1;0.05;1;NaN;9;0.395;1;NaN;9;0.386;1;NaN;9;0.345;1;NaN;9;0;1.02;1.14
18HU13008_284;HL_02;44.26613;-63.31396;392009;9.92;07-may-13;06:14:00;31.1601;3.8438;7.8682;0.2091;1;NaN;9;7.988;1;0.045;1;NaN;9;0.395;1;NaN;9;0.42;1;NaN;9;0.35;1;NaN;9;0;0.94;1.13
18HU13008_284;HL_02;44.26613;-63.31396;392008;20.8;07-may-13;06:14:00;31.3653;3.573;7.8387;0.1923;1;NaN;9;NaN;9;0.095;1;NaN;9;0.185;1;NaN;9;0.421;1;NaN;9;0.47;1;NaN;9;0;0.44;0.39
18HU13008_284;HL_02;44.26613;-63.31396;392007;29.03;07-may-13;06:14:00;31.3964;3.0123;7.9295;0.1803;1;NaN;9;8.093;1;0.095;1;NaN;9;1.385;1;NaN;9;0.4305;1;NaN;9;0.84;1;NaN;9;0;3.22;1.65
18HU13008_284;HL_02;44.26613;-63.31396;392006;40.11;07-may-13;06:14:00;31.6568;2.8776;7.8985;0.1628;1;31.6554;1;8.1055;1;0.115;1;NaN;9;1.48;1;NaN;9;0.4735;1;NaN;9;1.08;1;NaN;9;0;3.13;1.37
18HU13008_284;HL_02;44.26613;-63.31396;392005;51.21;07-may-13;06:14:00;31.8078;2.4634;7.7388;0.0805;1;NaN;9;8.005;1;0.12;1;NaN;9;2.2;1;NaN;9;0.574;1;NaN;9;2.04;1;NaN;9;0;3.83;1.08
18HU13008_284;HL_02;44.26613;-63.31396;392004;60.46;07-may-13;06:14:00;31.8925;1.9724;7.2996;0.0525;1;NaN;9;7.429;1;0.165;1;NaN;9;5.825;1;NaN;9;0.822;1;NaN;9;5.33;1;NaN;9;0;7.09;1.09
18HU13008_284;HL_02;44.26613;-63.31396;392003;79.9;07-may-13;06:14:00;32.2561;2.6732;6.7868;0.049;1;NaN;9;7.02;1;0.17;1;NaN;9;6.895;1;NaN;9;0.875;1;NaN;9;5.66;1;NaN;9;0;7.88;1.22
18HU13008_284;HL_02;44.26613;-63.31396;392002;99.91;07-may-13;06:14:00;32.8641;4.7888;6.0696;0.0508;1;NaN;9;6.363;1;0.19;1;NaN;9;7.83;1;NaN;9;0.8595;1;NaN;9;6.655;1;NaN;9;0;9.11;1.18
18HU13008_284;HL_02;44.26613;-63.31396;392001;137.02;07-may-13;06:14:00;34.353;9.1703;3.9213;0.0665;1;34.3466;1;4.0515;1;0.17;1;NaN;9;14.9;1;NaN;9;1.1685;1;NaN;9;15.94;1;NaN;9;0;12.75;0.93
18HU13008_284;HL_02;44.26613;-63.31396;391992;137.12;07-may-13;06:14:00;34.3636;9.1974;3.9067;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_284;HL_02;44.26613;-63.31396;391988;137.13;07-may-13;06:14:00;34.3901;9.2693;3.9079;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_284;HL_02;44.26613;-63.31396;391998;137.16;07-may-13;06:14:00;34.3566;9.1791;3.9235;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
