CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU15006_304;HL_02;44.26814;-63.31419;407772;2.45;05-may-15;00:24:00;2.451;30.7837;2.6254;8.1702;8.244;NaN;9;NaN;9;8.946;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.26808;-63.3141;407774;2.48;05-may-15;00:25:00;2.482;30.7786;2.6636;7.4963;8.244;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.2682;-63.31432;407769;2.6;05-may-15;00:24:00;2.604;30.7836;2.6228;7.7673;8.24;0.44003;1;30.8049;1;5.0145;7;0.02;1;0;1;0.2575;1;0.055;1;256;0.00;0.00
18HU15006_304;HL_02;44.26816;-63.31423;407771;2.8;05-may-15;00:24:00;2.802;30.7843;2.6215;8.0721;8.244;NaN;9;NaN;9;8.9415;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.26811;-63.31415;407773;2.82;05-may-15;00:25:00;2.821;30.7766;2.6711;8.4784;8.244;NaN;9;NaN;9;8.94533;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.26818;-63.31428;407770;2.96;05-may-15;00:24:00;2.961;30.7837;2.6238;8.2884;8.244;NaN;9;NaN;9;8.96433;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.2684;-63.31462;407768;10.25;05-may-15;00:23:00;10.252;30.8166;2.2692;7.9639;8.231;0.71467;1;NaN;9;NaN;9;0.01;1;0;1;0.2705;1;0.065;1;0;0.00;0.00
18HU15006_304;HL_02;44.26838;-63.31464;407767;20.8;05-may-15;00:22:00;20.805;31.1338;0.2027;8.5944;8.215;2.50515;1;NaN;9;NaN;9;0.02;1;0.5;1;0.403;1;1.78;1;0;1.24;0.28
18HU15006_304;HL_02;44.2682;-63.3146;407766;30.77;05-may-15;00:21:00;30.778;31.35;0.1809;8.2549;8.105;4.93663;1;NaN;9;NaN;9;0.08;1;3.755;1;0.6905;1;2.275;1;0;5.44;1.65
18HU15006_304;HL_02;44.26778;-63.31462;407762;39.66;05-may-15;00:19:00;39.661;31.386;-0.7456;7.2654;8.044;NaN;9;NaN;9;8.098;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.26789;-63.31462;407764;40.05;05-may-15;00:19:00;40.059;31.3952;-0.7354;7.8771;8.044;NaN;9;NaN;9;8.09633;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.26793;-63.31462;407765;40.06;05-may-15;00:20:00;40.067;31.3913;-0.739;7.5227;8.044;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.26782;-63.31462;407763;40.17;05-may-15;00:19:00;40.171;31.3927;-0.7372;7.978;8.044;NaN;9;NaN;9;8.0925;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.2677;-63.31464;407760;40.23;05-may-15;00:19:00;40.232;31.3944;-0.7395;8.2777;8.046;3.20512;1;31.3913;1;8.097;1;0.1;1;5.24;1;0.771;1;4.605;1;0;6.80;1.14
18HU15006_304;HL_02;44.26774;-63.31463;407761;40.25;05-may-15;00:19:00;40.253;31.3952;-0.7378;8.0217;8.045;NaN;9;NaN;9;8.09233;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.26746;-63.31452;407759;50.86;05-may-15;00:18:00;50.864;31.644;0.4627;8.3315;8.093;1.31265;1;NaN;9;NaN;9;0.07;1;3.47;1;0.683;1;3.175;1;0;5.08;1.09
18HU15006_304;HL_02;44.26762;-63.31442;407758;61.08;05-may-15;00:16:00;61.08;31.7552;-0.0297;7.5952;8.065;0.45182;1;NaN;9;NaN;9;0.075;1;4.63;1;0.748;1;5.085;1;0;6.19;0.91
18HU15006_304;HL_02;44.268;-63.31472;407757;80.28;05-may-15;00:15:00;80.283;32.1067;1.0447;6.8784;8.023;0.2318;1;NaN;9;NaN;9;0.075;1;6.715;1;0.9465;1;6.745;1;0;7.09;1.00
18HU15006_304;HL_02;44.26794;-63.31488;407756;102.12;05-may-15;00:13:00;102.129;32.6237;2.8203;6.6767;7.992;0.17287;1;NaN;9;NaN;9;0.075;1;9.28;1;1.031;1;8.925;1;0;9.00;1.04
18HU15006_304;HL_02;44.26714;-63.31462;407755;146.38;05-may-15;00:11:00;146.387;34.8677;9.8714;3.6811;7.981;0.13358;1;34.866;1;3.4315;1;0.05;1;18.05;1;1.3405;1;14.965;1;0;13.47;1.21
18HU15006_304;HL_02;44.26708;-63.3146;407752;146.51;05-may-15;00:10:00;146.51;34.8666;9.8695;3.5647;7.984;NaN;9;NaN;9;3.42067;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.2671;-63.31462;407754;146.54;05-may-15;00:10:00;146.547;34.8648;9.8673;3.6081;7.982;NaN;9;NaN;9;3.443;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.26709;-63.3146;407753;146.56;05-may-15;00:10:00;146.568;34.8648;9.8648;3.5554;7.982;NaN;9;NaN;9;3.431;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_304;HL_02;44.26707;-63.3146;407751;146.74;05-may-15;00:10:00;146.746;34.8687;9.8766;3.5875;7.986;NaN;9;NaN;9;3.435;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407797;3.08;06-may-15;11:55:00;3.082;32.1837;0.5897;8.4631;8.185;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407793;3.1;06-may-15;11:55:00;3.101;32.1819;0.5887;8.4768;8.185;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407794;3.12;06-may-15;11:55:00;3.121;32.1834;0.5888;8.4758;8.185;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.56972;-53.06272;407791;3.29;06-may-15;11:54:00;3.298;32.1833;0.5887;8.4714;8.184;1.60435;1;NaN;9;8.65;1;0.065;1;1.36;7;0.487;1;2.34;1;512;2.79;0.58
18HU15006_339;Cape_Race;46.5697;-53.0627;407796;3.38;06-may-15;11:55:00;3.386;32.1834;0.5891;8.4852;8.185;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407798;3.47;06-may-15;11:55:00;3.476;32.1834;0.5894;8.4912;8.185;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.5697;-53.0627;407792;3.8;06-may-15;11:55:00;3.807;32.1829;0.5895;8.4914;8.185;NaN;9;32.1915;1;NaN;9;0.06;1;2.05;7;0.5815;2;2.76;2;2560;3.53;0.74
18HU15006_339;Cape_Race;46.5697;-53.0627;407795;3.91;06-may-15;11:55:00;3.915;32.1835;0.5889;8.4561;8.185;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.5698;-53.06278;407790;10.81;06-may-15;11:54:00;10.818;32.1809;0.587;8.4851;8.185;2.09991;1;NaN;9;8.666;1;0.06;1;1.18;1;0.485;1;2.17;1;0;2.43;0.54
18HU15006_339;Cape_Race;46.56996;-53.06286;407787;20.33;06-may-15;11:53:00;20.339;32.3073;0.3406;8.6866;8.205;NaN;9;NaN;9;8.8165;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.56996;-53.06286;407786;20.52;06-may-15;11:53:00;20.524;32.3072;0.3411;8.6861;8.205;3.90509;1;NaN;9;8.827;1;0.045;1;0.91;1;0.445;1;1.89;1;0;2.04;0.48
18HU15006_339;Cape_Race;46.56995;-53.06285;407788;20.57;06-may-15;11:53:00;20.576;32.3105;0.3309;8.6558;8.205;NaN;9;NaN;9;8.9915;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.56994;-53.06284;407789;20.63;06-may-15;11:53:00;20.631;32.3102;0.3314;8.6628;8.205;NaN;9;NaN;9;8.8355;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.57006;-53.06294;407785;30.31;06-may-15;11:52:00;30.31;32.3517;0.0806;8.6653;8.203;4.31034;1;NaN;9;8.829;1;0.03;1;0.445;1;0.4685;1;1.805;1;0;0.95;0.25
18HU15006_339;Cape_Race;46.57008;-53.06298;407784;40.26;06-may-15;11:51:00;40.269;32.3667;0.0415;8.5385;8.192;NaN;9;NaN;9;8.6495;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.57008;-53.06298;407783;40.41;06-may-15;11:51:00;40.412;32.3685;0.0277;8.5625;8.192;NaN;9;NaN;9;8.652;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.57008;-53.06298;407782;40.51;06-may-15;11:51:00;40.519;32.3685;0.0337;8.5581;8.192;NaN;9;NaN;9;8.6595;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.57008;-53.06298;407781;40.53;06-may-15;11:51:00;40.537;32.3678;0.0375;8.5453;8.19;4.08929;1;32.3821;1;8.669;1;0.05;1;1.095;1;0.543;1;2.15;1;0;2.02;0.51
18HU15006_339;Cape_Race;46.57006;-53.063;407780;50.9;06-may-15;11:51:00;50.901;32.3704;-0.1998;8.3905;8.174;2.65251;1;NaN;9;8.569;1;0.065;1;1.83;1;0.5755;1;2.725;1;0;3.18;0.67
18HU15006_339;Cape_Race;46.57006;-53.06304;407779;59.75;06-may-15;11:50:00;59.757;32.3708;-0.2279;8.3878;8.174;2.7262;1;NaN;9;8.568;1;0.055;1;2.21;1;0.8945;1;2.71;1;0;2.47;0.82
18HU15006_339;Cape_Race;46.57008;-53.06304;407778;61.88;06-may-15;11:48:00;61.886;32.3707;-0.2283;8.3606;8.174;2.39463;1;32.3878;1;8.526;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.5701;-53.06304;407777;62.33;06-may-15;11:48:00;62.337;32.371;-0.2302;8.3671;8.175;NaN;9;NaN;9;8.497;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.5701;-53.06302;407776;62.56;06-may-15;11:48:00;62.566;32.371;-0.2321;8.3794;8.179;NaN;9;NaN;9;8.526;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_339;Cape_Race;46.5701;-53.06302;407775;62.81;06-may-15;11:48:00;62.817;32.3711;-0.2335;8.3636;8.184;NaN;9;NaN;9;8.5285;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU15006_129;HL_15;39.90434;-59.35238;408608;51.09;22-may-15;07:21:00;51.094;36.4503;23.8815;4.6125;NaN;0.11218;1;NaN;9;4.799;1;0.05;1;0;1;0;1;1.085;1;0;NaN;0.00
18HU15006_129;HL_15;39.90447;-59.35262;408607;101.31;22-may-15;07:20:00;101.319;36.4982;21.7869;4.2166;NaN;0.27895;1;NaN;9;4.409;1;0.22;1;1.815;1;0.0615;1;1.34;1;0;29.51;1.35
18HU15006_129;HL_15;39.9044;-59.35282;408606;197.32;22-may-15;07:18:00;197.327;36.5826;19.4069;3.2046;NaN;NaN;9;34.6205;7;3.349;1;0.075;1;8.18;1;0.3885;1;2.84;1;256;21.06;2.88
18HU15006_129;HL_15;39.90452;-59.35306;408605;330.59;22-may-15;07:15:00;330.59;36.2224;16.297;3.8351;NaN;NaN;9;34.2617;7;3.99;1;0.06;1;10;1;0.534;1;3.49;1;256;18.73;2.87
18HU15006_129;HL_15;39.90446;-59.35338;408604;515.64;22-may-15;07:11:00;515.641;35.6443;12.8381;3.6385;NaN;NaN;9;33.6894;7;3.7425;1;0.065;1;17.33;1;1.0585;1;7.82;1;256;16.37;2.22
18HU15006_129;HL_15;39.90512;-59.3539;408603;727.97;22-may-15;07:06:00;727.974;35.2412;9.74;3.0705;NaN;NaN;9;33.2862;7;3.212;1;0.07;1;24.405;1;1.556;1;14.08;1;256;15.68;1.73
18HU15006_129;HL_15;39.9052;-59.3542;408602;960.37;22-may-15;07:01:00;960.372;35.0633;6.3958;4.3829;NaN;NaN;9;33.1106;7;4.596;1;0.05;1;21.435;1;1.391;1;13.66;1;256;15.41;1.57
18HU15006_129;HL_15;39.90528;-59.3545;408601;1200.85;22-may-15;06:56:00;1200.858;35.0112;5.0017;5.2925;NaN;NaN;9;33.0751;7;5.237;1;0.075;1;19.655;1;1.3;1;12.59;1;256;15.12;1.56
18HU15006_129;HL_15;39.9052;-59.35546;408600;1449.33;22-may-15;06:49:00;1449.339;34.9832;4.4519;5.5859;NaN;NaN;9;34.9887;1;5.888;1;0.075;1;18.26;1;1.1885;1;11.85;1;0;15.36;1.54
18HU15006_129;HL_15;39.90534;-59.3557;408599;1720.27;22-may-15;06:45:00;1720.277;34.9777;4.1701;5.6363;NaN;NaN;9;34.9843;1;5.968;1;0.085;1;18.245;1;1.1865;1;12.57;1;0;15.38;1.45
18HU15006_129;HL_15;39.90582;-59.35634;408598;2000.18;22-may-15;06:35:00;2000.185;34.9538;3.8337;5.7154;NaN;NaN;9;34.9602;1;6.089;1;0.065;1;18.085;1;1.176;1;13.295;1;0;15.38;1.36
18HU15006_129;HL_15;39.90634;-59.35644;408597;2300.83;22-may-15;06:30:00;2300.833;34.9449;3.5683;5.7463;NaN;NaN;9;34.9504;1;6.124;1;0.055;1;17.94;1;1.1785;1;14.94;1;0;15.22;1.20
18HU15006_129;HL_15;39.90664;-59.35672;408596;2601.81;22-may-15;06:25:00;2601.819;34.9422;3.3625;5.7195;NaN;NaN;9;34.9472;1;6.138;1;0.075;1;18.04;1;1.1885;1;16.5;1;0;15.18;1.09
18HU15006_129;HL_15;39.90694;-59.35708;408595;2901.05;22-may-15;06:21:00;2901.058;34.9373;3.1508;5.6952;NaN;NaN;9;34.942;1;6.119;1;0.055;1;18.14;1;1.2035;1;18.875;1;0;15.07;0.96
18HU15006_129;HL_15;39.90916;-59.35847;408594;3203.77;22-may-15;05:12:00;3203.771;34.9259;2.8893;5.7638;NaN;NaN;9;34.93;1;6.15;1;0.06;1;18.055;1;1.1975;1;20.725;1;0;15.08;0.87
