CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;CHL_04;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU16050_1576;391;47.91383;-69.77717;419430;1.88;18-oct-16;15:29:00;26.16;5.31;288.54826;NaN;0.32;0.297;NaN;1;0.075;1;12.845;1;1.07;1;14.515;1;0;12.00;0.88
18HU16050_1576;391;47.91383;-69.77717;419429;10.11;18-oct-16;15:29:00;27.95;4.46;276.93666;276.6687;0.31;0.256;NaN;1;0.07;1;12.99;1;1.12;1;14.6;1;6;11.60;0.89
18HU16050_1576;391;47.91383;-69.77717;419428;25.88;18-oct-16;15:29:00;28.53;4.23;275.1056;NaN;0.225;0.308;NaN;1;0.065;1;12.82;1;1.145;1;14.35;1;0;11.20;0.89
18HU16050_1576;391;47.91383;-69.77717;419427;50.07;18-oct-16;15:29:00;29.47;3.79;271.04154;NaN;0.29;0.309;NaN;1;0.07;1;12.835;1;1.165;1;14.385;1;0;11.02;0.89
18HU16050_1576;391;47.91383;-69.77717;419426;106.47;18-oct-16;15:29:00;29.83;3.57;268.54058;267.58039;0.34;0.264;NaN;1;0.065;1;12.92;1;1.19;1;14.4;1;6;10.86;0.90
18HU16050_1577;441;47.50417;-70.14183;419433;1.39;18-oct-16;20:17:00;22.08;6.71;291.71912;NaN;0.665;0.377;NaN;1;0.075;1;11.965;1;0.94;1;13.195;1;0;12.73;0.91
18HU16050_1577;441;47.50417;-70.14183;419432;10.51;18-oct-16;20:17:00;24.63;5.78;286.18128;288.34729;0.58;0.419;NaN;1;0.07667;1;12.40667;1;0.98;1;14.32;1;6;12.66;0.87
18HU16050_1577;441;47.50417;-70.14183;419431;24.39;18-oct-16;20:17:00;24.93;5.66;284.79682;284.19391;0.73;0.491;NaN;1;0.08;1;12.665;1;1.035;1;12.285;1;6;12.24;1.03
