CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU95003_002;CAST#1;44.6845;-63.6265;152924;23.69;19-apr-95;16:31:00;23.889;30.6586;1.0174;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152923;23.71;19-apr-95;16:31:00;23.901;30.6595;1.0164;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152920;23.72;19-apr-95;16:31:00;23.914;30.6658;1.006;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152922;23.73;19-apr-95;16:31:00;23.921;30.6596;1.0165;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152919;23.73;19-apr-95;16:31:00;23.925;30.6954;0.9758;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152921;23.73;19-apr-95;16:31:00;23.926;30.6613;1.0135;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152918;23.73;19-apr-95;16:31:00;23.927;30.6827;0.9795;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152916;23.74;19-apr-95;16:31:00;23.939;30.6615;1.0188;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152917;23.74;19-apr-95;16:31:00;23.939;30.6679;1.0037;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152915;23.77;19-apr-95;16:31:00;23.967;30.6654;1.0082;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152914;23.79;19-apr-95;16:31:00;23.987;30.6657;1.0048;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152912;23.8;19-apr-95;16:31:00;23.995;30.6605;1.0129;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152913;23.8;19-apr-95;16:31:00;24;30.6644;1.007;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152911;23.81;19-apr-95;16:31:00;24.001;30.665;1.0043;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152905;23.83;19-apr-95;16:31:00;24.028;30.6796;0.9938;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152910;23.84;19-apr-95;16:31:00;24.031;30.6573;1.0163;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152906;23.84;19-apr-95;16:31:00;24.039;30.6525;1.0248;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152907;23.85;19-apr-95;16:31:00;24.047;30.6557;1.0232;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152909;23.85;19-apr-95;16:31:00;24.047;30.6613;1.0107;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152904;23.86;19-apr-95;16:31:00;24.052;30.6927;0.9833;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152908;23.86;19-apr-95;16:31:00;24.054;30.6554;1.0255;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152903;23.9;19-apr-95;16:31:00;24.099;30.7157;0.9792;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152902;23.92;19-apr-95;16:31:00;24.121;30.7393;1.0015;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_002;CAST#1;44.6845;-63.6265;152901;23.94;19-apr-95;16:31:00;24.14;30.7366;1.0007;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU95003_113;CAST#1;43.32917;-52.698;152925;515.84;21-apr-95;12:13:00;520.638;35.0047;6.4185;194.00304;4;21.5255;1;1.48797;1;13.90198;1;6;14.47;1.55
