CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;TEMP_XX;OXYM_01;Q_OXYM;CHL_XX;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(celsius);(mmol/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU95016_372;1;47.55;-52.59;160517;5;06-jul-95;00:00:00;7.6;317.086;4;0.15;1;0;1;0.37;1;0.2;1;6;0.00;0.00
18HU95016_372;1;47.55;-52.59;160516;9;06-jul-95;00:00:00;6.7;320.6588;4;0.16;1;0;1;0.37;1;0.2;1;6;0.00;0.00
18HU95016_372;1;47.55;-52.59;160515;14;06-jul-95;00:00:00;6.4;322.4452;4;0.23;1;0;1;0.37;1;0.22;1;6;0.00;0.00
18HU95016_372;1;47.55;-52.59;160514;19;06-jul-95;00:00:00;5.6;325.1248;4;0.34;1;0;1;0.37;1;0.2;1;6;0.00;0.00
18HU95016_372;1;47.55;-52.59;160513;24;06-jul-95;00:00:00;2.1;347.9014;4;0.34;1;0;1;0.39;1;0.19;1;6;0.00;0.00
18HU95016_372;1;47.55;-52.59;160512;29;06-jul-95;00:00:00;1.3;359.9596;4;0.36;1;0;1;0.4;1;0.14;1;6;0.00;0.00
18HU95016_372;1;47.55;-52.59;160511;34;06-jul-95;00:00:00;0.3;366.6586;4;0.35;1;0.16;1;0.49;1;0.14;1;6;0.33;1.14
18HU95016_372;1;47.55;-52.59;160510;38;06-jul-95;00:00:00;-0.5;369.3382;4;0;1;0;1;0;1;0;1;6;NaN;NaN
18HU95016_372;1;47.55;-52.59;160509;44;06-jul-95;00:00:00;-0.8;361.2994;4;0.18;1;3.07;1;0.95;1;0.5;1;6;3.23;6.14
18HU95016_372;1;47.55;-52.59;160508;54;06-jul-95;00:00:00;-1.2;351.9208;4;0.16;1;4.82;1;1.02;1;2.91;1;6;4.73;1.66
18HU95016_372;1;47.55;-52.59;160507;65;06-jul-95;00:00:00;-1.3;349.6878;4;0.11;1;5.67;1;1.05;1;4.97;1;6;5.40;1.14
18HU95016_372;1;47.55;-52.59;160506;75;06-jul-95;00:00:00;-1.5;348.348;4;0.07;1;7.61;1;1.08;1;7.49;1;6;7.05;1.02
18HU95016_372;1;47.55;-52.59;160505;84;06-jul-95;00:00:00;-1.5;343.4354;4;0.05;1;8.22;1;1.12;1;8.83;1;6;7.34;0.93
18HU95016_372;1;47.55;-52.59;160504;95;06-jul-95;00:00:00;-1.5;340.3092;4;0.03;1;8.77;1;1.14;1;9.65;1;6;7.69;0.91
18HU95016_372;1;47.55;-52.59;160503;105;06-jul-95;00:00:00;-1.6;341.2024;4;0.03;1;9.11;1;1.15;1;10.19;1;6;7.92;0.89
18HU95016_372;1;47.55;-52.59;160502;123;06-jul-95;00:00:00;-1.6;342.5422;4;0.04;1;8.66;1;1.1;1;9.6;1;6;7.87;0.90
18HU95016_372;1;47.55;-52.59;160501;154;06-jul-95;00:00:00;-1.4;328.251;4;0.03;1;9.51;1;1.23;1;13.41;1;6;7.73;0.71
18HU95016_373;2;47.91;-50.96;160533;3;07-jul-95;01:25:00;7.2;309.9404;4;0;1;0;1;0;1;0;1;6;NaN;NaN
18HU95016_373;2;47.91;-50.96;160532;7;07-jul-95;01:25:00;7.2;310.8336;4;0.17;1;0;1;0.28;1;0.24;1;6;0.00;0.00
18HU95016_373;2;47.91;-50.96;160531;12;07-jul-95;01:25:00;7.2;310.8336;4;0.17;1;0;1;0.29;1;0.2;1;6;0.00;0.00
18HU95016_373;2;47.91;-50.96;160530;17;07-jul-95;01:25:00;5.9;314.4064;4;0.17;1;0;1;0.29;1;0.19;1;6;0.00;0.00
18HU95016_373;2;47.91;-50.96;160529;21;07-jul-95;01:25:00;5.4;317.9792;4;0.15;1;0;1;0.28;1;0.13;1;6;0.00;0.00
18HU95016_373;2;47.91;-50.96;160528;27;07-jul-95;01:25:00;2.5;330.9306;4;0.2;1;0;1;0.27;1;0.15;1;6;0.00;0.00
18HU95016_373;2;47.91;-50.96;160527;32;07-jul-95;01:25:00;1;342.0956;4;0.33;1;0;1;0.34;1;0.16;1;6;0.00;0.00
18HU95016_373;2;47.91;-50.96;160526;37;07-jul-95;01:25:00;0.2;347.9014;4;0.39;1;0;1;0.48;1;0.23;1;6;0.00;0.00
18HU95016_373;2;47.91;-50.96;160525;42;07-jul-95;01:25:00;-0.1;345.6684;4;0.42;1;0.2;1;0.54;1;0.2;1;6;0.37;1.00
18HU95016_373;2;47.91;-50.96;160524;52;07-jul-95;01:25:00;-0.9;336.2898;4;0.3;1;1.67;1;0.71;1;0.34;1;6;2.35;4.91
18HU95016_373;2;47.91;-50.96;160523;61;07-jul-95;01:25:00;-1.5;331.3772;4;0.35;1;4.81;1;1;1;1.05;1;6;4.81;4.58
18HU95016_373;2;47.91;-50.96;160522;72;07-jul-95;01:25:00;-1.5;329.1442;4;0.29;1;6.32;1;1.07;1;4.53;1;6;5.91;1.40
18HU95016_373;2;47.91;-50.96;160521;83;07-jul-95;01:25:00;-1.4;328.251;4;0.11;1;7.19;1;1.06;1;7.78;1;6;6.78;0.92
18HU95016_373;2;47.91;-50.96;160520;91;07-jul-95;01:25:00;-1.4;327.8044;4;0.06;1;7.7;1;1.07;1;8.46;1;6;7.20;0.91
18HU95016_373;2;47.91;-50.96;160519;102;07-jul-95;01:25:00;-1.2;322.8918;4;0.06;1;7.86;1;1.12;1;9.3;1;6;7.02;0.85
18HU95016_373;2;47.91;-50.96;160518;124;07-jul-95;01:25:00;-1;306.8142;4;0.06;1;8.36;1;1.2;1;11.5;1;6;6.97;0.73
18HU95016_374;5;45.87;-51.2;160590;3;08-jul-95;06:35:00;7.2;286.7172;4;0.19;1;0;1;0.24;1;0.2;1;6;0.00;0.00
18HU95016_374;5;45.87;-51.2;160589;6;08-jul-95;06:35:00;7.2;307.2608;4;0.2;1;0.05;1;0.22;1;0;1;6;0.23;NaN
18HU95016_374;5;45.87;-51.2;160588;11;08-jul-95;06:35:00;7.2;307.2608;4;0.19;1;0.02;1;0.19;1;0;1;6;0.11;NaN
18HU95016_374;5;45.87;-51.2;160587;16;08-jul-95;06:35:00;6.3;308.154;4;0.17;1;0.11;1;0.14;1;0;1;6;0.79;NaN
18HU95016_374;5;45.87;-51.2;160586;22;08-jul-95;06:35:00;5.9;310.387;4;0.17;1;0.02;1;0.17;1;0;1;6;0.12;NaN
18HU95016_374;5;45.87;-51.2;160585;27;08-jul-95;06:35:00;4.9;313.5132;4;0.22;1;0;1;0.18;1;0.07;1;6;0.00;0.00
18HU95016_374;5;45.87;-51.2;160584;32;08-jul-95;06:35:00;4;318.8724;4;0.35;1;0.08;1;0.21;1;0.23;1;6;0.38;0.35
18HU95016_374;5;45.87;-51.2;160583;37;08-jul-95;06:35:00;2.8;325.1248;4;0.5;1;0.35;1;0.33;1;0.39;1;6;1.06;0.90
18HU95016_374;5;45.87;-51.2;160582;42;08-jul-95;06:35:00;1.8;331.3772;4;0.41;1;1.4;1;0.43;1;0.8;1;6;3.26;1.75
18HU95016_374;5;45.87;-51.2;160581;52;08-jul-95;06:35:00;0.5;338.0762;4;0.28;1;3.29;1;0.61;1;1.97;1;6;5.39;1.67
18HU95016_374;5;45.87;-51.2;160580;63;08-jul-95;06:35:00;0.3;336.7364;4;0.17;1;4.54;1;0.7;1;3.42;1;6;6.49;1.33
18HU95016_374;5;45.87;-51.2;160579;73;08-jul-95;06:35:00;-0.6;335.3966;4;0.07;1;6.37;1;0.8;1;6.52;1;6;7.96;0.98
18HU95016_374;5;45.87;-51.2;160578;81;08-jul-95;06:35:00;-0.7;333.1636;4;0.06;1;6.88;1;0.79;1;7.2;1;6;8.71;0.96
18HU95016_374;5;45.87;-51.2;160577;92;08-jul-95;06:35:00;-1.2;330.9306;4;0.02;1;7.97;1;0.92;1;9.45;1;6;8.66;0.84
18HU95016_374;5;45.87;-51.2;160576;103;08-jul-95;06:35:00;-1.2;327.8044;4;0.04;1;8.47;1;0.89;1;9.67;1;6;9.52;0.88
18HU95016_374;5;45.87;-51.2;160575;123;08-jul-95;06:35:00;-1.1;326.9112;4;0.02;1;9.03;1;0.9;1;9.86;1;6;10.03;0.92
18HU95016_374;5;45.87;-51.2;160574;152;08-jul-95;06:35:00;-0.9;322.4452;4;0.05;1;9.77;1;0.92;1;10.38;1;6;10.62;0.94
18HU95016_374;5;45.87;-51.2;160573;202;08-jul-95;06:35:00;-0.1;312.62;4;0.06;1;10.68;1;0.94;1;11.18;1;6;11.36;0.96
18HU95016_375;28;44.66;-48.23;160462;2;18-jul-95;09:22:00;8.1;NaN;9;0.36;1;0;1;0.15;1;0.19;1;0;0.00;0.00
18HU95016_375;28;44.67;-48.23;162642;13;18-jul-95;09:22:00;9;309.0472;4;0.48;1;0;1;0.25;7;0.25;1;518;0.00;0.00
18HU95016_375;28;44.67;-48.23;162643;13;18-jul-95;09:22:00;9;309.0472;4;0.48;1;0;1;0;7;0;1;518;NaN;NaN
18HU95016_375;28;44.67;-48.23;162641;24;18-jul-95;09:22:00;9;309.4938;4;0.49;1;0;1;0.17;1;0.32;1;6;0.00;0.00
18HU95016_375;28;44.67;-48.23;162640;33;18-jul-95;09:22:00;5;326.018;4;1.32;1;0.01;1;0.23;1;0.46;1;6;0.04;0.02
18HU95016_375;28;44.66;-48.23;160463;35;18-jul-95;09:22:00;4.1;NaN;9;0.97;1;0.22;1;0.15;1;0.15;1;0;1.47;1.47
18HU95016_375;28;44.67;-48.23;162639;44;18-jul-95;09:22:00;4.7;332.2704;4;1.53;1;0.52;1;0.34;1;0.97;1;6;1.53;0.54
18HU95016_375;28;44.67;-48.23;162638;52;18-jul-95;09:22:00;4.5;332.717;4;0.81;1;3.03;1;0.42;1;1.88;1;6;7.21;1.61
18HU95016_375;28;44.67;-48.23;162637;64;18-jul-95;09:22:00;3.8;321.9986;4;0.25;1;4.93;1;0.53;1;2.53;1;6;9.30;1.95
18HU95016_375;28;44.67;-48.23;162636;73;18-jul-95;09:22:00;3.3;318.4258;4;0.13;1;7.47;1;0.62;1;4.66;1;6;12.05;1.60
18HU95016_375;28;44.67;-48.23;162635;81;18-jul-95;09:22:00;2.9;313.9598;4;0.1;1;9.73;1;0.73;1;7.17;1;6;13.33;1.36
18HU95016_375;28;44.67;-48.23;162634;92;18-jul-95;09:22:00;2.5;313.5132;4;0.07;1;9.75;1;0.79;1;7.9;1;6;12.34;1.23
18HU95016_375;28;44.67;-48.23;162633;101;18-jul-95;09:22:00;2.4;313.5132;4;0.05;1;12.48;1;0.77;1;8.48;1;6;16.21;1.47
18HU95016_375;28;44.67;-48.23;162632;111;18-jul-95;09:22:00;2.2;313.5132;4;0.05;1;11.05;1;0.77;1;8.89;1;6;14.35;1.24
18HU95016_375;28;44.67;-48.23;162631;121;18-jul-95;09:22:00;2.3;312.62;4;0.05;1;12.86;1;0.73;1;8.89;1;6;17.62;1.45
18HU95016_375;28;44.67;-48.23;162630;131;18-jul-95;09:22:00;2.4;311.7268;4;0.04;1;13.85;7;0.82;1;9.5;1;518;16.89;1.46
18HU95016_375;28;44.67;-48.23;162629;140;18-jul-95;09:22:00;2.7;309.0472;4;0;1;0;7;0;1;0;1;518;NaN;NaN
18HU95016_375;28;44.67;-48.23;162628;150;18-jul-95;09:22:00;2.8;306.8142;4;0.03;1;12.51;7;0.79;1;8.8;1;518;15.84;1.42
18HU95016_375;28;44.67;-48.23;162627;176;18-jul-95;09:22:00;3.1;303.688;4;0.04;1;16.1;1;0.87;1;9.88;1;6;18.51;1.63
18HU95016_375;28;44.67;-48.23;162626;199;18-jul-95;09:22:00;3.2;300.1152;4;0.04;1;15.54;1;0.82;1;9.6;1;6;18.95;1.62
18HU95016_375;28;44.67;-48.23;162625;246;18-jul-95;09:22:00;3.4;296.5424;4;0;1;0;1;0;1;0;3;22;NaN;NaN
