CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU99053_551;11;46.8835;-60.14983;226408;2.98;04-dec-99;11:57:00;30.48;5.29;NaN;320.70346;0.47;0.39;1.33;0.35;1;5.96;1;0.82;1;5.98;1;6;7.27;1.00
18HU99053_551;11;46.8835;-60.14983;226407;5.16;04-dec-99;11:57:00;30.48;5.29;302.39286;322.75782;0.49;0.4;1.179;0.27;1;4.93;1;0.8;1;5.08;1;6;6.16;0.97
18HU99053_551;11;46.8835;-60.14983;226406;14.78;04-dec-99;11:57:00;30.48;5.29;303.42004;323.02578;0.42;0.36;1.998;0.26;1;4.69;1;0.77;1;4.72;1;6;6.09;0.99
18HU99053_551;11;46.8835;-60.14983;226405;24.69;04-dec-99;11:57:00;30.48;5.3;304.22392;322.8918;0.57;0.5;1.388;0.34;1;5.36;1;0.87;1;5.64;1;6;6.16;0.95
18HU99053_551;11;46.8835;-60.14983;226404;49.78;04-dec-99;11:57:00;31.13;4.54;295.8725;316.05882;0.28;0.26;1.375;0.24;1;4.73;1;0.79;1;5.45;1;6;5.99;0.87
18HU99053_551;11;46.8835;-60.14983;226403;98.55;04-dec-99;11:57:00;32.62;2.99;272.15804;283.45702;0.03;0.05;0.832;0.15;1;11.39;1;1.19;1;8.21;1;6;9.57;1.39
18HU99053_551;11;46.8835;-60.14983;226402;149.5;04-dec-99;11:57:00;33.88;4.38;234.10772;202.60753;0.03;0.05;0.769;0.15;1;16.58;1;1.3;1;15.4;1;6;12.75;1.08
18HU99053_552;21;46.9835;-60.03367;226415;3.17;04-dec-99;13:17:00;30.53;5.23;291.09388;318.55978;0.55;0.46;1.675;0.23;1;4.3;1;0.75;1;6.01;1;6;5.73;0.72
18HU99053_552;21;46.9835;-60.03367;226414;4.76;04-dec-99;13:17:00;30.53;5.23;291.1832;321.81996;0.46;0.38;1.82;0.24;1;4.22;1;0.88;1;5.89;1;6;4.80;0.72
18HU99053_552;21;46.9835;-60.03367;226413;15.17;04-dec-99;13:17:00;30.53;5.23;292.0764;343.56938;0.39;0.39;1.493;0.27;1;4.91;1;0.62;1;5.41;1;6;7.92;0.91
18HU99053_552;21;46.9835;-60.03367;226412;24.89;04-dec-99;13:17:00;30.53;5.23;291.13854;323.87432;0.32;0.37;1.343;0.27;1;5.06;1;0.71;1;5.73;1;6;7.13;0.88
18HU99053_552;21;46.9835;-60.03367;226411;49.88;04-dec-99;13:17:00;31.73;3.96;273.36386;324.72286;0.16;0.18;0.864;0.23;1;7.43;1;0.83;1;7.79;1;6;8.95;0.95
18HU99053_552;21;46.9835;-60.03367;226410;98.95;04-dec-99;13:17:00;32.94;3.03;255.05326;256.25908;0.06;0.09;0.533;0.11;1;14.25;1;1.17;1;11.95;1;6;12.18;1.19
18HU99053_552;21;46.9835;-60.03367;226409;149.49;04-dec-99;13:17:00;33.74;4.06;232.9019;253.40084;0.02;0.03;0.471;0.15;1;17.59;1;1.31;1;15.39;1;6;13.43;1.14
18HU99053_553;31;47.083;-59.91583;226426;2.08;04-dec-99;14:54:00;31.05;4.33;302.66082;331.10924;0.52;0.45;1.726;0.26;1;4.42;1;0.71;1;5.36;1;6;6.23;0.82
18HU99053_553;31;47.083;-59.91583;226425;5.55;04-dec-99;14:54:00;31.05;4.33;303.10742;330.17138;0.58;0.5;1.794;0.26;1;4.43;1;0.71;1;5.27;1;6;6.24;0.84
18HU99053_553;31;47.083;-59.91583;226424;14.78;04-dec-99;14:54:00;31.06;4.32;302.88412;331.28788;0.51;0.44;1.698;0.25;1;4.3;1;0.67;1;5.49;1;6;6.42;0.78
18HU99053_553;31;47.083;-59.91583;226423;49.38;04-dec-99;14:54:00;31.79;4.58;306.63556;342.7655;0.53;0.48;1.517;0.23;1;2.96;1;0.63;1;3.39;1;6;4.70;0.87
18HU99053_553;31;47.083;-59.91583;226422;97.96;04-dec-99;14:54:00;32.83;1.55;278.32112;298.50744;0.03;0.04;0.368;0.06;1;9.9;1;1.1;1;8.46;1;6;9.00;1.17
18HU99053_553;31;47.083;-59.91583;226421;148.01;04-dec-99;14:54:00;33.42;2.95;263.31536;254.07074;0.01;0.03;0.36;0.06;1;14.04;1;1.22;1;12.35;1;6;11.51;1.14
18HU99053_553;31;47.083;-59.91583;226420;198.14;04-dec-99;14:54:00;34.19;5.5;227.94464;261.97556;0.01;0.02;0.332;0.07;1;19.58;1;1.51;1;16.94;1;6;12.97;1.16
18HU99053_553;31;47.083;-59.91583;226419;247.97;04-dec-99;14:54:00;34.52;5.81;192.79722;155.77408;0;0.01;0.63;0.1;1;22.45;1;1.59;1;18.01;1;6;14.12;1.25
