CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18MF02023_604;261;47.58783;-59.33867;218298;2.78;01-jun-02;18:41:00;31.37;4.1;358.75378;360.4062;1.43;4.834;0.01;1;0.09;1;0.295;1;0.215;1;6;0.31;0.42
18MF02023_604;261;47.58783;-59.33867;218297;4.96;01-jun-02;18:41:00;31.36;4.12;357.90524;NaN;1.32;5.365;0.01;1;0.1;1;0.285;1;0.25;1;0;0.35;0.40
18MF02023_604;261;47.58783;-59.33867;218296;14.58;01-jun-02;18:41:00;31.5;3.86;358.79844;NaN;1.45;12.715;0.01;1;0.16;1;0.31;1;0.325;1;0;0.52;0.49
18MF02023_604;261;47.58783;-59.33867;218295;25.19;01-jun-02;18:41:00;31.69;3.21;357.99456;NaN;1.965;19.88;0.015;1;0.38;1;0.32;1;0.445;1;0;1.19;0.85
18MF02023_604;261;47.58783;-59.33867;218294;49.97;01-jun-02;18:41:00;32.1;0.91;336.91504;NaN;3.525;17.93;0.085;1;3.62;1;0.65;1;2.195;1;0;5.57;1.65
18MF02023_604;261;47.58783;-59.33867;218293;99.04;01-jun-02;18:41:00;32.52;0.83;312.03942;NaN;1.295;6.247;0.1;1;6.44;1;0.875;1;5.29;1;0;7.36;1.22
18MF02023_604;261;47.58783;-59.33867;218292;202.1;01-jun-02;18:41:00;34.15;5.18;201.55058;NaN;NaN;1.786;0.025;1;15.9;1;1.245;1;7.95;1;0;12.77;2.00
18MF02023_604;261;47.58783;-59.33867;218291;229.34;01-jun-02;18:41:00;34.57;6.22;175.42448;173.7274;NaN;1.914;0.035;1;16.755;1;1.365;1;11.945;1;6;12.27;1.40
18MF02023_605;271;47.43467;-59.5555;218308;2.38;01-jun-02;22:36:00;30.95;4.82;343.03346;345.8917;1.38;12.894;0.02;1;0.545;1;0.52;1;1.5;1;6;1.05;0.36
18MF02023_605;271;47.43467;-59.5555;218307;4.76;01-jun-02;22:36:00;30.93;4.85;342.49754;NaN;1.38;12.744;0.02;1;0.555;1;0.56333;1;1.515;1;0;0.99;0.37
18MF02023_605;271;47.43467;-59.5555;218306;15.07;01-jun-02;22:36:00;31.21;4.22;350.22372;NaN;1.91;15.105;0.01;1;0.36;1;0.44;1;1.045;1;0;0.82;0.34
18MF02023_605;271;47.43467;-59.5555;218305;25.38;01-jun-02;22:36:00;31.51;0.85;356.92272;NaN;0.32;3.069;0.05;1;2.025;1;0.68;1;3.03;1;0;2.98;0.67
18MF02023_605;271;47.43467;-59.5555;218304;50.77;01-jun-02;22:36:00;31.82;0.71;354.73438;NaN;0.435;3.449;0.08;1;2.675;1;0.67;1;3.43;1;0;3.99;0.78
18MF02023_605;271;47.43467;-59.5555;218303;99.93;01-jun-02;22:36:00;32.38;0.38;315.70154;NaN;0.315;1.815;0.125;1;7.045;1;0.925;1;7.73;1;0;7.62;0.91
18MF02023_605;271;47.43467;-59.5555;218302;200.12;01-jun-02;22:36:00;34.65;6.59;167.74296;NaN;NaN;1.431;0.02;1;17.03;1;1.36;1;15;1;0;12.52;1.14
18MF02023_605;271;47.43467;-59.5555;218301;300.75;01-jun-02;22:36:00;34.79;5.51;152.91584;NaN;NaN;1.472;0.01;1;19.42667;1;1.585;1;25.03;1;0;12.26;0.78
18MF02023_605;271;47.43467;-59.5555;218300;400.34;01-jun-02;22:36:00;34.86;5.16;168.32354;NaN;NaN;1.606;0.01;1;18.89333;1;1.58;1;25.875;1;0;11.96;0.73
18MF02023_605;271;47.43467;-59.5555;218299;462.39;01-jun-02;22:36:00;34.86;5.14;170.73518;168.8148;NaN;1.819;0.01;1;17.225;1;1.535;1;25.485;1;6;11.22;0.68
18MF02023_606;281;47.2725;-59.78317;218318;1.79;02-jun-02;01:52:00;30.99;4.99;341.649;342.9888;0.715;5.784;0.02;1;0.6;1;0.575;1;1.39;1;6;1.04;0.43
18MF02023_606;281;47.2725;-59.78317;218317;5.26;02-jun-02;01:52:00;31;4.75;341.29172;NaN;0.685;5.821;0.015;1;0.61;1;0.585;1;1.415;1;0;1.04;0.43
18MF02023_606;281;47.2725;-59.78317;218316;15.37;02-jun-02;01:52:00;31.04;4.24;344.90918;NaN;0.89;6.899;0.015;1;0.58;1;0.76;1;1.24;1;0;0.76;0.47
18MF02023_606;281;47.2725;-59.78317;218315;24.49;02-jun-02;01:52:00;31.42;2.65;366.212;NaN;1.48;11.424;0.01;1;0.2;1;0.455;1;0.745;1;0;0.44;0.27
18MF02023_606;281;47.2725;-59.78317;218314;49.78;02-jun-02;01:52:00;31.83;1.35;360.8528;NaN;1.5;6.093;0.015;1;0.29;1;0.545;1;0.525;1;0;0.53;0.55
18MF02023_606;281;47.2725;-59.78317;218313;100.93;02-jun-02;01:52:00;32.53;0.69;309.7171;NaN;0.05;1.571;0.05;1;6.65333;1;0.895;1;6.92;1;0;7.43;0.96
18MF02023_606;281;47.2725;-59.78317;218312;199.13;02-jun-02;01:52:00;34.14;4.89;156.31;NaN;NaN;1.685;0.075;1;13.76;1;1.505;1;19.075;1;0;9.14;0.72
18MF02023_606;281;47.2725;-59.78317;218311;301.84;02-jun-02;01:52:00;34.72;5.75;143.3586;NaN;NaN;1.599;0.01;1;17.375;1;1.545;1;23.785;1;0;11.25;0.73
18MF02023_606;281;47.2725;-59.78317;218310;400.34;02-jun-02;01:52:00;34.85;5.24;167.65364;NaN;NaN;1.615;0.01;1;12.555;1;1.395;1;25.515;1;0;9.00;0.49
18MF02023_606;281;47.2725;-59.78317;218309;454.87;02-jun-02;01:52:00;34.86;5.14;170.73518;169.0381;NaN;1.772;0.01;1;17.365;1;1.505;1;25.595;1;6;11.54;0.68
18MF02023_607;291;47.09983;-59.9905;218327;2.58;02-jun-02;06:47:00;30.96;5.37;347.05286;344.1053;1.55;11.288;0.015;1;0.31;1;0.455;1;0.885;1;6;0.68;0.35
18MF02023_607;291;47.09983;-59.9905;218326;5.16;02-jun-02;06:47:00;30.96;5.37;347.27616;NaN;1.585;11.452;0.015;1;0.285;1;0.43;1;0.76;1;0;0.66;0.37
