CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Q_OXYM;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NA95908_002;CAST#1;45.9468;-61.1242;152203;5;26-sep-95;11:27:00;21.69;15.6;264.3872;4;0.12;1;0.28;7;0.3855;7;5.755;1;518;0.73;0.05
18NA95908_002;CAST#1;45.9468;-61.1242;152244;5;26-sep-95;11:27:00;21.69;15.6;NaN;9;0.0755;1;0;7;0.2905;7;6.175;1;512;0.00;0.00
18NA95908_002;CAST#1;45.9468;-61.1242;152202;25;26-sep-95;11:27:00;23.067;2.8;0;7;0.162;1;0;1;18.825;4;67.93;1;38;NaN;0.00
18NA95908_002;CAST#1;45.9468;-61.1242;152201;44;26-sep-95;11:27:00;23.068;2.7;0;7;0.373;1;0;1;24.305;4;112.77;1;38;NaN;0.00
18NA95908_113;CAST#1;45.953;-61.0983;152205;1;26-sep-95;12:18:00;21.588;15.2;277.3386;4;0.0925;1;0.13;1;0.269;1;5.955;1;6;0.48;0.02
18NA95908_113;CAST#1;45.953;-61.0983;152204;5;26-sep-95;12:18:00;21.61;15.2;274.2124;4;0.086;1;0.135;1;0.2635;1;5.905;1;6;0.51;0.02
18NA95908_225;CAST#1;45.9692;-61.0312;152208;5;26-sep-95;12:56:00;22;15.6;268.4066;4;0.072;1;0.195;7;0.2345;7;4.58;1;518;0.83;0.04
18NA95908_225;CAST#1;45.9692;-61.0312;152245;5;26-sep-95;12:56:00;22;15.6;NaN;9;0.068;1;0;7;0.2005;7;4.435;1;512;0.00;0.00
18NA95908_225;CAST#1;45.9692;-61.0312;152207;19;26-sep-95;12:56:00;23.097;3.2;192.038;4;0.1375;1;8.885;1;1.525;1;14.58;1;6;5.83;0.61
18NA95908_225;CAST#1;45.9692;-61.0312;152206;30;26-sep-95;12:56:00;23.139;1.8;141.1256;4;0.167;1;9.9;7;1.8165;7;21.28;1;518;5.45;0.47
18NA95908_225;CAST#1;45.9692;-61.0312;152247;30;26-sep-95;12:56:00;23.139;1.8;NaN;9;0.0895;1;12.495;7;2.109;7;24.485;1;512;5.92;0.51
