CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;PSAL_BS;OXY_01;OXY_XX;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(PSU);(ml/l);(mmol/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NE13022_002;1;44.273;-63.323;383793;2;27-jun-13;08:08:00;31.1172;14.065;5.2454;0.3547;31.1441;NaN;270;0.055;1;0;1;0.2405;1;0.525;1;0;0.00;0.00
18NE13022_002;1;44.273;-63.323;383792;5;27-jun-13;08:08:00;31.1268;13.7176;5.289;0.3325;NaN;NaN;NaN;0.045;1;0;1;0.2355;1;0.825;1;0;0.00;0.00
18NE13022_002;1;44.273;-63.323;383791;6;27-jun-13;08:08:00;31.1266;13.6718;5.2865;0.3602;NaN;NaN;NaN;0.305;1;0;1;0.2485;1;0.755;1;0;0.00;0.00
18NE13022_002;1;44.273;-63.323;383790;20;27-jun-13;08:08:00;31.6375;7.9347;6.3337;0.6804;NaN;NaN;NaN;0.285;1;0.41;1;0.2645;1;1.09;1;0;1.55;0.38
18NE13022_002;1;44.273;-63.323;383789;30;27-jun-13;08:08:00;31.8228;3.5936;6.685;1.2534;NaN;NaN;NaN;0.055;1;0.18;1;0.38;1;0.615;1;0;0.47;0.29
18NE13022_002;1;44.273;-63.323;383788;40;27-jun-13;08:08:00;32.0222;3.2156;6.2868;0.5487;31.9783;NaN;315.5;0.08;1;1.02;1;0.465;1;1.025;1;0;2.19;1.00
18NE13022_002;1;44.273;-63.323;383787;51;27-jun-13;08:08:00;32.1545;2.8415;6.0389;0.399;NaN;NaN;NaN;0.19;1;4.815;1;0.7665;1;3.55;1;0;6.28;1.36
18NE13022_002;1;44.273;-63.323;383786;75;27-jun-13;08:08:00;32.5143;3.3752;5.4978;0.0425;NaN;NaN;NaN;0.245;1;8.795;1;0.85;1;5.395;1;0;10.35;1.63
