CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18NE15017_113;2;44.2805;-63.0603;403631;3.64;30-jun-15;00:06:00;3.64;30.9696;11.2342;6.3795;8.066;0.41664;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18NE15017_113;2;44.2805;-63.0603;403630;27.2;30-jun-15;00:05:00;27.208;31.425;6.0448;7.4034;8.107;0.60909;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18NE15017_113;2;44.2805;-63.0603;403629;50.19;30-jun-15;00:04:00;50.19;31.9437;1.356;6.8279;7.947;0.17313;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18NE15017_113;2;44.2805;-63.0603;403628;162.55;30-jun-15;00:00:00;162.554;34.7701;9.8937;2.9936;7.893;0.00324;1;34.8034;1;3.4585;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18NE15017_225;3;44.3088;-62.902;403635;2.84;30-jun-15;02:01:00;2.841;31.3297;12.0916;6.1991;8.087;0.39904;1;NaN;9;6.512;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18NE15017_225;3;44.3088;-62.902;403634;25.93;30-jun-15;02:00:00;25.933;31.5883;8.0379;7.13;8.111;0.57703;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18NE15017_225;3;44.3088;-62.902;403633;50.4;30-jun-15;01:59:00;50.407;32.2801;2.4384;6.6657;7.97;0.64115;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18NE15017_225;3;44.3088;-62.902;403632;168.82;30-jun-15;01:54:00;168.821;34.97;10.365;2.9153;7.902;0.0275;1;34.9898;1;3.1415;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18NE15017_264;4;43.8967;-62.9545;403640;4.44;30-jun-15;06:56:00;4.448;30.952;12.0946;6.1781;8.083;0.32862;1;NaN;9;6.5;1;0.03;1;0;1;0.221;1;0.29;1;0;0.00;0.00
18NE15017_264;4;43.8967;-62.9545;403639;26.06;30-jun-15;06:55:00;26.066;31.5755;6.69;7.3019;8.115;0.45186;1;NaN;9;NaN;9;0.03;1;0;1;0.285;1;0.39;1;0;0.00;0.00
18NE15017_264;4;43.8967;-62.9545;403638;50.09;30-jun-15;06:54:00;50.09;32.3612;3.543;6.698;8.039;0.75335;1;NaN;9;NaN;9;0.26;1;2.135;1;0.587;1;2.09;1;0;3.64;1.02
18NE15017_264;4;43.8967;-62.9545;403637;100.67;30-jun-15;06:52:00;100.671;34.5571;9.4185;3.5626;7.955;0.02589;1;NaN;9;NaN;9;0.04;1;15.525;1;1.1815;1;12.31;1;0;13.14;1.26
18NE15017_264;4;43.8967;-62.9545;403636;257.39;30-jun-15;06:47:00;257.399;35.1163;9.6114;2.7453;7.909;0.02265;1;35.1515;1;3.013;1;0.075;1;21.51;1;1.572;1;21.24;1;0;13.68;1.01
18NE15017_304;5;44.0872;-62.772;403644;5.63;30-jun-15;10:21:00;5.631;30.9192;12.4607;6.1249;8.092;0.42838;1;NaN;9;6.437;1;0.025;1;0;1;0.2275;1;0.405;1;0;0.00;0.00
18NE15017_304;5;44.0872;-62.772;403643;24.26;30-jun-15;10:20:00;24.265;31.3691;8.2729;7.0742;8.132;0.44598;1;NaN;9;NaN;9;0.055;1;0;1;0.277;1;0.59;1;0;0.00;0.00
18NE15017_304;5;44.0872;-62.772;403642;50.42;30-jun-15;10:19:00;50.423;32.6008;3.6795;6.1687;8.019;0.62512;1;NaN;9;NaN;9;0.26;1;5.42;1;0.7975;1;3.615;1;0;6.80;1.50
18NE15017_304;5;44.0872;-62.772;403641;241.31;30-jun-15;10:13:00;241.317;35.1333;9.8339;2.7362;7.93;0.0178;1;35.1682;1;2.9735;1;0.07;1;21.545;1;1.5165;1;19.1;1;0;14.21;1.13
18NE15017_315;6;43.9078;-62.301;403648;4.16;30-jun-15;14:24:00;4.165;30.9058;12.1485;6.1768;8.139;0.35209;1;NaN;9;6.4835;1;0.02;1;0;1;0.2355;1;0.43;1;0;0.00;0.00
18NE15017_315;6;43.9078;-62.301;403647;26.05;30-jun-15;14:23:00;26.058;30.9394;10.182;6.6798;8.143;0.46359;1;NaN;9;NaN;9;0.03;1;0.46;1;0.2775;1;0.45;1;0;1.66;1.02
18NE15017_315;6;43.9078;-62.301;403646;49.78;30-jun-15;14:22:00;49.781;32.1652;2.9777;6.7701;8.096;0.48119;1;NaN;9;NaN;9;0.22;1;3.865;1;0.713;1;3.02;1;0;5.42;1.28
18NE15017_315;6;43.9078;-62.301;403645;130.23;30-jun-15;14:19:00;130.234;34.9692;10.4768;3.2943;8.005;0.03074;1;35.0011;1;3.5335;1;0.055;1;17.455;1;1.2785;1;16.145;1;0;13.65;1.08
18NE15017_326;7;44.1762;-62.4652;403652;5.32;30-jun-15;17:07:00;5.323;30.9713;12.5988;6.1458;8.16;0.3697;1;NaN;9;6.4;1;0.03;1;0;1;0.2145;1;0.235;1;0;0.00;0.00
18NE15017_326;7;44.1762;-62.4652;403651;24.59;30-jun-15;17:06:00;24.599;31.4675;7.7288;7.0822;8.18;0.561;1;NaN;9;NaN;9;0.025;1;0;1;0.28;1;0.18;1;0;0.00;0.00
18NE15017_326;7;44.1762;-62.4652;403650;49.77;30-jun-15;17:05:00;49.773;32.4388;3.1694;6.3569;8.066;0.80144;1;NaN;9;NaN;9;0.23;1;4.78;1;0.7825;1;3.235;1;0;6.11;1.48
18NE15017_326;7;44.1762;-62.4652;403649;124.25;30-jun-15;17:02:00;124.258;34.4841;9.1163;3.4746;8.005;0.01132;1;34.4972;1;3.6895;1;0.06;1;16.13;1;1.2985;1;13.825;1;0;12.42;1.17
18NE15017_339;8;44.325;-62.275;403656;5.34;30-jun-15;19:11:00;5.34;31.09;12.666;6.1605;8.164;0.42251;1;NaN;9;6.448;1;0.04;1;0;1;0.214;1;0.105;1;0;0.00;0.00
18NE15017_339;8;44.325;-62.275;403655;24.87;30-jun-15;19:10:00;24.874;31.7081;8.0307;7.1024;8.19;0.64115;1;NaN;9;NaN;9;0.045;1;0;1;0.2275;1;0.735;1;0;0.00;0.00
18NE15017_339;8;44.325;-62.275;403654;50.59;30-jun-15;19:09:00;50.599;32.4583;3.8785;6.6186;8.093;0.84952;1;NaN;9;NaN;9;0.25;1;2.78;1;0.653;1;1.87;1;0;4.26;1.49
18NE15017_339;8;44.325;-62.275;403653;93.68;30-jun-15;19:07:00;93.681;34.1741;8.3096;3.7125;7.97;0.02427;1;34.1875;1;3.92;1;0.055;1;15.455;1;1.2715;1;12.44;1;0;12.15;1.24
18NE15017_003;9;44.3645;-62.1158;403660;4.29;30-jun-15;22:16:00;4.29;31.1236;12.749;6.1132;8.16;0.39904;1;NaN;9;6.45;1;0.055;1;0;1;0.2145;1;0.075;1;0;0.00;0.00
18NE15017_003;9;44.3645;-62.1158;403659;25.57;30-jun-15;22:16:00;25.574;31.5725;7.4331;7.0826;8.187;0.65718;1;NaN;9;NaN;9;0.055;1;0;1;0.2455;1;0.36;1;0;0.00;0.00
18NE15017_003;9;44.3645;-62.1158;403658;50.25;30-jun-15;22:15:00;50.257;32.6054;3.8715;6.4783;8.097;0.96172;1;NaN;9;NaN;9;0.18;1;2.23;1;0.6195;1;2.175;1;0;3.60;1.03
18NE15017_003;9;44.3645;-62.1158;403657;210.27;30-jun-15;22:09:00;210.27;35.1323;10.5113;2.8216;7.99;0.03074;1;35.1632;1;3.0425;1;0.11;1;19.685;1;1.462;1;19.895;1;0;13.46;0.99
18NE15017_014;10;44.2312;-61.9947;403664;4.83;01-jul-15;00:17:00;4.832;30.9374;12.3887;6.1879;8.152;0.35796;1;NaN;9;6.497;1;0.03;1;0;1;0.2155;1;0.15;1;0;0.00;0.00
18NE15017_014;10;44.2312;-61.9947;403663;25.12;01-jul-15;00:16:00;25.124;31.5832;6.7732;7.2424;8.189;0.56335;1;NaN;9;NaN;9;0.05;1;0;1;0.27;1;0.1;1;0;0.00;0.00
18NE15017_014;10;44.2312;-61.9947;403662;49.43;01-jul-15;00:15:00;49.439;32.6343;3.9423;5.7723;8.024;0.49293;1;NaN;9;NaN;9;0.21;1;5.175;1;0.9235;1;3.425;1;0;5.60;1.51
18NE15017_014;10;44.2312;-61.9947;403661;169.61;01-jul-15;00:11:00;169.616;34.9952;10.3963;2.6401;7.963;0.02751;1;35.0254;1;2.867;1;0.105;1;19.37;1;1.495;1;21.19;1;0;12.96;0.91
18NE15017_025;11;44.3822;-61.3148;403668;4.24;01-jul-15;04:44:00;4.248;31.5497;12.712;6.0773;8.179;0.41077;1;NaN;9;6.3975;1;0.015;1;0;1;0.2075;1;0.125;1;0;0.00;0.00
18NE15017_025;11;44.3822;-61.3148;403667;24.83;01-jul-15;04:44:00;24.832;31.8492;9.669;6.8778;8.195;0.78541;1;NaN;9;NaN;9;0.035;1;0;1;0.281;1;0.24;1;0;0.00;0.00
18NE15017_025;11;44.3822;-61.3148;403666;50.19;01-jul-15;04:43:00;50.19;32.8702;5.3643;6.199;8.124;1.69905;1;NaN;9;NaN;9;0.16;1;1.79;1;0.5805;1;1.785;1;0;3.08;1.00
18NE15017_025;11;44.3822;-61.3148;403665;167.88;01-jul-15;04:39:00;167.884;34.6977;9.7988;2.8587;7.963;0.03236;1;34.7219;1;3.144;1;0.055;1;17.245;1;1.3775;1;17.37;1;0;12.52;0.99
18NE15017_036;12;44.0317;-61.2107;403672;4.64;01-jul-15;07:48:00;4.648;31.9417;12.6251;6.1256;8.199;0.36383;1;NaN;9;6.4155;1;0;1;0;1;0.2225;1;0.325;1;0;0.00;0.00
18NE15017_036;12;44.0317;-61.2107;403671;24.73;01-jul-15;07:47:00;24.732;31.8664;11.934;6.3399;8.197;0.88158;1;NaN;9;NaN;9;0.025;1;0;1;0.25;1;0.595;1;0;0.00;0.00
18NE15017_036;12;44.0317;-61.2107;403670;50.07;01-jul-15;07:46:00;50.073;32.9802;5.5444;6.2413;8.14;0.51292;1;NaN;9;NaN;9;0.28;1;2.24;1;0.5975;1;3.755;1;0;3.75;0.60
18NE15017_036;12;44.0317;-61.2107;403669;64.73;01-jul-15;07:45:00;64.732;33.045;5.5685;6.1512;8.139;0.45185;1;33.0789;1;6.399;1;0.285;1;2.71;1;0.6265;1;4.01;1;0;4.33;0.68
18NE15017_047;13;43.6748;-60.8825;403675;5.67;01-jul-15;11:28:00;5.673;31.5859;11.0834;6.4749;8.251;0.58682;1;NaN;9;6.7405;1;0.025;1;0;1;0.256;1;1.435;1;0;0.00;0.00
18NE15017_047;13;43.6748;-60.8825;403674;24.62;01-jul-15;11:27:00;24.624;31.8256;8.613;6.9172;8.269;2.27917;1;NaN;9;NaN;9;0;1;0;1;0.303;1;0.54;1;0;0.00;0.00
18NE15017_047;13;43.6748;-60.8825;403673;50.54;01-jul-15;11:26:00;50.549;32.409;5.5011;6.6063;8.204;5.54254;1;32.3505;1;6.9445;1;0.075;1;1.12;1;0.5105;1;1.795;1;0;2.19;0.62
18NE15017_069;14;43.5195;-61.1047;403679;4.64;01-jul-15;13:52:00;4.64;31.7695;11.6242;6.402;8.251;0.53401;1;NaN;9;6.6915;1;0.03;1;0;1;0.227;1;0.48;1;0;0.00;0.00
18NE15017_069;14;43.5195;-61.1047;403678;24.85;01-jul-15;13:51:00;24.858;31.9542;9.2383;6.8368;8.271;0.86555;1;NaN;9;NaN;9;0.02;1;0;1;0.253;1;0.53;1;0;0.00;0.00
18NE15017_069;14;43.5195;-61.1047;403677;49.82;01-jul-15;13:49:00;49.823;32.4368;5.2699;6.7887;8.209;4.04036;1;NaN;9;NaN;9;0.09;1;1.1;1;0.485;1;1.57;1;0;2.27;0.70
18NE15017_069;14;43.5195;-61.1047;403676;61.87;01-jul-15;13:48:00;61.87;33.1686;5.9846;6.0991;8.198;1.60578;1;33.2036;1;6.329;1;0.18;1;3.915;1;0.68;1;3.565;1;0;5.76;1.10
18NE15017_080;15;43.4873;-61.5183;403683;5.77;01-jul-15;16:27:00;5.773;31.6314;11.1757;6.5432;8.208;0.65137;1;NaN;9;6.8065;1;0.055;1;0;1;0.2265;1;0.375;1;0;0.00;0.00
18NE15017_080;15;43.4873;-61.5183;403682;24.97;01-jul-15;16:26:00;24.974;31.7585;9.3736;6.8806;8.211;1.08996;1;NaN;9;NaN;9;0.045;1;0;1;0.243;1;0.48;1;0;0.00;0.00
18NE15017_080;15;43.4873;-61.5183;403681;50.39;01-jul-15;16:25:00;50.399;32.5575;5.3849;6.6313;8.152;3.05616;1;NaN;9;NaN;9;0.135;1;1.32;1;0.523;1;2.09;1;0;2.52;0.63
18NE15017_080;15;43.4873;-61.5183;403680;71.78;01-jul-15;16:23:00;71.783;32.7804;5.4402;6.4492;8.155;5.28354;1;32.8105;1;6.7085;1;0.155;1;1.895;1;0.5945;1;2.425;1;0;3.19;0.78
18NE15017_091;16;43.7325;-61.6455;403687;4.82;01-jul-15;18:49:00;4.823;31.6887;12.8363;6.16;8.222;0.29928;1;NaN;9;6.4375;1;0.035;1;0;1;0.214;1;0.275;1;0;0.00;0.00
18NE15017_091;16;43.7325;-61.6455;403686;25.62;01-jul-15;18:48:00;25.624;31.9703;11.6085;6.4143;8.224;0.52814;1;NaN;9;NaN;9;0.04;1;0;1;0.2325;1;0.435;1;0;0.00;0.00
18NE15017_091;16;43.7325;-61.6455;403685;50.12;01-jul-15;18:46:00;50.123;32.6649;6.072;6.8694;8.217;2.01962;1;NaN;9;NaN;9;0.115;1;1.01;1;0.437;1;2;1;0;2.31;0.51
18NE15017_091;16;43.7325;-61.6455;403684;64.61;01-jul-15;18:45:00;64.615;32.8854;5.4591;6.2852;8.168;0.67321;1;32.9196;1;6.5295;1;0.235;1;2.355;1;0.6415;1;3.195;1;0;3.67;0.74
18NE15017_102;17;43.7025;-61.8593;403691;4.35;01-jul-15;20:29:00;4.357;31.1261;13.0604;6.1628;8.184;0.28168;1;NaN;9;6.438;1;0.025;1;0;1;0.2255;1;0.245;1;0;0.00;0.00
18NE15017_102;17;43.7025;-61.8593;403690;24.84;01-jul-15;20:28:00;24.841;32.0021;10.1696;6.7582;8.219;0.58095;1;NaN;9;NaN;9;0.025;1;0;1;0.2435;1;0.485;1;0;0.00;0.00
18NE15017_102;17;43.7025;-61.8593;403689;49.67;01-jul-15;20:27:00;49.673;32.5924;3.8087;6.2415;8.101;0.91364;1;NaN;9;NaN;9;0.19;1;5.245;1;0.769;1;3.875;1;0;6.82;1.35
18NE15017_102;17;43.7025;-61.8593;403688;83.72;01-jul-15;20:25:00;83.72;33.9059;7.6589;4.6932;8.087;0.02912;1;33.9367;1;4.879;1;0.105;1;10.825;1;0.9565;1;9.195;1;0;11.32;1.18
