CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;SSAL_XX;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);((none));((none));((none));((none))
18PZ96027_113;2;46.01107;-59.6037;176607;153;02-nov-96;13:30:00;32.992;0;NaN;NaN
18PZ96027_225;3;47.00971;-59.3327;176614;246;02-nov-96;13:30:00;34.343;0;NaN;NaN
18PZ96027_264;4;47.00805;-59.4498;176623;430;02-nov-96;13:30:00;34.878;0;NaN;NaN
18PZ96027_003;10;46.01466;-60.1483;176695;10;03-nov-96;13:30:00;29.526;0;NaN;NaN
18PZ96027_003;10;46.01466;-60.1483;176694;40;03-nov-96;13:30:00;30.2;0;NaN;NaN
18PZ96027_003;10;46.0147;-60.1492;176687;144;03-nov-96;13:30:00;33.762;0;NaN;NaN
18PZ96027_326;8;47.0014;-55.9177;176674;10;03-nov-96;13:30:00;30.585;0;NaN;NaN
18PZ96027_326;8;47.0014;-55.9177;176673;40;03-nov-96;13:30:00;31.261;0;NaN;NaN
18PZ96027_339;9;46.01636;-60.0338;176685;40;03-nov-96;13:30:00;31.016;0;NaN;NaN
18PZ96027_339;9;46.01636;-60.0352;176675;148;03-nov-96;13:30:00;32.977;0;NaN;NaN
18PZ96027_025;12;45.01443;-56.9998;176716;250;06-nov-96;13:30:00;34.663;0;NaN;NaN
18PZ96027_025;12;45.01443;-56.9998;176715;300;06-nov-96;13:30:00;34.867;0;NaN;NaN
18PZ96027_036;13;45.01513;-56.8997;176717;234;06-nov-96;13:30:00;34.849;0;NaN;NaN
18PZ96027_047;14;45.01612;-56.7745;176726;36;06-nov-96;13:30:00;32.108;0;NaN;NaN
18PZ96027_102;19;44.01304;-55.8347;176755;300;07-nov-96;13:30:00;35.004;0;NaN;NaN
18PZ96027_102;19;44.01304;-55.8347;176754;350;07-nov-96;13:30:00;34.869;0;NaN;NaN
18PZ96027_114;20;44.00553;-55.8335;176767;200;07-nov-96;13:30:00;34.833;0;NaN;NaN
18PZ96027_114;20;44.00553;-55.8335;176766;300;07-nov-96;13:30:00;34.869;0;NaN;NaN
18PZ96027_127;21;43.01307;-57.8325;176779;400;07-nov-96;13:30:00;34.977;0;NaN;NaN
18PZ96027_127;21;43.01307;-57.8325;176778;500;07-nov-96;13:30:00;34.859;0;NaN;NaN
18PZ96027_138;22;44.00223;-58.175;179791;350;07-nov-96;13:30:00;34.909;0;NaN;NaN
18PZ96027_138;22;44.00223;-58.175;179790;450;07-nov-96;13:30:00;34.925;0;NaN;NaN
18PZ96027_138;22;44.00223;-58.175;176780;774;07-nov-96;13:30:00;34.914;0;NaN;NaN
18PZ96027_149;23;44.00791;-58.5075;176792;48;07-nov-96;13:30:00;32.404;0;NaN;NaN
18PZ96027_171;25;45.00263;-59.1752;176804;94;08-nov-96;13:30:00;32.483;0;NaN;NaN
18PZ96027_182;26;45.0082;-59.5163;176810;131;08-nov-96;13:30:00;32.632;0;NaN;NaN
