CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Q_OXYM;CHL_01;Q_CHL;CHL_03;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);((none));(mg/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18PZ96058_494;11;47.08283;-59.91683;182012;0.5;30-nov-96;03:48:00;NaN;NaN;NaN;NaN;9;0.35;1;0.49;1;2.14;1;0.64;1;2.83;1;0;3.34;0.76
18PZ96058_494;11;47.08283;-59.91683;182010;7.54;30-nov-96;03:48:00;30.8;5.13;334.5034;324.81218;4;0.55;1;0.5;1;1.42;1;0.42;1;1.93;1;6;3.38;0.74
18PZ96058_494;11;47.08283;-59.91683;182009;28.86;30-nov-96;03:48:00;31.48;5.52;333.34224;323.60636;4;0.46;1;0.5;1;0.73;1;0.35;1;1.07;1;6;2.09;0.68
18PZ96058_494;11;47.08283;-59.91683;182008;53.45;30-nov-96;03:48:00;31.57;5.57;330.08206;298.86472;4;0.45;1;0.48;1;0.91;1;0.39;1;1.35;1;6;2.33;0.67
18PZ96058_494;11;47.08283;-59.91683;182007;102.52;30-nov-96;03:48:00;32.36;2.87;322.6685;320.4355;4;0.07;1;0.09;1;3.87;1;0.62;1;3.37;1;6;6.24;1.15
18PZ96058_494;11;47.08283;-59.91683;182006;151.87;30-nov-96;03:48:00;32.82;0.89;306.01032;300.60646;4;0.02;1;0.03;1;8.41;1;0.85;1;7.03;1;6;9.89;1.20
18PZ96058_494;11;47.08283;-59.91683;182005;202.7;30-nov-96;03:48:00;33.69;3.56;217.18158;198.15642;4;0.01;1;0.02;1;10.68;1;1.07;1;12.69;1;6;9.98;0.84
18PZ96058_494;11;47.08283;-59.91683;182004;251.54;30-nov-96;03:48:00;34.3;5.09;142.10812;144.51976;4;0.01;1;0.01;1;16.02;1;1.34;1;19.36;1;6;11.96;0.83
18PZ96058_494;11;47.08283;-59.91683;182003;302.74;30-nov-96;03:48:00;34.53;5.25;105.6209;106.55876;4;0.01;1;0.01;1;17.87;1;1.49;1;28.36;1;6;11.99;0.63
18PZ96058_494;11;47.08283;-59.91683;182002;351.85;30-nov-96;03:48:00;34.64;5.59;135.81106;NaN;9;0;1;0.01;1;17.82;1;1.43;1;22.01;1;0;12.46;0.81
18PZ96058_494;11;47.08283;-59.91683;182001;370.46;30-nov-96;03:48:00;34.67;5.59;136.70426;NaN;9;0;1;0.01;1;16.68;1;1.35;1;21.93;1;0;12.36;0.76
18PZ96058_495;21;46.98267;-60.03267;182020;0.5;30-nov-96;06:38:00;NaN;NaN;NaN;NaN;9;0.36;1;0.44;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18PZ96058_495;21;46.98267;-60.03267;182019;8.03;30-nov-96;06:38:00;28.98;5.96;323.82966;320.6588;4;0.41;1;0.51;1;1.3;1;0.46;1;2.95;1;6;2.83;0.44
18PZ96058_495;21;46.98267;-60.03267;182018;19.14;30-nov-96;06:38:00;29.17;5.79;324.76752;323.65102;4;0.39;1;0.49;1;1.79;1;0.52;1;3.33;1;6;3.44;0.54
18PZ96058_495;21;46.98267;-60.03267;182017;27.86;30-nov-96;06:38:00;29.2;5.8;321.59666;323.24908;4;0.43;1;0.43;1;1.78;1;0.565;1;3.75;1;6;3.15;0.47
18PZ96058_495;21;46.98267;-60.03267;182016;51.96;30-nov-96;06:38:00;30.99;5.16;312.48602;318.60444;4;0.44;1;0.43;1;1.99;1;0.49;1;2.815;1;6;4.06;0.71
18PZ96058_495;21;46.98267;-60.03267;182015;102.22;30-nov-96;06:38:00;31.87;2.17;278.09782;298.66375;4;0.25;1;0.25;1;6.62;1;0.915;1;8.915;1;6;7.23;0.74
18PZ96058_495;21;46.98267;-60.03267;182014;152.17;30-nov-96;06:38:00;32.94;1.73;280.50946;269.2998;4;0.03;1;0.05;1;11.285;1;1.155;1;12.49;1;6;9.77;0.90
18PZ96058_495;21;46.98267;-60.03267;182013;160.79;30-nov-96;06:38:00;33.39;2.62;234.15238;228.74852;4;0.02;1;0.04;1;15.595;1;1.4;1;18.175;1;6;11.14;0.86
18PZ96058_496;31;46.88217;-60.149;182027;0.5;30-nov-96;08:19:00;NaN;NaN;NaN;NaN;9;0.32;1;0.41;1;1.86;1;0.635;1;4.46;1;0;2.93;0.42
18PZ96058_496;31;46.88217;-60.149;182026;9.12;30-nov-96;08:19:00;28.85;6.34;321.552;318.73842;4;0.31;1;0.4;1;1.725;1;0.57;1;4.45;1;6;3.03;0.39
18PZ96058_496;31;46.88217;-60.149;182025;19.24;30-nov-96;08:19:00;28.86;6.35;319.63162;318.11318;4;0.29;1;0.38;1;1.68;1;0.53;1;4.37;1;6;3.17;0.38
18PZ96058_496;31;46.88217;-60.149;182024;28.96;30-nov-96;08:19:00;28.86;6.36;319.00638;320.07822;4;0.5;1;0.5;1;1.76;1;0.6;1;4.545;1;6;2.93;0.39
18PZ96058_496;31;46.88217;-60.149;182023;53.74;30-nov-96;08:19:00;29.33;5.87;307.79672;309.82875;4;0.2;1;0.27;1;2.42;1;0.53;1;4.16;1;6;4.57;0.58
18PZ96058_496;31;46.88217;-60.149;182022;103.11;30-nov-96;08:19:00;31.77;2.59;296.27444;299.17734;4;0.07;1;0.1;1;7.38;1;0.955;1;8.145;1;6;7.73;0.91
18PZ96058_496;31;46.88217;-60.149;182021;153.86;30-nov-96;08:19:00;33.17;2.15;251.25716;237.01062;4;0.03;1;0.06;1;12.345;1;1.22;1;14.82;1;6;10.12;0.83
18PZ96058_508;61;47.18217;-59.79883;182040;0.5;30-nov-96;23:43:00;NaN;NaN;NaN;NaN;9;0.45;1;0.59;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18PZ96058_508;61;47.18217;-59.79883;182037;8.53;30-nov-96;23:43:00;31.49;5.45;338.34416;303.28606;4;NaN;9;NaN;9;1.805;1;0.4;1;2.14;1;6;4.51;0.84
18PZ96058_508;61;47.18217;-59.79883;182039;14.87;30-nov-96;23:43:00;31.5;5.45;338.5228;NaN;9;0.46;1;0.61;1;1.2;1;0.49;1;2.485;1;0;2.45;0.48
18PZ96058_508;61;47.18217;-59.79883;182038;24.79;30-nov-96;23:43:00;31.5;5.45;337.89756;323.51704;4;0.35;1;0.45;1;1.475;1;0.48;1;2.66;1;6;3.07;0.55
18PZ96058_508;61;47.18217;-59.79883;182036;53.25;30-nov-96;23:43:00;31.56;5.68;334.0568;327.22382;4;0.39;1;0.41;1;1.14;1;0.49;1;2.415;1;6;2.33;0.47
18PZ96058_508;61;47.18217;-59.79883;182035;102.42;30-nov-96;23:43:00;32.38;1.87;326.06266;324.9015;4;0.06;1;0.08;1;6.135;1;0.86;1;5.44;1;6;7.13;1.13
18PZ96058_508;61;47.18217;-59.79883;182034;152.56;30-nov-96;23:43:00;33.01;1.27;292.12106;281.89392;4;0.02;1;0.03;1;11.605;1;1.145;1;12.86;1;6;10.14;0.90
18PZ96058_508;61;47.18217;-59.79883;182033;202.2;30-nov-96;23:43:00;33.96;4.72;215.84178;207.75832;4;0.01;1;0.02;1;16.63;1;1.31;1;17.885;1;6;12.69;0.93
18PZ96058_508;61;47.18217;-59.79883;182032;251.14;30-nov-96;23:43:00;34.43;5.77;172.74488;174.08468;4;0.01;1;0.01;1;19.465;1;1.385;1;19.97;1;6;14.05;0.97
18PZ96058_508;61;47.18217;-59.79883;182031;302.04;30-nov-96;23:43:00;34.67;5.91;154.79156;159.4362;4;0;1;0.01;1;22.64;1;1.55;1;23.37;1;6;14.61;0.97
