CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;CHL_03;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(mmol/m**3);((none));(celsius);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL02005_002;STN 27;47.5467;-52.5867;254334;4;21-apr-02;03:39:00;4.49;32.46;1;392.1113;4;-0.31;1;6.66;1;0;1;0.44;1;0.73;1;6;0.00;0.00
18TL02005_002;STN 27;47.5467;-52.5867;254333;9;21-apr-02;03:39:00;9.34;32.46;1;392.5579;4;-0.31;1;6.87;1;0;1;0.66;1;0.85;1;6;0.00;0.00
18TL02005_002;STN 27;47.5467;-52.5867;254332;19;21-apr-02;03:39:00;18.73;32.48;1;391.2181;4;-0.38;1;6.43;1;0.29;1;0.62;1;0.89;1;6;0.47;0.33
18TL02005_002;STN 27;47.5467;-52.5867;254331;28;21-apr-02;03:39:00;28.51;32.48;1;388.0919;4;-0.42;1;6.86;1;0.22;1;0.59;1;0.48;1;6;0.37;0.46
18TL02005_002;STN 27;47.5467;-52.5867;254330;39;21-apr-02;03:39:00;38.94;32.5;1;384.5191;4;-0.47;1;6.38;1;0;1;0.65;1;0.73;1;6;0.00;0.00
18TL02005_002;STN 27;47.5467;-52.5867;254329;49;21-apr-02;03:39:00;48.94;32.5;1;384.0726;4;-0.47;1;6.6;1;0;1;0.7;1;1.06;1;6;0.00;0.00
18TL02005_002;STN 27;47.5467;-52.5867;254328;74;21-apr-02;03:39:00;74.67;32.53;1;376.4804;4;-0.64;1;4.96;1;0.49;1;0.8;1;1.63;1;6;0.61;0.30
18TL02005_002;STN 27;47.5467;-52.5867;254327;98;21-apr-02;03:39:00;98.43;32.68;1;352.3642;4;-1.57;1;0.34;1;6.81;1;1.5;1;7.99;1;6;4.54;0.85
18TL02005_002;STN 27;47.5467;-52.5867;254326;147;21-apr-02;03:39:00;148.17;32.94;1;326.4617;4;-0.96;1;NaN;9;7.65;1;1.52;1;11.35;1;6;5.03;0.67
18TL02005_002;STN 27;47.5467;-52.5867;254325;171;21-apr-02;03:39:00;171.95;32.99;1;323.3355;4;-0.73;1;NaN;9;7.8;1;1.62;1;12.11;1;6;4.81;0.64
18TL02005_113;SEGB-01;46.5833;-52.9333;-1;0;21-apr-02;09:15:00;0;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL02005_113;SEGB-01;46.5833;-52.9333;254340;5;21-apr-02;09:15:00;4.7;32.48;1;382.2862;4;-0.45;1;6.59;1;0.74;1;0.67;1;1.29;1;6;1.10;0.57
18TL02005_113;SEGB-01;46.5833;-52.9333;254339;9;21-apr-02;09:15:00;9.53;32.48;1;381.393;4;-0.45;1;6.57;1;0.9;1;0.79;1;1.2;1;6;1.14;0.75
18TL02005_113;SEGB-01;46.5833;-52.9333;254338;19;21-apr-02;09:15:00;19.14;32.52;1;372.9077;4;-0.71;1;4.65;1;2.1;1;0.7;1;2.42;1;6;3.00;0.87
18TL02005_113;SEGB-01;46.5833;-52.9333;254337;29;21-apr-02;09:15:00;29.08;32.53;1;370.2281;4;-0.79;1;3.97;1;2.53;1;0.83;1;3.09;1;6;3.05;0.82
18TL02005_113;SEGB-01;46.5833;-52.9333;254336;38;21-apr-02;09:15:00;38.51;32.55;1;365.7621;4;-0.91;1;3.41;1;3.62;1;1.14;1;3.67;1;6;3.18;0.99
18TL02005_113;SEGB-01;46.5833;-52.9333;254335;47;21-apr-02;09:15:00;47.72;32.56;1;364.8689;4;-0.96;1;3.03;1;3.47;1;1.05;1;4.28;1;6;3.30;0.81
18TL02005_225;SEGB-02;46.5;-52.85;-2;0;21-apr-02;10:24:00;0;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL02005_225;SEGB-02;46.5;-52.85;254341;169;21-apr-02;10:24:00;170.49;32.66;1;357.7234;4;-1.28;1;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18TL02005_264;SEGB-03;46.35;-52.7333;-3;0;21-apr-02;11:33:00;0;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL02005_264;SEGB-03;46.35;-52.7333;254351;5;21-apr-02;11:33:00;5.21;32.49;1;387.6453;4;-0.3;1;7.2;1;0.85;1;0.57;1;0.97;1;6;1.49;0.88
18TL02005_264;SEGB-03;46.35;-52.7333;254350;10;21-apr-02;11:33:00;9.6;32.5;1;387.6453;4;-0.3;1;6.89;1;0.1;1;0.51;1;0.41;1;6;0.20;0.24
18TL02005_264;SEGB-03;46.35;-52.7333;254349;20;21-apr-02;11:33:00;20.11;32.5;1;387.1987;4;-0.31;1;7.55;1;0;1;0.57;1;0.58;1;6;0.00;0.00
18TL02005_264;SEGB-03;46.35;-52.7333;254348;30;21-apr-02;11:33:00;30.55;32.54;1;382.7328;4;-0.38;1;7.52;1;0.51;1;0.9;1;0.73;1;6;0.57;0.70
18TL02005_264;SEGB-03;46.35;-52.7333;254347;41;21-apr-02;11:33:00;40.97;32.56;1;381.8396;4;-0.41;1;7.22;1;0.4;1;0.61;1;0.68;1;6;0.66;0.59
18TL02005_264;SEGB-03;46.35;-52.7333;254346;50;21-apr-02;11:33:00;50.61;32.56;1;381.8396;4;-0.41;1;7.62;1;0.06;1;0.63;1;0.7;1;6;0.10;0.09
18TL02005_264;SEGB-03;46.35;-52.7333;254345;76;21-apr-02;11:33:00;76.54;32.69;1;359.9564;4;-1.09;1;2.29;1;5.26;1;1.43;1;4.72;1;6;3.68;1.11
18TL02005_264;SEGB-03;46.35;-52.7333;254344;100;21-apr-02;11:33:00;100.48;32.85;1;341.6459;4;-1.03;1;0.48;1;7.02;1;1.44;1;8.62;1;6;4.88;0.81
18TL02005_264;SEGB-03;46.35;-52.7333;254343;146;21-apr-02;11:33:00;147.12;32.86;1;339.8596;4;-0.97;1;NaN;9;7.59;1;1.39;2;8.19;1;2054;5.46;0.93
18TL02005_264;SEGB-03;46.35;-52.7333;254342;164;21-apr-02;11:33:00;164.85;32.87;1;337.6266;4;-0.9;1;NaN;9;7.59;1;1.57;2;8.62;1;2054;4.83;0.88
18TL02005_284;SEGB-04;46.2083;-52.6083;-4;0;21-apr-02;13:34:00;0;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL02005_284;SEGB-04;46.2083;-52.6083;254352;122;21-apr-02;13:34:00;123.23;32.98;1;321.9957;4;-0.61;1;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18TL02005_304;SEGB-05;46.07;-52.5;-5;0;21-apr-02;14:41:00;0;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL02005_304;SEGB-05;46.07;-52.5;254360;5;21-apr-02;14:41:00;5.16;32.72;1;363.0826;4;0.48;1;2.9;1;2.76;1;1.03;1;1.65;1;6;2.68;1.67
