CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL11050_1175;861;47.58317;-59.34067;345936;4.86;13-aug-11;01:46:00;30.95;14.52;272.78328;8.557;272.51532;NaN;2.656;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18TL11050_1175;861;47.58317;-59.34067;345935;246.87;13-aug-11;01:46:00;34.64;6.43;178.68466;8.29;178.39437;NaN;0.19;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18TL11050_1176;871;47.43317;-59.55567;345941;5.65;13-aug-11;03:17:00;30.25;15.41;264.20856;8.58;264.07458;0.465;1.243;0.005;1;0.05;1;0.09;1;0.615;1;6;0.56;0.08
18TL11050_1176;871;47.43317;-59.55567;345940;16.66;13-aug-11;03:17:00;31.08;14.05;273.94444;8.541;NaN;0.32;1.675;0.005;1;0.06;1;0.14;1;0.62;1;0;0.43;0.10
18TL11050_1176;871;47.43317;-59.55567;345939;51.26;13-aug-11;03:17:00;32.25;3;323.38306;8.403;NaN;0.405;1.009;0.185;1;2.385;1;0.605;1;2.5;1;0;3.94;0.95
18TL11050_1176;871;47.43317;-59.55567;345938;250.64;13-aug-11;03:17:00;34.76;6.4;174.12934;8.299;NaN;NaN;0.222;0.005;1;21.725;1;1.475;1;17.53;1;0;14.73;1.24
18TL11050_1176;871;47.43317;-59.55567;345937;457.73;13-aug-11;03:17:00;34.91;5;216.64566;8.32;215.4845;NaN;0.2;0.01;1;19.97;1;1.41;1;21.97;1;6;14.16;0.91
18TL11050_1177;921;47.60017;-59.90083;345948;6.45;13-aug-11;14:52:00;30.56;14.7;268.94252;8.573;270.03669;0.28;1.156;0.005;1;0.045;1;0.12;1;0.68;1;6;0.38;0.07
18TL11050_1177;921;47.60017;-59.90083;345947;16.26;13-aug-11;14:52:00;31.08;13.99;272.91726;8.535;NaN;0.37;1.675;0.01;1;0.055;1;0.15;1;0.545;1;0;0.37;0.10
18TL11050_1177;921;47.60017;-59.90083;345946;33.02;13-aug-11;14:52:00;32.01;5.15;320.12288;8.447;NaN;0.455;1.518;0.18;1;1;1;0.455;1;1.685;1;0;2.20;0.59
18TL11050_1177;921;47.60017;-59.90083;345945;50.87;13-aug-11;14:52:00;32.3;2.9;334.5034;8.431;NaN;0.465;1.404;0.175;1;1.68;1;0.565;1;1.695;1;0;2.97;0.99
18TL11050_1177;921;47.60017;-59.90083;345944;249.84;13-aug-11;14:52:00;34.67;6.48;164.61676;8.278;NaN;NaN;0.218;0.005;1;21.185;1;1.48;1;17.925;1;0;14.31;1.18
18TL11050_1177;921;47.60017;-59.90083;345943;521.54;13-aug-11;14:52:00;34.91;5.08;210.7952;8.31;210.95151;NaN;0.204;0.01;1;20.365;1;1.43;1;22.39;1;6;14.24;0.91
18TL11050_1178;941;47.76717;-60.38817;345950;4.96;13-aug-11;20:50:00;30.19;15.11;268.98718;8.568;269.72407;NaN;1.724;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18TL11050_1178;941;47.76717;-60.38817;345949;427.74;13-aug-11;20:50:00;34.9;5.38;179.3099;8.263;179.22058;NaN;0.245;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18TL11050_1179;961;47.95717;-60.89233;345952;5.55;14-aug-11;01:53:00;29.32;15.55;267.33476;8.558;268.83087;NaN;1.58;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18TL11050_1179;961;47.95717;-60.89233;345951;245.28;14-aug-11;01:53:00;34.31;5.08;125.89654;8.098;126.25382;NaN;0.22;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
