CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL17002_002;1;41.9751;-65.89741;436870;5.19;21-mar-17;13:02:00;5.195;33.5865;6.825;6.1221;7.87;0.96486;1;NaN;9;6.701;1;0.21;1;7.605;1;0.7415;1;6.045;1;0;10.26;1.26
18TL17002_002;1;41.97576;-65.89782;436869;25.68;21-mar-17;13:01:00;25.684;33.5888;6.8363;6.1531;7.869;0.96486;1;NaN;9;NaN;9;0.2;1;5.475;1;0.7565;1;6.125;1;0;7.24;0.89
18TL17002_002;1;41.97628;-65.8981;436868;52.62;21-mar-17;13:00:00;52.625;33.7261;7.2729;6.0631;7.869;0.88445;1;NaN;9;NaN;9;0.19;1;7.855;1;0.7595;1;6.14;1;0;10.34;1.28
18TL17002_002;1;41.97865;-65.89904;436867;137.16;21-mar-17;12:56:00;137.16;34.9458;10.3449;4.164;7.834;0.05253;1;34.942;1;4.76;1;0.105;1;14.37;1;1.0255;1;9.165;1;0;14.01;1.57
18TL17002_225;3;41.74168;-65.9001;436873;5.07;21-mar-17;17:22:00;5.076;33.3479;6.2704;6.2972;7.903;1.0131;1;NaN;9;5.3765;1;0.195;1;6.6;1;0.7525;1;6.19;1;0;8.77;1.07
18TL17002_225;3;41.74204;-65.89978;436872;24.47;21-mar-17;17:20:00;24.479;33.372;6.2914;6.3483;7.916;1.0131;1;NaN;9;NaN;9;0.195;1;7.39;1;0.7405;1;6.02;1;0;9.98;1.23
18TL17002_225;3;41.74276;-65.8986;436871;111.51;21-mar-17;17:17:00;111.515;35.0647;11.0864;4.8673;7.848;0.1297;1;35.07;1;5.3;1;0.225;1;11.165;1;0.7805;1;6.19;1;0;14.30;1.80
18TL17002_264;5;41.76917;-66.13592;436876;5.56;21-mar-17;21:34:00;5.56;33.0821;5.601;6.4352;7.983;0.83621;1;NaN;9;6.886;1;0.185;1;5.795;1;0.7495;1;6.265;1;0;7.73;0.92
18TL17002_264;5;41.76918;-66.13584;436875;24.28;21-mar-17;21:32:00;24.282;33.4382;6.4015;6.2776;7.978;1.06134;1;NaN;9;NaN;9;0.185;1;6.225;1;0.7275;1;6.03;1;0;8.56;1.03
18TL17002_264;5;41.76942;-66.1354;436874;84.7;21-mar-17;21:29:00;84.7;33.8774;7.9092;5.4491;7.976;NaN;9;33.881;1;5.9045;1;0.135;1;9.825;1;0.862;1;7.46;1;0;11.40;1.32
18TL17002_284;7;41.34671;-66.39083;436879;4.85;22-mar-17;01:40:00;4.852;32.3458;4.2211;6.8285;8.019;0.80405;1;NaN;9;7.387;1;0.175;1;6.475;1;0.781;1;6.565;1;0;8.29;0.99
18TL17002_284;7;41.34714;-66.39114;436878;25.29;22-mar-17;01:39:00;25.29;32.5347;4.6017;6.6756;8.02;0.80405;1;NaN;9;NaN;9;0.175;1;6.08;1;0.8035;1;6.67;1;0;7.57;0.91
18TL17002_284;7;41.34852;-66.39196;436877;94.47;22-mar-17;01:35:00;94.473;33.0588;5.9345;6.0896;8.025;0.20479;1;33.062;1;6.5815;1;0.19;1;7.045;1;0.839;1;7.12;1;0;8.40;0.99
18TL17002_315;9;41.61546;-66.62882;436882;6.13;22-mar-17;06:49:00;6.137;32.4999;4.5499;6.8896;8.064;1.17391;1;NaN;9;7.292;1;0.2;1;5.71;1;0.7925;1;6.065;1;0;7.21;0.94
18TL17002_315;9;41.61532;-66.62876;436881;26.4;22-mar-17;06:48:00;26.409;32.5119;4.5249;6.8516;8.071;1.09351;1;NaN;9;NaN;9;0.18;1;6.855;1;0.8015;1;6.05;1;0;8.55;1.13
18TL17002_315;9;41.61504;-66.62834;436880;76.22;22-mar-17;06:45:00;76.229;32.5473;4.6457;6.8072;8.091;1.07743;1;32.555;1;7.332;1;0.2;1;7.005;1;0.8035;1;5.93;1;0;8.72;1.18
18TL17002_326;10;41.66236;-66.88476;436885;4.9;22-mar-17;10:40:00;4.909;32.5748;4.6361;6.8805;7.93;1.89756;1;NaN;9;7.4315;1;0.215;1;6.41;1;0.7485;1;4.56;1;0;8.56;1.41
18TL17002_326;10;41.66218;-66.88508;436884;24.56;22-mar-17;10:39:00;24.567;32.5739;4.6413;6.9272;7.938;1.51161;1;NaN;9;NaN;9;0.22;1;5.445;1;0.766;1;4.665;1;0;7.11;1.17
18TL17002_326;10;41.66188;-66.88563;436883;62.58;22-mar-17;10:37:00;62.582;32.5729;4.6464;6.9038;7.96;1.41513;1;32.577;1;7.3805;1;0.215;1;5.65;1;0.753;1;4.725;1;0;7.50;1.20
18TL17002_339;12;41.44056;-66.54519;436888;4.71;22-mar-17;14:00:00;4.715;32.3565;4.3211;6.8896;7.933;1.31864;1;NaN;9;7.3625;1;0.17;1;5.01;1;0.758;1;5.795;1;0;6.61;0.86
18TL17002_339;12;41.4409;-66.54556;436887;24.99;22-mar-17;13:59:00;24.992;32.3685;4.2823;6.9081;7.939;0.91662;1;NaN;9;NaN;9;0.185;1;4.295;1;0.7735;1;5.92;1;0;5.55;0.73
18TL17002_339;12;41.44163;-66.5465;436886;86.28;22-mar-17;13:57:00;86.28;32.3991;4.3616;6.8443;7.962;0.83621;1;32.415;1;7.3345;1;0.19;1;4.365;1;0.778;1;5.855;1;0;5.61;0.75
18TL17002_003;14;41.15006;-66.65268;436891;4.7;22-mar-17;18:59:00;4.702;32.6211;5.0191;6.6813;7.903;0.78797;1;NaN;9;7.141;1;0.165;1;7.19;1;0.7775;1;6.66;1;0;9.25;1.08
18TL17002_003;14;41.15036;-66.65204;436890;24.66;22-mar-17;18:58:00;24.665;32.8346;5.4324;6.4925;7.898;0.83621;1;NaN;9;NaN;9;0.13;1;5.96;1;0.8075;1;6.82;1;0;7.38;0.87
18TL17002_003;14;41.15082;-66.65076;436889;80.37;22-mar-17;18:55:00;80.378;33.2983;6.4019;6.028;7.893;0.29354;1;33.307;1;6.565;1;0.15;1;8.735;1;0.822;1;6.9;1;0;10.63;1.27
18TL17002_014;16;41.10666;-67.02396;436894;3.36;24-mar-17;08:09:00;3.368;32.6364;4.6697;6.6791;7.949;0.85229;1;NaN;9;7.277;1;0.21;1;5.635;1;0.762;1;5.195;1;0;7.40;1.08
18TL17002_014;16;41.10688;-67.02358;436893;24.23;24-mar-17;08:08:00;24.237;32.6375;4.6806;6.8798;7.956;0.69148;1;NaN;9;NaN;9;0.215;1;5.88;1;0.7545;1;5.18;1;0;7.79;1.14
18TL17002_014;16;41.10724;-67.02302;436892;63.49;24-mar-17;08:06:00;63.498;32.7355;4.924;6.7573;7.974;1.12567;1;32.742;1;7.2795;1;0.22;1;5.87;1;0.7755;1;4.535;1;0;7.57;1.29
18TL17002_025;17;40.84381;-67.28876;436897;5.05;24-mar-17;10:48:00;5.059;32.6652;4.7641;6.635;7.945;0.83621;1;NaN;9;7.1725;1;0.16;1;6.98;1;0.7995;1;6.515;1;0;8.73;1.07
18TL17002_025;17;40.84382;-67.28869;436896;25.19;24-mar-17;10:47:00;25.197;32.6652;4.7545;6.742;7.951;0.78797;1;NaN;9;NaN;9;0.18;1;5.045;1;0.791;1;6.505;1;0;6.38;0.78
18TL17002_025;17;40.84384;-67.28836;436895;88.34;24-mar-17;10:44:00;88.349;32.6898;4.876;6.6855;7.979;0.70756;1;32.697;1;7.2195;1;0.18;1;6.295;1;0.793;1;6.615;1;0;7.94;0.95
18TL17002_047;18;40.91596;-67.69178;436900;5.04;24-mar-17;13:37:00;5.049;32.6373;4.8001;6.8112;7.98;0.88446;1;NaN;9;7.2805;1;0.22;1;6.62;1;0.748;1;5.07;1;0;8.85;1.31
18TL17002_047;18;40.91604;-67.69219;436899;24.5;24-mar-17;13:36:00;24.501;32.6382;4.7322;6.849;7.99;1.06135;1;NaN;9;NaN;9;0.195;1;4.67;1;0.745;1;5.08;1;0;6.27;0.92
18TL17002_047;18;40.9161;-67.69278;436898;65.37;24-mar-17;13:34:00;65.373;32.7849;5.0048;6.7293;8.012;0.75581;1;32.798;1;7.186;1;0.23;1;5.42;1;0.769;1;4.145;1;0;7.05;1.31
18TL17002_058;20;41.17308;-67.93936;436903;5.79;24-mar-17;20:12:00;5.798;33.2763;5.057;7.0273;7.987;2.88179;1;NaN;9;7.506;1;0.185;1;2.97;1;0.552;1;0;7;32;5.38;NaN
18TL17002_058;20;41.17283;-67.93926;436902;26.14;24-mar-17;20:11:00;26.141;33.2761;5.0555;7.0002;7.987;3.19808;1;NaN;9;NaN;9;0.195;1;2.85;1;0.5165;1;0;2;2080;5.52;NaN
18TL17002_058;20;41.1724;-67.93904;436901;49.74;24-mar-17;20:09:00;49.745;33.2763;5.0608;6.9745;7.99;3.19808;1;33.279;1;7.518;1;0.205;1;4.055;1;0.556;1;0;7;32;7.29;NaN
18TL17002_069;22;41.44602;-67.39594;436906;4.53;25-mar-17;03:19:00;4.533;33.1849;5.2614;7.0082;8.012;2.14377;1;NaN;9;7.4575;1;0.235;1;5.555;1;0.6175;1;0.41;1;0;9.00;13.55
18TL17002_069;22;41.44616;-67.39671;436905;24.51;25-mar-17;03:18:00;24.517;33.1838;5.2618;7.0462;8.018;2.28434;1;NaN;9;NaN;9;0.235;1;4.85;1;0.628;1;0.415;1;0;7.72;11.69
18TL17002_069;22;41.44633;-67.39774;436904;44.21;25-mar-17;03:17:00;44.214;33.1811;5.2618;7.0454;8.031;2.14377;1;33.189;1;7.513;1;0.235;1;3.77;1;0.617;1;0.44;1;0;6.11;8.57
18TL17002_080;23;41.37232;-67.06246;436909;4.82;25-mar-17;05:42:00;4.825;32.6478;4.6368;6.9213;8.03;1.38296;1;NaN;9;7.3715;1;0.235;1;5.505;1;0.727;1;4.095;1;0;7.57;1.34
18TL17002_080;23;41.37246;-67.06278;436908;25.16;25-mar-17;05:41:00;25.167;32.6476;4.6354;6.9165;8.038;1.41513;1;NaN;9;NaN;9;0.23;1;6.495;1;0.7265;1;4.125;1;0;8.94;1.57
18TL17002_080;23;41.37288;-67.06332;436907;58.41;25-mar-17;05:39:00;58.413;32.6535;4.6471;6.9207;8.056;1.08945;1;32.66;1;7.3805;1;0.23;1;6.55;1;0.716;1;4.075;1;0;9.15;1.61
18TL17002_102;24;41.74994;-67.51008;436912;5.63;25-mar-17;09:46:00;5.635;33.0882;5.1316;7.0522;8.04;4.07668;1;NaN;9;7.466;1;0.2;1;5.05;1;0.6925;1;1.48;1;0;7.29;3.41
18TL17002_102;24;41.7496;-67.50985;436911;25.12;25-mar-17;09:45:00;25.124;33.096;5.1382;7.0584;8.048;4.67412;1;NaN;9;NaN;9;0.21;1;5.09;1;0.6965;1;1.42;1;0;7.31;3.58
18TL17002_102;24;41.74928;-67.50959;436910;44.6;25-mar-17;09:44:00;44.602;33.0969;5.1403;7.0637;8.062;5.23643;1;33.105;1;7.54;1;0.225;1;5.935;1;0.688;1;1.385;1;0;8.63;4.29
18TL17002_114;26;41.77634;-68.05548;436915;4.73;25-mar-17;16:41:00;4.734;33.1186;5.5402;6.8549;8.021;1.61661;1;NaN;9;7.363;1;0.19;1;7.22;1;0.7635;1;3.56;1;0;9.46;2.03
18TL17002_114;26;41.77657;-68.05544;436914;24.75;25-mar-17;16:40:00;24.751;33.1151;5.4108;6.8984;8.026;2.67093;1;NaN;9;NaN;9;0.205;1;6.985;1;0.7415;1;3.3;1;0;9.42;2.12
18TL17002_114;26;41.77679;-68.05544;436913;36.46;25-mar-17;16:39:00;36.46;33.1137;5.3905;6.8731;8.032;2.70607;1;33.117;1;7.3505;1;0.195;1;6.105;1;0.757;1;3.185;1;0;8.06;1.92
18TL17002_127;29;42.01954;-67.60264;436918;5.14;25-mar-17;23:25:00;5.144;32.9233;5.3388;6.5786;8.025;1.2704;1;NaN;9;7.071;1;0.18;1;5.855;1;0.814;1;6.645;1;0;7.19;0.88
18TL17002_127;29;42.01928;-67.60216;436917;24.1;25-mar-17;23:23:00;24.102;32.9235;5.3454;6.6629;8.033;1.28648;1;NaN;9;NaN;9;0.175;1;8.13;1;0.8145;1;6.63;1;0;9.98;1.23
18TL17002_127;29;42.01889;-67.60114;436916;50.75;25-mar-17;23:21:00;50.759;32.9305;5.3729;6.647;8.051;1.38297;1;32.933;1;7.6;1;0.17;1;8.025;1;0.813;1;6.635;1;0;9.87;1.21
18TL17002_138;31;42.24494;-67.07692;436922;4.64;26-mar-17;05:10:00;4.644;32.3767;3.9174;6.9499;7.989;1.30256;1;NaN;9;7.623;1;0.17;1;6.67;1;0.7625;1;6.22;1;0;8.75;1.07
18TL17002_138;31;42.2452;-67.07692;436921;24.85;26-mar-17;05:09:00;24.857;32.8849;5.2296;6.7383;7.973;1.2704;1;NaN;9;NaN;9;0.2;1;7.845;1;0.814;1;6.495;1;0;9.64;1.21
18TL17002_138;31;42.24552;-67.07696;436920;50.47;26-mar-17;05:07:00;50.473;32.9623;5.3959;6.6813;7.973;1.23823;1;NaN;9;NaN;9;0.2;1;7.85;1;0.822;1;6.38;1;0;9.55;1.23
18TL17002_138;31;42.24752;-67.07728;436919;227.8;26-mar-17;05:00:00;227.803;35.0006;9.1312;3.4541;7.961;0.09215;1;35.008;1;3.8625;1;0.145;1;18.93;1;1.44;1;14.5;1;0;13.15;1.31
18TL17002_160;32;42.13479;-66.9884;436925;5.45;26-mar-17;07:32:00;5.454;32.8148;4.9321;6.7612;8.113;1.41513;1;NaN;9;7.241;1;0.235;1;6.63;1;0.7845;1;6;1;0;8.45;1.10
18TL17002_160;32;42.13446;-66.98858;436924;25.71;26-mar-17;07:33:00;25.713;32.8919;5.098;6.8159;8.097;1.86539;1;NaN;9;NaN;9;0.215;1;6.51;1;0.781;1;5.24;1;0;8.34;1.24
18TL17002_160;32;42.13374;-66.9888;436923;68.73;26-mar-17;07:34:00;68.731;33.1807;5.9766;6.3074;8.061;1.17391;1;33.188;1;6.744;1;0.22;1;7.765;1;0.8595;1;6.71;1;0;9.03;1.16
18TL17002_171;35;42.03202;-66.88524;436928;4.12;26-mar-17;12:25:00;4.121;32.6829;4.7601;6.593;8.076;1.12567;1;NaN;9;7.2295;1;0.15;1;5.165;1;0.7965;1;6.21;1;0;6.48;0.83
18TL17002_171;35;42.03171;-66.88482;436927;23.85;26-mar-17;12:24:00;23.854;32.6834;4.7622;6.7799;8.085;1.10959;1;NaN;9;NaN;9;0.16;1;7.4;1;0.8055;1;6.18;1;0;9.19;1.20
18TL17002_171;35;42.03132;-66.88424;436926;57.56;26-mar-17;12:22:00;57.562;32.6814;4.7622;6.7853;8.106;1.06134;1;32.692;1;7.3475;1;0.195;1;7.575;1;0.795;1;6.22;1;0;9.53;1.22
18TL17002_182;36;41.91653;-66.82684;436931;4.95;26-mar-17;14:38:00;4.958;32.6054;4.5588;6.7415;8.074;1.28648;1;NaN;9;7.2955;1;0.17;1;5.87;1;0.765;1;5.805;7;32;7.67;1.01
18TL17002_182;36;41.91668;-66.82705;436930;24.67;26-mar-17;14:37:00;24.676;32.6061;4.5293;6.8879;8.084;1.17391;1;NaN;9;NaN;9;0.16;1;7.03;1;0.7895;1;5.805;7;32;8.90;1.21
