CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_01;FLOR;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18VA16668_1711;11;47.78333;-64.03333;329930;1.49;12-may-16;18:26:00;28.61;5.02;355.44894;8.875;NaN;0.335;0.169;0.06667;1;NaN;9;0.58333;1;NaN;9;0.26;1;NaN;9;0.55;1;NaN;9;0;2.24;1.06
18VA16668_1711;11;47.78333;-64.03333;329929;2.78;12-may-16;18:26:00;28.84;4.62;355.22564;8.875;NaN;0.65;0.244;0.05;1;NaN;9;0.55333;1;NaN;9;0.31333;1;NaN;9;0.5;1;NaN;9;0;1.77;1.11
18VA16668_1711;11;47.78333;-64.03333;329928;7.73;12-may-16;18:26:00;29.69;3.02;363.26444;8.865;NaN;1.41;0.543;0.05;1;NaN;9;0.59333;1;NaN;9;0.36333;1;NaN;9;0.55333;1;NaN;9;0;1.63;1.07
18VA16668_1711;11;47.78333;-64.03333;329927;17.65;12-may-16;18:26:00;29.98;2.41;364.38094;8.86;NaN;1.32;1.751;0.04333;1;NaN;9;0.51667;1;NaN;9;0.36;1;NaN;9;0.48333;1;NaN;9;0;1.44;1.07
18VA16668_1711;11;47.78333;-64.03333;329926;27.57;12-may-16;18:26:00;30.18;1.89;368.17704;8.84;NaN;0.98;0.672;0.03333;1;NaN;9;0.65667;1;NaN;9;0.39;1;NaN;9;0.65;1;NaN;9;0;1.68;1.01
18VA16668_1711;11;47.78333;-64.03333;329925;37.48;12-may-16;18:26:00;30.51;-0.09;362.01396;8.812;NaN;0.405;0.648;0.04667;1;NaN;9;0.79333;1;NaN;9;0.46333;1;NaN;9;0.59;1;NaN;9;0;1.71;1.34
18VA16668_1711;11;47.78333;-64.03333;329924;47.39;12-may-16;18:26:00;30.63;-0.99;343.34608;8.691;NaN;0.505;0.779;0.09333;1;NaN;9;4.29333;1;NaN;9;0.77667;1;NaN;9;3.34667;1;NaN;9;0;5.53;1.28
18VA16668_1711;11;47.78333;-64.03333;329923;57.31;12-may-16;18:26:00;30.75;-1.1;341.91696;8.607;NaN;0.38;0.792;0.11;1;NaN;9;6.76;1;NaN;9;0.96;1;NaN;9;6.28667;1;NaN;9;0;7.04;1.08
18VA16668_1711;11;47.78333;-64.03333;329922;67.42;12-may-16;18:26:00;31.03;-1.13;319.67628;8.583;NaN;0.3;0.5;0.11;1;NaN;9;7.04333;1;NaN;9;1.00667;1;NaN;9;7.38667;1;NaN;9;0;7.00;0.95
18VA16668_1711;11;47.78333;-64.03333;329921;72.18;12-may-16;18:26:00;31.11;-1.09;316.59474;8.553;NaN;0.225;0.436;0.13;1;NaN;9;9.59667;1;NaN;9;1.21667;1;NaN;9;13.23667;1;NaN;9;0;7.89;0.73
18VA16668_1712;12;47.78333;-64.03333;329940;1.98;27-may-16;13:19:00;29.11;6.74;318.38114;8.855;NaN;1;0.617;0.095;1;NaN;9;0.705;1;NaN;9;0.255;1;NaN;9;0.555;1;NaN;9;0;2.76;1.27
18VA16668_1712;12;47.78333;-64.03333;329939;6.74;27-may-16;13:19:00;29.11;6.71;317.84522;8.856;NaN;1.12;0.666;0.085;1;NaN;9;0.81;1;NaN;9;0.27;1;NaN;9;0.58;1;NaN;9;0;3.00;1.40
18VA16668_1712;12;47.78333;-64.03333;329938;11.7;27-may-16;13:19:00;29.16;6.1;323.82966;8.857;NaN;1.09;1.212;0.08;1;NaN;9;0.89;1;NaN;9;0.3;1;NaN;9;0.78;1;NaN;9;0;2.97;1.14
18VA16668_1712;12;47.78333;-64.03333;329937;21.12;27-may-16;13:19:00;30.06;2.47;315.16562;8.738;NaN;0.325;0.593;0.105;1;NaN;9;5.525;1;NaN;9;0.625;1;NaN;9;4.675;1;NaN;9;0;8.84;1.18
18VA16668_1712;12;47.78333;-64.03333;329936;31.53;27-may-16;13:19:00;30.64;1.33;328.87624;8.718;NaN;0.14;0.498;0.09;1;NaN;9;4.675;1;NaN;9;0.78;1;NaN;9;4.25;1;NaN;9;0;5.99;1.10
18VA16668_1712;12;47.78333;-64.03333;329935;41.64;27-may-16;13:19:00;31.01;-0.58;321.68598;8.612;NaN;0.11;0.421;0.115;1;NaN;9;5.52;1;NaN;9;1;1;NaN;9;5.02;1;NaN;9;0;5.52;1.10
18VA16668_1712;12;47.78333;-64.03333;329934;51.86;27-may-16;13:19:00;31.28;-0.33;315.5229;8.576;NaN;0.115;0.396;0.135;1;NaN;9;7.34;1;NaN;9;1.09;1;NaN;9;7.51;1;NaN;9;0;6.73;0.98
18VA16668_1712;12;47.78333;-64.03333;329933;61.27;27-may-16;13:19:00;31.48;-0.15;310.69962;8.555;NaN;0.11;0.355;0.135;1;NaN;9;7.515;1;NaN;9;1.145;1;NaN;9;8.905;1;NaN;9;0;6.56;0.84
18VA16668_1712;12;47.78333;-64.03333;329932;71.19;27-may-16;13:19:00;31.99;0.25;270.32698;8.511;NaN;0.11;0.305;0.155;1;NaN;9;8.225;1;NaN;9;1.185;1;NaN;9;10.895;1;NaN;9;0;6.94;0.75
18VA16668_1712;12;47.78333;-64.03333;329931;79.81;27-may-16;13:19:00;32.16;0.59;254.20472;8.444;NaN;0.2;0.36;0.23;1;NaN;9;9.945;1;NaN;9;1.395;1;NaN;9;16.12;1;NaN;9;0;7.13;0.62
18VA16668_1713;13;47.78333;-64.03333;329950;1.49;07-jul-16;15:48:00;27.32;12.61;264.02992;8.817;NaN;1.18;1.086;0.06;1;NaN;9;0.13333;1;NaN;9;0.18667;1;NaN;9;1.06667;1;NaN;9;0;0.71;0.12
18VA16668_1713;13;47.78333;-64.03333;329949;7.24;07-jul-16;15:48:00;27.44;12.31;265.99496;8.81;NaN;1.405;2.397;0.04333;1;NaN;9;0.1;1;NaN;9;0.21333;1;NaN;9;1.11667;1;NaN;9;0;0.47;0.09
18VA16668_1713;13;47.78333;-64.03333;329948;12.39;07-jul-16;15:48:00;27.64;11.78;266.57554;8.799;NaN;1.965;1.939;0.04667;1;NaN;9;0.14667;1;NaN;9;0.19333;1;NaN;9;1.78333;1;NaN;9;0;0.76;0.08
18VA16668_1713;13;47.78333;-64.03333;329947;22.61;07-jul-16;15:48:00;29.15;7.61;285.824;8.775;NaN;0.605;0.719;0.06;1;NaN;9;0.59333;1;NaN;9;0.30667;1;NaN;9;1.48333;1;NaN;9;0;1.93;0.40
18VA16668_1713;13;47.78333;-64.03333;329946;32.03;07-jul-16;15:48:00;30;5.7;294.62202;8.763;NaN;0.36;0.504;0.09333;1;NaN;9;1.47333;1;NaN;9;0.47;1;NaN;9;2.42;1;NaN;9;0;3.13;0.61
18VA16668_1713;13;47.78333;-64.03333;329945;41.94;07-jul-16;15:48:00;30.56;4.24;301.9016;8.717;NaN;0.635;0.314;0.11333;1;NaN;9;1.93333;1;NaN;9;0.55667;1;NaN;9;2.56667;1;NaN;9;0;3.47;0.75
18VA16668_1713;13;47.78333;-64.03333;329944;53.34;07-jul-16;15:48:00;31.07;1.71;327.40246;8.703;NaN;0.28;0.294;0.14;1;NaN;9;2.47;1;NaN;9;0.59333;1;NaN;9;3.32333;1;NaN;9;0;4.16;0.74
18VA16668_1713;13;47.78333;-64.03333;329943;61.97;07-jul-16;15:48:00;31.37;0.39;312.26272;8.666;NaN;0.465;0.234;0.14667;1;NaN;9;3.51;1;NaN;9;0.72667;1;NaN;9;3.51667;1;NaN;9;0;4.83;1.00
18VA16668_1713;13;47.78333;-64.03333;329942;72.18;07-jul-16;15:48:00;31.81;0.11;240.0475;8.495;NaN;0.21;0.301;0.19667;1;NaN;9;5.39667;7;NaN;9;0.94667;1;NaN;9;5.76667;1;NaN;9;512;5.70;0.94
18VA16668_1713;13;47.78333;-64.03333;329941;74.16;07-jul-16;15:48:00;31.81;0.11;240.18148;8.446;NaN;0.265;0.315;0.35333;1;NaN;9;9.30667;7;NaN;9;1.44;1;NaN;9;21.14;1;NaN;9;512;6.46;0.44
