CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18VA18666_002;HL_02;44.27;-63.32;441739;1.65;07-feb-18;14:31:00;1.656;30.561;1.1477;7.8282;8.13;0.25333;1;30.578;1;7.986;1;0.13;1;5.705;1;0.6995;1;6.575;1;0;8.16;0.87
18VA18666_002;HL_02;44.27;-63.32;441738;5.39;07-feb-18;14:31:00;5.394;30.5626;1.1436;7.7803;8.138;0.26967;1;NaN;9;NaN;9;0.13;1;5.695;1;0.6995;1;6.55;1;0;8.14;0.87
18VA18666_002;HL_02;44.27;-63.32;441737;10.45;07-feb-18;14:31:00;10.453;30.5627;1.1423;7.7894;8.142;0.26968;1;NaN;9;NaN;9;0.13;1;5.675;1;0.6995;1;6.64;1;0;8.11;0.85
18VA18666_002;HL_02;44.27;-63.32;441736;20.42;07-feb-18;14:32:00;20.422;30.5657;1.1876;7.7892;8.146;0.24516;1;NaN;9;NaN;9;0.13;1;5.67;1;0.697;1;6.56;1;0;8.13;0.86
18VA18666_002;HL_02;44.27;-63.32;441735;30.33;07-feb-18;14:32:00;30.331;30.5952;1.3875;7.7764;8.165;0.24107;1;NaN;9;NaN;9;0.125;1;5.44;1;0.685;1;6.22;1;0;7.94;0.87
18VA18666_002;HL_02;44.27;-63.32;441734;40.9;07-feb-18;14:32:00;40.908;30.7349;2.1536;7.6276;8.169;0.36891;1;30.77;1;7.791;1;0.12;1;4.92;1;0.652;1;5.31;1;0;7.55;0.93
18VA18666_002;HL_02;44.27;-63.32;441733;50.04;07-feb-18;14:33:00;50.046;31.1541;2.1706;7.1919;8.149;0.11892;1;NaN;9;NaN;9;0.01;1;6.375;1;0.775;1;7.055;1;0;8.23;0.90
18VA18666_002;HL_02;44.27;-63.32;441732;75.21;07-feb-18;14:34:00;75.215;31.5863;2.7948;6.7067;8.135;0.06553;1;NaN;9;NaN;9;0;1;6.89;1;0.826;1;7.645;1;0;8.34;0.90
18VA18666_002;HL_02;44.27;-63.32;441731;101.24;07-feb-18;14:35:00;101.243;32.3066;3.6238;5.9808;8.108;0.04854;1;NaN;9;NaN;9;0;1;8.685;1;0.9735;1;10.06;1;0;8.92;0.86
18VA18666_002;HL_02;44.27;-63.32;441730;141.08;07-feb-18;14:37:00;141.086;33.129;5.9657;5.1242;8.102;0.03155;1;33.098;1;5.3255;1;0;1;10.91;1;1.062;1;11.75;1;0;10.27;0.93
18VA18666_113;HL_02;44.2675;-63.3175;441749;1.95;23-feb-18;14:59:00;1.953;30.794;1.9643;7.8239;8.145;0.48434;1;30.803;1;7.9795;1;0.115;1;4.955;1;0.641;1;5.365;1;0;7.73;0.92
18VA18666_113;HL_02;44.2675;-63.3175;441748;5.14;23-feb-18;14:59:00;5.148;30.7945;1.9653;7.8267;8.153;0.54712;1;NaN;9;NaN;9;0.125;1;4.995;1;0.645;1;5.345;1;0;7.74;0.93
18VA18666_113;HL_02;44.2675;-63.3175;441747;10.86;23-feb-18;14:59:00;10.866;30.7923;1.9518;7.8085;8.157;0.53815;1;NaN;9;NaN;9;0.125;1;5.01;1;0.646;1;5.655;1;0;7.76;0.89
18VA18666_113;HL_02;44.2675;-63.3175;441746;20.66;23-feb-18;15:00:00;20.668;30.7947;1.9392;7.8004;8.168;0.53367;1;NaN;9;NaN;9;0.11;1;5.02;1;0.647;1;5.425;1;0;7.76;0.93
18VA18666_113;HL_02;44.2675;-63.3175;441745;30.65;23-feb-18;15:00:00;30.656;30.7951;1.9431;7.8141;8.18;0.4978;1;NaN;9;NaN;9;0.14;1;5.005;1;0.6345;1;5.31;1;0;7.89;0.94
18VA18666_113;HL_02;44.2675;-63.3175;441744;40.5;23-feb-18;15:01:00;40.508;30.8026;1.9747;7.8055;8.184;0.43501;1;31.123;7;7.659;1;0.12;1;4.835;1;0.613;1;4.875;1;256;7.89;0.99
18VA18666_113;HL_02;44.2675;-63.3175;441743;50.63;23-feb-18;15:01:00;50.632;31.6557;4.559;7.0474;8.198;0.31841;1;NaN;9;NaN;9;0.085;1;4.78;1;0.583;1;4.355;1;0;8.20;1.10
18VA18666_113;HL_02;44.2675;-63.3175;441742;75.63;23-feb-18;15:02:00;75.636;32.493;4.3473;5.9449;8.122;0.05846;1;NaN;9;NaN;9;0.025;1;9.43;1;0.9815;1;10.165;1;0;9.61;0.93
18VA18666_113;HL_02;44.2675;-63.3175;441741;100.73;23-feb-18;15:03:00;100.731;32.6261;4.2499;5.7076;8.098;0.04149;1;NaN;9;NaN;9;0.02;1;10.145;1;1.0265;1;10.77;1;0;9.88;0.94
18VA18666_113;HL_02;44.2675;-63.3175;441740;141.21;23-feb-18;15:05:00;141.212;33.2164;6.3243;5.0441;8.107;0.02263;1;33.223;1;5.2995;1;0.035;1;11.33;1;1.0325;1;11.145;1;0;10.97;1.02
18VA18666_264;HL_02;44.27;-63.3217;358482;1.3;03-apr-18;13:28:00;1.301;31.3035;2.4043;8.1499;7.637;3.84759;1;31.3;1;8.3775;1;0.045;1;0.41;1;0.2675;1;0.96;1;0;1.53;0.43
18VA18666_264;HL_02;44.27;-63.3217;358481;5.35;03-apr-18;13:28:00;5.354;31.3142;2.3113;8.1729;7.68;4.11294;1;NaN;9;NaN;9;0.045;1;0.445;1;0.286;1;1.035;1;0;1.56;0.43
18VA18666_264;HL_02;44.27;-63.3217;358480;10.41;03-apr-18;13:28:00;10.416;31.3311;2.3123;8.1356;7.883;4.28984;1;NaN;9;NaN;9;0.045;1;0.51;1;0.304;1;1.005;1;0;1.68;0.51
18VA18666_264;HL_02;44.27;-63.3217;358479;20.46;03-apr-18;13:28:00;20.466;31.3389;2.3264;8.115;7.996;4.24561;1;NaN;9;NaN;9;0.05;1;0.53;1;0.314;1;1.065;1;0;1.69;0.50
18VA18666_264;HL_02;44.27;-63.3217;358478;30.76;03-apr-18;13:29:00;30.764;31.3701;2.3293;8.0873;8.007;4.20139;1;NaN;9;NaN;9;0.05;1;0.625;1;0.32;1;1.155;1;0;1.95;0.54
18VA18666_264;HL_02;44.27;-63.3217;358477;40.57;03-apr-18;13:29:00;40.573;31.3999;2.3157;8.0569;8.007;4.11294;1;31.409;1;8.218;1;0.055;1;0.73;1;0.342;1;1.245;1;0;2.13;0.59
18VA18666_264;HL_02;44.27;-63.3217;358476;50.71;03-apr-18;13:30:00;50.719;31.4711;2.3975;7.9628;8.001;4.11294;1;NaN;9;NaN;9;0.06;1;0.925;1;0.3555;1;1.425;1;0;2.60;0.65
18VA18666_264;HL_02;44.27;-63.3217;358475;75.54;03-apr-18;13:31:00;75.544;32.3772;4.7275;7.2588;8.017;0.79675;1;NaN;9;NaN;9;0.09;1;0.93;1;0.312;1;1.175;1;0;2.98;0.79
18VA18666_264;HL_02;44.27;-63.3217;358474;101.06;03-apr-18;13:32:00;101.06;32.5938;5.1804;7.0823;8.027;1.47226;1;NaN;9;NaN;9;0.1;1;1.48;1;0.345;2;1.905;1;2048;4.29;0.78
18VA18666_264;HL_02;44.27;-63.3217;358473;141.19;03-apr-18;13:34:00;141.198;34.2886;9.1479;4.0308;7.884;0.07732;1;34.24;1;4.3075;1;0.085;1;14.595;1;1.039;1;12.545;1;0;14.05;1.16
18VA18666_284;HL_02;44.27;-63.32;358492;1.65;01-may-18;13:29:00;1.657;31.0145;3.5476;7.703;7.987;0.17894;1;31.014;1;7.9225;1;0.025;1;0.225;1;0.2975;1;0.14;1;0;0.76;1.61
18VA18666_284;HL_02;44.27;-63.32;358491;6.03;01-may-18;13:30:00;6.035;31.0088;3.5003;7.7331;7.99;0.19326;1;NaN;9;NaN;9;0.02;1;0;1;0.2935;1;0.115;1;0;0.00;0.00
18VA18666_284;HL_02;44.27;-63.32;358490;10.88;01-may-18;13:30:00;10.88;31.0833;3.2107;7.788;7.992;0.1849;1;NaN;9;NaN;9;0.01;1;0;1;0.282;1;0.085;1;0;0.00;0.00
18VA18666_284;HL_02;44.27;-63.32;358489;20.54;01-may-18;13:30:00;20.547;31.119;2.7396;7.877;7.992;0.08708;1;NaN;9;NaN;9;0.03;1;0;1;0.309;1;0.24;1;0;0.00;0.00
18VA18666_284;HL_02;44.27;-63.32;358488;30.92;01-may-18;13:30:00;30.92;31.2428;2.1023;7.8638;7.983;0.05726;1;NaN;9;NaN;9;0.035;1;0.695;1;0.391;1;0.32;1;0;1.78;2.17
18VA18666_284;HL_02;44.27;-63.32;358487;40.55;01-may-18;13:31:00;40.55;31.3065;1.9449;7.7809;7.975;0.0664;1;31.318;1;7.8585;1;0.06;1;1.445;1;0.4735;1;0.67;1;0;3.05;2.16
18VA18666_284;HL_02;44.27;-63.32;358486;51.25;01-may-18;13:31:00;51.256;31.4484;2.0236;7.4576;7.954;0.10624;1;NaN;9;NaN;9;0.085;1;2.46;1;0.6165;1;1.09;1;0;3.99;2.26
18VA18666_284;HL_02;44.27;-63.32;358485;76.06;01-may-18;13:32:00;76.068;31.694;2.1648;7.247;7.919;0.08964;1;NaN;9;NaN;9;0.105;1;3.475;1;0.676;1;2.55;1;0;5.14;1.36
18VA18666_284;HL_02;44.27;-63.32;358484;100.83;01-may-18;13:33:00;100.832;32.2125;2.9083;6.7784;7.887;0.09628;1;NaN;9;NaN;9;0.11;1;4.985;1;0.6855;1;3.395;1;0;7.27;1.47
18VA18666_284;HL_02;44.27;-63.32;358483;141.08;01-may-18;13:34:00;141.083;34.2156;9.0066;4.2351;7.845;0.05312;1;34.222;1;4.47;1;0.15;1;13.36;1;0.9355;1;11.93;1;0;14.28;1.12
18VA18666_304;HL_02;44.2675;-63.3175;446760;0.68;18-may-18;13:26:00;0.687;30.6543;6.7136;6.9438;8.019;0.28552;1;30.669;1;7.4715;1;0.01;1;0;1;0.236;1;0.27;1;0;0.00;0.00
18VA18666_304;HL_02;44.2675;-63.3175;446759;5.27;18-may-18;13:28:00;5.275;30.6594;6.6449;7.1674;8.005;0.30876;1;NaN;9;NaN;9;0.03;1;0;1;0.2305;1;0.28;1;0;0.00;0.00
18VA18666_304;HL_02;44.2675;-63.3175;446758;10.51;18-may-18;13:29:00;10.517;30.674;6.474;7.2345;8.006;0.39841;1;NaN;9;NaN;9;0;1;0;1;0.2225;2;0.23;1;2048;0.00;0.00
18VA18666_304;HL_02;44.2675;-63.3175;446757;20.68;18-may-18;13:29:00;20.683;31.0929;2.9994;7.8742;8.032;0.20252;1;NaN;9;NaN;9;0;1;0;1;0.2965;1;0.095;1;0;0.00;0.00
18VA18666_304;HL_02;44.2675;-63.3175;446756;30.57;18-may-18;13:30:00;30.577;31.2807;3.1728;7.8063;8.009;0.6878;1;NaN;9;NaN;9;0;1;0.28;1;0.332;1;0.165;1;0;0.84;1.70
18VA18666_304;HL_02;44.2675;-63.3175;446755;40.43;18-may-18;13:30:00;40.434;31.4534;2.7296;7.797;8.008;0.31541;1;31.3;1;8.063;1;0.03;1;1.35;1;0.459;1;0.67;1;0;2.94;2.01
18VA18666_304;HL_02;44.2675;-63.3175;446754;50.91;18-may-18;13:30:00;50.91;31.6063;1.808;7.3433;7.999;0.18592;1;NaN;9;NaN;9;0.05;1;2.295;1;0.5365;1;0.975;1;0;4.28;2.35
18VA18666_304;HL_02;44.2675;-63.3175;446753;76.35;18-may-18;13:31:00;76.353;32.1649;3.0063;6.8529;7.948;0.15389;1;NaN;9;NaN;9;0.1;1;4.51;1;0.6375;1;3.405;1;0;7.07;1.32
18VA18666_304;HL_02;44.2675;-63.3175;446752;100.87;18-may-18;13:32:00;100.87;32.7681;4.1125;6.13;7.919;0.03221;1;NaN;9;NaN;9;0.135;1;7.465;1;0.7605;1;4.27;1;0;9.82;1.75
18VA18666_304;HL_02;44.2675;-63.3175;446751;141.49;18-may-18;13:34:00;141.492;33.9518;7.8753;4.0962;7.849;0.04533;1;33.944;1;4.3145;1;0.11;1;11.34;1;0.921;1;11.27;1;0;12.31;1.01
18VA18666_315;HL_02;44.2675;-63.3175;446761;1.53;07-jun-18;14:03:00;1.538;30.8196;5.3206;7.3663;7.698;0.02263;1;33.41;7;5.1245;7;0.1;1;11.645;2;0.7845;1;11.275;2;2816;14.84;1.03
18VA18666_315;HL_02;44.2675;-63.3175;446762;5.44;07-jun-18;14:03:00;5.447;30.8618;5.1513;7.4742;7.75;0.01886;1;NaN;9;NaN;9;0.17;1;6.425;2;0.629;1;5.88;2;2560;10.21;1.09
18VA18666_315;HL_02;44.2675;-63.3175;446763;10.53;07-jun-18;14:03:00;10.537;30.8908;4.9505;7.4959;7.795;0.02452;1;NaN;9;NaN;9;0.09;1;3.125;1;0.64;1;1.785;1;0;4.88;1.75
18VA18666_315;HL_02;44.2675;-63.3175;446764;20.49;07-jun-18;14:04:00;20.496;31.1605;5.5641;7.3254;7.849;0.31392;1;NaN;9;NaN;9;0.025;1;0.745;1;0.401;1;0.38;1;0;1.86;1.96
18VA18666_315;HL_02;44.2675;-63.3175;446765;30.34;07-jun-18;14:04:00;30.34;31.2263;5.5748;7.2976;7.894;0.42155;1;31.544;7;7.5315;1;0;1;0.25;1;0.311;1;0.275;1;256;0.80;0.91
18VA18666_315;HL_02;44.2675;-63.3175;446766;41.07;07-jun-18;14:04:00;41.078;31.5252;6.4009;7.0866;7.906;0.57852;1;NaN;9;NaN;9;0.01;1;0.23;1;0.3105;1;0.15;2;2048;0.74;1.53
18VA18666_315;HL_02;44.2675;-63.3175;446767;50.73;07-jun-18;14:05:00;50.738;31.4634;4.4081;7.2933;7.943;0.55161;1;NaN;9;NaN;9;0.03;1;0.255;1;0.312;1;0.12;2;2048;0.82;2.13
18VA18666_315;HL_02;44.2675;-63.3175;446768;76.02;07-jun-18;14:05:00;76.029;31.4415;1.0247;7.6298;7.938;0.49331;1;NaN;9;NaN;9;0.015;1;0.18;1;0.3035;1;0.08;2;2048;0.59;2.25
18VA18666_315;HL_02;44.2675;-63.3175;446769;100.95;07-jun-18;14:06:00;100.959;31.8288;1.7151;6.8931;7.845;0.36774;1;NaN;9;NaN;9;0;1;0.2;2;0.3;2;0;2;2048;0.67;NaN
18VA18666_315;HL_02;44.2675;-63.3175;446770;141.08;07-jun-18;14:08:00;141.083;33.3306;6.1506;4.9457;7.773;0.33186;1;30.724;7;7.573;7;0.025;1;0;2;0.298;2;0;2;2304;0.00;NaN
18VA18666_326;HL_02;44.2708;-63.3188;446780;2.31;28-jun-18;15:29:00;2.311;30.6469;9.5086;6.5685;NaN;0.19732;1;30.651;1;7.298;1;0;1;0.04;1;0.3095;1;0.515;1;0;0.13;0.08
18VA18666_326;HL_02;44.2708;-63.3188;446779;4.38;28-jun-18;15:28:00;4.382;30.647;9.5055;6.537;NaN;0.21078;1;NaN;9;NaN;9;0;1;0.05;1;0.3115;1;0.515;1;0;0.16;0.10
18VA18666_326;HL_02;44.2708;-63.3188;446778;8.88;28-jun-18;15:27:00;8.884;30.6469;9.4766;6.5681;NaN;0.21078;1;NaN;9;NaN;9;0;1;0.015;1;0.303;1;0.48;1;0;0.05;0.03
