CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(PSU);((none));(mmol/m**3);((none));((none));((none));((none))
85004_002;1;41.075;-60.9417;21;11;03-apr-85;17:58:00;11;17.076;NaN;9;NaN;9;0;NaN;NaN
85004_002;1;41.075;-60.9417;20;102;03-apr-85;17:55:00;103;17.1535;36.371;1;233.5718;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;19;201;03-apr-85;17:52:00;203;16.225;36.388;1;236.2514;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;18;301;03-apr-85;17:48:00;304;14.6265;36.182;1;225.0864;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;17;400;03-apr-85;17:40:00;404;13.0425;35.882;1;228.2126;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;16;500;03-apr-85;17:37:00;505;10.4465;35.682;1;189.3584;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;15;603;03-apr-85;17:33:00;609;7.9715;35.345;1;155.4168;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;14;705;03-apr-85;17:29:00;712;6.15;35.127;1;180.873;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;13;804;03-apr-85;17:21:00;812;5.287;35.035;1;216.601;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;12;895;03-apr-85;17:19:00;904;4.8605;35.0115;1;247.4164;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;11;996;03-apr-85;17:16:00;1006;4.525;34.978;1;260.3678;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;10;1487;03-apr-85;17:08:00;1504;4.0475;34.979;1;273.3192;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;9;1971;03-apr-85;16:59:00;1996;3.7315;34.976;1;280.4648;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;8;2455;03-apr-85;16:51:00;2489;3.2825;35.005;1;282.6978;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;7;2925;03-apr-85;16:42:00;2969;2.848;34.954;1;288.057;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;6;3392;03-apr-85;16:33:00;3446;2.496;34.922;1;299.222;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;5;3877;03-apr-85;16:22:00;3944;2.287;34.901;1;293.8628;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;4;4060;03-apr-85;16:12:00;4132;2.257;34.898;1;294.3094;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;3;4361;03-apr-85;16:03:00;4441;2.2395;34.892;1;293.8628;4;6;NaN;NaN
85004_002;1;41.075;-60.9417;1;4656;03-apr-85;15:46:00;4745;2.233;NaN;9;NaN;9;0;NaN;NaN
85004_002;1;41.075;-60.9417;2;4656;03-apr-85;15:46:00;4745;2.233;34.887;1;291.4065;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;42;15;06-apr-85;03:30:00;15;11.988;35.209;1;262.1542;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;41;105;06-apr-85;03:26:00;106;11.9925;35.217;1;261.261;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;40;200;06-apr-85;03:23:00;202;12.94;35.557;1;207.2224;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;39;305;06-apr-85;03:19:00;308;11.044;35.392;1;151.844;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;38;404;06-apr-85;03:11:00;408;9.3645;35.212;1;154.5236;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;37;495;06-apr-85;03:08:00;499;7.8055;35.041;1;204.0962;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;36;588;06-apr-85;03:04:00;593;6.3765;35.104;1;177.7468;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;35;678;06-apr-85;03:01:00;684;5.6265;35.02;1;231.3388;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;34;779;06-apr-85;02:52:00;787;5.0865;35.024;1;255.4552;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;33;839;06-apr-85;02:48:00;847;4.8585;35.0135;1;261.7076;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;32;936;06-apr-85;02:44:00;945;4.629;35.005;1;273.3192;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;31;1386;06-apr-85;02:36:00;1401;4.095;34.98;1;286.2706;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;30;1803;06-apr-85;02:26:00;1825;3.8215;34.977;1;283.591;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;29;2316;06-apr-85;02:12:00;2347;3.4195;34.969;1;295.6492;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;28;2832;06-apr-85;02:02:00;2873;2.9575;34.943;1;296.989;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;27;3294;06-apr-85;01:52:00;3346;2.613;34.925;1;308.154;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;26;3828;06-apr-85;01:41:00;3893;2.3455;34.905;1;309.0472;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;25;4074;06-apr-85;01:30:00;4145;2.3055;34.899;1;300.1152;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;24;4396;06-apr-85;01:22:00;4477;2.282;34.896;1;298.1055;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;23;4714;06-apr-85;01:14:00;4804;8.667;34.893;1;299.222;4;6;NaN;NaN
85004_113;2;39.9983;-58.99;22;5059;06-apr-85;01:04:00;5160;2.255;34.888;1;296.5424;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;63;7;06-apr-85;10:24:00;7;19.9875;36.554;1;224.6398;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;62;97;06-apr-85;10:21:00;98;18.911;36.5335;1;210.7952;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;61;173;06-apr-85;10:17:00;174;17.724;36.448;1;231.3388;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;60;291;06-apr-85;10:14:00;293;17.6079;36.427;1;230.4456;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;59;404;06-apr-85;10:06:00;407;15.5295;36.092;1;188.4652;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;58;506;06-apr-85;10:02:00;511;13.3895;35.749;1;168.3682;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;57;605;06-apr-85;09:59:00;611;11.6905;35.492;1;154.077;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;56;728;06-apr-85;09:56:00;735;10.2729;35.326;1;160.3294;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;55;840;06-apr-85;09:47:00;848;7.2129;35.091;1;189.3584;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;54;941;06-apr-85;09:43:00;950;5.647;35.006;1;226.8728;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;53;1129;06-apr-85;09:38:00;1141;4.826;35.007;1;257.6882;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;52;1492;06-apr-85;09:28:00;1509;4.174;34.989;1;274.659;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;51;1922;06-apr-85;09:13:00;1946;3.7895;34.979;1;276.4454;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;50;2490;06-apr-85;09:04:00;2524;3.412;34.97;1;282.6978;4;6;NaN;NaN
85004_225;3;39.4917;-58.9733;49;2944;06-apr-85;08:54:00;2988;3.048;34.949;1;284.9308;4;6;NaN;NaN
