CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(PSU);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
89037_315;7;43.99;-49.2;66334;12;13-jan-90;06:26:00;12;-0.014;33.166;1;356.25282;4;7.45;2;0.73;1;6.5;2;2054;10.21;1.15
89037_315;7;43.99;-49.2;66335;13;13-jan-90;06:26:00;13;-0.013;33.166;1;357.45864;4;7.36;2;0.71;1;6.27;2;2054;10.37;1.17
89037_315;7;43.99;-49.2;66332;46;13-jan-90;06:26:00;46;-0.121;33.229;7;354.55574;4;NaN;9;NaN;9;NaN;9;518;NaN;NaN
89037_315;7;43.99;-49.2;66333;46;13-jan-90;06:26:00;46;-0.121;33.228;7;353.79652;4;7.81;1;0.76;1;6.49;1;518;10.28;1.20
89037_315;7;43.99;-49.2;66331;49;13-jan-90;06:26:00;49;-0.122;33.248;1;362.28192;4;7.83;1;0.75;1;6.71;1;6;10.44;1.17
89037_326;8;43.9;-49.16;66340;18;13-jan-90;08:35:00;18;-0.114;33.334;1;350.71498;4;8.57;1;0.69;1;7.18;1;6;12.42;1.19
89037_326;8;43.9;-49.16;66339;57;13-jan-90;08:35:00;57;0.049;NaN;9;338.79076;4;9.74;1;0.7;1;7.59;1;6;13.91;1.28
89037_326;8;43.9;-49.16;66338;106;13-jan-90;08:35:00;107;0.231;33.644;1;332.89564;4;9.98;1;0.76;1;7.9;1;6;13.13;1.26
89037_326;8;43.9;-49.16;66336;138;13-jan-90;08:35:00;139;0.306;33.672;7;332.80632;4;10.09;7;0.77;1;8.12;1;518;13.10;1.24
89037_326;8;43.9;-49.16;66337;138;13-jan-90;08:35:00;139;0.306;33.678;7;333.11894;4;10.21;7;0.77;1;7.69;1;518;13.26;1.33
89037_339;9;43.86;-48.98;66347;18;13-jan-90;10:32:00;18;-0.001;33.465;1;348.92858;4;8.48;1;0.64;1;6.92;1;6;13.25;1.23
89037_339;9;43.86;-48.98;66346;58;13-jan-90;10:32:00;58;0.264;33.66;1;347.6781;4;9.37;1;0.65;1;6.46;1;6;14.42;1.45
89037_339;9;43.86;-48.98;66345;108;13-jan-90;10:32:00;109;0.73;33.858;1;329.90342;4;10.7;1;0.7;1;7.54;1;6;15.29;1.42
89037_339;9;43.86;-48.98;66344;203;13-jan-90;10:32:00;205;1.569;34.189;1;294.44338;4;12.34;1;0.82;1;10.66;1;6;15.05;1.16
89037_339;9;43.86;-48.98;66343;305;13-jan-90;10:32:00;308;2.467;34.436;1;286.4939;4;15.49;1;0.96;1;11.7;1;6;16.14;1.32
89037_339;9;43.86;-48.98;66342;382;13-jan-90;10:32:00;385;3.229;34.651;1;288.7269;4;16.05;1;0.95;1;10.88;1;6;16.89;1.48
89037_339;9;43.86;-48.98;66341;414;13-jan-90;10:32:00;418;3.253;34.679;1;289.48612;4;16.1;1;0.95;1;10.64;1;6;16.95;1.51
89037_003;10;43.84;-48.86;66359;17;13-jan-90;14:22:00;17;0.68;33.774;1;348.92858;4;9.55;1;0.68;1;6.16;1;6;14.04;1.55
89037_003;10;43.84;-48.86;66358;56;13-jan-90;14:22:00;56;0.678;NaN;9;348.03538;4;NaN;9;NaN;9;NaN;9;6;NaN;NaN
89037_003;10;43.84;-48.86;66357;105;13-jan-90;14:22:00;106;0.839;33.897;1;322.13258;4;11.21;1;0.78;1;8.38;1;6;14.37;1.34
89037_003;10;43.84;-48.86;66356;206;13-jan-90;14:22:00;208;2.53;34.404;1;304.67052;4;14.02;1;0.84;1;8.26;1;6;16.69;1.70
89037_003;10;43.84;-48.86;66355;400;13-jan-90;14:22:00;404;3.526;34.802;1;296.05114;4;16.63;1;0.98;1;9.34;1;6;16.97;1.78
89037_003;10;43.84;-48.86;66354;601;13-jan-90;14:22:00;607;3.285;34.823;1;299.71326;4;16.12;1;0.96;1;9.52;1;6;16.79;1.69
89037_003;10;43.84;-48.86;66353;804;13-jan-90;14:22:00;812;3.197;34.828;1;NaN;9;17.04;1;0.97;1;9.73;1;0;17.57;1.75
89037_003;10;43.84;-48.86;66352;999;13-jan-90;14:22:00;1010;3.185;34.827;1;301.2317;4;16.57;1;0.97;1;9.82;1;6;17.08;1.69
89037_003;10;43.84;-48.86;66351;1194;13-jan-90;14:22:00;1207;3.185;34.833;1;301.14238;4;16.84;1;0.99;1;9.71;1;6;17.01;1.73
