Filename; Pressure; Uniqueno; Variable; Values; Test failed
18TL17008_1621; 4.96; 421199; doxy; 337.61  ; Global Impossible Parameter Value
18TL17008_1621; 37.18; 421196; doxy; 348.66  ; Global Impossible Parameter Value
18TL17008_1621; 4.96; 421199; doxy; 337.61  ; Regional Impossible Parameter Value
18TL17008_1621; 37.18; 421196; doxy; 348.66  ; Regional Impossible Parameter Value
18TL17008_1622; 5.16; 421205; doxy; 318.18  ; Global Impossible Parameter Value
18TL17008_1622; 50.17; 421202; doxy; 304.18  ; Global Impossible Parameter Value
18TL17008_1622; 76.84; 421201; doxy; 282.54  ; Global Impossible Parameter Value
18TL17008_1622; 5.16; 421205; doxy; 318.18  ; Regional Impossible Parameter Value
18TL17008_1622; 50.17; 421202; doxy; 304.18  ; Regional Impossible Parameter Value
18TL17008_1622; 76.84; 421201; doxy; 282.54  ; Regional Impossible Parameter Value
18TL17008_1623; 5.65; 421211; doxy; 338.14  ; Global Impossible Parameter Value
18TL17008_1623; 50.27; 421208; doxy; 330.13  ; Global Impossible Parameter Value
18TL17008_1623; 60.38; 421207; doxy; 320.86  ; Global Impossible Parameter Value
18TL17008_1623; 5.65; 421211; doxy; 338.14  ; Regional Impossible Parameter Value
18TL17008_1623; 50.27; 421208; doxy; 330.13  ; Regional Impossible Parameter Value
18TL17008_1623; 60.38; 421207; doxy; 320.86  ; Regional Impossible Parameter Value
18TL17008_1624; 5.35; 421217; doxy; 350.74  ; Global Impossible Parameter Value
18TL17008_1624; 49.97; 421214; doxy; 330.28  ; Global Impossible Parameter Value
18TL17008_1624; 73.77; 421213; doxy; 315.23  ; Global Impossible Parameter Value
18TL17008_1624; 5.35; 421217; doxy; 350.74  ; Regional Impossible Parameter Value
18TL17008_1624; 49.97; 421214; doxy; 330.28  ; Regional Impossible Parameter Value
18TL17008_1624; 73.77; 421213; doxy; 315.23  ; Regional Impossible Parameter Value
18TL17008_1625; 5.16; 421222; doxy; 358.55  ; Global Impossible Parameter Value
18TL17008_1625; 45.02; 421219; doxy; 311.37  ; Global Impossible Parameter Value
18TL17008_1625; 5.16; 421222; doxy; 358.55  ; Regional Impossible Parameter Value
18TL17008_1625; 45.02; 421219; doxy; 311.37  ; Regional Impossible Parameter Value
18TL17008_1626; 5.45; 421227; doxy; 355.25  ; Global Impossible Parameter Value
18TL17008_1626; 33.52; 421224; doxy; 329.52  ; Global Impossible Parameter Value
18TL17008_1626; 5.45; 421227; doxy; 355.25  ; Regional Impossible Parameter Value
