CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
181079022_001;0;44.2017;-63.4667;4108;10;06-aug-79;16:39:00;10;NaN;9;6.07;1;0.195;1;0.565;1;0.755;1;0;0.35;0.26
181079022_001;0;44.2017;-63.4667;4107;20;06-aug-79;16:39:00;20;NaN;9;7.69;1;0.17;1;0.63;1;0.65;1;0;0.27;0.26
181079022_001;0;44.2017;-63.4667;4106;30;06-aug-79;16:39:00;30;NaN;9;8.32;1;0.22;1;0.575;1;0.635;1;0;0.38;0.35
181079022_001;0;44.2017;-63.4667;4104;50;06-aug-79;16:39:00;50;NaN;9;7.23;1;3.12;7;1.005;7;2.485;1;512;3.10;1.26
181079022_001;0;44.2017;-63.4667;4105;50;06-aug-79;16:39:00;50;NaN;9;7.35;1;11.345;7;1.385;7;8.135;1;512;8.19;1.39
181079022_001;0;44.2017;-63.4667;4103;74;06-aug-79;16:39:00;75;NaN;9;5.16;1;15.325;1;1.61;1;13.22;1;0;9.52;1.16
181079022_001;0;44.2017;-63.4667;4102;99;06-aug-79;16:39:00;100;NaN;9;4.19;1;3.4;1;1.035;1;2.62;1;0;3.29;1.30
181079022_001;0;44.2017;-63.4667;4100;129;06-aug-79;16:39:00;130;34.528;7;NaN;9;18.145;7;1.755;7;15.81;1;512;10.34;1.15
181079022_001;0;44.2017;-63.4667;4101;129;06-aug-79;16:39:00;130;34.527;7;NaN;9;16.31;7;1.59;7;14.64;1;512;10.26;1.11
181079022_002;1;42.6833;-64;4117;10;07-aug-79;01:55:00;10;NaN;9;5.66;1;0.27;1;0.51;1;0.55;1;0;0.53;0.49
181079022_002;1;42.6833;-64;4116;30;07-aug-79;01:55:00;30;NaN;9;7.13;1;0.355;1;0.885;1;1.445;1;0;0.40;0.25
181079022_002;1;42.6833;-64;4115;50;07-aug-79;01:55:00;50;NaN;9;5.96;1;4.17;1;1.03;1;3.245;1;0;4.05;1.29
181079022_002;1;42.6833;-64;4114;99;07-aug-79;01:55:00;100;NaN;9;4.5;1;12.83;1;1.2;1;5.66;1;0;10.69;2.27
181079022_002;1;42.6833;-64;4113;149;07-aug-79;01:55:00;150;NaN;9;4.21;1;13.56;1;1.245;1;6.5;1;0;10.89;2.09
181079022_002;1;42.6833;-64;4112;198;07-aug-79;01:55:00;200;NaN;9;3.38;1;19.08;1;1.52;1;9.955;1;0;12.55;1.92
181079022_002;1;42.6833;-64;4109;495;07-aug-79;01:55:00;500;34.937;7;7.35;1;20.925;7;1.68;7;13.045;1;512;12.46;1.60
181079022_002;1;42.6833;-64;4110;495;07-aug-79;01:55:00;500;34.935;7;5.1;1;19.165;7;1.58;7;12.04;1;512;12.13;1.59
181079022_002;1;42.6833;-64;4111;495;07-aug-79;01:55:00;500;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
181079022_113;2;42.785;-64.13;4126;10;07-aug-79;04:15:00;10;NaN;9;5.81;1;0.285;1;0.49;1;0.61;2;2048;0.58;0.47
181079022_113;2;42.785;-64.13;4125;20;07-aug-79;04:15:00;20;NaN;9;6.6;1;0.27;1;0.525;1;0.95;1;0;0.51;0.28
181079022_113;2;42.785;-64.13;4124;30;07-aug-79;04:15:00;30;NaN;9;7.09;1;0.345;1;0.5;1;1.565;1;0;0.69;0.22
181079022_113;2;42.785;-64.13;4122;50;07-aug-79;04:15:00;50;NaN;9;7.09;1;0.435;7;0.59;7;2.085;1;512;0.74;0.21
181079022_113;2;42.785;-64.13;4123;50;07-aug-79;04:15:00;50;NaN;9;7.3;1;0.505;7;0.58;7;2.035;1;512;0.87;0.25
181079022_113;2;42.785;-64.13;4121;74;07-aug-79;04:15:00;75;NaN;9;5.53;1;7.285;1;0.94;1;4.21;1;0;7.75;1.73
181079022_113;2;42.785;-64.13;4120;99;07-aug-79;04:15:00;100;NaN;9;4.87;1;10.525;1;1.12;1;5.565;1;0;9.40;1.89
181079022_113;2;42.785;-64.13;4118;137;07-aug-79;04:15:00;138;35.2765;7;4.93;1;16.76;7;1.305;7;8.47;1;512;12.84;1.98
181079022_113;2;42.785;-64.13;4119;137;07-aug-79;04:15:00;138;35.274;7;4.02;1;16.195;7;1.33;7;8.295;1;512;12.18;1.95
181079022_225;3;42.9;-64.27667;4135;10;07-aug-79;05:42:00;10;NaN;9;5.82;1;0.225;1;0.51;1;0.565;2;2048;0.44;0.40
181079022_225;3;42.9;-64.27667;4134;20;07-aug-79;05:42:00;20;NaN;9;7.3;1;0.345;1;0.655;1;0.705;1;0;0.53;0.49
181079022_225;3;42.9;-64.27667;4133;30;07-aug-79;05:42:00;30;NaN;9;7.67;1;0.23;1;0.665;1;0.58;1;0;0.35;0.40
181079022_225;3;42.9;-64.27667;4131;50;07-aug-79;05:42:00;50;NaN;9;6.08;1;4.71;7;1.045;7;2.49;1;512;4.51;1.89
181079022_225;3;42.9;-64.27667;4132;50;07-aug-79;05:42:00;50;NaN;9;6.73;1;4.96;7;1.09;7;2.465;1;512;4.55;2.01
181079022_225;3;42.9;-64.27667;4130;74;07-aug-79;05:42:00;75;NaN;9;5.85;1;10.605;1;1.365;1;7.72;1;0;7.77;1.37
181079022_225;3;42.9;-64.27667;4129;99;07-aug-79;05:42:00;100;NaN;9;4.23;1;16.5;1;1.515;1;12.015;1;0;10.89;1.37
181079022_225;3;42.9;-64.27667;4127;110;07-aug-79;05:42:00;111;34.2915;7;4.21;1;16.585;7;1.45;7;12.045;1;512;11.44;1.38
181079022_225;3;42.9;-64.27667;4128;110;07-aug-79;05:42:00;111;34.2875;7;4.04;1;14.35;7;1.385;7;10.565;1;512;10.36;1.36
181079022_264;4;43.01667;-64.425;4144;10;07-aug-79;07:05:00;10;NaN;9;6.03;1;0.585;1;0.87;1;0.765;2;2048;0.67;0.76
181079022_264;4;43.01667;-64.425;4143;20;07-aug-79;07:05:00;20;NaN;9;7.74;1;0.36;1;0.75;1;0.585;1;0;0.48;0.62
181079022_264;4;43.01667;-64.425;4142;30;07-aug-79;07:05:00;30;NaN;9;6.45;1;0.265;1;0.915;1;0.795;1;0;0.29;0.33
181079022_264;4;43.01667;-64.425;4140;50;07-aug-79;07:05:00;50;NaN;9;7.01;1;5.565;7;1.195;7;3.26;1;512;4.66;1.71
181079022_264;4;43.01667;-64.425;4141;50;07-aug-79;07:05:00;50;NaN;9;7.21;1;4.98;7;1.155;7;2.76;1;512;4.31;1.80
181079022_264;4;43.01667;-64.425;4139;74;07-aug-79;07:05:00;75;NaN;9;5.51;1;11.28;1;1.36;1;8.65;1;0;8.29;1.30
181079022_264;4;43.01667;-64.425;4138;99;07-aug-79;07:05:00;100;NaN;9;5.3;1;11.395;1;1.32;1;8.86;1;0;8.63;1.29
