CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18EG17004_1582;521;47.85183;-59.6655;420500;2.08;09-mar-17;11:11:00;31.88;-0.18;8.086;0.47;0.297;0.08;1;5.76;1;0.72;1;5.54;1;0;8.00;1.04
18EG17004_1582;521;47.85183;-59.6655;420499;15.87;09-mar-17;11:11:00;31.88;-0.18;NaN;0.44;0.399;0.075;1;5.755;1;0.73;1;5.565;1;0;7.88;1.03
18EG17004_1582;521;47.85183;-59.6655;420498;50.67;09-mar-17;11:11:00;31.89;-0.16;8.0975;0.425;0.374;0.075;1;5.805;1;0.725;1;5.58;1;0;8.01;1.04
18EG17004_1582;521;47.85183;-59.6655;420497;100.53;09-mar-17;11:11:00;32.48;1.51;NaN;NaN;0.092;0.025;1;8.36;1;0.89;1;8.015;1;0;9.39;1.04
18EG17004_1582;521;47.85183;-59.6655;420496;151.36;09-mar-17;11:11:00;33.36;3.16;NaN;NaN;0.047;0.01;1;13.395;1;1.185;1;12.795;1;0;11.30;1.05
18EG17004_1582;521;47.85183;-59.6655;420495;401.11;09-mar-17;11:11:00;34.92;6.08;3.542;NaN;0.03;0.01;1;23.015;1;1.685;1;28.8;1;0;13.66;0.80
18EG17004_1583;531;47.637;-59.9385;420509;0.5;09-mar-17;13:17:00;31.68;-0.79;6.138;0.03;0.256;0.015;1;11.255;1;1.1;1;10.89;1;1024;10.23;1.03
18EG17004_1583;531;47.637;-59.9385;420508;15.17;09-mar-17;13:17:00;31.68;-0.81;NaN;0.495;0.371;0.07;1;5.705;1;0.725;1;5.92;1;0;7.87;0.96
18EG17004_1583;531;47.637;-59.9385;420507;50.27;09-mar-17;13:17:00;31.71;-0.79;8.2785;0.485;0.461;0.07;1;5.71;1;0.73;1;5.815;1;0;7.82;0.98
18EG17004_1583;531;47.637;-59.9385;420506;99.64;09-mar-17;13:17:00;32.7;1.74;NaN;NaN;0.057;0.015;1;11.295;1;1.1;1;10.915;1;0;10.27;1.03
18EG17004_1583;531;47.637;-59.9385;420505;150.18;09-mar-17;13:17:00;33.66;4.29;NaN;NaN;0.04;0.075;1;5.77;1;0.72;1;5.92;1;0;8.01;0.97
18EG17004_1583;531;47.637;-59.9385;420504;201.6;09-mar-17;13:17:00;34.5;7.23;NaN;NaN;0.026;0.015;1;18.775;1;1.37;1;16.82;1;0;13.70;1.12
18EG17004_1583;531;47.637;-59.9385;420503;249.44;09-mar-17;13:17:00;34.71;7.27;NaN;NaN;0.027;0.015;1;22.04;1;1.57;1;21.75;1;0;14.04;1.01
18EG17004_1583;531;47.637;-59.9385;420502;299.65;09-mar-17;13:17:00;34.82;6.97;NaN;NaN;0.028;0.01;1;23.63;1;1.67;1;24.915;1;0;14.15;0.95
18EG17004_1583;531;47.637;-59.9385;420501;512.73;09-mar-17;13:17:00;34.93;5.93;3.5285;NaN;0.039;0.02;1;22.955;1;1.75;1;31.89;1;0;13.12;0.72
18EG17004_1584;541;47.388;-60.24733;420515;0.89;09-mar-17;15:40:00;31.64;-1.14;8.334;0.545;0.173;0.065;1;6.41;1;0.78;1;6.94;1;0;8.22;0.92
18EG17004_1584;541;47.388;-60.24733;420514;15.07;09-mar-17;15:40:00;31.65;-1.16;NaN;0.49;0.421;0.07;1;6.395;1;0.775;1;6.965;1;0;8.25;0.92
18EG17004_1584;541;47.388;-60.24733;420513;50.57;09-mar-17;15:40:00;31.79;-0.83;8.343;0.475;0.355;0.07;1;6.345;1;0.77;1;6.935;1;0;8.24;0.91
18EG17004_1584;541;47.388;-60.24733;420512;100.33;09-mar-17;15:40:00;32.31;0.54;NaN;NaN;0.137;0.03;1;9.6;1;1.01;1;10.61;1;0;9.50;0.90
18EG17004_1584;541;47.388;-60.24733;420511;150.48;09-mar-17;15:40:00;32.5;1.08;NaN;NaN;0.093;0.02;1;10.975;1;1.075;1;11.96;1;0;10.21;0.92
18EG17004_1584;541;47.388;-60.24733;420510;209.83;09-mar-17;15:40:00;34.45;5.78;3.024;NaN;0.051;0.02;1;21.625;1;1.71;2;30.18;2;2048;12.65;0.72
18EG17004_1585;551;47.08417;-60.62167;420521;0.89;09-mar-17;18:05:00;30.68;-1.48;8.581;1.14;0.557;0.08;1;5.725;1;0.705;1;8.06;1;0;8.12;0.71
18EG17004_1585;551;47.08417;-60.62167;420520;15.37;09-mar-17;18:05:00;30.72;-1.47;NaN;1.22;0.711;0.08;1;5.735;1;0.715;1;7.97;1;0;8.02;0.72
18EG17004_1585;551;47.08417;-60.62167;420519;50.87;09-mar-17;18:05:00;31.07;-1.14;8.1955;0.875;0.512;0.075;1;6.57;1;0.77;1;8.71;1;0;8.53;0.75
18EG17004_1585;551;47.08417;-60.62167;420518;98.65;09-mar-17;18:05:00;32.75;1.98;NaN;NaN;0.123;0.04;1;11.645;1;1.105;1;12.96;2;2048;10.54;0.90
