CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;CHL_XX;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(mmol/m**3);((none));(celsius);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU02070_002;STN27;47.5467;-52.5867;255589;5;10-nov-02;02:01:00;5.13;31.637;1;6.9159381997313;1;3.987;1;0.35;1;0.84;1;0.79;1;2.64;1;0;1.06;0.32
18HU02070_002;STN27;47.5467;-52.5867;255588;10;10-nov-02;02:01:00;10.06;31.677;1;6.9209381997313;1;3.884;1;0.32;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_002;STN27;47.5467;-52.5867;255587;20;10-nov-02;02:01:00;19.81;31.803;1;6.9569368562472;1;3.549;1;NaN;9;1.28;1;0.42;1;2.46;1;0;3.05;0.52
18HU02070_002;STN27;47.5467;-52.5867;255586;30;10-nov-02;02:01:00;30.53;31.822;1;6.9709381997313;1;3.501;1;0.3;1;1.01;1;0.54;1;2.07;1;0;1.87;0.49
18HU02070_002;STN27;47.5467;-52.5867;255585;40;10-nov-02;02:01:00;40.22;31.889;1;6.98793775190327;1;3.331;1;0.28;1;1.43;1;0.76;1;2.84;1;0;1.88;0.50
18HU02070_002;STN27;47.5467;-52.5867;255584;50;10-nov-02;02:01:00;50.28;31.962;1;6.9969368562472;1;3.14;1;0.27;1;1.28;1;0.51;1;2.59;1;0;2.51;0.49
18HU02070_002;STN27;47.5467;-52.5867;255583;74;10-nov-02;02:01:00;74.51;32.123;1;7.0279355127631;1;2.715;1;0.23;1;1.53;1;0.62;1;2.15;1;0;2.47;0.71
18HU02070_002;STN27;47.5467;-52.5867;255582;98;10-nov-02;02:01:00;99.27;32.395;1;7.0569368562472;1;1.532;1;0.07;1;2.42;1;0.79;1;3.3;1;0;3.06;0.73
18HU02070_002;STN27;47.5467;-52.5867;255581;149;10-nov-02;02:01:00;150.05;33.226;1;6.62094043887147;1;-0.986;1;NaN;9;10.97;1;1.76;1;13.29;1;0;6.23;0.83
18HU02070_002;STN27;47.5467;-52.5867;255580;167;10-nov-02;02:01:00;168.63;33.239;1;6.63894088669951;1;-0.993;1;NaN;9;10.61;1;1.61;1;13.62;1;0;6.59;0.78
18HU02070_113;SEGB-01;46.5833;-52.9333;255594;6;10-nov-02;17:40:00;5.76;31.536;1;6.87693909538737;1;4.669;1;0.37;1;0.62;1;0.48;1;2;1;0;1.29;0.31
18HU02070_113;SEGB-01;46.5833;-52.9333;255593;11;10-nov-02;17:40:00;10.73;31.535;1;6.8759381997313;1;4.673;1;0.38;1;1.15;1;0.49;1;2.06;1;0;2.35;0.56
18HU02070_113;SEGB-01;46.5833;-52.9333;255592;20;10-nov-02;17:40:00;20.6;31.537;1;6.87493954321541;1;4.657;1;0.37;1;0.34;1;0.55;1;2;1;0;0.62;0.17
18HU02070_113;SEGB-01;46.5833;-52.9333;255591;30;10-nov-02;17:40:00;30.62;31.666;1;6.87893864755934;1;4.275;1;0.34;1;1.46;1;0.82;1;2.35;1;0;1.78;0.62
18HU02070_113;SEGB-01;46.5833;-52.9333;255590;47;10-nov-02;17:40:00;47.14;31.891;1;6.93793775190327;1;3.448;1;0.26;1;1.15;1;0.63;1;3.06;1;0;1.83;0.38
18HU02070_225;SEGB-02;46.5;-52.85;255595;173;10-nov-02;18:46:00;174;33.042;1;7.0819368562472;1;-1.25;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_264;SEGB-03;46.35;-52.7333;255605;5;10-nov-02;20:05:00;5.45;31.896;1;6.98493730407524;1;3.503;1;0.33;1;1.18;1;0.68;1;3.3;1;0;1.74;0.36
18HU02070_264;SEGB-03;46.35;-52.7333;255604;11;10-nov-02;20:05:00;10.59;31.886;1;6.9969368562472;1;3.505;1;0.32;1;1.21;1;0.52;1;2.57;1;0;2.33;0.47
18HU02070_264;SEGB-03;46.35;-52.7333;255603;20;10-nov-02;20:05:00;20.52;31.907;1;6.99293775190327;1;3.429;1;0.27;1;1.34;1;0.63;1;2.93;1;0;2.13;0.46
18HU02070_264;SEGB-03;46.35;-52.7333;255602;30;10-nov-02;20:05:00;30.46;31.962;1;7.0109381997313;1;3.24;1;0.23;1;1.62;1;0.76;1;2.92;1;0;2.13;0.55
18HU02070_264;SEGB-03;46.35;-52.7333;255601;40;10-nov-02;20:05:00;40.42;32.218;1;7.02893640841917;1;2.792;1;0.15;1;2.15;1;0.67;1;4.75;1;0;3.21;0.45
18HU02070_264;SEGB-03;46.35;-52.7333;255600;49;10-nov-02;20:05:00;49.22;32.44;1;7.02893640841917;1;2.329;1;0.1;1;2.88;1;0.53;1;5.63;1;0;5.43;0.51
18HU02070_264;SEGB-03;46.35;-52.7333;255599;75;10-nov-02;20:05:00;76.11;33.053;1;6.82993954321541;1;-1.04;1;0;1;9.56;1;1.68;1;12.8;1;0;5.69;0.75
18HU02070_264;SEGB-03;46.35;-52.7333;255598;97;10-nov-02;20:05:00;98.13;33.175;1;6.78793999104344;1;-1.186;1;0;1;11.05;2;1.8;1;14.71;1;2048;6.14;0.75
18HU02070_264;SEGB-03;46.35;-52.7333;255597;150;10-nov-02;20:05:00;151.33;33.258;1;6.67493954321541;1;-1.086;1;NaN;9;11.25;1;1.78;2;15.76;1;2048;6.32;0.71
18HU02070_264;SEGB-03;46.35;-52.7333;255596;165;10-nov-02;20:05:00;166.59;33.257;1;6.68193909538737;1;-1.086;1;NaN;9;11.07;1;1.66;2;15.14;1;2048;6.67;0.73
18HU02070_284;SEGB-04;46.2083;-52.6083;255606;124;10-nov-02;22:25:00;125.09;33.314;1;6.47894088669951;1;-0.994;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_304;SEGB-05;46.07;-52.5;255614;6;10-nov-02;23:49:00;5.68;32.001;1;6.60293999104344;1;5.542;1;0.35;1;1.55;1;0.57;1;2.94;1;0;2.72;0.53
18HU02070_304;SEGB-05;46.07;-52.5;255613;10;10-nov-02;23:49:00;9.99;31.997;1;6.60594043887147;1;5.489;1;0.35;1;1.55;1;0.54;1;2.62;1;0;2.87;0.59
18HU02070_304;SEGB-05;46.07;-52.5;255612;21;10-nov-02;23:49:00;20.67;31.995;1;6.60994178235558;1;5.467;1;0.32;1;1.66;1;0.68;1;3.04;1;0;2.44;0.55
18HU02070_304;SEGB-05;46.07;-52.5;255611;30;10-nov-02;23:49:00;30.32;31.982;1;6.62094043887147;1;5.259;1;0.27;1;1.53;1;0.51;1;3.16;1;0;3.00;0.48
18HU02070_304;SEGB-05;46.07;-52.5;255610;40;10-nov-02;23:49:00;40.26;32;1;6.63594043887147;1;5.085;1;0.21;1;1.68;1;0.56;1;3.24;1;0;3.00;0.52
18HU02070_304;SEGB-05;46.07;-52.5;255609;52;10-nov-02;23:49:00;52.1;32.032;1;6.64094043887147;1;4.988;1;0.24;1;2.27;1;0.59;1;3.28;1;0;3.85;0.69
18HU02070_304;SEGB-05;46.07;-52.5;255608;73;10-nov-02;23:49:00;73.52;33.02;1;5.98894536497985;1;0.264;1;0.02;1;9.78;1;1.88;1;13.56;1;0;5.20;0.72
18HU02070_304;SEGB-05;46.07;-52.5;255607;83;10-nov-02;23:49:00;83.66;33.021;1;5.99894536497985;1;0.244;1;0.04;1;9.61;1;1.91;1;13.76;1;0;5.03;0.70
18HU02070_315;SEGB-06;45.7883;-52.2667;255615;73;11-nov-02;02:29:00;73.91;32.984;1;6.06694581280788;1;0.487;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_326;SEGB-07;45.4583;-52;255622;6;11-nov-02;04:38:00;5.75;32.247;1;6.57694133452754;1;6.403;1;0.54;1;0.93;1;0.32;1;1.76;1;0;2.91;0.53
18HU02070_326;SEGB-07;45.4583;-52;255621;11;11-nov-02;04:38:00;10.74;32.248;1;6.55094043887147;1;6.36;1;0.53;1;1.39;1;0.5;1;2.71;1;0;2.78;0.51
18HU02070_326;SEGB-07;45.4583;-52;255620;21;11-nov-02;04:38:00;20.83;32.247;1;6.58094043887147;1;6.4;1;0.54;1;1.66;1;0.48;1;2.02;1;0;3.46;0.82
18HU02070_326;SEGB-07;45.4583;-52;255619;30;11-nov-02;04:38:00;30.53;32.248;1;6.54494178235558;1;6.363;1;0.51;1;1.17;1;0.41;1;2.1;1;0;2.85;0.56
18HU02070_326;SEGB-07;45.4583;-52;255618;40;11-nov-02;04:38:00;40.68;32.249;1;6.53494178235558;1;6.362;1;0.42;1;1.63;1;0.42;1;2.42;1;0;3.88;0.67
18HU02070_326;SEGB-07;45.4583;-52;255617;51;11-nov-02;04:38:00;51.01;32.258;1;6.52194133452754;1;6.352;1;0.25;1;1.72;1;0.5;1;2.61;1;0;3.44;0.66
18HU02070_326;SEGB-07;45.4583;-52;255616;71;11-nov-02;04:38:00;71.96;32.975;1;7.03293775190327;1;-0.082;1;0.08;1;6.04;1;1.51;1;8.56;1;0;4.00;0.71
18HU02070_339;SEGB-08;45.095;-51.7;255623;66;11-nov-02;07:42:00;66.9;32.938;1;6.99293775190327;1;0.414;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_003;SEGB-09;44.725;-51.395;255630;6;11-nov-02;10:02:00;5.86;32.283;1;6.50594267801164;1;6.506;1;0.59;1;0.8;1;0.37;1;2.43;1;0;2.16;0.33
