CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU07049_940;571;47.82783;-64.25;292728;3.77;05-nov-07;00:53:00;30.12;7.38;302.92878;6.753;1.03;1.631;0.135;1;1.48;1;0.44;1;2.615;1;256;3.36;0.57
18HU07049_940;571;47.82783;-64.25;292727;5.26;05-nov-07;00:53:00;30.12;7.38;303.06276;6.7575;1.045;1.665;0.14;1;1.475;1;0.44;1;2.62;1;256;3.35;0.56
18HU07049_940;571;47.82783;-64.25;292726;15.47;05-nov-07;00:53:00;30.13;7.38;303.0181;6.777;1.095;1.624;0.135;1;1.51;1;0.435;1;2.595;1;256;3.47;0.58
18HU07049_940;571;47.82783;-64.25;292725;25.38;05-nov-07;00:53:00;30.19;7.28;301.81228;6.777;1.08;1.612;0.135;1;1.595;1;0.445;1;2.645;1;256;3.58;0.60
18HU07049_940;571;47.82783;-64.25;292724;32.52;05-nov-07;00:53:00;30.6;6.35;291.89776;6.735;0.86;1.189;0.155;1;2.715;1;0.535;1;3.455;1;256;5.07;0.79
18HU07049_941;581;47.741;-63.99983;292734;2.88;05-nov-07;02:39:00;30.25;6.99;305.51906;6.8135;0.82;1.62;0.15;1;1.8;1;0.45;1;2.6;1;256;4.00;0.69
18HU07049_941;581;47.741;-63.99983;292733;6.05;05-nov-07;02:39:00;30.25;6.99;305.51906;6.818;0.85;1.6;0.15;1;1.8;1;0.45;1;2.445;1;256;4.00;0.74
18HU07049_941;581;47.741;-63.99983;292732;14.87;05-nov-07;02:39:00;30.25;6.99;305.83168;6.811;0.76;1.595;0.15;1;1.835;1;0.455;1;2.43;1;256;4.03;0.76
18HU07049_941;581;47.741;-63.99983;292731;25.88;05-nov-07;02:39:00;30.28;6.95;305.16178;6.842;0.82;1.603;0.15;1;1.905;1;0.47;1;2.46;1;256;4.05;0.77
18HU07049_941;581;47.741;-63.99983;292730;50.17;05-nov-07;02:39:00;31.4;4.73;283.8143;6.526;0.215;0.492;0.28;1;4.97;1;0.745;1;4.485;1;256;6.67;1.11
18HU07049_941;581;47.741;-63.99983;292729;72.97;05-nov-07;02:39:00;32.2;1.43;222.8534;5.2325;0.26;0.46;0.18;1;14.5;1;1.6;1;27.27;1;256;9.06;0.53
18HU07049_942;591;47.66083;-63.75067;292740;2.18;05-nov-07;04:19:00;30.47;6.79;307.35012;6.838;0.99;1.771;0.115;1;1.87;1;0.445;1;2.23;1;256;4.20;0.84
18HU07049_942;591;47.66083;-63.75067;292739;6.05;05-nov-07;04:19:00;30.47;6.8;307.21614;6.864;1.045;1.758;0.115;1;1.905;1;0.45;1;2.46;1;256;4.23;0.77
18HU07049_942;591;47.66083;-63.75067;292738;16.16;05-nov-07;04:19:00;30.47;6.79;307.52876;6.849;1.105;1.793;0.115;1;1.92;1;0.455;1;2.22;1;256;4.22;0.86
18HU07049_942;591;47.66083;-63.75067;292737;25.19;05-nov-07;04:19:00;30.47;6.81;307.4841;6.841;0.995;1.813;0.115;1;1.905;1;0.46;1;2.28;1;256;4.14;0.84
18HU07049_942;591;47.66083;-63.75067;292736;51.06;05-nov-07;04:19:00;32;1.75;253.80278;5.373;0.165;0.46;0.125;1;13.365;1;1.385;1;20.955;1;256;9.65;0.64
18HU07049_942;591;47.66083;-63.75067;292735;55.23;05-nov-07;04:19:00;32.05;1.55;241.34264;5.2245;0.22;0.472;0.14;1;14.205;1;1.45;1;23.48;1;256;9.80;0.60
18HU07049_943;601;47.50033;-63.24917;292746;1.98;05-nov-07;06:55:00;30.38;8.01;295.6492;6.609;0.935;1.905;0.11;1;1.385;1;0.44;1;2.575;1;256;3.15;0.54
18HU07049_943;601;47.50033;-63.24917;292745;5.55;05-nov-07;06:55:00;30.38;7.98;295.33658;6.613;0.945;1.905;0.1;1;1.39;1;0.44;1;2.035;1;256;3.16;0.68
18HU07049_943;601;47.50033;-63.24917;292744;15.07;05-nov-07;06:55:00;30.38;7.98;295.55988;6.642;0.945;1.909;0.1;1;1.365;1;0.425;1;2.38;1;256;3.21;0.57
18HU07049_943;601;47.50033;-63.24917;292743;25.78;05-nov-07;06:55:00;30.38;7.99;295.69386;6.626;1.05;1.913;0.095;1;1.355;1;0.43;1;2.58;1;256;3.15;0.53
18HU07049_943;601;47.50033;-63.24917;292742;49.87;05-nov-07;06:55:00;31.34;3.33;261.57362;5.889;0.145;0.546;0.12;1;8.37;1;1.115;1;13.495;1;256;7.51;0.62
18HU07049_943;601;47.50033;-63.24917;292741;69.7;05-nov-07;06:55:00;32.14;0.68;217.85148;4.816;0.11;0.455;0.07;1;17.06;1;1.64;1;30.25;1;256;10.40;0.56
18HU07049_944;611;47.3295;-62.74983;292751;2.28;05-nov-07;09:24:00;30.73;7.06;302.30354;6.77;0.97;1.738;0.135;1;1.865;1;0.48;1;2.43667;1;256;3.89;0.77
18HU07049_944;611;47.3295;-62.74983;292750;6.15;05-nov-07;09:24:00;30.73;7.05;302.39286;6.745;1.04;1.798;0.13;1;1.865;1;0.48;1;2.685;1;256;3.89;0.69
18HU07049_944;611;47.3295;-62.74983;292749;14.78;05-nov-07;09:24:00;30.84;6.79;301.41034;6.721;1.165;1.752;0.1;1;2.46;1;0.735;1;3.615;1;256;3.35;0.68
18HU07049_944;611;47.3295;-62.74983;292748;24.99;05-nov-07;09:24:00;30.87;6.7;300.69578;6.709;1.1;1.678;0.145;1;2.70667;1;0.52;1;3.125;1;256;5.21;0.87
18HU07049_944;611;47.3295;-62.74983;292747;43.73;05-nov-07;09:24:00;31.01;5.91;295.91716;6.614;0.705;1.256;0.15;1;3.52;1;0.605;1;5.275;1;256;5.82;0.67
18HU07049_945;621;47.1705;-62.256;292756;1.29;05-nov-07;12:04:00;30.66;7.58;301.14238;NaN;NaN;2.376;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU07049_945;621;47.1705;-62.256;292755;5.55;05-nov-07;12:04:00;30.68;7.54;300.91908;6.767;1.96;2.771;0.1;1;1.2;1;0.39;1;1.5;1;256;3.08;0.80
