CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU10070_1115;11;44.40033;-63.44983;344658;4.96;06-nov-10;21:12:00;30.18;10.02;293.23756;NaN;6.419;1.025;0.319;NaN;9;0.115;1;NaN;9;1.22;1;NaN;9;0.415;1;3.09;1;256;2.94;0.39
18HU10070_1115;11;44.40033;-63.44983;344657;9.42;06-nov-10;21:12:00;30.17;10.03;293.8628;NaN;6.417;1.1;0.359;NaN;9;0.12;1;NaN;9;1.2;1;NaN;9;0.42;1;2.97;1;256;2.86;0.40
18HU10070_1115;11;44.40033;-63.44983;344656;20.33;06-nov-10;21:12:00;30.35;10.04;292.12106;NaN;6.384;1.235;0.39;NaN;9;0.13;1;NaN;9;1.335;1;NaN;9;0.42;1;2.975;1;256;3.18;0.45
18HU10070_1115;11;44.40033;-63.44983;344655;28.66;06-nov-10;21:12:00;30.36;10;290.15602;NaN;NaN;1.17;0.361;NaN;9;0.14;1;NaN;9;1.335;1;NaN;9;0.44;1;3.025;1;0;3.03;0.44
18HU10070_1115;11;44.40033;-63.44983;344654;39.18;06-nov-10;21:12:00;30.91;9.05;281.31334;NaN;6.188;0.465;0.173;NaN;9;0.195;1;NaN;9;2.97;1;NaN;9;0.58;1;4.095;1;256;5.12;0.73
18HU10070_1115;11;44.40033;-63.44983;344653;50.38;06-nov-10;21:12:00;30.99;8.68;278.58908;NaN;6.109;0.39;0.146;NaN;9;0.195;1;NaN;9;3.555;1;NaN;9;0.615;1;4.61;1;256;5.78;0.77
18HU10070_1115;11;44.40033;-63.44983;344652;59.81;06-nov-10;21:12:00;31.01;8.59;278.58908;NaN;6.017;0.33;0.14;NaN;9;0.2;1;NaN;9;3.685;1;NaN;9;0.62;1;4.87;1;256;5.94;0.76
18HU10070_1115;11;44.40033;-63.44983;344651;65.46;06-nov-10;21:12:00;31.03;8.51;278.05316;NaN;6.064;NaN;0.132;NaN;9;0.2;1;NaN;9;3.78;1;NaN;9;0.625;1;5.405;1;256;6.05;0.70
