CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU13004_014;HL_02;44.2717;-63.3167;389510;3.2;05-apr-13;02:05:00;31.8925;2.6484;0.9983;1;31.894;1;5.04;1;0.12;1;4.17;1;0.678;1;5.41;1;0;6.15;0.77
18HU13004_014;HL_02;44.2717;-63.3167;389509;11;05-apr-13;02:04:00;31.8974;2.69;0.9983;1;NaN;9;NaN;9;0.13;1;4.57;1;1.138;1;5.985;1;0;4.02;0.76
18HU13004_014;HL_02;44.2717;-63.3167;389508;19;05-apr-13;02:02:00;31.8935;2.6499;0.894;1;NaN;9;NaN;9;0.13;1;4.745;1;0.7215;1;6.055;1;0;6.58;0.78
18HU13004_014;HL_02;44.2717;-63.3167;389507;30;05-apr-13;02:01:00;31.8987;2.7304;1.0579;1;NaN;9;NaN;9;0.12;1;4.52;1;0.709;1;5.87;1;0;6.38;0.77
18HU13004_014;HL_02;44.2717;-63.3167;389506;40;05-apr-13;02:00:00;31.8946;2.3915;0.4048;1;31.897;1;4.709;1;0.135;1;5.035;1;0.739;1;5.945;1;0;6.81;0.85
18HU13004_014;HL_02;44.2717;-63.3167;389505;50;05-apr-13;01:59:00;31.9464;2.5427;0.3272;1;NaN;9;NaN;9;0.14;1;5.165;1;0.761;1;6.025;1;0;6.79;0.86
18HU13004_014;HL_02;44.2717;-63.3167;389504;62;05-apr-13;01:58:00;32.1505;3.0962;0.1214;1;NaN;9;NaN;9;0.145;1;4.865;1;0.729;1;5.63;1;0;6.67;0.86
18HU13004_014;HL_02;44.2717;-63.3167;389503;80;05-apr-13;01:56:00;32.5335;4.1148;0.7897;1;NaN;9;NaN;9;0.15;1;3.88;1;0.6275;1;4.395;1;0;6.18;0.88
18HU13004_014;HL_02;44.2717;-63.3167;389502;101;05-apr-13;01:55:00;33.0142;5.6284;0.28;1;NaN;9;NaN;9;0.21;1;5.405;1;0.6655;1;4.905;1;0;8.12;1.10
18HU13004_014;HL_02;44.2717;-63.3167;389501;146;05-apr-13;01:52:00;34.5371;9.7998;0.1033;1;34.525;1;2.9725;1;0.09;1;14.925;1;1.21;1;11.955;1;0;12.33;1.25
18HU13004_102;HL_06.7;42.6173;-61.5282;389528;2.5;06-apr-13;00:12:00;32.8491;4.1095;1.8393;1;32.851;1;NaN;9;0.17;1;3.255;1;0.5535;1;3.94;1;0;5.88;0.83
18HU13004_102;HL_06.7;42.6173;-61.5282;389527;10;06-apr-13;00:12:00;32.8521;4.1049;2.3758;1;NaN;9;NaN;9;0.175;1;3.235;1;0.559;1;3.945;1;0;5.79;0.82
18HU13004_102;HL_06.7;42.6173;-61.5282;389526;20;06-apr-13;00:11:00;32.9702;4.2992;2.1842;1;NaN;9;NaN;9;0.18;1;3.24;1;0.545;1;3.785;1;0;5.94;0.86
18HU13004_102;HL_06.7;42.6173;-61.5282;389525;30;06-apr-13;00:10:00;33.0509;4.5126;2.2609;1;NaN;9;NaN;9;0.19;1;3.29;1;0.517;1;3.625;1;0;6.36;0.91
18HU13004_102;HL_06.7;42.6173;-61.5282;389524;40;06-apr-13;00:09:00;33.8369;7.2733;3.3721;1;NaN;9;NaN;9;0.21;1;3.82;1;0.4605;1;2.85;1;0;8.30;1.34
18HU13004_102;HL_06.7;42.6173;-61.5282;389523;51;06-apr-13;00:08:00;33.9032;7.2203;1.4154;1;NaN;9;NaN;9;0.18;1;6.295;1;0.6095;1;4.37;1;0;10.33;1.44
18HU13004_102;HL_06.7;42.6173;-61.5282;389522;60;06-apr-13;00:07:00;34.4179;8.9415;0.1278;1;NaN;9;NaN;9;0.14;1;8.32;1;0.691;1;5.095;1;0;12.04;1.63
18HU13004_102;HL_06.7;42.6173;-61.5282;389521;79;06-apr-13;00:06:00;34.863;10.6737;0.1365;1;NaN;9;NaN;9;0.28;1;8.145;1;0.5915;1;4.415;1;0;13.77;1.84
18HU13004_102;HL_06.7;42.6173;-61.5282;389520;101;06-apr-13;00:05:00;35.0772;11.3468;0.0718;1;NaN;9;NaN;9;0.19;1;9.605;1;0.6905;1;4.995;1;0;13.91;1.92
18HU13004_102;HL_06.7;42.6173;-61.5282;389519;250;06-apr-13;00:01:00;35.1099;8.4171;NaN;9;35.106;1;3.216;1;0.055;1;23.885;1;1.538;1;14.3;1;0;15.53;1.67
18HU13004_102;HL_06.7;42.6173;-61.5282;389518;499;05-apr-13;23:56:00;35.0122;5.64;NaN;9;NaN;9;4.802;1;0.045;1;20.045;1;1.314;1;12.935;1;0;15.25;1.55
18HU13004_102;HL_06.7;42.6173;-61.5282;389517;749;05-apr-13;23:52:00;34.9849;4.7541;NaN;9;NaN;9;NaN;9;0.05;1;18.275;1;1.1675;1;11.545;1;0;15.65;1.58
18HU13004_102;HL_06.7;42.6173;-61.5282;389516;1001;05-apr-13;23:47:00;34.9625;4.3022;NaN;9;NaN;9;5.047;1;0.05;1;17.535;1;1.1495;1;11.25;1;0;15.25;1.56
18HU13004_102;HL_06.7;42.6173;-61.5282;389515;1202;05-apr-13;23:42:00;34.959;4.1187;NaN;9;NaN;9;NaN;9;0.04;1;17.945;1;1.1555;1;11.735;1;0;15.53;1.53
18HU13004_102;HL_06.7;42.6173;-61.5282;389514;1500;05-apr-13;23:37:00;34.9586;3.9385;NaN;9;NaN;9;NaN;9;0.04;1;17.975;1;1.1305;1;12.32;1;0;15.90;1.46
18HU13004_102;HL_06.7;42.6173;-61.5282;389513;1700;05-apr-13;23:33:00;34.9509;3.7587;NaN;9;NaN;9;NaN;9;0.05;1;17.42;1;1.1345;1;12.62;1;0;15.35;1.38
18HU13004_102;HL_06.7;42.6173;-61.5282;389512;1999;05-apr-13;23:27:00;34.9414;3.4774;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13004_102;HL_06.7;42.6173;-61.5282;389511;2316;05-apr-13;23:21:00;34.9339;3.2377;NaN;9;34.935;1;6.17;1;0.05;1;14.62;1;1.0775;1;13.02;1;0;13.57;1.12
18HU13004_138;HL_08;42.3667;-61.3313;389545;3;07-apr-13;07:54:00;33.9068;7.4736;2.5674;1;33.909;1;6.7;1;0.235;1;4.545;1;0.5405;1;3.17;1;0;8.41;1.43
18HU13004_138;HL_08;42.3667;-61.3313;389544;9;07-apr-13;07:53:00;33.9044;7.4671;2.759;1;NaN;9;NaN;9;0.25;1;4.91;1;0.5315;1;3.42;1;0;9.24;1.44
18HU13004_138;HL_08;42.3667;-61.3313;389543;20;07-apr-13;07:53:00;33.9002;7.4562;2.9506;1;NaN;9;NaN;9;0.245;1;4.885;1;0.5;1;3.36;1;0;9.77;1.45
18HU13004_138;HL_08;42.3667;-61.3313;389542;30;07-apr-13;07:52:00;33.8975;7.4527;0.6494;1;NaN;9;NaN;9;0.23;1;4.48;1;0.501;1;3.11;1;0;8.94;1.44
