CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU14004_014;HL_02;44.26698;-63.31726;395277;1.56;05-apr-14;03:00:00;1.562;31.2406;-0.5679;9.2167;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU14004_014;HL_02;44.26698;-63.31726;395278;1.61;05-apr-14;03:00:00;1.619;31.2431;-0.5828;9.2168;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU14004_014;HL_02;44.26698;-63.31724;395276;1.68;05-apr-14;03:00:00;1.686;31.2415;-0.5783;9.2274;9.69849;1;31.2381;1;9.1;1;0.05;1;0.69;1;0.46;1;0.605;1;0;1.50;1.14
18HU14004_014;HL_02;44.26676;-63.31687;395275;9.73;05-apr-14;02:58:00;9.731;31.2558;-0.7753;9.0894;11.08398;1;NaN;9;NaN;9;0.065;1;0.89;1;0.508;1;0.93;1;0;1.75;0.96
18HU14004_014;HL_02;44.26662;-63.31668;395273;19.55;05-apr-14;02:56:00;19.555;31.277;-0.8022;9.0841;10.56442;1;NaN;9;NaN;9;0.065;1;1.015;1;0.498;1;0.92;1;0;2.04;1.10
18HU14004_014;HL_02;44.26663;-63.31668;395274;20.22;05-apr-14;02:56:00;20.223;31.2776;-0.8067;9.0783;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU14004_014;HL_02;44.26654;-63.31666;395272;30.4;05-apr-14;02:54:00;30.406;31.2888;-0.8632;8.7487;10.73761;1;NaN;9;NaN;9;0.075;1;2.135;1;0.5595;1;1.39;1;0;3.82;1.54
18HU14004_014;HL_02;44.26644;-63.31678;395270;39.72;05-apr-14;02:53:00;39.729;31.3006;-0.8244;8.7292;8.19246;1;31.2969;1;8.6;1;0.08;1;2.215;1;0.5695;1;1.5;1;0;3.89;1.48
